Block,Time,NR/01102023/08032047/L_NR_2021_14,NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,NR/30092023/26122029/SH-06,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01042024/30042024/PTC/OA/32001,NR/01102023/06022042/L_NR_2012_02,NR/26072023/25122043/L_NR_2023_10,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/06022042/L_NR_2012_07,NR/04042024/30042024/SJVN040424NR1694,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,WR/01102023/30052048/L_NR_2022_10,SR/01102023/07102043/L_NR_2018_61,NR/01102023/31102037/L_NR_2019_11,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,NR/01102023/02012046/L_NR_2021_17,NR/01042024/31072024/LT_MEJA_DELHI,NR/16042024/30042024/IEX_240323_06617,NR/01102023/14082046/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/30092023/31122025/SH-07,WR/01102023/01102023/L_NR_2022_09,NR/01102023/02122045/L_NR_2021_13,L_NR_2019_19,NR/01102023/22052037/LT-59,NR/01102023/19072037/LT-05,WR/01102023/31032046/L_NR_2020_05,NR/26072023/31072042/L_NR_2023_07,NR/16042024/31052024/IEX_240323_06618,NR/01102023/05012040/L_NR_2020_02,NR/22102023/11042047/L_NR_2021_16
1,00:00-00:15,0,0.000000,0.000000,0.000000,0.000000,100.500000,17.83,0,30.870000,0,48.240000,261.920000,0,28.770000,0,0,0,87.020000,0,0.000000,10.780000,272.770000,40.33,7.01,3.990000,14,17.84,0,16.090000,9.650000,0,0,30.870000,40.33,0,0,4.030000,115.710000,53.5,0,48.240000,3.800000,0

2,00:15-00:30,0,0.000000,0.000000,0.000000,0.000000,100.500000,18.17,0,30.870000,0,48.240000,261.920000,0,28.770000,0,0,0,87.020000,0,0.000000,10.780000,272.770000,40.33,7.01,3.990000,14,18.16,0,16.090000,9.650000,0,0,30.870000,40.33,0,0,4.030000,115.710000,54.5,0,48.240000,3.800000,0

3,00:30-00:45,0,0.000000,0.000000,0.000000,0.000000,100.500000,18.5,0,30.870000,0,48.240000,261.920000,0,28.770000,0,0,0,87.020000,0,0.000000,10.780000,272.770000,40,7.01,3.990000,14,18.5,0,16.090000,9.650000,0,0,30.870000,40,0,0,4.030000,115.710000,55.5,0,48.240000,3.800000,0

4,00:45-01:00,0,0.000000,0.000000,0.000000,0.000000,100.500000,18.83,0,30.870000,0,48.240000,261.920000,0,28.270000,0,0,0,87.020000,0,0.000000,10.780000,272.770000,34,7.01,3.990000,14.66,18.84,0,16.090000,9.650000,0,0,30.870000,34,0,0,4.030000,115.710000,56.5,0,48.240000,3.800000,0

5,01:00-01:15,0,0.000000,0.000000,0.000000,0.000000,100.500000,18.67,0,31.340000,0,48.240000,261.920000,0,28.270000,0,0,0,87.020000,0,0.000000,10.680000,272.770000,34.33,7.01,3.920000,15,18.66,0,16.090000,9.650000,0,0,31.340000,34.33,0,0,4.030000,115.710000,56,0,48.240000,3.800000,0

6,01:15-01:30,0,0.000000,0.000000,0.000000,0.000000,100.500000,18.33,0,24.620000,0,48.240000,261.920000,0,28.270000,0,0,0,87.020000,0,0.000000,10.680000,272.770000,35,7.01,3.920000,15,18.34,0,16.090000,9.650000,0,0,31.340000,35,0,0,4.030000,115.710000,55,0,48.240000,3.800000,0

7,01:30-01:45,0,0.000000,0.000000,0.000000,0.000000,100.500000,18.17,0,25.750000,0,48.240000,261.920000,0,28.270000,0,0,0,87.020000,0,0.000000,10.680000,272.770000,36,7.01,3.920000,14.34,18.16,0,16.090000,9.650000,0,0,25.750000,36,0,0,4.030000,115.710000,54.5,0,48.240000,3.800000,0

8,01:45-02:00,0,0.000000,0.000000,0.000000,0.000000,100.500000,17.83,0,25.750000,0,48.240000,234.950000,0,28.270000,0,0,0,68.040000,0,0.000000,10.680000,272.770000,36.67,7.01,3.920000,13.66,17.84,0,16.090000,9.650000,0,0,25.750000,36.67,0,0,4.030000,94.530000,53.5,0,48.240000,3.800000,0

9,02:00-02:15,0,0.000000,0.000000,0.000000,0.000000,100.500000,17.67,0,25.750000,0,48.240000,234.950000,0,28.270000,0,0,0,68.040000,0,0.000000,10.590000,272.770000,36.67,6.01,3.920000,13.34,17.66,0,16.090000,9.650000,0,0,25.750000,36.67,0,0,3.880000,66.170000,53,0,48.240000,3.800000,0

10,02:15-02:30,0,0.000000,0.000000,0.000000,0.000000,100.500000,17.33,0,25.750000,0,48.240000,261.920000,0,28.270000,0,0,0,87.020000,0,0.000000,10.590000,272.770000,36.67,6.01,3.920000,13.34,17.34,0,16.090000,9.650000,0,0,25.750000,36.67,0,0,3.880000,66.170000,52,0,48.240000,3.800000,0

11,02:30-02:45,0,0.000000,0.000000,0.000000,0.000000,100.500000,16.83,0,25.750000,0,48.240000,261.920000,0,28.270000,0,0,0,87.020000,0,0.000000,10.590000,272.770000,35.33,6.01,3.920000,16,16.84,0,16.090000,9.650000,0,0,25.750000,35.33,0,0,3.880000,66.170000,50.5,0,48.240000,3.800000,0

12,02:45-03:00,0,0.000000,0.000000,0.000000,0.000000,100.500000,16.33,0,25.750000,0,48.240000,261.920000,0,27.750000,0,0,0,76.490000,0,0.000000,10.590000,272.770000,34.33,6.01,3.920000,15.66,16.34,0,16.090000,9.650000,0,0,25.750000,34.33,0,0,3.880000,66.170000,49,0,48.240000,3.800000,0

13,03:00-03:15,0,0.000000,0.000000,0.000000,0.000000,100.500000,16.17,0,25.750000,0,48.240000,261.920000,0,27.750000,0,0,0,52.740000,0,0.000000,10.500000,272.770000,28.67,6.01,3.840000,15,16.16,0,16.090000,9.650000,0,0,25.750000,28.67,0,0,3.880000,66.170000,48.5,0,48.240000,3.710000,0

14,03:15-03:30,0,0.000000,0.000000,0.000000,0.000000,100.500000,15.67,0,25.750000,0,48.240000,261.920000,0,27.750000,0,0,0,52.740000,0,0.000000,10.500000,272.770000,27,6.01,3.840000,14,15.66,0,16.090000,9.650000,0,0,25.750000,27,0,0,3.880000,66.170000,47,0,48.240000,3.710000,0

15,03:30-03:45,0,0.000000,0.000000,0.000000,0.000000,100.500000,15,0,25.750000,0,48.240000,261.920000,0,27.750000,0,0,0,52.740000,0,0.000000,10.500000,272.770000,25.67,6.01,3.840000,13.34,15,0,16.090000,9.650000,0,0,25.750000,25.67,0,0,3.880000,66.170000,45,0,48.240000,3.710000,0

16,03:45-04:00,0,0.000000,0.000000,0.000000,0.000000,100.500000,14.33,0,25.750000,0,48.240000,261.920000,0,27.750000,0,0,0,52.740000,0,0.000000,10.500000,272.770000,24.33,6.01,3.840000,12.66,14.34,0,16.090000,9.650000,0,0,25.750000,24.33,0,0,3.880000,66.170000,43,0,48.240000,3.710000,0

17,04:00-04:15,0,0.000000,0.000000,0.000000,0.000000,100.500000,17,0,25.750000,0,48.240000,261.920000,0,28.770000,0,0,0,52.740000,0,0.000000,10.410000,272.770000,23.33,6.01,3.840000,16,17,0,16.090000,9.650000,0,0,25.750000,23.33,0,0,3.720000,66.170000,51,0,48.240000,3.710000,0

18,04:15-04:30,0,0.000000,0.000000,0.000000,0.000000,100.500000,16.67,0,25.750000,0,48.240000,261.920000,0,28.770000,0,0,0,52.740000,0,0.000000,10.410000,272.770000,22.67,6.01,3.840000,15.66,16.66,0,16.090000,9.650000,0,0,25.750000,22.67,0,0,3.720000,66.170000,50,0,48.240000,3.710000,0

19,04:30-04:45,0,0.000000,0.000000,0.000000,0.000000,100.500000,15,0,25.750000,0,48.240000,261.920000,0,28.770000,0,0,0,52.740000,0,0.000000,10.410000,272.770000,22,6.01,3.840000,12.66,15,0,16.090000,9.650000,0,0,25.750000,22,0,0,3.720000,66.170000,45,0,48.240000,3.710000,0

20,04:45-05:00,0,0.000000,0.000000,0.000000,0.000000,100.500000,14.33,0,25.750000,0,48.240000,261.920000,0,28.770000,0,0,0,52.740000,0,0.000000,10.410000,272.770000,22,6.01,3.840000,12,14.34,0,16.090000,9.650000,0,0,25.750000,22,0,0,3.720000,66.170000,43,0,48.240000,3.710000,0

21,05:00-05:15,0,0.000000,0.000000,0.000000,0.000000,100.500000,11.67,0,25.750000,0,48.240000,261.920000,0,28.770000,0,0,0,52.740000,0,0.000000,10.310000,272.770000,19.67,6.01,3.760000,10.66,11.66,0,16.090000,9.650000,0,0.02,25.750000,19.67,0,0,3.720000,66.170000,35,0,48.240000,3.710000,0

22,05:15-05:30,0,0.000000,0.000000,0.000000,0.000000,100.500000,11.17,0,31.340000,0,48.240000,261.920000,0,28.770000,0,0,0,52.740000,0,0.000000,10.310000,272.770000,19.33,6.01,3.760000,10.34,11.16,0,16.090000,9.650000,0,0.07,24.620000,19.33,0.01,0,3.720000,66.170000,33.5,0,48.240000,3.710000,0

23,05:30-05:45,0,0.000000,0.000000,0.000000,0.000000,100.500000,10.83,0,31.340000,0,48.240000,261.920000,0,28.770000,0,0,0,52.740000,0,0.000000,10.310000,272.770000,19,6.01,3.760000,10,10.84,0,16.090000,9.650000,0,0.14,24.620000,19,0.03,0,3.720000,66.170000,32.5,0,48.240000,3.710000,0

24,05:45-06:00,0,0.000000,0.000000,0.000000,0.000000,100.500000,10.33,0,31.340000,0,48.240000,261.920000,0,28.770000,0,0,0,52.740000,0,0.000000,10.310000,272.770000,18.67,6.01,3.760000,9.34,10.34,0,16.090000,9.650000,0,0.26,24.620000,18.67,0.05,1.013168,3.720000,66.170000,31,0,48.240000,3.710000,0

25,06:00-06:15,0,0.000000,0.000000,0.000000,0.000000,100.500000,9.33,3.45,31.340000,4.02,48.240000,261.920000,0,27.750000,0,0,0.1,52.740000,0,0.000000,10.230000,272.770000,19.67,6.01,3.760000,8.66,9.34,0,16.090000,9.650000,0,3.37,24.620000,19.67,0.67,4.150092,3.720000,66.170000,28,1,48.240000,3.620000,0

26,06:15-06:30,0.25,0.000000,0.040000,0.050000,0.040000,100.500000,8.83,7.48,31.340000,9.15,48.240000,261.920000,1,27.750000,2,0,0.5,63.270000,0,0.000000,10.230000,272.770000,19,6.01,3.760000,8.34,8.84,0,16.090000,9.650000,0,6.64,24.620000,19,1.33,8.095602,3.720000,66.170000,26.5,1,48.240000,3.620000,0

27,06:30-06:45,1.57,0.000000,0.290000,0.300000,0.290000,100.500000,8,12.49,31.340000,20.75,48.240000,261.920000,1,27.750000,5,0,1,52.740000,0,0.000000,10.230000,272.770000,18.67,6.01,3.760000,8,8,0,16.090000,9.650000,0,10.91,24.620000,18.67,2.18,12.937376,3.720000,66.170000,24,4,48.240000,3.620000,1

28,06:45-07:00,3.82,0.000000,0.760000,0.780000,0.760000,100.500000,8,20.44,31.340000,33,48.240000,261.920000,3,27.250000,10,1,3,52.740000,0,0.000000,10.230000,272.770000,18.33,6.01,3.760000,8,8,0,16.090000,9.650000,0,16.81,24.620000,18.33,3.36,19.09432,3.720000,66.170000,24,7,48.240000,3.620000,3

29,07:00-07:15,6.86,0.000000,1.340000,1.380000,1.340000,100.500000,8,30.85,30.870000,30.85,48.240000,261.920000,7,27.250000,18,3,6,52.740000,0,0.000000,10.130000,272.770000,25,6.01,3.760000,7.66,8,0,16.090000,9.650000,0,28.99,24.150000,25,5.8,27.024308,3.720000,66.170000,24,18,48.240000,3.620000,7

