Time,Block,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/30092023/31122025/SH-07,NR/24072024/24072024/IEX_240723_01681,NR/2024/21183/A/28755,NR/2024/21142/A/28433,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/19779/A/28394,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01102023/23072042/L_NR_2012_04,NR/2024/21062/A/28699,NR/2024/21339/A/28429,NR/2024/21089/A/28722,NR/2024/21173/A/28507,NR/2024/21096/A/28720,NR/2024/21075/A/28757,NR/2024/21238/A/28758,NR/2024/21199/A/28644,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21158/A/28480,NR/2024/21838/C,NR/2024/21087/A/28508,NR/2024/21186/A/28732,NR/2024/21072/A/28723,NR/01072024/31072024/R2,NR/2024/21153/A/28481,NR/2024/21830/C,NR/2024/21108/A/28713,NR/2024/21144/A/28668,NR/2024/20711/A/28784,NR/2024/21023/A/28646,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21227/A/28715,NR/2024/21682/A/28783,NR/2024/21160/A/28478,NR/2024/20574/A/28706,NR/2024/21715/A/28275,NR/2024/21141/A/28434,NR/2024/21152/A/28381,NR/2024/21113/A/28721,NR/2024/20688/A/28509,NR/2024/20931/A/28681,NR/2024/21826/C,NR/16072024/31072024/NR/16072024/31072024/717758,NR/30092023/26122029/SH-06,NR/2024/21159/A/28479,NR/2024/21099/A/28435,NR/2024/21150/A/28476,NR/2024/21146/A/28477,NR/2024/21694/A/28708,NR/2024/21847/C,NR/2024/21210/A/28432,NR/2024/21148/A/28475,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21103/A/28716,NR/2024/21076/A/28754,NR/2024/21156/A/28482,NR/2024/21567/A/28719,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/20573/A/28707,NR/2024/20966/A/28383,NR/01102023/02012046/L_NR_2021_17,SR/2024/13586/C,NR/01102023/14082046/L_NR_2021_16,NR/2024/21823/C,Total
28,06:45-07:00,0.000000,32.000000,0.000000,21.220000,48.230000,12.900000,0.680000,96.460000,0.000000,0.000000,0.000000,37.260000,24.120000,24.120000,11.720000,2.890000,0.000000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,24.120000,1.590000,27.970000,24.040000,0.480000,96.460000,0.000000,72.340000,15.140000,0.000000,241.150000,0.970000,0.000000,8.680000,0.000000,1.930000,37.260000,66.740000,0.000000,164.220000,48.230000,32.000000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,96.460000,0.000000,4.820000,0,265.00,0,0,1926.69

29,07:00-07:15,0.000000,14.940000,0.000000,21.220000,48.230000,12.900000,0.770000,96.460000,0.000000,0.000000,0.000000,37.260000,24.120000,24.120000,11.720000,2.890000,0.000000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,24.120000,1.590000,27.970000,24.040000,0.480000,96.460000,0.000000,72.340000,15.140000,0.000000,241.150000,0.970000,0.000000,8.680000,0.000000,1.930000,37.260000,66.740000,0.000000,164.220000,48.230000,32.000000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,96.460000,0.000000,4.820000,0,185.00,0,0,1829.72

30,07:15-07:30,0.000000,14.940000,0.000000,21.220000,48.230000,12.900000,0.770000,96.460000,0.000000,0.000000,0.000000,37.260000,24.120000,24.120000,11.720000,2.890000,0.000000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,24.120000,1.590000,27.970000,24.040000,0.480000,96.460000,0.000000,72.340000,15.140000,0.000000,241.150000,0.970000,0.000000,8.680000,0.000000,1.930000,37.260000,66.740000,0.000000,164.220000,48.230000,32.000000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,96.460000,0.000000,4.820000,0,260.00,0,0.59,1905.31

31,07:30-07:45,0.000000,14.940000,0.000000,21.220000,48.230000,12.900000,0.770000,96.460000,0.000000,0.000000,0.000000,37.260000,24.120000,24.120000,11.720000,2.890000,0.000000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,24.120000,1.590000,27.970000,24.040000,0.480000,96.460000,0.000000,72.340000,15.140000,0.000000,241.150000,0.970000,0.000000,8.680000,0.000000,1.930000,37.260000,66.740000,0.000000,164.220000,48.230000,32.000000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,96.460000,0.000000,4.820000,0,260.00,0,1.22,1905.94

32,07:45:08:00,0.000000,14.940000,0.000000,21.220000,48.230000,12.900000,0.770000,96.460000,0.000000,0.000000,0.000000,37.260000,24.120000,24.120000,11.720000,2.890000,0.000000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,24.120000,1.590000,27.970000,24.040000,0.480000,96.460000,0.000000,72.340000,15.140000,0.000000,241.150000,0.970000,0.000000,8.680000,0.000000,1.930000,37.260000,66.740000,0.000000,164.220000,48.230000,32.000000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,96.460000,0.000000,4.820000,0,242.00,0,1.98,1888.7

33,08:00-08:15,0.000000,14.940000,0.000000,21.220000,48.230000,12.520000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,8.680000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,32.000000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,2.59,1646.4

34,08:15-08:30,0.000000,14.940000,0.000000,21.220000,48.230000,12.520000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,8.680000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,32.000000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,3.26,1647.07

35,08:30-08:45,0.000000,14.940000,0.000000,21.220000,48.230000,12.520000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,8.680000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,32.000000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,3.95,1647.76

36,08:45:09:00,0.000000,14.940000,0.000000,21.220000,48.230000,12.520000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,8.680000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,32.000000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,3.53,1647.34

37,09:00:09:15,0.000000,14.940000,0.000000,21.220000,48.230000,12.520000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,9.650000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,32.000000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,3.08,1647.86

38,09:15-09:30,0.000000,14.940000,0.000000,21.220000,48.230000,12.520000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,9.650000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,32.000000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,3.76,1648.54

39,09:30-09:45,0.000000,23.470000,0.000000,21.220000,48.230000,12.520000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,11.580000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,23.470000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,4.1,1650.81

40,09:45-10:00,0.000000,23.470000,0.000000,21.220000,48.230000,12.520000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,11.580000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,23.470000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,4.09,1650.8

41,10:00-10:15,0.000000,23.470000,0.000000,21.220000,48.230000,12.520000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,11.580000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,23.470000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,5.13,1651.84

42,10:15-10:30,0.000000,23.470000,0.000000,21.220000,48.230000,12.520000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,11.580000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,23.470000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,4.44,1651.15

43,10:30-10:45,0.000000,23.470000,0.000000,21.220000,48.230000,12.520000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,12.540000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,23.470000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,2.94,1650.61

44,10:45-11:00,0.000000,23.470000,0.000000,21.220000,48.230000,12.520000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,12.540000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,23.470000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,3.01,1650.68

45,11:00-11:15,0.000000,23.470000,0.000000,21.220000,48.230000,12.250000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,12.540000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,23.470000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,2.62,1650.02

46,11:15-11:30,0.000000,23.470000,0.000000,21.220000,48.230000,12.250000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,12.540000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,23.470000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,2.9,1650.3

47,11:30-11:45,0.000000,23.470000,0.000000,21.220000,48.230000,12.250000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,12.540000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,23.470000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,4.53,1651.93

48,11:45-12:00,0.000000,23.470000,0.000000,21.220000,48.230000,12.250000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,12.540000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,23.470000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,2.59,1649.99

49,12:00-12:15,0.000000,23.470000,0.000000,21.220000,48.230000,12.250000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,12.540000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,23.470000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,3.39,1650.79

50,12:15-12:30,0.000000,23.470000,0.000000,21.220000,48.230000,12.250000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,12.540000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,23.470000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,2.67,1650.07

51,12:30-12:45,0.000000,23.470000,0.000000,21.220000,48.230000,12.250000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,0.000000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,12.540000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,23.470000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,4.61,1603.78

52,12:45-13:00,0.000000,23.470000,0.000000,21.220000,48.230000,12.250000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,0.000000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,12.540000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,23.470000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,6.59,1605.76

53,13:00-13:15,0.000000,23.470000,0.000000,21.220000,48.230000,12.250000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,0.000000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,12.540000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,23.470000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,5.13,1604.3

54,13:15-13:30,0.000000,23.470000,0.000000,21.220000,48.230000,12.250000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,0.000000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,12.540000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,23.470000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,4.71,1603.88

55,13:30-13:45,0.000000,23.470000,0.000000,21.220000,48.230000,12.250000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,0.000000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,12.540000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,23.470000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,5.54,1604.71

56,13:45-14:00,0.000000,23.470000,0.000000,21.220000,48.230000,12.250000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,0.000000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,12.540000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,23.470000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,4.75,1603.92

57,14:00-14:15,0.000000,23.470000,0.000000,21.220000,48.230000,12.250000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,24.730000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,12.540000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,23.470000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,3.37,1627.27

58,14:15-14:30,0.000000,23.470000,0.000000,21.220000,48.230000,12.250000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,24.730000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,12.540000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,23.470000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,3.05,1626.95

59,14:30-14:45,0.000000,23.470000,0.000000,21.220000,48.230000,12.250000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,24.730000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,12.540000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,23.470000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,2.53,1626.43

60,14:45-15:00,0.000000,23.470000,0.000000,21.220000,48.230000,12.250000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,24.730000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,12.540000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,23.470000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,5,1628.9

61,15:00-15:15,0.000000,23.470000,0.000000,21.220000,48.230000,12.250000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,24.730000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,12.540000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,23.470000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,5.64,1629.54

62,15:15-15:30,0.000000,23.470000,0.000000,21.220000,48.230000,12.250000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,24.730000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,12.540000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,23.470000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,3.17,1627.07

63,15:30-15:45,0.000000,23.470000,0.000000,21.220000,48.230000,12.250000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,24.730000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,12.540000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,23.470000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,3.39,1627.29

64,15:45-16:00,0.000000,23.470000,0.000000,21.220000,48.230000,12.250000,0.960000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,24.730000,37.260000,0.000000,1.590000,81.990000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,12.540000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,23.470000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,2.29,1626.19

65,16:00-16:15,0.000000,23.470000,0.000000,21.220000,48.230000,12.430000,0.820000,0.000000,0.000000,24.120000,96.460000,37.260000,24.120000,24.120000,11.720000,2.890000,72.340000,12.420000,0.680000,0.000000,24.120000,24.730000,37.260000,0.000000,1.590000,27.970000,24.040000,0.480000,96.460000,96.460000,0.000000,15.140000,0.000000,241.150000,0.970000,0.000000,12.540000,0.000000,1.930000,37.260000,66.740000,48.230000,109.480000,0.000000,23.470000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,0.000000,0.000000,4.820000,0,0.00,0,1.5,1571.42

