Time,Block,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/30092023/31122025/SH-07,NR/24072024/24072024/IEX_240723_01681,NR/2024/21183/A/28755,NR/2024/21142/A/28433,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/19779/A/28394,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01102023/23072042/L_NR_2012_04,NR/2024/21062/A/28699,NR/2024/21339/A/28429,NR/2024/21089/A/28722,NR/2024/21173/A/28507,NR/2024/21096/A/28720,NR/2024/21075/A/28757,NR/2024/21238/A/28758,NR/2024/21199/A/28644,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21158/A/28480,NR/2024/21838/C,NR/2024/21087/A/28508,NR/2024/21186/A/28732,NR/2024/21072/A/28723,NR/01072024/31072024/R2,NR/2024/21153/A/28481,NR/2024/21830/C,NR/2024/21108/A/28713,NR/2024/21144/A/28668,NR/2024/20711/A/28784,NR/2024/21023/A/28646,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21227/A/28715,NR/2024/21682/A/28783,NR/2024/21160/A/28478,NR/2024/20574/A/28706,NR/2024/21715/A/28275,NR/2024/21141/A/28434,NR/2024/21152/A/28381,NR/2024/21113/A/28721,NR/2024/20688/A/28509,NR/2024/20931/A/28681,NR/2024/21826/C,NR/16072024/31072024/NR/16072024/31072024/717758,NR/30092023/26122029/SH-06,NR/2024/21159/A/28479,NR/2024/21099/A/28435,NR/2024/21150/A/28476,NR/2024/21146/A/28477,NR/2024/21694/A/28708,NR/2024/21847/C,NR/2024/21210/A/28432,NR/2024/21148/A/28475,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21103/A/28716,NR/2024/21076/A/28754,NR/2024/21156/A/28482,NR/2024/21567/A/28719,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/20573/A/28707,NR/2024/20966/A/28383,NR/01102023/02012046/L_NR_2021_17,SR/2024/13586/C,NR/01102023/14082046/L_NR_2021_16,NR/2024/21823/C,Total
9,02:00-02:15,0.000000,14.940000,0.000000,21.220000,48.230000,13.170000,0.580000,96.460000,0.000000,0.000000,0.000000,37.260000,24.120000,67.520000,11.720000,2.890000,0.000000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,24.120000,1.590000,27.970000,24.040000,0.480000,96.460000,0.000000,72.340000,15.140000,0.000000,241.150000,0.970000,12.060000,9.650000,47.710000,1.930000,37.260000,66.740000,0.000000,164.220000,48.230000,32.000000,0.880000,24.120000,0.880000,0.360000,3.740000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,38.580000,96.460000,36.170000,4.820000,0,105.00,0,0,1932.43

10,02:15-02:30,0.000000,14.940000,0.000000,21.220000,48.230000,13.170000,0.580000,96.460000,0.000000,0.000000,0.000000,37.260000,24.120000,67.520000,11.720000,2.890000,0.000000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,24.120000,1.590000,27.970000,24.040000,0.480000,96.460000,0.000000,72.340000,15.140000,0.000000,241.150000,0.970000,12.060000,9.650000,47.710000,1.930000,37.260000,66.740000,0.000000,164.220000,48.230000,32.000000,0.880000,24.120000,0.880000,0.360000,3.770000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,38.580000,96.460000,36.170000,4.820000,0,120.00,0,0,1947.46

11,02:30-02:45,0.000000,14.940000,0.000000,21.220000,48.230000,13.170000,0.580000,96.460000,0.000000,0.000000,0.000000,37.260000,24.120000,67.520000,11.720000,2.890000,0.000000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,24.120000,1.590000,27.970000,24.040000,0.480000,96.460000,0.000000,72.340000,15.140000,0.000000,241.150000,0.970000,12.060000,9.650000,47.710000,1.930000,37.260000,66.740000,0.000000,164.220000,48.230000,32.000000,0.880000,24.120000,0.880000,0.360000,4.080000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,38.580000,96.460000,36.170000,4.820000,0,0.00,0,0,1827.77

12,02:45-03:00,0.000000,14.940000,0.000000,21.220000,48.230000,13.170000,0.580000,96.460000,0.000000,0.000000,0.000000,37.260000,24.120000,67.520000,11.720000,2.890000,0.000000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,24.120000,1.590000,27.970000,24.040000,0.480000,96.460000,0.000000,72.340000,15.140000,0.000000,241.150000,0.970000,12.060000,9.650000,47.710000,1.930000,37.260000,66.740000,0.000000,164.220000,48.230000,32.000000,0.880000,24.120000,0.880000,0.360000,4.390000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,38.580000,96.460000,36.170000,4.820000,0,0.00,0,0,1828.08

13,03:00-03:15,0.000000,32.000000,0.000000,21.220000,48.230000,13.170000,0.530000,96.460000,0.000000,0.000000,0.000000,37.260000,24.120000,67.520000,11.720000,2.890000,0.000000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,24.120000,1.590000,27.970000,24.040000,0.480000,96.460000,0.000000,72.340000,15.140000,0.000000,241.150000,0.970000,12.060000,8.680000,0.000000,1.930000,37.260000,66.740000,0.000000,164.220000,48.230000,32.000000,0.880000,24.120000,0.880000,0.360000,4.390000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,96.460000,36.170000,4.820000,0,120.00,0,0,1877.83

14,03:15-03:30,0.000000,32.000000,0.000000,21.220000,48.230000,13.170000,0.530000,96.460000,0.000000,0.000000,0.000000,37.260000,24.120000,67.520000,11.720000,2.890000,0.000000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,24.120000,1.590000,27.970000,24.040000,0.480000,96.460000,0.000000,72.340000,15.140000,0.000000,241.150000,0.970000,12.060000,8.680000,0.000000,1.930000,37.260000,66.740000,0.000000,164.220000,48.230000,32.000000,0.880000,24.120000,0.880000,0.360000,4.440000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,96.460000,36.170000,4.820000,0,135.00,0,0,1892.88

15,03:30-03:45,0.000000,32.000000,0.000000,21.220000,48.230000,13.170000,0.530000,96.460000,0.000000,0.000000,0.000000,37.260000,24.120000,67.520000,11.720000,2.890000,0.000000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,24.120000,1.590000,27.970000,24.040000,0.480000,96.460000,0.000000,72.340000,15.140000,0.000000,241.150000,0.970000,12.060000,8.680000,0.000000,1.930000,37.260000,66.740000,0.000000,164.220000,48.230000,32.000000,0.880000,24.120000,0.880000,0.360000,4.250000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,96.460000,36.170000,4.820000,0,155.00,0,0,1912.69

16,03:45-04:00,0.000000,32.000000,0.000000,21.220000,48.230000,13.170000,0.530000,96.460000,0.000000,0.000000,0.000000,37.260000,24.120000,67.520000,11.720000,2.890000,0.000000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,24.120000,1.590000,27.970000,24.040000,0.480000,96.460000,0.000000,72.340000,15.140000,0.000000,241.150000,0.970000,12.060000,8.680000,0.000000,1.930000,37.260000,66.740000,0.000000,164.220000,48.230000,32.000000,0.880000,24.120000,0.880000,0.360000,4.150000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,96.460000,36.170000,4.820000,0,170.00,0,0,1927.59

17,04:00-04:15,0.000000,32.000000,0.000000,21.220000,48.230000,13.170000,0.530000,96.460000,0.000000,0.000000,0.000000,37.260000,24.120000,67.520000,11.720000,2.890000,0.000000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,24.120000,1.590000,27.970000,24.040000,0.480000,96.460000,0.000000,72.340000,15.140000,0.000000,241.150000,0.970000,12.060000,8.680000,0.000000,1.930000,37.260000,66.740000,0.000000,164.220000,48.230000,32.000000,0.880000,24.120000,0.880000,0.360000,4.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,96.460000,36.170000,4.820000,0,195.00,0,0,1952.44

18,04:15-04:30,0.000000,32.000000,0.000000,21.220000,48.230000,13.170000,0.530000,96.460000,0.000000,0.000000,0.000000,37.260000,24.120000,67.520000,11.720000,2.890000,0.000000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,24.120000,1.590000,27.970000,24.040000,0.480000,96.460000,0.000000,72.340000,15.140000,0.000000,241.150000,0.970000,12.060000,8.680000,0.000000,1.930000,37.260000,66.740000,0.000000,164.220000,48.230000,32.000000,0.880000,24.120000,0.880000,0.360000,4.110000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,96.460000,36.170000,4.820000,0,210.00,0,0,1967.55

19,04:30-04:45,0.000000,32.000000,0.000000,21.220000,48.230000,13.170000,0.530000,96.460000,0.000000,0.000000,0.000000,37.260000,24.120000,67.520000,11.720000,2.890000,0.000000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,24.120000,1.590000,27.970000,24.040000,0.480000,96.460000,0.000000,72.340000,15.140000,0.000000,241.150000,0.970000,12.060000,7.720000,0.000000,1.930000,37.260000,66.740000,0.000000,164.220000,48.230000,32.000000,0.880000,24.120000,0.880000,0.360000,4.020000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,96.460000,36.170000,4.820000,0,220.00,0,0,1976.5

20,04:45-05:00,0.000000,32.000000,0.000000,21.220000,48.230000,13.170000,0.530000,96.460000,0.000000,0.000000,0.000000,37.260000,24.120000,67.520000,11.720000,2.890000,0.000000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,24.120000,1.590000,27.970000,24.040000,0.480000,96.460000,0.000000,72.340000,15.140000,0.000000,241.150000,0.970000,12.060000,7.720000,0.000000,1.930000,37.260000,66.740000,0.000000,164.220000,48.230000,32.000000,0.880000,24.120000,0.880000,0.360000,4.120000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,96.460000,36.170000,4.820000,0,230.00,0,0,1986.6

21,05:00-05:15,0.000000,32.000000,0.000000,21.220000,48.230000,13.170000,0.530000,96.460000,0.000000,0.000000,0.000000,37.260000,24.120000,24.120000,11.720000,2.890000,0.000000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,24.120000,1.590000,27.970000,24.040000,0.480000,96.460000,0.000000,72.340000,15.140000,0.000000,241.150000,0.970000,12.060000,7.720000,0.000000,1.930000,37.260000,66.740000,0.000000,164.220000,48.230000,32.000000,0.880000,24.120000,0.880000,0.360000,5.310000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,96.460000,36.170000,4.820000,0,65.00,0,0,1779.39

22,05:15-05:30,0.000000,32.000000,0.000000,21.220000,48.230000,13.170000,0.530000,96.460000,0.000000,0.000000,0.000000,37.260000,24.120000,24.120000,11.720000,2.890000,0.000000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,24.120000,1.590000,27.970000,24.040000,0.480000,96.460000,0.000000,72.340000,15.140000,0.000000,241.150000,0.970000,12.060000,7.720000,0.000000,1.930000,37.260000,66.740000,0.000000,164.220000,48.230000,32.000000,0.880000,24.120000,0.880000,0.360000,5.080000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,96.460000,36.170000,4.820000,0,110.00,0,0,1824.16

23,05:30-05:45,0.000000,32.000000,0.000000,21.220000,48.230000,13.170000,0.530000,96.460000,0.000000,0.000000,0.000000,37.260000,24.120000,24.120000,11.720000,2.890000,0.000000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,24.120000,1.590000,27.970000,24.040000,0.480000,96.460000,0.000000,72.340000,15.140000,0.000000,241.150000,0.970000,12.060000,7.720000,0.000000,1.930000,37.260000,66.740000,0.000000,164.220000,48.230000,32.000000,0.880000,24.120000,0.880000,0.360000,4.620000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,96.460000,36.170000,4.820000,0,180.00,0,0,1893.7

24,05:45-06:00,0.000000,32.000000,0.000000,21.220000,48.230000,13.170000,0.530000,96.460000,0.000000,0.000000,0.000000,37.260000,24.120000,24.120000,11.720000,2.890000,0.000000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,24.120000,1.590000,27.970000,24.040000,0.480000,96.460000,0.000000,72.340000,15.140000,0.000000,241.150000,0.970000,12.060000,7.720000,0.000000,1.930000,37.260000,66.740000,0.000000,164.220000,48.230000,32.000000,0.880000,24.120000,0.880000,0.360000,4.230000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,96.460000,36.170000,4.820000,0,205.00,0,0,1918.31

25,06:00-06:15,0.000000,32.000000,0.000000,21.220000,48.230000,12.900000,0.680000,96.460000,0.000000,0.000000,0.000000,37.260000,24.120000,24.120000,11.720000,2.890000,0.000000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,24.120000,1.590000,27.970000,24.040000,0.480000,96.460000,0.000000,72.340000,15.140000,0.000000,241.150000,0.970000,0.000000,7.720000,0.000000,1.930000,37.260000,66.740000,0.000000,164.220000,48.230000,32.000000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,96.460000,0.000000,4.820000,0,250.00,0,0,1910.73

26,06:15-06:30,0.000000,32.000000,0.000000,21.220000,48.230000,12.900000,0.680000,96.460000,0.000000,0.000000,0.000000,37.260000,24.120000,24.120000,11.720000,2.890000,0.000000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,24.120000,1.590000,27.970000,24.040000,0.480000,96.460000,0.000000,72.340000,15.140000,0.000000,241.150000,0.970000,0.000000,7.720000,0.000000,1.930000,37.260000,66.740000,0.000000,164.220000,48.230000,32.000000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,96.460000,0.000000,4.820000,0,245.00,0,0,1905.73

27,06:30-06:45,0.000000,32.000000,0.000000,21.220000,48.230000,12.900000,0.680000,96.460000,0.000000,0.000000,0.000000,37.260000,24.120000,24.120000,11.720000,2.890000,0.000000,12.420000,0.680000,0.000000,24.120000,48.230000,37.260000,24.120000,1.590000,27.970000,24.040000,0.480000,96.460000,0.000000,72.340000,15.140000,0.000000,241.150000,0.970000,0.000000,8.680000,0.000000,1.930000,37.260000,66.740000,0.000000,164.220000,48.230000,32.000000,0.880000,24.120000,0.880000,0.360000,0.000000,0.000000,48.230000,0.520000,0.000000,84.090000,90.670000,0.610000,12.420000,0.000000,96.460000,0.000000,4.820000,0,250.00,0,0,1911.69

