Column1,Time,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,NR/26072023/25122043/L_NR_2023_10,GNARE/NR/2024/12/20/3668,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,GNARE/SR/2025/01/13/4532,L_NR_2019_19,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/2868,GNA/NR/2025/04/01/8456,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/7786,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/06/01/5280,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/9719,NR/01102023/31052040/LT-31,GNA/NR/2025/04/01/8510,GNA/NR/2025/06/07/5932,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/06/01/9257,NR/30092023/26122029/SH-06,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/8964,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/14/1761,GNA/NR/2025/06/14/5424,NR/01102023/19072037/LT-05,NR/01102023/22052037/LT-59,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/2569,NR/01102023/06022042/L_NR_2012_02
1,00:00-00:15,62.51,19,0,0,20.83,0,0,0,0,0,0,0,0,0,20.83,0,23.61,0,32,29.16,10.57,0,0,48.32,87.16,0,10.78,10.3,11.91,15.54,24.16,0,15.7,-0,30.27,100.67,24.16,32,273.22,0,0,0,48.32,11.9,24.16,48.32,33.53,57.96,10.6,48.32,62.81,129.67

2,00:15-00:30,62.51,19.67,0,0,20.83,0,0,0,0,0,0,0,0,0,20.83,0,23.01,0,32,29.16,10.57,0,0,48.32,87.16,0,10.78,10.3,11.91,15.54,24.16,0,15.7,-0,30.27,100.67,24.16,32,273.22,0,0,0,48.32,11.9,24.16,48.32,33.53,57.96,10.6,48.32,62.81,129.67

3,00:30-00:45,61.99,20,0,0,20.67,0,0,0,0,0,0,0,0,0,20.67,0,22.01,0,32,29.16,10.57,0,0,48.32,87.16,0,10.78,10.3,11.91,15.54,24.16,0,15.7,-0,30.27,100.67,24.16,32,273.22,0,0,0,48.32,11.9,24.16,48.32,33.53,57.96,10.6,48.32,62.81,129.67

4,00:45-01:00,61.5,19.67,0,0,20.5,0,0,0,0,0,0,0,0,0,20.5,0,21.01,0,32,29.16,10.57,0,0,48.32,87.16,0,10.78,10.3,11.91,15.54,24.16,0,15.7,-0,30.27,100.67,24.16,32,273.22,0,0,0,48.32,11.9,24.16,48.32,33.53,57.96,10.6,48.32,62.81,129.67

5,01:00-01:15,61.5,19.67,0,0,20.5,0,0,0,0,0,0,0,0,0,20.5,0,29.21,0,32,29.16,10.34,0,0,48.32,87.16,0,10.78,10.3,11.91,15.17,24.16,0,15.35,-0,30.27,100.67,24.16,32,273.22,0,0,0,48.32,11.9,24.16,48.32,33.53,57.96,10.6,48.32,62.81,129.67

