Time,Block,NR/2024/19172/A/15289,NR/2024/18996/A/15122,NR/2024/19043/A/14657,NR/2024/18919/A/15170,NR/2024/18976/A/14591,NR/2024/19121/A/14691,NR/2024/19075/A/14649,NR/2024/19418/C,NR/2024/19143/A/14644,NR/2024/18978/A/14593,NR/2024/19419/C,NR/2024/19245/A/15084,NR/2024/19024/A/15089,NR/2024/18855/A/14695,NR/2024/19290/A/15288,NR/2024/19030/A/14663,NR/2024/18934/A/14581,NR/2024/19115/A/14646,NR/2024/18935/A/14582,NR/2024/18986/A/14666,NR/2024/19337/A/14703,NR/2024/18936/A/14583,NR/2024/18977/A/14592,Total
,,TPDDL,PTC,IEXL,APPCPL,PXIL,GMRETL,IEXL,NVVNL,IEXL,PXIL,NVVNL,DIAPL,DIAPL,GMRETL,TPDDL,IEXL,PXIL,IEXL,PXIL,ITCLH,DIAPL,PXIL,PXIL,Total

,,NA,MAHARASHTRA,NA,NAGALAND,ODISHA,RAJASTHAN,ODISHA,NA,DELHI,TAMIL NADU,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,RAJASTHAN,NA,NA,TAMIL NADU,MAHARASHTRA,TAMIL NADU,ANDHRA PRADESH,HIMACHAL PRADESH,TAMIL NADU,NA,
,,JHAJJAR,JPL_DHULE,MBMP,Nagaland_Ben,FACORPOWER,RUVNL,VSL,KAMENG,EDWPCL12,BIRLACARBONTN,SOLAPUR_SOLAR,GBHHPL,GBHHPL,RUVNL,JHAJJAR,JHABUA_IPP,SAKTHISUGRAR_TN,SWPL,SAKTHISUGARS_ELMTN,ITCWIND,GBHHPL,SAKTHISUGARSLTD,MEENAKSHI,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,TPDDL,BRPL,BRPL,BYPL,BRPL,BYPL,BRPL,TPDDL,UPPCL,BRPL,MES (Delhi),DIAPL,DIAPL,BYPL,TPDDL,BRPL,BRPL,BRPL,BRPL,ITCLH,DIAPL,BRPL,BRPL,
,,North-North,West-North,West-East-North,North East-East-North,East-West-North,North-North,East-North,North East-East-North,North-North,South-West-North,West-North,North-North,North-North,North-North,North-North,West-East-North,South-West-North,West-East-North,South-West-North,South-West-North,North-North,South-West-North,South-West-North,
1,00:00-00:15,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,52.590000,2.000000,0.000000,0,0.000000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.530000,1.930000,0.000000,0.000000,322.11

2,00:15-00:30,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,52.590000,2.000000,0.000000,0,0.000000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.530000,1.930000,0.000000,0.000000,322.11

3,00:30-00:45,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,52.590000,2.000000,0.000000,0,0.000000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.530000,1.930000,0.000000,0.000000,322.11

4,00:45-01:00,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,52.590000,2.000000,0.000000,0,0.000000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.530000,1.930000,0.000000,0.000000,322.11

5,01:00-01:15,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,52.590000,2.000000,0.000000,0,0.000000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.480000,1.930000,0.000000,0.000000,322.06

6,01:15-01:30,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,52.590000,2.000000,0.000000,0,0.000000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.480000,1.930000,0.000000,0.000000,322.06

7,01:30-01:45,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,52.590000,2.000000,0.000000,0,0.000000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.480000,1.930000,0.000000,0.000000,322.06

8,01:45-02:00,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,52.590000,2.000000,0.000000,0,0.000000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.480000,1.930000,0.000000,0.000000,322.06

9,02:00-02:15,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,52.590000,2.000000,0.000000,0,0.000000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.480000,1.930000,0.000000,0.000000,322.06

10,02:15-02:30,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,52.590000,2.000000,0.000000,0,0.000000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.480000,1.930000,0.000000,0.000000,322.06

11,02:30-02:45,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,52.590000,2.000000,0.000000,0,0.000000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.480000,1.930000,0.000000,0.000000,322.06

12,02:45-03:00,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,52.590000,2.000000,0.000000,0,0.000000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.480000,1.930000,0.000000,0.000000,322.06

13,03:00-03:15,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,52.590000,2.000000,0.000000,0,0.000000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.480000,1.930000,0.000000,0.000000,322.06

14,03:15-03:30,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,52.590000,2.000000,0.000000,0,0.000000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.480000,1.930000,0.000000,0.000000,322.06

15,03:30-03:45,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,52.590000,2.000000,0.000000,0,0.000000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.480000,1.930000,0.000000,0.000000,322.06

16,03:45-04:00,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,52.590000,2.000000,0.000000,0,0.000000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.480000,1.930000,0.000000,0.000000,322.06

17,04:00-04:15,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,52.590000,2.000000,0.000000,0,0.000000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.480000,1.930000,0.000000,0.000000,322.06

18,04:15-04:30,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,52.590000,2.000000,0.000000,0,0.000000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.480000,1.930000,0.000000,0.000000,322.06

19,04:30-04:45,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,52.590000,2.000000,0.000000,0,0.000000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.480000,1.930000,0.000000,0.000000,322.06

20,04:45-05:00,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,52.590000,2.000000,0.000000,0,0.000000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.480000,1.930000,0.000000,0.000000,322.06

21,05:00-05:15,116.000000,0.000000,0.000000,9.670000,0.000000,66.890000,0.000000,52.590000,0.000000,0.000000,0,0.000000,4.830000,0.000000,67.670000,0.000000,0.000000,0.000000,0.000000,0.480000,1.930000,0.000000,0.000000,320.06

22,05:15-05:30,116.000000,0.000000,0.000000,9.670000,0.000000,66.890000,0.000000,52.590000,0.000000,0.000000,0,0.000000,4.830000,0.000000,67.670000,0.000000,0.000000,0.000000,0.000000,0.480000,1.930000,0.000000,0.000000,320.06

23,05:30-05:45,116.000000,0.000000,0.000000,9.670000,0.000000,66.890000,0.000000,52.590000,0.000000,0.000000,0,0.000000,4.830000,0.000000,67.670000,0.000000,0.000000,0.000000,0.000000,0.480000,1.930000,0.000000,0.000000,320.06

24,05:45-06:00,116.000000,0.000000,0.000000,9.670000,0.000000,66.890000,0.000000,52.590000,0.000000,0.000000,0,0.000000,4.830000,0.000000,67.670000,0.000000,0.000000,0.000000,0.000000,0.480000,1.930000,0.000000,0.000000,320.06

25,06:00-06:15,116.000000,0.000000,0.000000,0.000000,0.000000,66.890000,0.000000,52.590000,0.000000,0.000000,0,0.000000,4.830000,0.000000,67.670000,0.000000,0.000000,0.000000,0.000000,0.480000,1.930000,0.000000,0.000000,310.39

26,06:15-06:30,116.000000,0.000000,0.000000,0.000000,0.000000,66.890000,0.000000,52.590000,0.000000,0.000000,0,0.000000,4.830000,0.000000,67.670000,0.000000,0.000000,0.000000,0.000000,0.480000,1.930000,0.000000,0.000000,310.39

27,06:30-06:45,116.000000,0.000000,0.000000,0.000000,0.000000,66.890000,0.000000,52.590000,0.000000,0.000000,0.48,0.000000,4.830000,0.000000,67.670000,0.000000,0.000000,0.000000,0.000000,0.480000,1.930000,0.000000,0.000000,310.87

28,06:45-07:00,116.000000,0.000000,0.000000,0.000000,0.000000,66.890000,0.000000,52.590000,0.000000,0.000000,0.89,0.000000,4.830000,0.000000,67.670000,0.000000,0.000000,0.000000,0.000000,0.480000,1.930000,0.000000,0.000000,311.28

29,07:00-07:15,116.000000,0.000000,0.000000,0.000000,0.000000,66.890000,0.000000,52.590000,0.000000,0.000000,1.25,0.000000,4.830000,0.000000,67.670000,0.000000,0.000000,0.000000,0.000000,0.630000,1.930000,0.000000,0.000000,311.79

