Block,Time,DADRI_RF,DULHASTI,KOLDAM,RAMPUR,CHAMERA2,SINGRAULI,SALAL,ANTA_CRF,PARBATI3,JHAJJAR,UNCHAHAR4,ANTA_LF,DADRT2,SEWA2,UNCHAHAR1,AURY_GF,RIHAND3,URI2,BSIUL,DADRI_GF,DADRI_LF,NJPC,KISHANGANGA,SINGRAULI_HYDRO,NAPP,AURY_RF,TANDA2,CHAMERA3,AURY_CRF,CHAMERA1,ANTA_RF,UNCHAHAR2,URI,RAPPC,ANTA_GF,TEHRI,DADRI_CRF,UNCHAHAR3,AURY_LF,KOTESHWR,TANAKPUR,RIHAND1,RAPPB,FSTPP I & II,SASAN,TALA,KHSTPP-I,DHAULIGNGA,BRBCL,RIHAND2,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,57.163439,8.959460,6.516168,46.850834,138.471409,80.819424,0.000000,0.000000,408.077040,0.977305,0.000000,665.299605,12.101470,21.857489,0.000000,126.140377,36.602241,6.299093,0.000000,0.000000,173.843731,8.057069,1.108819,45.793467,0.000000,5.175914,33.646990,0.000000,40.715045,0.000000,42.186862,35.193312,65.192679,0.000000,0.000000,0.000000,26.699256,0.000000,0.000000,6.187230,93.756041,0.000000,19.201182,401.342812,0.000000,42.803460,42.055908,17.745160,120.151080,142.195200,0,0,0,0,0

2,00:15-00:30,0.000000,57.163439,8.959460,6.516168,46.850834,138.471409,80.819424,0.000000,0.000000,408.077040,1.260894,0.000000,665.299605,12.101470,21.857489,0.000000,126.140377,36.602241,6.299093,0.000000,0.000000,173.843731,8.057069,1.108819,45.793467,0.000000,5.175914,33.646990,0.000000,40.715045,0.000000,42.186862,35.193312,65.192679,0.000000,0.000000,0.000000,26.699256,0.000000,0.000000,6.187230,93.756041,0.000000,19.201182,402.097500,0.000000,42.803460,42.055908,17.930315,120.151080,142.195200,0,0,0,0,0

3,00:30-00:45,0.000000,57.163439,8.959460,6.516168,46.850834,138.471409,80.819424,0.000000,0.000000,408.077040,1.503714,0.000000,665.299605,12.101470,21.857489,0.000000,126.140377,36.602241,6.299093,0.000000,0.000000,173.843731,8.057069,1.108819,45.793467,0.000000,5.175914,33.646990,0.000000,40.715045,0.000000,42.186862,35.193312,65.192679,0.000000,0.000000,0.000000,26.699256,0.000000,0.000000,6.187230,93.756041,0.000000,19.201182,402.097500,0.000000,42.803460,42.055908,15.340965,120.151080,142.195200,0,0,0,0,0

4,00:45-01:00,0.000000,57.163439,8.959460,6.516168,46.850834,138.471409,80.819424,0.000000,0.000000,408.077040,1.662913,0.000000,665.299605,12.101470,21.857489,0.000000,126.140377,36.602241,6.299093,0.000000,0.000000,173.843731,8.057069,1.108819,45.793467,0.000000,5.175914,33.646990,0.000000,27.143364,0.000000,42.186862,35.193312,65.192679,0.000000,0.000000,0.000000,26.699256,0.000000,0.000000,6.187230,93.756041,0.000000,19.201182,402.097500,0.000000,42.803460,42.055908,12.441408,120.151080,142.195200,0,0,0,0,0

5,01:00-01:15,0.000000,57.163439,8.959460,6.516168,46.850834,138.471409,80.819424,0.000000,4.126840,408.077040,2.115801,0.000000,665.299605,12.101470,21.857489,0.000000,126.140377,36.602241,6.299093,0.000000,0.000000,173.843731,8.057069,1.066977,45.793467,0.000000,5.175914,33.646990,0.000000,27.143364,0.000000,42.186862,35.193312,65.192679,0.000000,0.000000,0.000000,26.699256,0.000000,0.000000,6.187230,93.756041,0.000000,19.201182,402.097500,0.000000,42.803460,42.055908,12.158128,120.151080,142.195200,0,0,0,0,0

