Block,Time Block,DHAULIGNGA,DADRT2,CHAMERA1,BSIUL,CHAMERA3,CHAMERA2,BRBCL,KKNP,KKNPPU2,KHSTPP-II,KHSTPP-I,KISHANGANGA,SALAL,SEWA2,SINGRAULI,SASAN,SIMHST1,SINGRAULI_HYDRO,SIMHST2,VALLURNTECL,URI,URI2,NJPC,NAPP,NLCEXP,NLCIIST1,FSTPP I & II,KGSU3AND4,DULHASTI,JHAJJAR,KGSU1AND2,KOTESHWR,MAPS,KUDGI,UNCHAHAR4,TANDA2,UNCHAHAR3,TALST2,TelanganaSTPP,TANAKPUR,UNCHAHAR2,TALA,TEHRI,UNCHAHAR1,KOLDAM,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,RIHAND1,RAPPB,RSTPSU1TO6,RAPPD,RSTPSU7,NLCIIST2,RAMPUR,RIHAND3,NLCTS2EXP,RAPPC,NNTPP,NTPL,PARBATI3,RIHAND2,PARBATI2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,10.54,662.61,40.56,18.82,33.71,46.97,19.25,0,0,142.71,43.81,8.3,61.51,18.19,144.67,399.8,0,0.94,0,0,47.81,37.11,106.5,24.42,0,0,17.51,0,57.26,412.51,0,10.04,0,0,1.64,5.31,26.64,0,0,0.24,42.35,0,11.66,20.82,9.23,0,0,0,0,0,0,0,0,0,0,0,0,82.88,0,0,0,0,0,4.17,125.86,0,65.98,0,0,32.49,119.88,21.69,0,0,0,0,0

2,00:15-00:30,10.54,662.61,40.56,18.82,33.71,46.97,17.09,0,0,142.71,43.81,8.3,76.39,18.19,144.67,400.56,0,0.94,0,0,47.81,37.11,106.5,24.42,0,0,17.51,0,57.26,412.51,0,10.04,0,0,1.64,5.31,26.64,0,0,0.24,42.35,0,11.66,20.82,9.23,0,0,0,0,0,0,0,0,0,0,0,0,82.88,0,0,0,0,0,4.17,125.86,0,65.98,0,0,32.49,119.88,21.69,0,0,0,0,0

3,00:30-00:45,10.54,662.61,40.56,18.82,33.71,46.97,15.39,0,0,142.71,43.81,8.3,76.39,18.19,144.67,400.56,0,0.94,0,0,47.81,37.11,106.5,24.42,0,0,17.51,0,57.26,412.51,0,10.04,0,0,1.64,5.31,26.64,0,0,0.24,42.35,0,0,20.82,9.23,0,0,0,0,0,0,0,0,0,0,0,0,82.88,0,0,0,0,0,4.17,125.86,0,65.98,0,0,36.91,119.88,21.69,0,0,0,0,0

4,00:45-01:00,10.54,662.61,40.56,18.82,33.71,46.97,15.12,0,0,142.71,43.81,8.3,76.39,18.19,144.67,400.56,0,0.94,0,0,47.81,37.11,106.5,24.42,0,0,17.51,0,57.26,412.51,0,10.04,0,0,1.64,5.31,26.64,0,0,0.24,42.35,0,0,20.82,9.23,0,0,0,0,0,0,0,0,0,0,0,0,82.88,0,0,0,0,0,4.17,125.86,0,65.98,0,0,36.91,119.88,21.69,0,0,0,0,0

5,01:00-01:15,10.54,662.61,40.56,18.82,33.71,46.97,13.81,0,0,142.71,43.81,8.3,76.39,18.19,144.67,400.56,0,0.94,0,0,47.81,35.1,106.5,24.42,0,0,17.51,0,57.26,412.51,0,10.04,0,0,1.64,5.31,26.64,0,0,6.03,42.35,0,0,20.82,9.23,0,0,0,0,0,0,0,0,0,0,0,0,82.88,0,0,0,0,0,4.17,125.86,0,65.98,0,0,36.91,119.88,21.69,0,0,0,0,0

