Column1,Block,NR/2024/24040/C,NR/2024/24041/C,GNA/NR/2024/11/01/4503,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2024/11/01/4200,GNA/NR/2024/11/01/9061,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/1868,NR/2024/23963/A/43769,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/3646,NR/2024/23809/A/43743,WR/2024/24788/A/43896,NR/2024/23769/A/43744,NR/30092023/26122029/SH-06,NR/2024/23420/A/43745,GNA/NR/2024/11/01/5474,NR/2024/23918/A/43742,Total
,,SJVNL,SJVNL,NDMC,DELHI,MANIKARAN,NDMC,APPCPL,NDMC,NDMC,NDMC,NDMC,DIAPL,BAWANA_GAS,PTC,IEXL,APPCPL,IEXL,PUNJAB,ITCLH,PTC,IEXL,
,,NA,NA,NA,HIMACHAL_STATE,DELHI_UT,NA,DELHI_UT,NA,NA,NA,NA,HIMACHAL_STATE,DELHI_UT,DELHI_UT,KARNATAKA_STATE,DELHI_UT,KARNATAKA_STATE,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,NA,
,,RSRPL_BKN,TPSL_BKN2,TRN_ENERGY,CHANJUII,BRPL,JPL2,BYPL,RKM_POWER,RKM_POWER,JITPL,SKS_Raigarh,GBHHPL,BAWANA_GAS,BYPL,NSLSTUNGBHDRA,BRPL,NSLSUGAR,BAWANA_GAS,ITCWIND,BRPL,TESPL_BKN2,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,HIMACHAL_STATE,DELHI_UT,GOA_State,DELHI_UT,PUNJAB_STATE,DELHI_UT,HIMACHAL_STATE,DELHI_UT,
,,NDMC,NDMC,NDMC,TPDDL,AEML,NDMC,AEML,NDMC,NDMC,NDMC,NDMC,DIAPL,HARYANA,HP,MES_Delhi,GOA_Beneficiary,MES_Delhi,PUNJAB,ITCLH,HP,MES_Delhi,
,,North-North,North-North,West-North,North-North,North-West,West-North,North-West,West-North,West-North,East-North,West-North,North-North,North-North,North-North,South-West-North,North-West,South-West-North,North-North,South-West-North,North-North,North-North,
1,00:00-00:15,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,32,47.56,4.8,0,5.76,0,0.48,142.69,0,348.03

2,00:15-00:30,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,32,47.56,4.8,0,5.76,0,0.48,142.69,0,348.03

3,00:30-00:45,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,32,47.56,4.8,0,5.76,0,0.48,142.69,0,348.03

4,00:45-01:00,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,32,47.56,4.8,0,5.76,0,0.48,142.69,0,348.03

5,01:00-01:15,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,32,47.56,4.8,0,5.76,0,0.48,142.69,0,348.03

6,01:15-01:30,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,32,47.56,4.8,0,5.76,0,0.48,142.69,0,348.03

7,01:30-01:45,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,32,47.56,4.8,0,5.76,0,0.48,142.69,0,348.03

8,01:45-02:00,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,32,47.56,4.8,0,5.76,0,0.48,142.69,0,348.03

9,02:00-02:15,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,32,47.56,4.8,0,5.76,0,0.48,142.69,0,348.03

10,02:15-02:30,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,32,47.56,4.8,0,5.76,0,0.48,142.69,0,348.03

11,02:30-02:45,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,32,47.56,4.8,0,5.76,0,0.48,142.69,0,348.03

12,02:45-03:00,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,32,47.56,4.8,0,5.76,0,0.48,142.69,0,348.03

13,03:00-03:15,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,0,47.56,4.8,0,5.76,0,0.43,142.69,0,315.98

14,03:15-03:30,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,0,47.56,4.8,0,5.76,0,0.43,142.69,0,315.98

15,03:30-03:45,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,0,47.56,4.8,0,5.76,0,0.43,142.69,0,315.98

16,03:45-04:00,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,0,47.56,4.8,0,5.76,0,0.43,142.69,0,315.98

17,04:00-04:15,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,0,47.56,4.8,0,5.76,0,0.43,142.69,0,315.98

18,04:15-04:30,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,0,47.56,4.8,0,5.76,0,0.43,142.69,0,315.98

19,04:30-04:45,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,0,47.56,4.8,0,5.76,0,0.43,142.69,0,315.98

20,04:45-05:00,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,0,47.56,4.8,0,5.76,0,0.43,142.69,0,315.98

21,05:00-05:15,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,0,47.56,4.8,0,5.76,0,0.43,142.69,0,315.98

22,05:15-05:30,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,0,47.56,4.8,0,5.76,0,0.43,142.69,0,315.98

23,05:30-05:45,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,0,47.56,4.8,0,5.76,0,0.43,142.69,0,315.98

24,05:45-06:00,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,0,47.56,4.8,0,5.76,0,0.43,142.69,0,315.98

25,06:00-06:15,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.43,0,0,125.73

26,06:15-06:30,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.43,0,0,125.73

27,06:30-06:45,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.43,0,0,125.73

28,06:45-07:00,0,0,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.43,0,0,125.73

29,07:00-07:15,0,0,8.64,2.38,0,31.69,0,31.69,31.69,17.29,8.64,0,0,0,4.8,0,5.76,0,0.58,0,0,143.16

30,07:15-07:30,0,0,8.64,2.38,0,31.69,0,31.69,31.69,17.29,8.64,0,0,0,4.8,0,5.76,0,0.58,0,0,143.16

31,07:30-07:45,0,0,8.64,2.38,0,31.69,0,31.69,31.69,17.29,8.64,0,0,0,4.8,0,5.76,0,0.58,0,0,143.16

32,07:45-08:00,0,0,8.64,2.38,0,31.69,0,31.69,31.69,17.29,8.64,0,0,0,4.8,0,5.76,0,0.58,0,0,143.16

33,08:00-08:15,0,0,8.64,2.38,0,36.5,0,36.5,36.5,17.29,8.64,0,0,0,4.8,0,5.76,0,0.96,0,0,157.97

34,08:15-08:30,0,0,8.64,2.38,0,36.5,0,36.5,36.5,17.29,8.64,0,0,0,4.8,0,5.76,0,0.96,0,0,157.97

35,08:30-08:45,0,0,8.64,2.38,0,36.5,0,36.5,36.5,17.29,8.64,0,0,0,4.8,0,5.76,0,0.96,0,0,157.97

36,08:45-09:00,0,0,8.64,2.38,0,36.5,0,36.5,36.5,17.29,8.64,0,0,0,4.8,0,5.76,0,0.96,0,0,157.97

37,09:00-09:15,30.16,22.67,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.86,0,3.84,182.83

38,09:15-09:30,26.03,26.8,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.86,0,3.84,182.83

39,09:30-09:45,22.09,30.73,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.86,0,3.84,182.82000000000002

40,09:45-10:00,22.09,30.73,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.86,0,3.84,182.82000000000002

41,10:00-10:15,22.09,30.73,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.86,0,4.8,183.78000000000003

42,10:15-10:30,22.09,30.73,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.86,0,4.8,183.78000000000003

43,10:30-10:45,22.09,30.73,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.86,0,4.8,183.78000000000003

44,10:45-11:00,22.09,30.73,8.64,2.38,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.86,0,4.8,183.78000000000003

45,11:00-11:15,22.09,30.73,8.64,2.3,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.86,0,6.72,185.62000000000003

46,11:15-11:30,22.09,30.73,8.64,2.3,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.86,0,6.72,185.62000000000003

47,11:30-11:45,22.09,30.73,8.64,2.3,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.86,0,6.72,185.62000000000003

48,11:45-12:00,22.09,30.73,8.64,2.3,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.86,0,6.72,185.62000000000003

49,12:00-12:15,22.09,30.73,8.64,2.3,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.86,0,6.72,185.62000000000003

50,12:15-12:30,22.09,30.73,8.64,2.3,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.86,0,6.72,185.62000000000003

51,12:30-12:45,22.09,30.73,8.64,2.3,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.86,0,6.72,185.62000000000003

52,12:45-13:00,22.09,30.73,8.64,2.3,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.86,0,6.72,185.62000000000003

53,13:00-13:15,22.09,30.73,8.64,2.3,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.77,0,5.76,184.57000000000002

54,13:15-13:30,22.09,30.73,8.64,2.3,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.77,0,5.76,184.57000000000002

55,13:30-13:45,22.09,30.73,8.64,2.3,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.77,0,5.76,184.57000000000002

56,13:45-14:00,22.09,30.73,8.64,2.3,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.77,0,5.76,184.57000000000002

57,14:00-14:15,22.09,30.73,8.64,2.3,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.96,0,4.8,183.80000000000004

58,14:15-14:30,22.09,30.73,8.64,2.3,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.96,0,4.8,183.80000000000004

59,14:30-14:45,22.09,30.73,8.64,2.3,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.96,0,4.8,183.80000000000004

60,14:45-15:00,22.09,30.73,8.64,2.3,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.96,0,4.8,183.80000000000004

61,15:00-15:15,22.09,30.73,8.64,2.3,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.86,0,4.8,183.70000000000005

62,15:15-15:30,22.09,30.73,8.64,2.3,0,25.93,0,25.93,25.93,17.29,8.64,0,0,0,4.8,0,5.76,0,0.86,0,4.8,183.70000000000005

63,15:30-15:45,24.68,28.14,8.64,2.3,0,25.93,0,25.93,25.93,17.29,8.64,0.96,0,0,4.8,0,5.76,0,0.86,0,4.8,184.66000000000005

64,15:45-16:00,28.91,23.91,8.64,2.3,0,25.93,0,25.93,25.93,17.29,8.64,0.96,0,0,4.8,0,5.76,0,0.86,0,4.8,184.66000000000005

65,16:00-16:15,26.31,19.5,8.64,2.3,0,31.69,0,31.69,31.69,17.29,8.64,0.96,0,0,4.8,0,5.76,0,0.77,0,2.88,192.92000000000002

66,16:15-16:30,17.58,15.08,8.64,2.3,0,31.69,0,31.69,31.69,17.29,8.64,0.96,0,0,4.8,0,5.76,0,0.77,0,2.88,179.76999999999998

67,16:30-16:45,10.08,10.76,8.64,2.3,0,36.5,0,36.5,36.5,17.29,8.64,0.96,0,0,4.8,0,5.76,0,0.77,0,2.88,182.38

68,16:45-17:00,2.79,7.11,8.64,2.3,0,36.5,0,36.5,36.5,17.29,8.64,0.96,0,0,4.8,0,5.76,0,0.77,0,2.88,171.44

69,17:00-17:15,0,0,8.64,2.3,0,36.5,0,36.5,36.5,17.29,8.64,1.92,0,0,4.8,0,5.76,0,0.58,0,0.96,160.39000000000001

70,17:15-17:30,0,0,8.64,2.3,0,36.5,0,36.5,36.5,17.29,8.64,1.92,0,0,4.8,0,5.76,0,0.58,0,0.96,160.39000000000001

71,17:30-17:45,0,0,8.64,2.3,0,36.5,0,36.5,36.5,17.29,8.64,1.92,0,0,4.8,0,5.76,0,0.58,0,0.96,160.39000000000001

72,17:45-18:00,0,0,8.64,2.3,0,36.5,0,36.5,36.5,17.29,8.64,1.92,0,0,4.8,0,5.76,0,0.58,0,0.96,160.39000000000001

73,18:00-18:15,0,0,8.64,2.38,50,36.5,150,36.5,36.5,17.29,8.64,1.92,0,0,4.8,38.42,5.76,0,0.62,0,0,397.97

74,18:15-18:30,0,0,8.64,2.38,50,36.5,150,36.5,36.5,17.29,8.64,1.92,0,0,4.8,38.42,5.76,0,0.62,0,0,397.97

75,18:30-18:45,0,0,8.64,2.38,50,36.5,150,36.5,36.5,17.29,8.64,1.92,0,0,4.8,38.42,5.76,0,0.62,0,0,397.97

76,18:45-19:00,0,0,8.64,2.38,50,36.5,150,36.5,36.5,17.29,8.64,1.92,0,0,4.8,38.42,5.76,0,0.62,0,0,397.97

77,19:00-19:15,0,0,8.64,2.38,50,36.5,150,36.5,36.5,17.29,8.64,1.92,0,0,4.8,38.42,5.76,0,0.62,0,0,397.97

78,19:15-19:30,0,0,8.64,2.38,50,36.5,150,36.5,36.5,17.29,8.64,0.96,0,0,4.8,38.42,5.76,0,0.62,0,0,397.01

79,19:30-19:45,0,0,8.64,2.38,50,36.5,150,36.5,36.5,17.29,8.64,0.96,0,0,4.8,38.42,5.76,0,0.62,0,0,397.01

80,19:45-20:00,0,0,8.64,2.38,50,36.5,150,36.5,36.5,17.29,8.64,0.96,0,0,4.8,38.42,5.76,0,0.62,0,0,397.01

81,20:00-20:15,0,0,8.64,2.38,50,34.57,200,34.57,34.57,17.29,8.64,0.96,0,0,4.8,38.42,5.76,0,0.62,0,0,441.22

82,20:15-20:30,0,0,8.64,2.38,50,34.57,200,34.57,34.57,17.29,8.64,0.96,0,0,4.8,38.42,5.76,0,0.62,0,0,441.22

83,20:30-20:45,0,0,8.64,2.38,50,34.57,200,34.57,34.57,17.29,8.64,0.96,0,0,4.8,38.42,5.76,0,0.62,0,0,441.22

84,20:45-21:00,0,0,8.64,2.38,50,34.57,200,34.57,34.57,17.29,8.64,0.96,0,0,4.8,38.42,5.76,0,0.62,0,0,441.22

85,21:00-21:15,0,0,8.64,2.38,50,34.57,200,34.57,34.57,17.29,8.64,0.96,0,0,4.8,38.42,5.76,0,0.62,0,0,441.22

86,21:15-21:30,0,0,8.64,2.38,50,34.57,200,34.57,34.57,17.29,8.64,0.96,0,0,4.8,38.42,5.76,0,0.62,0,0,441.22

