Block,Time,NR/01102023/25122043/GNA_MEJA_DELHI,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/23072042/L_NR_2012_04,NR/01102023/19072037/LT-05,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,NR/03112023/30112023/HPX-TAMDLY-011123-05147,NR/01112023/30112023/HP-10,NR/03112023/30112023/IEX-231101-05680,NR/01102023/06022042/L_NR_2012_07,NR/01112023/30112023/HP-09,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_02,NR/01102023/05012040/L_NR_2020_02,NR/26072023/25122043/L_NR_2023_10,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01112023/30112023/KSEB_BYPL-NOV23,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02012046/L_NR_2021_17,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,NR/01102023/14082046/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/21112023/30112023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02122045/L_NR_2021_13
1,00:00-00:15,0.000000,26.020000,1.400000,0.000000,24.100000,149.130000,71.730000,1.690000,0.000000,48.200000,26.020000,48.200000,98.350000,48.200000,31.820000,76.640000,0.000000,108.940000,2.000000,0,15.05,0,144.62,36.77,0,30,0,10,0,0,9.9,0,96.410000,10,0,0,0,0,36.77,0,0,0

2,00:15-00:30,0.000000,26.020000,1.400000,0.000000,24.100000,149.130000,71.730000,1.690000,0.000000,48.200000,26.020000,48.200000,98.350000,48.200000,31.820000,76.640000,0.000000,108.940000,2.000000,0,14.61,0,144.62,36.7,0,30,0,10,0,0,9.81,0,96.410000,10,0,0,0,0,36.7,0,0,0

3,00:30-00:45,0.000000,26.020000,1.400000,0.000000,24.100000,149.130000,71.730000,1.690000,0.000000,48.200000,26.020000,48.200000,98.350000,48.200000,31.820000,76.640000,0.000000,108.940000,2.000000,0,14.31,0,144.62,36.64,0,30,0,10,0,0,9.27,0,96.410000,10,0,0,0,0,36.64,0,0,0

4,00:45-01:00,0.000000,26.020000,1.400000,0.000000,24.100000,149.130000,71.730000,1.690000,0.000000,48.200000,26.020000,48.200000,98.350000,48.200000,31.820000,76.640000,0.000000,108.940000,2.000000,0,13.85,0,144.62,36.55,0,30,0,10,0,0,8.99,0,96.410000,10,0,0,0,0,36.55,0,0,0

5,01:00-01:15,0.000000,26.020000,1.400000,0.000000,24.100000,149.130000,71.730000,1.610000,0.000000,48.200000,26.020000,48.200000,98.350000,48.200000,31.820000,76.640000,0.000000,108.940000,2.000000,0,18.85,0,144.62,19.15,0,30,0,10,0,0,8.43,0,96.410000,10,0,0,0,0,19.15,0,0,0

6,01:15-01:30,0.000000,26.020000,1.400000,0.000000,24.100000,149.130000,71.730000,1.610000,0.000000,48.200000,26.020000,48.200000,98.350000,48.200000,31.820000,76.640000,0.000000,108.940000,2.000000,0,18.65,0,144.62,19.7,0,22.88,0,7.62,0,0,8.47,0,96.410000,7.63,0,0,0,0,19.7,0,0,0

7,01:30-01:45,0.000000,26.020000,1.400000,0.000000,24.100000,149.130000,71.730000,1.610000,0.000000,48.200000,26.020000,48.200000,98.350000,48.200000,31.820000,76.640000,0.000000,108.940000,2.000000,0,18.45,0,144.62,19.54,0,23.17,0,7.72,0,0,7.47,0,96.410000,7.73,0,0,0,0,19.54,0,0,0

8,01:45-02:00,0.000000,26.020000,1.400000,0.000000,24.100000,149.130000,71.730000,1.610000,0.000000,48.200000,26.020000,48.200000,98.350000,48.200000,31.820000,76.640000,0.000000,108.940000,2.000000,0,18.3,0,144.62,18.14,0,23.51,0,7.84,0,0,7.36,0,96.410000,7.83,0,0,0,0,18.14,0,0,0

9,02:00-02:15,0.000000,26.020000,1.400000,0.000000,24.100000,149.130000,71.730000,1.610000,0.000000,48.200000,26.020000,48.200000,98.350000,48.200000,31.820000,76.640000,0.000000,108.940000,2.000000,0,17.85,0,144.62,18.44,0,23.6,0,7.87,0,0,7.17,0,96.410000,7.86,0,0,0,0,18.44,0,0,0

10,02:15-02:30,0.000000,26.020000,1.400000,0.000000,24.100000,149.130000,71.730000,1.610000,0.000000,48.200000,26.020000,48.200000,98.350000,48.200000,31.820000,76.640000,0.000000,108.940000,2.000000,0,17.55,0,144.62,18.69,0,24,0,8,0,0,7.07,0,96.410000,7.99,0,0,0,0,18.69,0,0,0

11,02:30-02:45,0.000000,26.020000,1.400000,0.000000,24.100000,149.130000,71.730000,1.610000,0.000000,48.200000,26.020000,48.200000,98.350000,48.200000,31.820000,76.640000,0.000000,108.940000,2.000000,0,17.25,0,144.62,19.17,0,24.15,0,8.05,0,0,6.95,0,96.410000,8.05,0,0,0,0,19.17,0,0,0

12,02:45-03:00,0.000000,26.020000,1.400000,0.000000,24.100000,149.130000,71.730000,1.610000,0.000000,48.200000,26.020000,48.200000,98.350000,48.200000,31.820000,76.640000,0.000000,108.940000,2.000000,0,16.85,0,144.62,18.8,0,24.41,0,8.14,0,0,6.91,0,96.410000,8.13,0,0,0,0,18.8,0,0,0

13,03:00-03:15,0.000000,26.020000,1.320000,0.000000,24.100000,149.130000,71.730000,1.610000,0.000000,48.200000,26.020000,48.200000,98.350000,48.200000,31.820000,76.640000,0.000000,108.940000,2.000000,0,16.65,0,144.62,19.52,0,24.86,0,8.28,0,0,6.88,0,96.410000,8.29,0,0,0,0,19.52,0,0,0

14,03:15-03:30,0.000000,26.020000,1.320000,0.000000,24.100000,149.130000,71.730000,1.610000,0.000000,48.200000,26.020000,48.200000,98.350000,48.200000,31.820000,76.640000,0.000000,108.940000,2.000000,0,16.47,0,144.62,19.71,0,25.5,0,8.5,0,0,6.86,0,96.410000,8.5,0,0,0,0,19.71,0,0,0

15,03:30-03:45,0.000000,26.020000,1.320000,0.000000,23.140000,149.130000,71.730000,1.610000,0.000000,48.200000,26.020000,48.200000,98.350000,48.200000,31.290000,76.640000,0.000000,110.870000,2.000000,0,16.29,0,144.62,20.09,0,25.77,0,8.59,0,0,6.82,0,96.410000,8.6,0,0,0,0,20.09,0,0,0

16,03:45-04:00,0.000000,26.020000,1.320000,0.000000,23.140000,149.130000,71.730000,1.610000,0.000000,48.200000,26.020000,48.200000,98.350000,48.200000,31.290000,76.640000,0.000000,110.870000,2.000000,0,16.11,0,144.62,21.17,0,26.08,0,8.69,0,0,6.79,0,96.410000,8.71,0,0,0,0,21.17,0,0,0

17,04:00-04:15,0.000000,26.020000,1.320000,0.000000,23.140000,149.130000,71.730000,1.530000,0.000000,50.130000,26.020000,48.200000,98.350000,48.200000,31.290000,76.640000,0.000000,110.870000,2.000000,0,16.02,0,144.62,16.75,0,22.5,0,7.5,0,0,6.66,0,96.410000,7.5,0,0,0,0,16.75,0,0,0

18,04:15-04:30,0.000000,26.020000,1.320000,0.000000,23.140000,149.130000,71.730000,1.530000,0.000000,50.130000,26.020000,48.200000,98.350000,48.200000,31.290000,76.640000,0.000000,110.870000,2.000000,0,16.06,0,144.62,16.77,0,22.5,0,7.5,0,0,6.66,0,96.410000,7.5,0,0,0,0,16.77,0,0,0

