Time,Block,NR/2023/12813/F,NR/2023/11447/A,NR/2023/12923/F,NR/2023/12917/F,NR/2023/12906/F,NR/2023/12872/F,NR/2023/12814/F,NR/2023/10432/A,NR/2023/12922/F,NR/2023/10947/A,NR/2023/13115/C,NR/2023/12915/F,NR/2023/10651/A,NR/2023/12921/F,NR/2023/12916/F,NR/2023/11266/A,SR/2023/5873/C,SR/2023/5870/C,NR/2023/13084/D,NR/2023/12661/A,ER/2023/7999/C,NR/2023/10435/A,NR/2023/13126/C,NR/2023/12924/F,NR/2023/12919/F,NR/2023/11712/A,NR/2023/10956/A,NR/2023/11709/A,NR/2023/13106/D,NR/2023/13110/C,NR/2023/10460/A,NR/2023/12169/A,NR/2023/12956/F,NR/2023/10436/A,NR/2023/13127/C,NR/2023/10561/A,NR/2023/10720/A,NR/2023/10959/A,NR/2023/12706/A,NR/2023/10786/A,NR/2023/13103/D,ER/2023/7996/C,NR/2023/13108/D,NR/2023/11953/A,NR/2023/10488/A,NR/2023/11507/A,ER/2023/7990/C,NR/2023/12920/F,NR/2023/13125/C,NR/2023/13101/D,Total
,,MANIKARAN,TPTCL,SHPPBPL,SHPPBPL,SJVNL,ITCLH,MANIKARAN,TPTCL,SHPPBPL,APPCPL,TPDDL,SHPPBPL,KEIPL,SHPPBPL,SHPPBPL,TPTCL,IEXL,HPXL,TPTCL,NVVNL,IEXL,NVVNL,PXIL,SHPPBPL,SHPPBPL,MANIKARAN,NVVNL,MANIKARAN,TS1PL_BKN,GBHHPL,GMRETL,APPCPL,IEXL,APPCPL,PXIL,PTC,KEIPL,NVVNL,HPXL,STATKRAFT,NVVNL,HPXL,TS1PL_BKN,KEIPL,TPTCL,TPTCL,PXIL,SHPPBPL,IEXL,NVVNL,Total

,,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,WEST BENGAL,ANDHRA PRADESH,HIMACHAL PRADESH,ODISHA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,DELHI,DELHI,HIMACHAL PRADESH,NA,DELHI,NA,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,NA,TAMIL NADU,NA,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,JAMMU AND KASHMIR,MEGHALAYA,DELHI,NA,TAMIL NADU,NA,MAHARASHTRA,TAMIL NADU,NA,DELHI,NA,MEGHALAYA,NA,NA,DELHI,HIMACHAL PRADESH,DELHI,NA,
,,HP,HP-GOVT,SHPPBPL,SHPPBPL,IPCL_WB,ITCWIND,HP,NBVLIPP,SHPPBPL,HP,CHANJUII,SHPPBPL,Meghalaya_Ben,SHPPBPL,SHPPBPL,KWHEP,BRPL,BYPL,HP-GOVT,SKS Raigarh,BRPL,SEIL,BYPL,SHPPBPL,SHPPBPL,TANGEDCO,JPNIGRIE_JNSTPP,TANGEDCO,TS1PL_BKN,GBHHPL,Meghalaya_Ben,HP,SAPU1234,Meghalaya_Ben,BYPL,JPNIGRIE_JNSTPP,TANGEDCO,KAMENG,B_S_ISPAT_MH,TANGEDCO,KAMENG,BYPL,TS1PL_BKN,Meghalaya_Ben,APNRL,JPL,BYPL,SHPPBPL,BYPL,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ANDHRA PRADESH,ANDHRA PRADESH,DELHI,DELHI,ODISHA,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,UTTAR PRADESH,DELHI,
,,BRPL,BRPL,MHIL,BAL234,NDMC,ITCLH,BRPL,TPDDL,JHPL-DL,BYPL,TPDDL,BAL184,BYPL,MAX-HPTL,BAL224,BRPL,APCPDCL,APCPDCL,BRPL,NDMC,VLSEZ,TPDDL,TISCL_UP,UHL,AISHER,BRPL,BRPL,BRPL,BRPL,DIAPL,BYPL,BRPL,MES (Delhi),BYPL,ASIL_UP,TPDDL,BYPL,BRPL,NDMC,BYPL,TPDDL,VLSEZ,BYPL,BYPL,TPDDL,BRPL,JSPLBarbil,BMDRC,AMBASTL,MES (Delhi),
,,North-North,North-North,North-North,North-North,East-North,South-West-North,North-North,East-North,North-North,North-North,North-North,North-North,North East-East-North,North-North,North-North,North-North,North-East-South,North-East-South,North-North,West-North,North-East,South-West-North,North-North,North-North,North-North,South-West-North,West-North,South-West-North,North-North,North-North,North East-East-North,North-North,North-North,North East-East-North,North-North,West-North,South-West-North,North East-East-North,West-North,South-West-North,North East-East-North,North-East,North-North,North East-East-North,East-North,West-North,North-East,North-North,North-North,West-North,
1,00:00-00:15,62.890000,14.960000,0.420000,0.720000,0.000000,0.480000,78.370000,43.540000,0.700000,27.860000,17.370000,0.360000,63.130000,0.640000,0.370000,17.200000,0.00,0.00,42.640000,62.890000,100.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,23.160000,0,29.560000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,98.680000,20.050000,100.000000,0,36.500000,48.380000,300.400000,0.000000,0.640000,0.000000,0,1602.72

2,00:15-00:30,62.890000,14.960000,0.420000,0.720000,0.000000,0.480000,78.370000,43.540000,0.700000,27.860000,17.370000,0.360000,63.130000,0.640000,0.370000,17.200000,0.00,0.00,42.640000,62.890000,100.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,23.160000,0,29.560000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,98.680000,20.050000,100.000000,0,36.500000,48.380000,300.400000,0.000000,0.640000,0.000000,0,1602.72
