Column1,Block,NR/2025/24686/C,NR/2024/24434/A/47856,NR/2025/24687/C,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/02/1250,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/8738,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/6775,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/01/3514,NER/2024/2820/A/48103,NR/2024/24566/A/47852,NR/30092023/26122029/SH-06,NR/2025/24685/C,WR/2024/25501/A/48112,NR/2024/24418/A/47850,NR/2024/24507/A/48099,NR/2024/24435/A/47857,NR/2025/24681/C,NR/2024/24508/A/48102,NR/2025/24688/C,NR/2024/24614/A/48104,SR/2024/15456/A/47851,NR/2025/24684/C,Total
,,SJVNL,IEXL,SJVNL,MANIKARAN,APPCPL,HPXL,IEXL,TPTCL,PXIL,IEXL,NDMC,IEXL,IEXL,DELHI,NDMC,NDMC,BAWANA_GAS,NDMC,HPXL,APPCPL,IEXL,PUNJAB,NVVNL,APPCPL,ITCLH,NVVNL,IEXL,TPDDL,NVVNL,SJVNL,NVVNL,IEXL,NVVNL,
,,NA,NA,NA,DELHI_UT,DELHI_UT,NA,NA,DELHI_UT,NA,ODISHA_STATE,NA,NA,MP_State,HIMACHAL_STATE,NA,NA,DELHI_UT,NA,NA,DELHI_UT,TELANGANA_State,DELHI_UT,NA,DELHI_UT,ANDHRA_PRADESH_STATE,NA,KARNATAKA_STATE,NA,NA,UTTARPRADESH_STATE,NA,DELHI_UT,NA,
,,RSRPL_BKN,TESPL_BKN2,TPSL_BKN2,BRPL,BYPL,JPNIGRIE_JNSTPP,SKS_Raigarh,BYPL,JPNIGRIE_JNSTPP,NBVLIPP,RKM_POWER,JPNIGRIE_JNSTPP,JP_BINA,CHANJUII,JPL2,RKM_POWER,BAWANA_GAS,SKS_Raigarh,SKS_Raigarh,BYPL,NSLKSLWPRTY,BAWANA_GAS,JIPL,BRPL,ITCWIND,JIPL,NSLSUGARALAND,JHAJJAR,TRN_ENERGY,BCMLUH,TRN_ENERGY,BYPL,TRN_ENERGY,
,,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,MSEB_State,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,Manipur_State,DELHI_UT,PUNJAB_STATE,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,
,,NDMC,MES_Delhi,NDMC,AEML,AEML,BRPL,BRPL,TPC_MSEB,BRPL,BRPL,NDMC,BRPL,BRPL,TPDDL,NDMC,NDMC,HARYANA,NDMC,BRPL,Manipur_Ben,MES_Delhi,PUNJAB,NDMC,GOA_Beneficiary,ITCLH,NDMC,MES_Delhi,TPDDL,NDMC,NDMC,NDMC,TANGEDCO,NDMC,
,,North-North,North-North,North-North,North-West,North-West,West-North,West-North,North-West,West-North,East-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,West-North,West-North,North-East-North East,South-West-North,North-North,East-North,North-West,South-West-North,East-North,South-West-North,North-North,West-North,North-North,West-North,North-West-South,West-North,
1,00:00-00:15,0,0,0,0,0,47.8,47.8,0,28.68,20.07,25.81,26.77,47.8,1.64,25.81,25.81,0,8.6,19.12,0,5.74,0,0,0,0.38,17.21,9.56,0,8.69,0,0,0,0,367.29

2,00:15-00:30,0,0,0,0,0,47.8,47.8,0,28.68,20.07,25.81,26.77,47.8,1.64,25.81,25.81,0,8.6,19.12,0,5.74,0,0,0,0.38,17.21,9.56,0,8.69,0,0,0,0,367.29

3,00:30-00:45,0,0,0,0,0,47.8,47.8,0,28.68,20.07,25.81,26.77,47.8,1.64,25.81,25.81,0,8.6,19.12,0,5.74,0,0,0,0.38,17.21,9.56,0,8.69,0,0,0,0,367.29

4,00:45-01:00,0,0,0,0,0,47.8,47.8,0,28.68,20.07,25.81,26.77,47.8,1.64,25.81,25.81,0,8.6,19.12,0,5.74,0,0,0,0.38,17.21,9.56,0,8.69,0,0,0,0,367.29

5,01:00-01:15,0,0,0,0,0,47.8,47.8,0,28.68,20.07,25.81,26.77,47.8,1.64,25.81,25.81,0,8.6,19.12,0,5.74,0,0,0,0.38,17.21,9.56,0,8.69,0,0,0,0,367.29

6,01:15-01:30,0,0,0,0,0,47.8,47.8,0,28.68,20.07,25.81,26.77,47.8,1.64,25.81,25.81,0,8.6,19.12,0,5.74,0,0,0,0.38,17.21,9.56,0,8.69,0,0,0,0,367.29

7,01:30-01:45,0,0,0,0,0,47.8,47.8,0,28.68,20.07,25.81,26.77,47.8,1.64,25.81,25.81,0,8.6,19.12,0,5.74,0,0,0,0.38,17.21,9.56,0,8.69,0,0,0,0,367.29

8,01:45-02:00,0,0,0,0,0,47.8,47.8,0,28.68,20.07,25.81,26.77,47.8,1.64,25.81,25.81,0,8.6,19.12,0,5.74,0,0,0,0.38,17.21,9.56,0,8.69,0,0,0,0,367.29

9,02:00-02:15,0,0,0,0,0,47.8,47.8,0,28.68,20.07,25.81,26.77,47.8,1.55,25.81,25.81,0,8.6,19.12,0,5.74,0,0,0,0.38,17.21,9.56,0,8.69,0,0,0,0,367.20000000000005

