Block,Time,KISHANGANGA,RAPPB,DADRT2,DADRI_LF,AURY_LF,RAMPUR,KOTESHWR,CHAMERA1,SEWA2,NJPC,DHAULIGNGA,RIHAND2,PARBATI3,UNCHAHAR3,AURY_GF,SINGRAULI,URI,DADRI_GF,DADRI_RF,ANTA_RF,URI2,AURY_CRF,KOLDAM,ANTA_GF,RAPPC,SALAL,BSIUL,ANTA_CRF,RIHAND1,DULHASTI,CHAMERA2,TANAKPUR,TEHRI,TANDA2,CHAMERA3,ANTA_LF,UNCHAHAR4,NAPP,SASAN,UNCHAHAR2,DADRI_CRF,BRBCL,AURY_RF,KHSTPP-I,FSTPP I & II,JHAJJAR,KHSTPP-II,UNCHAHAR1,SINGRAULI_HYDRO,TALA,RIHAND3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,361.053000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.695312,0.000000,14.264250,0.000000,120.877969,3.187800,0.000000,0.000000,0.000000,7.509579,0.000000,0.000000,0.000000,52.276455,6.710550,0.000000,0.000000,83.737500,1.852331,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.043155,335.888438,23.534505,0.000000,16.654902,0.000000,24.582250,12.320000,232.944250,78.463000,9.276575,0.626029,0.000000,59.511375,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,361.053000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.695312,0.000000,14.264250,0.000000,120.877969,4.250400,0.000000,0.000000,0.000000,16.054962,0.000000,0.000000,0.000000,52.276455,1.342110,0.000000,0.000000,83.737500,1.852331,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.043155,335.888438,22.503250,0.000000,17.068475,0.000000,24.582250,12.320000,232.944250,78.463000,9.276575,0.626029,0.000000,59.511375,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,361.053000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.695312,0.000000,14.264250,0.000000,120.877969,37.191000,0.000000,0.000000,0.000000,16.054962,0.000000,0.000000,0.000000,52.276455,1.342110,0.000000,0.000000,83.737500,1.852331,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.043155,335.888438,22.503250,0.000000,18.639875,0.000000,29.669640,12.320000,232.944250,94.315471,9.276575,0.626029,0.000000,59.511375,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,361.053000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.695312,0.000000,14.264250,0.000000,120.877969,37.191000,0.000000,0.000000,0.000000,16.054962,0.000000,0.000000,0.000000,52.276455,1.342110,0.000000,0.000000,83.737500,1.852331,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.043155,335.888438,22.503250,0.000000,15.475293,0.000000,29.669640,12.320000,232.944250,94.315471,9.276575,0.626029,0.000000,59.511375,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,361.053000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.695312,0.000000,14.264250,0.000000,120.877969,4.781700,0.000000,0.000000,0.000000,16.054962,0.000000,0.000000,0.000000,52.276455,1.342110,0.000000,0.000000,83.737500,1.852331,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.043155,335.888438,22.503250,0.000000,14.912465,0.000000,29.669640,12.320000,232.944250,94.315471,9.276575,0.626029,0.000000,59.511375,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,361.053000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.695312,0.000000,14.264250,0.000000,120.877969,3.187800,0.000000,0.000000,0.000000,16.054962,0.000000,0.000000,0.000000,52.276455,1.342110,0.000000,0.000000,83.737500,1.852331,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.043155,335.888438,22.503250,0.000000,14.068577,0.000000,29.669640,12.320000,232.944250,94.315471,9.276575,0.626029,0.000000,59.511375,0,0,0,0,0

7,01:30-01:45,0.000000,0.000000,361.053000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.695312,0.000000,14.264250,0.000000,120.877969,3.187800,0.000000,0.000000,0.000000,16.054962,0.000000,0.000000,0.000000,52.276455,1.342110,6.276270,0.000000,83.737500,1.852331,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.043155,335.888438,22.503250,0.000000,12.402078,0.000000,29.669640,12.320000,232.944250,94.315471,9.276575,0.626029,0.000000,59.511375,0,0,0,0,0

8,01:45-02:00,0.000000,0.000000,361.053000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.695312,0.000000,14.264250,0.000000,120.877969,3.187800,0.000000,0.000000,0.000000,4.531642,0.000000,0.000000,0.000000,52.276455,1.342110,6.276270,0.000000,83.737500,1.852331,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.043155,335.888438,22.503250,0.000000,13.918113,0.000000,29.669640,12.320000,232.944250,94.315471,9.276575,0.626029,0.000000,59.511375,0,0,0,0,0

