Time,Block,NR/2023/17919/C,WR/2023/17681/A,NR/2023/17496/F,NR/2023/17344/F,WR/2023/19090/A,NR/2023/17917/C,NR/2023/17165/A,NR/2023/17263/F,WR/2023/17681/A/II,NR/2023/17404/F,NR/2023/17402/F,NR/2023/14875/A,NR/2023/17918/C,NR/2023/17923/C,Total
,,TPDDL,MANIKARAN,IEXL,ITCLH,TPTCL,NVVNL,NVVNL,APPCPL,MANIKARAN,MANIKARAN,MANIKARAN,APPCPL,SJVNL,SJVNL,Total

,,HIMACHAL PRADESH,DELHI,KARNATAKA,ANDHRA PRADESH,DELHI,NA,NA,DELHI,DELHI,DELHI,DELHI,DELHI,NA,NA,
,,CHANJUII,BYPL,NSLSUGAR,ITCWIND,BYPL,SOLAPUR_SOLAR,SKS Raigarh,BRPL,BYPL,BRPL,BRPL,BYPL,SORANG_HEP,RSRPL_BKN,
,,DELHI,MAHARASHTRA,DELHI,DELHI,MAHARASHTRA,DELHI,DELHI,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,DELHI,
,,TPDDL,AEML,MES (Delhi),ITCLH,TPC MSEB,MES (Delhi),NDMC,HP,AEML,HP,HP,HP,NDMC,NDMC,
,,North-North,North-West,South-East-North,South-West-North,North-West,West-North,West-North,North-North,North-East-West,North-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,4.060000,100.000000,6.770000,0.580000,0.000000,0,62.840000,179.140000,0.000000,20.400000,0.000000,76.880000,0.000000,0,450.67

2,00:15-00:30,4.060000,100.000000,6.770000,0.580000,0.000000,0,62.840000,179.140000,0.000000,20.400000,0.000000,76.880000,0.000000,0,450.67

3,00:30-00:45,4.060000,100.000000,6.770000,0.580000,0.000000,0,62.840000,179.140000,0.000000,20.400000,0.000000,76.880000,0.000000,0,450.67

4,00:45-01:00,4.060000,100.000000,6.770000,0.580000,0.000000,0,62.840000,179.140000,0.000000,20.400000,0.000000,76.880000,0.000000,0,450.67

5,01:00-01:15,4.060000,100.000000,6.770000,0.530000,0.000000,0,62.840000,179.140000,0.000000,20.400000,0.000000,76.880000,0.000000,0,450.62

