Block,Time,FSTPP I & II,KHSTPP-I,KHSTPP-II,TALA,SASAN,BRBCL,DULHASTI,DADRI_LF,KOTESHWR,AURY_LF,CHAMERA3,JHAJJAR,SINGRAULI,SINGRAULI_HYDRO,PARBATI3,ANTA_LF,DHAULIGNGA,URI,DADRI_RF,UNCHAHAR1,AURY_GF,UNCHAHAR3,RIHAND2,CHAMERA2,TANAKPUR,DADRI_CRF,KOLDAM,URI2,DADRI_GF,DADRT2,UNCHAHAR2,NJPC,RIHAND3,BSIUL,RAMPUR,SALAL,SEWA2,RIHAND1,RAPPC,NAPP,CHAMERA1,RAPPB,ANTA_GF,AURY_RF,TANDA2,ANTA_CRF,TEHRI,ANTA_RF,KISHANGANGA,UNCHAHAR4,AURY_CRF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,13.718475,44.668394,141.768068,0.000000,335.958232,14.440501,0.000000,0.000000,8.068389,0.000000,0.000000,404.507382,134.113737,0.644576,0.000000,0.000000,0.000000,40.387190,0.000000,8.441242,0.000000,20.428109,113.718938,0.000000,5.426162,0.000000,0.000000,30.707610,0.000000,399.285027,32.811126,0.000000,119.052897,6.277574,0.000000,12.305231,15.214557,88.568400,51.920818,42.051891,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,13.718475,44.668394,141.768068,0.000000,335.958232,14.440501,0.000000,0.000000,8.068389,0.000000,0.000000,404.507382,134.113737,0.644576,0.000000,0.000000,0.000000,40.387190,0.000000,8.441242,0.000000,20.428109,113.718938,0.000000,5.426162,0.000000,0.000000,30.707610,0.000000,431.560504,32.811126,0.000000,119.052897,6.277574,0.000000,12.305231,15.214557,88.568400,51.920818,42.051891,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,13.718475,44.668394,141.768068,0.000000,335.958232,14.440501,15.864191,0.000000,8.068389,0.000000,0.000000,404.507382,134.113737,0.644576,0.000000,0.000000,0.000000,40.387190,0.000000,8.441242,0.000000,20.428109,113.718938,0.000000,5.426162,0.000000,0.000000,30.707610,0.000000,431.560504,32.811126,0.000000,119.052897,6.277574,0.000000,12.305231,15.214557,88.568400,51.920818,42.051891,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,13.718475,44.668394,141.768068,0.000000,335.958232,14.440501,15.864191,0.000000,8.068389,0.000000,0.000000,404.507382,134.113737,0.644576,0.000000,0.000000,0.000000,40.387190,0.000000,8.441242,0.000000,20.428109,113.718938,0.000000,5.426162,0.000000,0.000000,30.707610,0.000000,431.560504,32.811126,0.000000,119.052897,6.277574,0.000000,12.305231,15.214557,88.568400,51.920818,42.051891,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,11.082330,35.909769,126.566265,0.000000,335.958232,14.440501,15.864191,0.000000,8.068389,0.000000,0.000000,404.507382,134.113737,0.644576,0.000000,0.000000,0.000000,42.512832,0.000000,8.441242,0.000000,20.428109,113.718938,0.000000,5.426162,0.000000,0.000000,30.707610,0.000000,431.560504,32.811126,0.000000,119.052897,6.277574,0.000000,12.305231,15.214557,88.568400,51.920818,42.051891,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

