Block,Time,KKNP,KOTESHWR,KUDGI,NTPL,RIHAND1,SIMHST1,URI,DADRI_LF,KKNPPU2,NAPP,RIHAND2,UNCHAHAR1,URI2,ANTA_LF,CHAMERA1,CHAMERA2,KHSTPP-II,NJPC,NLCIIST1,NNTPP,RAPPB,RSTPSU7,SALAL,TALA,ANTA_RF,AURY_CRF,DADRI_GF,DHAULIGNGA,FSTPP I & II,KISHANGANGA,RAMPUR,RAPPC,RIHAND3,TALST2,UNCHAHAR3,ANTA_GF,AURY_GF,JHAJJAR,NLCEXP,PARBATI3,SASAN,SINGRAULI_HYDRO,TANAKPUR,VALLURNTECL,AURY_LF,DADRI_CRF,BRBCL,BSIUL,KGSU1AND2,UNCHAHAR2,UNCHAHAR4,DADRI_RF,DADRT2,DULHASTI,KHSTPP-I,MAPS,RSTPSU1TO6,SEWA2,TEHRI,TelanganaSTPP,CHAMERA3,KGSU3AND4,KOLDAM,NLCIIST2,NLCTS2EXP,SIMHST2,SINGRAULI,TANDA2,ANTA_CRF,AURY_RF
1,00:00-00:15,0,8.87,0,0,92,0,0.66,0,0,43.68,118.76,19.98,4.31,0,0,0,148.3,0,0,0,0,0,1.4,0,43.99,0,0,0,20.8,0,0,26.01,36.28,0,0,0,0,434.65,0,0,418.77,0.71,5.76,0,0,0,20,0,0,42.39,0,90.42,683.14,0,45.53,0,0,0,0,0,0,0,0,0,0,0,139.69,0,0,70.81

2,00:15-00:30,0,8.87,0,0,92,0,0.66,0,0,43.68,118.76,19.98,4.31,0,0,0,148.3,0,0,0,0,0,1.4,0,43.99,0,0,0,20.8,0,0,26.01,36.28,0,0,0,0,434.65,0,0,418.77,0.71,5.76,0,0,0,20,0,0,42.39,0,90.42,683.14,0,45.53,0,0,0,0,0,0,0,0,0,0,0,139.69,0,0,70.81

3,00:30-00:45,0,8.87,0,0,92,0,0.66,0,0,43.68,118.76,19.98,4.31,0,0,0,148.3,0,0,0,0,0,1.4,0,44.21,0,0,0,20.8,0,0,26.01,36.28,0,0,0,0,434.65,0,0,418.77,0.71,5.76,0,0,0,20,0,0,42.39,0,90.42,683.14,0,45.53,0,0,0,0,0,0,0,0,0,0,0,139.69,0,0,70.81

4,00:45-01:00,0,8.87,0,0,92,0,0.66,0,0,43.68,118.76,19.98,4.31,0,0,0,148.3,0,0,0,0,0,1.4,0,44.21,0,0,0,20.8,0,0,26.01,36.28,0,0,0,0,434.65,0,0,418.77,0.71,5.76,0,0,0,20,0,0,42.39,0,90.42,683.14,0,45.53,0,0,0,0,0,0,0,0,0,0,0,139.69,0,0,70.81

5,01:00-01:15,0,8.87,0,0,92,0,0.66,0,0,43.68,118.76,19.98,4.31,0,0,0,148.3,18.94,0,0,0,0,1.4,0,44.21,0,0,0,20.8,0,0,26.01,36.28,0,0,0,0,434.65,0,0,418.77,0.71,5.76,0,0,0,20,0,0,42.39,0,90.42,683.14,0,45.53,0,0,0,0,0,0,0,0,0,0,0,139.69,0,0,70.81

6,01:15-01:30,0,8.87,0,0,92,0,0.66,0,0,43.68,118.76,19.98,4.31,0,0,0,148.3,18.94,0,0,0,0,1.4,0,44.21,0,0,0,20.8,0,0,26.01,36.28,0,0,0,0,434.65,0,0,418.77,0.71,5.76,0,0,0,20,0,0,42.39,0,90.42,683.14,0,45.53,0,0,0,0,0,0,0,0,0,0,0,139.69,0,0,70.81

7,01:30-01:45,0,8.87,0,0,92,0,0.66,0,0,43.68,118.76,19.98,4.31,0,0,0,148.3,18.94,0,0,0,0,1.4,0,44.21,0,0,0,20.8,0,0,26.01,44.85,0,0,0,0,434.65,0,0,418.77,0.71,0,0,0,0,20,0,0,42.39,0,90.42,683.14,0,45.53,0,0,0,0,0,0,0,0,0,0,0,139.69,0,0,70.81

8,01:45-02:00,0,8.87,0,0,92,0,0.66,0,0,43.68,118.76,19.98,4.31,0,0,0,148.3,18.94,0,0,0,0,1.4,0,44.21,0,0,0,20.8,0,0,26.01,53.43,0,0,0,0,434.65,0,0,418.77,0.71,0,0,0,0,20,0,0,42.39,0,90.42,683.14,0,45.53,0,0,0,0,0,0,0,0,0,0,0,139.69,0,0,70.81

9,02:00-02:15,0,8.87,0,0,92,0,0.55,0,0,43.68,118.76,19.98,4.31,0,0,0,148.3,0,0,0,0,0,1.4,0,44.21,0,0,0,20.8,0,0,26.01,62.16,0,0,0,0,434.65,0,0,418.77,0.71,0,0,0,0,20,0,0,42.39,0,90.42,683.14,0,45.53,0,0,0,0,0,0,0,0,0,0,0,139.69,0,0,70.81

10,02:15-02:30,0,8.87,0,0,92,0,0.55,0,0,43.68,118.76,19.98,4.31,0,0,0,148.3,0,0,0,0,0,1.4,0,44.42,0,0,0,20.8,0,0,26.01,62.16,0,0,0,0,434.65,0,0,418.77,0.71,0,0,0,0,20,0,0,42.39,0,90.42,683.14,0,45.53,0,0,0,0,0,0,0,0,0,0,0,139.69,0,0,70.81

11,02:30-02:45,0,8.87,0,0,92,0,0.55,0,0,43.68,118.76,19.98,4.31,0,0,0,148.3,0,0,0,0,0,1.4,0,44.21,0,0,0,20.8,0,0,26.01,62.16,0,4.14,0,0,434.65,0,0,418.77,0.71,0,0,0,0,20,0,0,42.39,0,90.42,683.14,0,45.53,0,0,0,0,0,0,0,0,0,0,0,139.69,0,0,70.81

12,02:45-03:00,0,8.87,0,0,92,0,0.55,0,0,43.68,118.76,19.98,4.31,0,0,0,148.3,0,0,0,0,0,1.4,0,44.21,0,0,0,20.8,0,0,26.01,62.16,0,4.14,0,0,434.65,0,0,418.77,0.71,0,0,0,0,20,0,0,42.39,0,90.42,683.14,0,45.53,0,0,0,0,0,0,0,0,0,0,0,139.69,0,0,70.81

13,03:00-03:15,0,8.87,0,0,92,0,0.55,0,0,43.68,118.76,19.98,4.31,0,0,0,148.3,0,0,0,0,0,1.4,0,44.42,0,0,0,20.8,0,0,26.01,62.16,0,7.59,0,0,434.65,0,0,418.77,0.71,0,0,0,0,20,0,0,42.39,0,90.42,683.14,0,45.53,0,0,0,0,0,0,0,0,0,0,0,139.69,0,0,70.81

14,03:15-03:30,0,8.87,0,0,92,0,0.55,0,0,43.68,118.76,19.98,4.31,0,0,0,148.3,0,0,0,0,0,1.4,0,44.42,0,0,0,20.8,0,0,26.01,62.16,0,8.28,0,0,434.65,0,0,418.77,0.71,0,0,0,0,20,0,0,42.39,0,90.42,683.14,0,45.53,0,0,0,0,0,0,0,0,0,0,0,139.69,0,0,70.81

15,03:30-03:45,0,8.87,0,0,92,0,0.55,0,0,43.68,118.76,19.98,4.31,0,0,0,148.3,0,0,0,0,0,1.4,0,44.42,0,0,0,20.8,0,0,26.01,62.16,0,11.74,0,0,434.65,0,0,418.77,0.71,0,0,0,0,20,0,0,42.39,0,90.42,683.14,0,45.53,0,0,0,0,0,0,0,0,0,0,0,139.69,0,0,70.81

