Block,Time,L_NR_2022_08,L_NR_2020_07,LT-35,L_NR_2022_09,SH-06,L_NR_2023_04,L_NR_2019_07,L_NR_2022_10,L_NR_2019_05,LT-05,L_NR_2019_11,L_NR_2019_19,L_NR_2021_17,SH-07,L_NR_2012_07,L_NR_2023_07,L_NR_2021_12,LT-31,LT-59,L_NR_2020_05,L_NR_2023_10,L_NR_2019_06,L_NR_2021_14,L_NR_2020_06,L_NR_2018_61,LT-36,L_NR_2012_01,L_NR_2021_15,L_NR_2020_02,L_NR_2021_16,L_NR_2012_02,L_NR_2021_13,L_NR_2012_04
1,00:00-00:15,6.33,7.34,0.000000,17.61,30.930000,30.600000,0,17.61,0,54.970000,6.300000,0,0,30.930000,74.130000,0,0,0.000000,7.000000,22,0,0,0,7.33,42.54,0.000000,101.260000,0,6.230000,0,261.590000,0,271.880000

2,00:15-00:30,6.33,7.34,0.000000,16.77,30.930000,30.600000,0,16.77,0,54.970000,6.300000,0,0,30.930000,74.130000,0,0,0.000000,7.000000,22,0,0,0,7.33,42.37,0.000000,101.260000,0,6.230000,0,261.590000,0,271.880000

3,00:30-00:45,6.33,7.34,0.000000,16.46,30.930000,30.600000,0,16.46,0,54.970000,6.300000,0,0,30.930000,74.130000,0,0,0.000000,6.690000,22,0,0,0,7.33,37.14,0.000000,101.260000,0,6.230000,0,261.590000,0,271.880000

4,00:45-01:00,6.33,7.34,0.000000,16.4,30.930000,30.600000,0,16.4,0,54.970000,6.300000,0,0,30.930000,74.130000,0,0,0.000000,6.690000,22,0,0,0,7.33,37.03,0.000000,101.260000,0,6.230000,0,261.590000,0,271.880000

5,01:00-01:15,6.33,7.34,0.000000,16.44,30.930000,30.600000,0,16.44,0,54.970000,6.300000,0,0,30.930000,74.130000,0,0,0.000000,6.690000,22,0,0,0,7.33,37.05,0.000000,101.260000,0,6.040000,0,261.590000,0,271.880000

6,01:15-01:30,6.33,7.34,0.000000,16.54,30.930000,30.600000,0,16.54,0,54.970000,6.300000,0,0,30.930000,74.130000,0,0,0.000000,6.690000,22,0,0,0,7.33,37.08,0.000000,101.260000,0,6.040000,0,261.590000,0,271.880000

7,01:30-01:45,6.33,7.34,0.000000,16.65,30.930000,30.600000,0,16.65,0,53.070000,6.300000,0,0,30.930000,74.130000,0,0,0.000000,6.690000,22,0,0,0,7.33,37.1,0.000000,101.260000,0,6.040000,0,261.590000,0,271.880000

8,01:45-02:00,6.33,7.34,0.000000,16.79,30.930000,30.600000,0,16.79,0,53.070000,6.300000,0,0,30.930000,74.130000,0,0,0.000000,6.690000,22,0,0,0,7.33,37.12,0.000000,101.260000,0,6.040000,0,261.590000,0,271.880000

