Block,Time,AURY_GF,NAPP,KOTESHWR,AURY_CRF,ANTA_GF,DADRI_RF,RIHAND1,CHAMERA1,UNCHAHAR1,ANTA_LF,DADRI_LF,AURY_RF,TEHRI,BSIUL,SEWA2,SALAL,KISHANGANGA,DADRI_CRF,PARBATI3,DHAULIGNGA,SINGRAULI_HYDRO,UNCHAHAR2,TANDA2,KOLDAM,RIHAND3,URI2,TANAKPUR,CHAMERA2,URI,RAMPUR,NJPC,RAPPB,CHAMERA3,ANTA_CRF,JHAJJAR,DULHASTI,UNCHAHAR4,DADRI_GF,RAPPC,ANTA_RF,UNCHAHAR3,SINGRAULI,DADRT2,RIHAND2,AURY_LF,BRBCL,TALA,SASAN,KHSTPP-II,FSTPP I & II,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,20.597395,8.514603,0.000000,0.000000,0.000000,88.274000,0.000000,5.757000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.229878,0.000000,0.000000,0.000000,0.000000,0.679144,14.392500,0.000000,0.000000,118.657167,4.517518,0.000000,0.000000,2.118576,0.000000,0.000000,0.000000,0.000000,0.000000,340.622500,0.000000,0.000000,0.000000,52.113515,0.000000,10.554500,120.501206,337.744000,56.668070,0.000000,14.392497,0.000000,331.927031,90.787890,4.797500,19.839198,0,0,0,0,0

2,00:15-00:30,0.000000,20.597395,8.514603,0.000000,0.000000,0.000000,88.274000,0.000000,5.757000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.229878,0.000000,0.000000,0.000000,0.000000,0.679144,14.392500,0.000000,0.000000,118.657167,4.517518,0.000000,0.000000,2.118576,0.000000,0.000000,0.000000,0.000000,0.000000,340.622500,0.000000,0.000000,0.000000,52.113515,0.000000,10.554500,120.501206,337.744000,56.668070,0.000000,14.392497,0.000000,331.927031,81.192890,4.797500,19.839198,0,0,0,0,0

3,00:30-00:45,0.000000,20.597395,8.514603,0.000000,0.000000,0.000000,88.274000,0.000000,5.757000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.229878,0.000000,0.000000,0.000000,0.000000,0.679144,14.392500,0.000000,0.000000,118.657167,4.517518,0.000000,0.000000,2.118576,0.000000,0.000000,0.000000,0.000000,0.000000,340.622500,0.000000,0.000000,0.000000,52.113515,0.000000,10.554500,120.501206,337.744000,56.668070,0.000000,14.392497,0.000000,331.927031,86.924463,4.797500,19.839198,0,0,0,0,0

4,00:45-01:00,0.000000,20.597395,8.514603,0.000000,0.000000,0.000000,88.274000,0.000000,5.757000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.229878,0.000000,0.000000,0.000000,0.000000,0.679144,14.392500,0.000000,0.000000,118.657167,4.517518,0.000000,0.000000,2.118576,0.000000,0.000000,0.000000,0.000000,0.000000,340.622500,0.000000,0.000000,0.000000,52.113515,0.000000,10.554500,120.501206,337.744000,56.668070,0.000000,14.392497,0.000000,331.927031,86.924463,4.797500,19.839198,0,0,0,0,0

5,01:00-01:15,0.000000,20.597395,8.514603,0.000000,0.000000,0.000000,88.274000,0.000000,5.757000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.229878,0.000000,0.000000,0.000000,0.000000,0.679144,14.392500,0.000000,0.000000,118.657167,4.517518,0.000000,0.000000,2.118576,0.000000,0.000000,0.000000,0.000000,0.000000,340.622500,0.000000,0.000000,0.000000,52.113515,0.000000,10.554500,120.501206,337.744000,56.668070,0.000000,14.392497,0.000000,331.927031,82.152390,4.797500,19.839198,0,0,0,0,0

