Block,Time,NR/26072023/31072042/L_NR_2023_07,NR/01012024/31012024/52,NR/01012024/15012024/IEX_231227_05965,NR/01012024/31012024/HPX-TAMLDCRA-141223-05419,WR/01102023/24112044/L_NR_2020_07,NR/01102023/08032047/L_NR_2021_14,NR/01012024/31012024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/31052040/LT-31,NR/01012024/31012024/HP-27,NR/01012024/15012024/HPX-TAMDLY-271223-05546,WR/01102023/16072048/L_NR_2022_08,NR/05012024/31012024/SJVN050124NR1342,NR/05012024/31012024/SJVN050124NR1341,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/25122043/GNA_MEJA_DELHI,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_17,NR/01012024/31012024/HP-28,NR/01102023/06022042/L_NR_2012_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/19072037/LT-05,NR/13012024/13012024/HPX-TAMCTG-120124-05747,WR/01102023/01102023/L_NR_2022_09,NR/01102023/30042040/GNA_LT_36,NR/06012024/31012024/NVVN/OA/16855,WR/01102023/30052048/L_NR_2022_10,NR/13012024/13012024/HPX-TAMCTG-120124-05745,NR/01012024/15012024/IEX_231227_05966,NR/30092023/26122029/SH-06,NR/01012024/31032024/ ChanjuII,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02012046/L_NR_2021_17,NR/13012024/13012024/HPX-TAMCTG-120124-05746,NR/01012024/31012024/HP-26,NR/01102023/23072042/L_NR_2012_04,NR/30092023/31122025/SH-07,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05424,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,NR/01102023/06022042/L_NR_2012_02,NR/20122023/29022024/IEX_LDC_231218_00501,WR/01102023/29112042/L_NR_2019_05,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05423,NR/13012024/13012024/IEX_240112_06086,L_NR_2019_19,NR/01102023/14082046/L_NR_2021_16,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/20122023/29022024/IEX_LDC_231218_00502,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,NR/01102023/30042040/GNA_LT_35,WR/01102023/01102023/L_NR_2020_06,SR/01102023/07102043/L_NR_2018_61
1,00:00-00:15,0,0.000000,95.950000,6.720000,5.83,0,47.980000,0.000000,57.140000,47.980000,6.66,0,0,23.030000,0.000000,17.5,0,24.460000,32.620000,0,72.390000,0.000000,11.67,0.000000,46.040000,11.67,0.000000,47.980000,25.810000,1.470000,0,0,0.000000,152.060000,191.900000,25.810000,18.230000,0,0,138.170000,8.160000,0,5.760000,0.000000,0,0,47.980000,1.430000,1.070000,0.730000,11.510000,0,0,0,0.000000,5.84,33.01

2,00:15-00:30,0,0.000000,95.950000,6.720000,5.83,0,47.980000,0.000000,57.140000,47.980000,6.66,0,0,23.030000,0.000000,17.5,0,24.460000,32.620000,0,69.950000,0.000000,11.67,0.000000,46.040000,11.67,0.000000,47.980000,25.810000,1.470000,0,0,0.000000,152.060000,191.900000,25.810000,18.230000,0,0,109.380000,8.160000,0,5.760000,0.000000,0,0,47.980000,1.430000,1.070000,0.730000,11.510000,0,0,0,0.000000,5.84,32.81

3,00:30-00:45,0,0.000000,95.950000,6.720000,5.83,0,47.980000,0.000000,57.140000,47.980000,6.66,0,0,23.030000,0.000000,17.5,0,24.460000,32.620000,0,69.950000,0.000000,11.67,0.000000,46.040000,11.67,0.000000,47.980000,25.810000,1.470000,0,0,0.000000,152.060000,148.420000,25.810000,18.230000,0,0,109.380000,8.160000,0,5.760000,0.000000,0,0,47.980000,1.430000,1.070000,0.730000,11.510000,0,0,0,0.000000,5.84,32.61

4,00:45-01:00,0,0.000000,95.950000,6.720000,5.83,0,47.980000,0.000000,57.140000,47.980000,6.66,0,0,23.030000,0.000000,17.5,0,24.460000,32.620000,0,69.950000,0.000000,11.67,0.000000,46.040000,11.67,0.000000,47.980000,25.810000,1.470000,0,0,0.000000,152.060000,148.420000,25.810000,18.230000,0,0,109.380000,8.160000,0,5.760000,0.000000,0,0,47.980000,1.430000,1.070000,0.730000,11.510000,0,0,0,0.000000,5.84,32.11

5,01:00-01:15,0,0.000000,95.950000,6.720000,5.83,0,47.980000,0.000000,57.140000,47.980000,6.66,0,0,23.030000,0.000000,17.5,0,24.460000,32.620000,0,69.950000,0.000000,11.67,0.000000,46.040000,11.67,0.000000,47.980000,25.810000,1.470000,0,0,0.000000,152.060000,148.420000,25.810000,18.230000,0,0,109.380000,8.160000,0,5.760000,0.000000,0,0,47.980000,1.430000,1.070000,0.730000,11.510000,0,0,0,0.000000,5.84,31.14

6,01:15-01:30,0,0.000000,95.950000,6.720000,3.33,0,47.980000,0.000000,57.140000,47.980000,3.34,0,0,23.030000,0.000000,10,0,24.460000,32.620000,0,69.950000,0.000000,6.67,0.000000,46.040000,6.67,0.000000,47.980000,25.810000,1.470000,0,0,0.000000,152.060000,148.420000,25.810000,18.230000,0,0,109.380000,8.160000,0,5.760000,0.000000,0,0,47.980000,1.430000,1.070000,0.730000,11.510000,0,0,0,0.000000,3.34,25.78

