Block,Time,BRBCL,CHAMERA3,DHAULIGNGA,NLCTS2EXP,NNTPP,RAMPUR,SINGRAULI,TelanganaSTPP,UNCHAHAR1,URI2,ANTA_RF,AURY_RF,CHAMERA1,CHAMERA2,KGSU3AND4,KHSTPP-I,KKNP,KKNPPU2,NLCIIST1,NTPL,RIHAND2,RIHAND3,DADRT2,DULHASTI,KGSU1AND2,KUDGI,TALST2,UNCHAHAR2,URI,DADRI_LF,DADRI_RF,RAPPB,SASAN,SEWA2,TEHRI,ANTA_GF,JHAJJAR,KOLDAM,KOTESHWR,RAPPC,SIMHST2,TALA,TANAKPUR,AURY_CRF,BSIUL,NAPP,RSTPSU1TO6,SIMHST1,VALLURNTECL,ANTA_LF,KHSTPP-II,KISHANGANGA,MAPS,NJPC,RIHAND1,SINGRAULI_HYDRO,UNCHAHAR3,DADRI_CRF,DADRI_GF,FSTPP I & II,NLCEXP,NLCIIST2,PARBATI3,RSTPSU7,SALAL,TANDA2,UNCHAHAR4,ANTA_CRF,AURY_GF,AURY_LF
1,00:00-00:15,20,32.08,40.4,0,0,3.54,89.59,0,9.9,36.05,48.150000000000006,77.33,28.1,44.22,0,44.31,0,0,0,0,121.71,127.6,685.78,53.79,0,0,0,43.05,46.37,0,74.61,0,412.88,0,35.44,0,413.81,5.35,19.54,60.23,0,10.23,11.27,0,13.04,44.86,0,0,0,0,98.87,1.44,0,167.1,90.54,0,27.05,0,0,19.74,0,0,16.87,0,83.67,2.89,1.62,0,0,0

2,00:15-00:30,20,32.08,40.4,0,0,3.54,89.59,0,9.9,36.05,48.150000000000006,77.33,28.1,44.22,0,44.31,0,0,0,0,121.71,127.6,685.78,53.79,0,0,0,43.05,46.37,0,74.61,0,412.88,0,35.44,0,413.81,5.35,19.32,60.23,0,10.29,11.27,0,13.04,44.86,0,0,0,0,98.87,1.44,0,167.1,90.54,0,27.05,0,0,19.74,0,0,16.87,0,83.67,2.89,1.62,0,0,0

3,00:30-00:45,20,32.08,40.4,0,0,3.54,89.59,0,9.9,36.05,48.150000000000006,77.33,0,44.22,0,44.31,0,0,0,0,121.71,127.6,686.07,53.79,0,0,0,43.05,35.33,0,74.61,0,412.88,0,35.44,0,413.81,5.35,19.32,60.23,0,10.02,11.27,0,13.04,44.86,0,0,0,0,98.87,1.44,0,167.1,90.54,0,27.05,0,0,19.74,0,0,16.87,0,83.67,2.89,1.62,0,0,0

4,00:45-01:00,20,32.08,40.4,0,0,3.54,89.59,0,9.9,36.05,48.150000000000006,77.33,0,44.22,0,44.31,0,0,0,0,121.71,127.6,686.07,53.79,0,0,0,43.05,46.37,0,74.61,0,412.88,0,35.44,0,413.81,5.35,19.32,60.23,0,10.02,11.27,0,13.04,44.86,0,0,0,0,98.87,1.44,0,167.1,90.54,0,27.05,0,0,19.74,0,0,16.87,0,83.67,2.89,1.62,0,0,0

5,01:00-01:15,20,32.08,40.4,0,0,3.54,89.59,0,9.9,36.05,48.150000000000006,77.33,0,44.22,0,44.31,0,0,0,0,121.71,127.6,686.07,53.79,0,0,0,43.71,46.37,0,74.61,0,412.88,0,35.44,0,413.81,5.35,9.66,60.23,0,10.41,11.27,0,6.52,44.86,0,0,0,0,98.87,1.44,0,167.1,90.54,0,27.05,0,0,19.74,0,0,15.46,0,83.67,2.89,1.62,0,0,0

6,01:15-01:30,20,32.08,40.4,0,0,3.54,89.59,0,9.9,36.05,48.150000000000006,77.33,0,44.22,0,44.31,0,0,0,0,121.71,127.6,686.07,53.79,0,0,0,43.71,35.33,0,74.61,0,412.88,0,35.44,0,413.81,5.35,9.66,60.23,0,10.41,11.27,0,6.52,44.86,0,0,0,0,98.87,1.44,0,167.1,90.54,0,27.05,0,0,19.74,0,0,15.46,0,83.67,2.89,1.62,0,0,0

7,01:30-01:45,20,32.08,40.4,0,0,3.54,89.59,0,9.9,26.6,48.150000000000006,77.33,0,44.22,0,44.31,0,0,0,0,121.71,127.6,686.07,53.79,0,0,0,43.71,30.91,0,74.61,0,412.88,0,35.44,0,413.81,5.35,9.66,60.23,0,10.41,11.27,0,6.52,44.86,0,0,0,0,98.87,1.44,0,167.1,90.54,0,27.05,0,0,19.74,0,0,15.46,0,83.67,2.89,1.62,0,0,0

8,01:45-02:00,20,32.08,40.4,0,0,3.54,89.59,0,9.9,26.6,48.150000000000006,77.33,0,44.22,0,44.31,0,0,0,0,121.71,127.6,686.07,53.79,0,0,0,43.71,46.37,0,74.61,0,412.88,0,35.44,0,413.81,5.35,9.66,60.23,0,10.41,11.27,0,6.52,44.86,0,0,0,0,98.87,1.44,0,167.1,90.54,0,27.05,0,0,19.74,0,0,15.46,0,83.67,2.89,1.62,0,0,0

