Block,Time,CHAMERA1,KHSTPP-II,ANTA_RF,AURY_GF,BSIUL,DHAULIGNGA,DULHASTI,JHAJJAR,KKNP,KKNPPU2,KUDGI,NAPP,NLCIIST2,NNTPP,RIHAND3,RSTPSU1TO6,TEHRI,DADRI_GF,CHAMERA3,NLCEXP,PARBATI3,RAPPB,TALA,TANAKPUR,ANTA_CRF,ANTA_GF,DADRI_LF,DADRT2,KHSTPP-I,KOLDAM,NLCIIST1,RAPPC,SIMHST1,UNCHAHAR1,UNCHAHAR2,UNCHAHAR3,AURY_LF,NJPC,RIHAND1,RIHAND2,SEWA2,SINGRAULI,TANDA2,UNCHAHAR4,URI,BRBCL,CHAMERA2,KISHANGANGA,MAPS,NTPL,RSTPSU7,SASAN,SIMHST2,TelanganaSTPP,VALLURNTECL,NLCTS2EXP,RAMPUR,SALAL,SINGRAULI_HYDRO,AURY_RF,FSTPP I & II,KGSU1AND2,KGSU3AND4,KOTESHWR,TALST2,URI2,ANTA_LF,AURY_CRF,DADRI_CRF,DADRI_RF
1,00:00-00:15,0,98.87,42.84,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,10.25,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,35.33,20,0,0,0,0,0,416.25,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

2,00:15-00:30,0,98.87,42.84,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,10.25,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,35.33,20,0,0,0,0,0,416.25,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,18.83,0,0,0,66.85

3,00:30-00:45,0,98.87,42.84,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,5.13,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,2.76,20,0,0,0,0,0,416.25,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,18.83,0,0,0,66.85

4,00:45-01:00,0,98.87,42.84,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,5.13,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,1.33,20,0,0,0,0,0,416.25,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,18.83,0,0,0,66.85

5,01:00-01:15,0,98.87,42.84,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,5.13,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,1.33,20,0,0,0,0,0,416.25,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,18.83,0,0,0,66.85

6,01:15-01:30,0,98.87,42.84,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,5.13,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,1.33,20,0,0,0,0,0,416.25,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,18.83,0,0,0,66.85

7,01:30-01:45,0,98.87,42.84,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,5.13,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,1.33,20,0,0,0,0,0,416.25,0,0,0,0,0,13.95,0,70.37,20.8,0,0,8.87,0,18.83,0,0,0,66.85

8,01:45-02:00,0,98.87,42.84,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,5.13,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,1.33,20,0,0,0,0,0,416.25,0,0,0,0,0,69.72,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

9,02:00-02:15,0,98.87,42.84,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,5.13,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,1.33,20,0,0,0,0,0,416.25,0,0,0,0,0,69.72,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

10,02:15-02:30,0,98.87,42.84,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,5.13,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,2.76,20,0,0,0,0,0,416.25,0,0,0,0,0,69.72,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

11,02:30-02:45,0,98.87,42.84,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,10.25,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,35.33,20,0,0,0,0,0,416.25,0,0,0,0,0,69.72,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

12,02:45-03:00,0,98.87,42.84,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,10.25,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,35.33,20,0,0,0,0,0,416.25,0,0,0,0,0,12.78,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

13,03:00-03:15,0,98.87,42.84,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,10.25,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,2.76,20,0,0,0,0,0,416.25,0,0,0,0,0,12.78,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

14,03:15-03:30,0,98.87,42.84,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,5.13,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,1.11,20,0,0,0,0,0,416.25,0,0,0,0,0,12.78,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

