Block,Time,NR/01102023/06022042/L_NR_2012_07,NR/01102023/19072037/LT-05,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/03112023/30112023/HPX-TAMDLY-011123-05147,WR/01102023/29112042/L_NR_2019_05,NR/01102023/31102037/L_NR_2019_11,WR/01102023/24112044/L_NR_2020_07,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/01102023/23072042/L_NR_2012_04,SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/22052037/LT-59,WR/01102023/16072048/L_NR_2022_08,NR/01102023/13082046/L_NR_2021_12,NR/01112023/30112023/HP-10,NR/01102023/15082037/GNA_NR_2012_01,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/01102023/05012040/L_NR_2020_02,NR/03112023/30112023/IEX-231101-05680,NR/30092023/31122025/SH-07,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/30092023/26122029/SH-06,WR/01102023/01102023/L_NR_2022_09,NR/01102023/02012046/L_NR_2021_17,NR/01102023/06022042/L_NR_2012_02,NR/22102023/11042047/L_NR_2021_16,WR/01102023/30052048/L_NR_2022_10,NR/30112023/30112023/HPX-TAMCTG-291123-05323,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),SR/01112023/30112023/KSEB_BYPL-NOV23,NR/21112023/30112023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01112023/30112023/HP-09,WR/01102023/01102023/L_NR_2020_06,NR/01102023/25072045/L_NR_2021_15,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/26072023/25122043/L_NR_2023_10,NR/01102023/30042040/GNA_LT_35
1,00:00-00:15,31.820000,71.730000,24.100000,48.200000,0,1.530000,10.87,0,0,231.380000,12.06,0,0.000000,1.400000,8.59,0,98.350000,48.200000,0,0,0,2.040000,48.200000,26.020000,0,26.020000,26.8,0,130.150000,0,26.8,0.000000,32.62,0,144.62,96.410000,76.640000,10.87,0,0.000000,0.000000,0,0.000000

2,00:15-00:30,31.820000,71.730000,24.100000,48.200000,0,1.530000,10.45,0,0,192.820000,11.86,0,0.000000,1.400000,8.49,0,98.350000,48.200000,0,0,0,2.040000,48.200000,26.020000,0,26.020000,25.88,0,130.150000,0,25.88,0.000000,31.35,0,144.62,96.410000,76.640000,10.44,0,0.000000,0.000000,0,0.000000

3,00:30-00:45,31.820000,71.730000,24.100000,48.200000,0,1.530000,9.86,0,0,192.820000,11.44,0,0.000000,1.400000,8.4,0,98.350000,48.200000,0,0,0,2.040000,48.200000,26.020000,0,26.020000,25.12,0,130.150000,0,25.12,0.000000,29.57,0,144.62,96.410000,76.640000,9.85,0,0.000000,0.000000,0,0.000000

4,00:45-01:00,31.820000,71.730000,24.100000,48.200000,0,1.530000,9.38,0,0,192.820000,11.12,0,0.000000,1.400000,8.3,0,98.350000,48.200000,0,0,0,2.040000,48.200000,26.020000,0,26.020000,21.92,0,130.150000,0,21.92,0.000000,28.15,0,144.62,96.410000,76.640000,9.38,0,0.000000,0.000000,0,0.000000

5,01:00-01:15,31.820000,71.730000,24.100000,48.200000,0,1.530000,9.11,0,0,192.820000,10.57,0,0.000000,1.400000,8.2,0,98.350000,48.200000,0,0,0,2.040000,48.200000,26.020000,0,26.020000,21.23,0,130.150000,0,21.23,0.000000,27.32,0,144.62,96.410000,76.640000,9.1,0,0.000000,0.000000,0,0.000000

