Time,Block,NR/2024/18436/A/3766,WR/2024/21351/A/3882,WR/2024/21355/A/3891,NR/2024/18495/C,NR/2024/18388/A/3764,NR/2024/18498/C,NER/2024/1923/C,NER/2024/1928/C,NR/2024/18445/A/3890,NR/2024/18497/C,Total
,,IEXL,APPCPL,MANIKARAN,NVVNL,ITCLH,PXIL,APPCPL,APPCPL,MANIKARAN,SJVNL,Total

,,MAHARASHTRA,DELHI,DELHI,NA,ANDHRA PRADESH,Gujarat,DELHI,DELHI,DELHI,UTTAR PRADESH,
,,A_A_Energy_MH_Bio,BRPL,BRPL,SOLAPUR_SOLAR,ITCWIND,SUGEN_GUVNL,BRPL,BYPL,BRPL,BCMLB001,
,,DELHI,GOA,GOA,DELHI,DELHI,DELHI,MANIPUR,NAGALAND,HIMACHAL PRADESH,DELHI,
,,MES (Delhi),GOA_Beneficiary,GOA_Beneficiary,MES (Delhi),ITCLH,TPDDL,Manipur_Ben,Nagaland_Ben,HP,NDMC,
,,West-East-North,North-West,North-West,West-North,South-West-North,West-North,North-East-North East,North-East-North East,North-North,North-North,
1,00:00-00:15,7.700000,0.000000,0.000000,0,0.380000,0.000000,25.000000,20.000000,0.000000,0.000000,53.08

2,00:15-00:30,7.700000,0.000000,0.000000,0,0.380000,0.000000,25.000000,20.000000,0.000000,0.000000,53.08

3,00:30-00:45,7.700000,0.000000,0.000000,0,0.380000,0.000000,25.000000,20.000000,0.000000,0.000000,53.08

4,00:45-01:00,7.700000,0.000000,0.000000,0,0.380000,0.000000,25.000000,20.000000,0.000000,0.000000,53.08

5,01:00-01:15,7.700000,0.000000,0.000000,0,0.380000,0.000000,25.000000,20.000000,0.000000,0.000000,53.08

6,01:15-01:30,7.700000,0.000000,0.000000,0,0.380000,0.000000,25.000000,20.000000,0.000000,0.000000,53.08

7,01:30-01:45,7.700000,0.000000,0.000000,0,0.380000,0.000000,25.000000,20.000000,0.000000,0.000000,53.08

8,01:45-02:00,7.700000,0.000000,0.000000,0,0.380000,0.000000,25.000000,20.000000,0.000000,0.000000,53.08

9,02:00-02:15,7.700000,0.000000,0.000000,0,0.380000,0.000000,25.000000,20.000000,0.000000,0.000000,53.08

10,02:15-02:30,7.700000,0.000000,0.000000,0,0.380000,0.000000,25.000000,20.000000,0.000000,0.000000,53.08

11,02:30-02:45,7.700000,0.000000,0.000000,0,0.380000,0.000000,25.000000,20.000000,0.000000,0.000000,53.08

12,02:45-03:00,7.700000,0.000000,0.000000,0,0.380000,0.000000,25.000000,20.000000,0.000000,0.000000,53.08

13,03:00-03:15,7.700000,0.000000,0.000000,0,0.380000,0.000000,25.000000,20.000000,0.000000,0.000000,53.08

14,03:15-03:30,7.700000,0.000000,0.000000,0,0.380000,0.000000,25.000000,20.000000,0.000000,0.000000,53.08

15,03:30-03:45,7.700000,0.000000,0.000000,0,0.380000,0.000000,25.000000,20.000000,0.000000,0.000000,53.08

16,03:45-04:00,7.700000,0.000000,0.000000,0,0.380000,0.000000,25.000000,20.000000,0.000000,0.000000,53.08

17,04:00-04:15,7.700000,0.000000,0.000000,0,0.380000,0.000000,25.000000,20.000000,0.000000,0.000000,53.08

18,04:15-04:30,7.700000,0.000000,0.000000,0,0.380000,0.000000,25.000000,20.000000,0.000000,0.000000,53.08

19,04:30-04:45,7.700000,0.000000,0.000000,0,0.380000,0.000000,25.000000,20.000000,0.000000,0.000000,53.08

20,04:45-05:00,7.700000,0.000000,0.000000,0,0.380000,0.000000,25.000000,20.000000,0.000000,0.000000,53.08

21,05:00-05:15,7.700000,0.000000,0.000000,0,0.380000,0.000000,25.000000,20.000000,0.000000,0.000000,53.08

22,05:15-05:30,7.700000,0.000000,0.000000,0,0.380000,0.000000,25.000000,20.000000,0.000000,0.000000,53.08

23,05:30-05:45,7.700000,0.000000,0.000000,0,0.380000,0.000000,25.000000,20.000000,0.000000,0.000000,53.08

24,05:45-06:00,7.700000,0.000000,0.000000,0,0.380000,0.000000,25.000000,20.000000,0.000000,0.000000,53.08

25,06:00-06:15,7.700000,0.000000,0.000000,0,0.430000,0.000000,25.000000,20.000000,158.480000,0.000000,211.61

26,06:15-06:30,7.700000,0.000000,0.000000,0,0.430000,0.000000,25.000000,20.000000,158.480000,0.000000,211.61

27,06:30-06:45,7.700000,0.000000,0.000000,0,0.430000,0.000000,25.000000,20.000000,158.480000,0.000000,211.61

28,06:45-07:00,7.700000,0.000000,0.000000,0,0.430000,0.000000,25.000000,20.000000,158.480000,0.000000,211.61

29,07:00-07:15,7.700000,0.000000,0.000000,0,0.480000,0.000000,25.000000,20.000000,158.480000,0.000000,211.66

30,07:15-07:30,7.700000,0.000000,0.000000,0.31,0.480000,0.000000,25.000000,20.000000,158.480000,0.000000,211.97

31,07:30-07:45,7.700000,0.000000,0.000000,0.51,0.480000,48.100000,25.000000,20.000000,158.480000,0.000000,260.27

32,07:45:08:00,7.700000,0.000000,0.000000,0.89,0.480000,48.100000,25.000000,20.000000,158.480000,0.000000,260.65

33,08:00-08:15,7.700000,0.000000,0.000000,1.31,0.870000,48.100000,25.000000,20.000000,158.480000,0.000000,261.46

34,08:15-08:30,7.700000,0.000000,0.000000,1.53,0.870000,48.100000,25.000000,20.000000,158.480000,0.000000,261.68

