Column1,Time,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2020_06,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,GNARE/SR/2025/01/13/4532,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,NR/01102023/22052037/LT-59,GNA/NR/2025/07/16/7255,NR/01102023/31052040/LT-31,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/07/01/2786,NR/30092023/31122025/SH-07,GNA/NR/2025/07/16/5917,NR/01102023/06022042/L_NR_2012_07,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/8128,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/1044,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/07/01/2952,GNA/NR/2025/06/07/5932,NR/01102023/19072037/LT-05,NR/01102023/31102037/L_NR_2019_11,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/8154,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/07/01/2997,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/07/01/1192
1,00:00-00:15,0,0,0,0,0,0,0,17.5,0,0,0,45,0,0,17.5,45,52.5,12.33,38.22,0,0,10.51,163.44,0,7.22,43.7,0,81.72,86.07,30,12.64,0,134.84,19.23,0,25.74,6.66,-0,115.33,10.73,18.68,20.74,243.23,15.24,100.16,49.03

2,00:15-00:30,0,0,0,0,0,0,0,18.33,0,0,0,44.67,0,0,18.33,44.66,55.01,12.67,38.22,0,0,10.51,163.44,0,7.22,43.7,0,81.72,86.07,30,12.64,0,134.84,19.23,0,25.74,6.66,-0,91.16,10.73,18.68,20.74,243.23,15.24,100.16,49.03

3,00:30-00:45,0,0,0,0,0,0,0,18.83,0,0,0,44.33,0,0,18.83,44.34,56.51,13,38.02,0,0,10.51,163.44,0,7.22,43.7,0,81.72,86.72,30,12.64,0,134.84,19.23,0,25.74,6.66,-0,115.33,10.73,18.68,20.74,243.23,15.24,100.16,49.03

4,00:45-01:00,0,0,0,0,0,0,0,19.5,0,0,0,44,0,0,19.5,44,58.5,13.67,37.62,0,0,10.51,163.44,0,7.22,43.7,0,81.72,86.72,30,12.64,0,134.84,19.23,0,25.74,6.66,-0,115.33,10.73,18.68,20.74,243.23,15.24,100.16,49.03

5,01:00-01:15,0,0,0,0,0,0,0,19.17,0,0,0,52,0,0,19.17,52,57.49,14,37.22,0,0,10.51,163.44,0,6.99,43.7,22.13,81.72,86.72,22.13,12.64,0,134.84,19.23,0,25.74,6.66,-0,115.33,10.73,18.4,20.74,243.23,15.24,100.16,49.03

6,01:15-01:30,0,0,0,0,0,0,0,19.17,0,0,0,50.67,0,0,19.17,50.66,57.49,14.33,36.62,0,0,10.51,163.44,0,6.99,43.7,22.13,81.72,86.72,22.13,12.64,0,134.84,19.23,0,25.74,6.66,-0,64.13,10.73,18.4,20.74,243.23,15.24,100.16,49.03

7,01:30-01:45,0,0,0,0,0,0,0,19.33,0,0,0,50.67,0,0,19.33,50.66,58.01,19,36.82,0,0,10.51,163.44,0,6.99,43.7,26.7,81.72,86.72,26.7,12.64,0,134.84,19.23,0,25.74,6.66,-0,115.33,10.73,18.4,20.74,243.23,15.24,100.16,49.03

8,01:45-02:00,0,0,0,0,0,0,0,19.5,0,0,0,50.33,0,0,19.5,50.34,58.5,19.67,37.42,0,0,10.51,163.44,0,6.99,43.7,26.7,81.72,86.72,26.7,12.64,0,134.84,19.23,0,25.74,6.66,-0,64.13,10.73,18.4,20.74,243.23,15.24,100.16,49.03

9,02:00-02:15,0,0,0,0,0,0,0,19.33,0,0,0,50,0,0,19.33,50,58.01,19.33,37.62,0,0,10.51,163.44,0,6.76,43.7,26.7,81.72,66.85,26.7,12.64,0,134.84,19.23,0,25.74,6.66,-0,70.11,10.73,18.22,20.74,243.23,15.24,100.16,49.03

10,02:15-02:30,0,0,0,0,0,0,0,19.67,0,0,0,50,0,0,19.67,50,58.99,19,38.02,0,0,10.51,163.44,0,6.76,43.7,26.7,81.72,66.85,26.7,12.64,0,134.84,19.23,0,25.74,6.66,-0,70.11,10.73,18.22,20.74,243.23,15.24,100.16,49.03

11,02:30-02:45,0,0,0,0,0,0,0,16.67,0,0,0,40,0,0,16.67,40,49.99,13.33,37.82,0,0,10.51,163.44,0,6.76,43.7,26.7,81.72,66.85,26.7,12.64,0,134.84,19.23,0,25.74,6.66,-0,70.11,10.73,18.22,20.74,243.23,15.24,100.16,49.03

12,02:45-03:00,0,0,0,0,0,0,0,16.5,0,0,0,39.67,0,0,16.5,39.66,49.5,13.33,37.82,0,0,10.51,163.44,0,6.76,43.7,26.7,81.72,66.85,26.7,12.64,0,134.84,19.23,0,26.24,6.66,-0,70.11,10.73,18.22,20.74,243.23,15.24,100.16,49.03

13,03:00-03:15,0,0,0,0,0,0,0,12.5,0,0,0,39.33,0,0,12.5,39.34,37.5,13.33,41.42,0,0,10.51,163.44,0,6.53,43.7,26.7,81.72,66.85,26.7,12.64,0,134.84,19.23,0,26.24,6.66,-0,70.11,10.73,18.04,20.74,243.23,15.24,100.16,0

14,03:15-03:30,0,0,0,0,0,0,0,12.33,0,0,0,39,0,0,12.33,39,37.01,13.33,41.42,0,0,10.51,163.44,0,6.53,43.7,26.7,81.72,66.85,26.7,12.64,0,134.84,19.23,0,26.24,6.66,-0,70.11,10.73,18.04,20.74,243.23,15.24,100.16,0

