Block,Time,CHAMERA1,KGSU1AND2,KISHANGANGA,RIHAND3,RSTPSU7,SEWA2,SIMHST2,TANDA2,UNCHAHAR1,DADRI_RF,KHSTPP-I,KHSTPP-II,KOLDAM,NLCTS2EXP,SALAL,SASAN,SINGRAULI_HYDRO,TALA,TALST2,TEHRI,UNCHAHAR3,ANTA_RF,DADRI_GF,KUDGI,NLCIIST1,RIHAND2,TelanganaSTPP,UNCHAHAR4,AURY_CRF,NAPP,URI,ANTA_CRF,AURY_LF,DHAULIGNGA,KGSU3AND4,KKNPPU2,URI2,CHAMERA3,DULHASTI,JHAJJAR,NJPC,NNTPP,RSTPSU1TO6,VALLURNTECL,ANTA_LF,AURY_RF,KKNP,KOTESHWR,NLCEXP,NLCIIST2,PARBATI2,RAMPUR,RAPPB,RAPPC,UNCHAHAR2,ANTA_GF,AURY_GF,DADRI_LF,BRBCL,BSIUL,CHAMERA2,DADRT2,FSTPP I & II,MAPS,NTPL,PARBATI3,RIHAND1,SIMHST1,SINGRAULI,TANAKPUR,DADRI_CRF
1,00:00-00:15,0,0,8.45,130.75,0,0,0,5.65,21.63,74.38,45.83,148.3,0,0,13.36,348.98,0.94,0,0,26.11,27.67,53.44,0,0,0,124.53,0,2.28,0,51.86,35.88,0,0,0,0,0,39.63,23.3,19.81,670.51,0,0,0,0,0,85.35,0,10.41,0,0,0,0,0,69.1,44.47,0,0,0,20,13.04,32.49,684.57,13.9,0,0,0,97.18,0,150.25,0.25,0

2,00:15-00:30,0,0,8.45,130.75,0,0,0,5.65,21.63,74.38,45.83,148.3,0,0,13.36,348.98,0.94,0,0,13.06,27.67,53.44,0,0,0,124.53,0,2.28,0,51.86,35.88,0,0,0,0,0,39.63,23.3,19.81,670.51,0,0,0,0,0,85.35,0,10.41,0,0,0,0,0,69.1,44.47,0,0,0,20,13.04,32.49,684.57,13.9,0,0,0,97.18,0,150.25,6.27,0

3,00:30-00:45,0,0,8.45,130.75,0,0,0,5.65,21.63,74.38,45.83,148.3,0,0,70.88,348.98,0.94,0,0,0,27.67,53.44,0,0,0,124.53,0,2.28,0,51.86,35.88,0,0,0,0,0,39.63,23.3,19.81,670.51,0,0,0,0,0,85.35,0,10.41,0,0,0,0,0,69.1,44.47,0,0,0,20,13.04,32.49,684.57,13.9,0,0,0,97.18,0,150.25,6.27,0

4,00:45-01:00,0,0,8.45,130.75,0,0,0,5.65,21.63,74.38,45.83,148.3,0,0,70.88,348.98,0.94,0,0,0,27.67,53.44,0,0,0,124.53,0,2.28,0,51.86,35.88,0,0,0,0,0,39.63,23.3,19.81,670.51,0,0,0,0,0,85.35,0,10.41,0,0,0,0,0,69.1,44.47,0,0,0,20,13.04,32.49,684.57,13.9,0,0,0,97.18,0,150.25,6.27,0

5,01:00-01:15,0,0,8.45,130.75,0,0,0,5.65,21.63,74.38,45.83,148.3,0,0,70.88,348.98,0.94,0,0,0,27.67,53.44,0,0,0,124.53,0,2.28,0,51.86,35.88,0,0,0,0,0,39.63,23.3,19.81,670.51,0,0,0,0,0,85.35,0,10.41,0,0,0,0,0,69.1,44.47,0,0,0,20,19.56,32.49,684.57,13.9,0,0,0,97.18,0,150.25,6.27,0

