Block,Time Block,DHAULIGNGA,DADRT2,DULHASTI,JHAJJAR,KGSU1AND2,KHSTPP-I,KISHANGANGA,KGSU3AND4,KHSTPP-II,DADRI_RF,FSTPP I & II,TEHRI,UNCHAHAR1,UNCHAHAR2,TelanganaSTPP,UNCHAHAR3,DADRI_GF,ANTA_LF,DADRI_LF,VALLURNTECL,AURY_GF,UNCHAHAR4,DADRI_CRF,ANTA_GF,URI2,AURY_CRF,AURY_RF,ANTA_CRF,ANTA_RF,AURY_LF,URI,BSIUL,BRBCL,CHAMERA1,CHAMERA3,CHAMERA2,NLCTS2EXP,RAMPUR,NAPP,RAPPC,NNTPP,NTPL,PARBATI3,NLCEXP,RAPPB,NLCIIST1,NJPC,NLCIIST2,RIHAND1,TANDA2,SINGRAULI_HYDRO,SIMHST1,RSTPSU1TO6,SIMHST2,RSTPSU7,TALST2,SALAL,SEWA2,SINGRAULI,TANAKPUR,RIHAND3,TALA,RIHAND2,SASAN,KOTESHWR,KUDGI,MAPS,KKNP,KKNPPU2,KOLDAM,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,39.1,585.33,52.06,111.41,0,32.61,2.79,0,95.7,0,17.63,74.43,17.75,36.42,0,11.61,0,0,0,0,0,0,0,0,34.89,0,0,0,0,0,46.48,12.62,19.26,40.8,31.05,42.8,0,3.43,43.65,58.3,0,0,29.93,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,80.98,11.21,135.71,12.52,123.5,10.22,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

2,00:15-00:30,39.1,585.33,52.06,111.41,0,32.61,2.79,0,95.7,0,17.63,74.43,17.75,36.42,0,15.22,0,0,0,0,0,0,0,0,34.89,0,0,0,0,0,46.48,12.62,19.36,40.8,31.05,42.8,0,3.43,43.65,58.3,0,0,29.93,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,80.98,11.21,135.71,12.52,123.5,10.22,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

3,00:30-00:45,39.1,585.33,52.06,111.41,0,32.61,2.79,0,95.7,0,17.63,74.43,17.75,36.42,0,18.91,0,0,0,0,0,0,0,0,34.89,0,0,0,0,0,42.74,12.62,19.36,40.8,31.05,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,80.98,11.21,135.71,12.52,123.5,10.24,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

4,00:45-01:00,39.1,585.33,52.06,111.41,0,32.61,2.79,0,95.7,0,17.63,74.43,15.94,30.75,0,19.4,0,0,0,0,0,0,0,0,34.89,0,0,0,0,0,42.74,12.62,19.36,40.8,31.05,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,80.98,11.21,135.71,12.52,123.5,10.24,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

5,01:00-01:15,39.1,585.33,52.06,111.41,0,32.61,2.79,0,95.7,0,13.62,74.43,15,30.75,0,19.4,0,0,0,0,0,0,0,0,34.89,0,0,0,0,0,42.74,12.62,13.91,40.8,31.05,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,80.98,11.21,135.71,12.52,123.5,10.24,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

6,01:15-01:30,39.1,556.67,52.06,111.41,0,32.61,2.79,0,95.7,0,13.62,74.43,15,30.75,0,19.4,0,0,0,0,0,0,0,0,34.89,0,0,0,0,0,42.74,12.62,14.05,40.8,31.05,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,80.98,5.6,135.71,12.52,123.5,10.24,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

7,01:30-01:45,39.1,508.27,52.06,111.41,0,32.61,2.79,0,95.7,0,13.62,74.43,15,30.75,0,19.4,0,0,0,0,0,0,0,0,34.89,0,0,0,0,0,46.48,12.62,13.83,40.8,31.05,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,80.98,5.6,135.71,12.52,123.5,10.24,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

8,01:45-02:00,39.1,459.88,52.06,111.41,0,32.61,2.79,0,95.7,0,13.62,74.43,15,30.75,0,19.4,0,0,0,0,0,0,0,0,34.89,0,0,0,0,0,46.48,12.62,12.51,40.8,31.05,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,80.98,5.6,135.71,12.52,123.5,10.24,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

9,02:00-02:15,39.1,411.48,52.06,111.41,0,29.16,2.79,0,83.01,0,13.62,74.43,15,30.75,0,19.4,0,0,0,0,0,0,0,0,34.89,0,0,0,0,0,42.74,12.62,13.43,40.8,31.05,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,80.98,5.6,135.71,12.52,123.5,10.24,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

10,02:15-02:30,39.1,365.23,52.06,111.41,0,29.16,2.79,0,83.01,0,13.62,74.43,15,30.75,0,19.4,0,0,0,0,0,0,0,0,34.89,0,0,0,0,0,42.74,12.62,13.26,40.8,31.05,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,80.98,5.6,135.71,12.52,123.5,10.24,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

11,02:30-02:45,39.1,365.23,52.06,111.41,0,29.16,2.79,0,83.01,0,13.62,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,34.89,0,0,0,0,0,42.74,12.62,14.93,40.8,31.05,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,80.98,0,135.71,12.52,123.5,10.24,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

12,02:45-03:00,39.1,365.23,52.06,111.41,0,24.66,2.79,0,69.79,0,13.62,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,34.89,0,0,0,0,0,42.74,12.62,15.22,40.8,31.05,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,80.98,0,135.71,12.52,123.5,10.24,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

13,03:00-03:15,39.1,365.23,52.06,111.41,0,28.1,2.79,0,80.26,0,13.62,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,32.89,0,0,0,0,0,46.48,12.62,15.43,27.2,31.05,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.4,123.5,10.24,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

14,03:15-03:30,39.1,365.23,52.06,111.41,0,28.1,2.79,0,82.48,0,13.62,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,32.89,0,0,0,0,0,46.48,12.62,17.44,27.2,31.05,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.4,123.5,10.24,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

15,03:30-03:45,39.1,365.23,52.06,111.41,0,28.1,2.79,0,82.48,0,11.32,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,32.89,0,0,0,0,0,42.74,12.62,17.09,27.2,31.05,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.4,123.5,10.24,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

16,03:45-04:00,39.1,365.23,52.06,111.41,0,28.1,2.79,0,82.48,0,11.32,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,32.89,0,0,0,0,0,42.74,12.62,18.22,27.2,31.05,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.4,123.5,10.24,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

17,04:00-04:15,39.1,365.23,52.06,111.41,0,28.1,2.79,0,82.48,0,11.32,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,32.89,0,0,0,0,0,42.74,12.62,19.34,27.2,31.05,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.4,123.5,10.24,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

18,04:15-04:30,39.1,365.23,52.06,111.41,0,28.1,2.79,0,82.48,0,11.32,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,32.89,0,0,0,0,0,42.74,12.62,19.36,27.2,31.05,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.4,123.5,9.96,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

19,04:30-04:45,39.1,365.23,52.06,111.41,0,28.1,2.79,0,82.48,0,11.32,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,32.89,0,0,0,0,0,46.48,12.62,19.36,27.2,31.05,42.8,0,3.43,43.65,58.3,0,0,0,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.4,123.5,9.96,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

20,04:45-05:00,39.1,365.23,52.06,111.41,0,28.1,2.79,0,82.48,0,11.32,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,32.89,0,0,0,0,0,46.48,12.62,19.36,27.2,31.05,42.8,0,3.43,43.65,58.3,0,0,0,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.4,123.5,9.68,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

21,05:00-05:15,39.1,365.23,52.06,111.41,0,28.1,2.79,0,82.48,0,11.32,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,32.89,0,0,0,0,0,42.74,12.62,19.36,27.2,31.05,42.8,0,3.43,43.65,58.3,0,0,0,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.4,123.5,9.68,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

22,05:15-05:30,39.1,365.23,52.06,111.41,0,28.1,2.79,0,82.48,0,11.32,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,32.89,0,0,0,0,0,42.74,12.62,19.36,27.2,31.05,42.8,0,3.43,43.65,58.3,0,0,3.4,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.4,123.5,9.68,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

23,05:30-05:45,39.1,365.23,52.06,111.41,0,28.1,2.79,0,82.48,0,11.32,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,32.89,0,0,0,0,0,42.74,12.62,19.36,27.2,31.05,42.8,0,3.43,43.65,58.3,0,0,8.16,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.4,123.5,9.39,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

24,05:45-06:00,39.1,365.23,52.06,111.41,0,28.1,2.79,0,82.48,0,11.32,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,32.89,0,0,0,0,0,42.74,12.62,19.36,27.2,31.05,42.8,0,3.43,43.65,58.3,0,0,52.37,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.4,123.5,9.39,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

25,06:00-06:15,39.1,365.23,52.06,111.41,0,28.1,2.79,0,82.48,0,11.32,74.43,15,30.75,0,19.4,0,0,0,0,0,0,0,0,32.89,0,0,0,0,0,46.48,12.62,19.36,27.2,31.05,42.8,0,3.43,43.65,58.3,0,0,52.37,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.4,123.5,9.39,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

26,06:15-06:30,39.1,365.23,52.06,111.41,0,28.1,2.79,0,82.48,0,11.32,74.43,15,30.75,0,19.4,0,0,0,0,0,0,0,0,32.89,0,0,0,0,0,46.48,12.62,19.36,27.2,31.05,42.8,0,3.43,43.65,58.3,0,0,52.37,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.16,123.5,9.39,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

27,06:30-06:45,39.1,365.23,52.06,111.41,0,28.1,2.79,0,82.48,0,11.32,74.43,15,30.75,0,19.4,0,0,0,0,0,0,0,0,32.89,0,0,0,0,0,42.74,12.62,19.36,27.2,31.05,42.8,0,3.43,43.65,58.3,0,0,52.37,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.16,123.5,9.39,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

28,06:45-07:00,39.1,365.23,52.06,111.41,0,28.1,2.79,0,82.48,0,11.32,74.43,15,30.75,0,19.4,0,0,0,0,0,0,0,0,32.89,0,0,0,0,0,42.74,12.62,19.36,27.2,31.05,42.8,0,3.43,43.65,58.3,0,0,52.37,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.16,123.5,9.39,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

29,07:00-07:15,39.1,365.23,52.06,111.41,0,28.1,2.79,0,82.48,0,11.32,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,32.89,0,0,0,0,0,42.74,12.62,19.36,27.2,31.05,42.8,0,3.43,43.65,58.3,0,0,52.37,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.16,123.5,9.39,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

30,07:15-07:30,39.1,365.23,52.06,111.41,0,28.1,2.79,0,82.48,0,11.32,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,32.89,0,0,0,0,0,42.74,12.62,19.36,27.2,31.05,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.16,123.5,9.39,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

31,07:30-07:45,39.1,365.23,52.06,111.41,0,28.1,2.79,0,82.48,0,11.32,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,32.89,0,0,0,0,0,46.48,12.62,19.36,27.2,31.05,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.16,123.5,9.39,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

32,07:45-08:00,39.1,365.23,52.06,111.41,0,28.1,2.79,0,82.48,0,11.32,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,32.89,0,0,0,0,0,46.48,12.62,19.36,27.2,31.05,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.16,123.5,9.39,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

33,08:00-08:15,39.1,365.23,52.06,111.41,0,28.1,2.79,0,82.48,0,11.32,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,32.89,0,0,0,0,0,42.74,12.62,19.36,27.2,31.05,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.4,123.5,9.39,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

34,08:15-08:30,39.1,365.23,52.06,111.41,0,28.1,2.79,0,82.48,0,11.32,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,32.89,0,0,0,0,0,42.74,12.62,19.36,27.2,31.05,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.4,123.5,9.68,117.8,402.89,37.4,0,0,0,0,5.18,0,0,0,0,0

35,08:30-08:45,39.1,365.23,52.06,111.41,0,24.98,2.79,0,63.68,0,9.17,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,32.89,0,0,0,0,0,42.74,12.62,19.36,27.2,31.05,42.8,0,3.43,43.65,58.3,0,0,20.4,0,0,0,161.74,0,30.75,0,0,0,0,0,0,0,77.04,0,124.41,11.4,123.5,8.99,95.39,402.89,37.4,0,0,0,0,3.52,0,0,0,0,0

36,08:45-09:00,39.1,365.23,52.06,111.41,0,22.01,2.79,0,63.68,0,8.75,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,32.89,0,0,0,0,0,42.74,12.62,19.36,27.2,31.05,42.8,0,3.43,43.65,58.3,0,0,20.4,0,0,0,161.74,0,30.75,0,0,0,0,0,0,0,77.04,0,124.41,11.4,123.5,8.99,95.39,402.89,37.4,0,0,0,0,3.52,0,0,0,0,0

37,09:00-09:15,39.1,365.23,52.06,111.41,0,18.56,2.79,0,52.63,0,7.81,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,35.18,0,0,0,0,0,42.74,12.62,19.36,27.2,31.05,42.8,0,3.43,43.65,58.3,0,0,20.4,0,0,0,161.74,0,30.75,0,0,0,0,0,0,0,77.04,0,124.41,11.4,123.5,11.75,95.39,402.89,37.4,0,0,0,0,3.52,0,0,0,0,0

38,09:15-09:30,39.1,365.23,52.06,111.41,0,18.56,2.79,0,52.63,0,7.81,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,35.18,0,0,0,0,0,42.74,12.62,19.36,27.2,31.05,42.8,0,3.43,43.65,58.3,0,0,20.4,0,0,0,161.74,0,30.75,0,0,0,0,0,0,0,77.04,0,124.41,11.4,123.5,11.9,95.39,402.89,37.4,0,0,0,0,3.52,0,0,0,0,0

39,09:30-09:45,39.1,365.23,52.06,111.41,0,18.56,2.79,0,52.63,0,7.81,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,35.18,0,0,0,0,0,42.74,12.62,19.36,24.62,20.68,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,30.75,0,0,0,0,0,0,0,77.04,0,124.41,11.4,123.5,12.04,95.39,402.89,37.4,0,0,0,0,3.52,0,0,0,0,0

40,09:45-10:00,39.1,365.23,52.06,111.41,0,18.56,2.79,0,52.63,0,7.81,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,35.18,0,0,0,0,0,42.74,12.62,19.36,24.62,20.68,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,30.75,0,0,0,0,0,0,0,77.04,0,124.41,11.4,123.5,12.04,95.39,402.89,37.4,0,0,0,0,3.52,0,0,0,0,0

41,10:00-10:15,39.1,365.23,52.06,111.41,0,18.56,2.79,0,52.63,0,7.81,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,35.18,0,0,0,0,0,42.74,12.62,19.36,12.31,20.68,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,30.75,0,0,0,0,0,0,0,77.04,0,124.41,11.4,123.5,12.04,95.39,402.89,37.4,0,0,0,0,3.52,0,0,0,0,0

42,10:15-10:30,39.1,365.23,52.06,111.41,0,18.56,2.79,0,52.63,0,7.81,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,35.18,0,0,0,0,0,42.74,12.62,19.05,0,20.68,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,30.75,0,0,0,0,0,0,0,77.04,0,124.41,11.4,123.5,12.04,95.39,402.89,37.4,0,0,0,0,3.52,0,0,0,0,0

43,10:30-10:45,39.1,365.23,52.06,111.41,0,18.56,2.79,0,52.63,0,7.81,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,35.18,0,0,0,0,0,42.74,12.62,16.88,0,20.68,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,36.35,0,0,0,0,0,0,0,77.04,0,135.71,11.4,123.5,12.04,107.44,402.89,37.4,0,0,0,0,3.52,0,0,0,0,0

44,10:45-11:00,39.1,365.23,52.06,111.41,0,18.56,2.79,0,52.63,0,7.81,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,35.18,0,0,0,0,0,42.74,12.62,19.36,0,20.68,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.13,0,0,0,0,0,0,0,77.04,0,135.71,11.4,123.5,12.04,117.8,402.89,37.4,0,0,0,0,3.52,0,0,0,0,0

45,11:00-11:15,39.1,365.23,52.06,111.41,0,24.66,2.79,0,69.79,0,9.88,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,35.18,0,0,0,0,0,42.74,6.31,19.36,0,20.68,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.4,123.5,12.04,117.8,402.89,28.05,0,0,0,0,3.52,0,0,0,0,0

46,11:15-11:30,39.1,365.23,52.06,111.41,0,24.66,2.79,0,69.79,0,9.88,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,35.18,0,0,0,0,0,42.74,6.31,19.36,0,20.68,42.8,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.4,123.5,12.04,117.8,402.89,28.05,0,0,0,0,3.52,0,0,0,0,0

47,11:30-11:45,39.1,365.23,52.06,111.41,0,24.66,2.79,0,69.79,0,9.88,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,35.18,0,0,0,0,0,42.74,6.31,18.28,0,20.68,28.53,0,3.43,43.65,58.3,0,0,14.96,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,104.82,11.4,123.5,12.04,117.8,402.89,28.05,0,0,0,0,3.52,0,0,0,0,0

