Time,Block,NR/2023/11954/A,NR/2023/11654/A,NR/2023/15158/C,NR/2023/11328/A,NR/2023/11325/A,NR/2023/15157/C,NR/2023/13573/A,NR/2023/11458/A,NR/2023/15195/C,ER/2023/9283/C,NR/2023/15162/C,NR/2023/15163/C,NR/2023/11315/A,NR/2023/13859/A,NR/2023/15134/D,NR/2023/11739/A,NR/2023/15149/C,NR/2023/15156/C,NR/2023/13983/F,NR/2023/11697/A,NR/2023/14688/F,NR/2023/11470/A,NR/2023/15125/D,NR/2023/12646/A,NR/2023/14187/F,NR/2023/13283/A,NR/2023/13983/F/II,NR/2023/15136/D,NR/2023/11469/A,NR/2023/14688/F/II,NR/2023/13858/A,NR/2023/15169/C,NR/2023/13284/A,NR/2023/15159/C,NR/2023/15122/D,NR/2023/15127/D,NR/2023/15121/D,NR/2023/11203/A,Total
,,KEIPL,TPTCL,PXIL,APPCPL,APPCPL,PXIL,NVVNL,STATKRAFT,HPXL,HPXL,HPXL,HPXL,GMRETL,MANIKARAN,SJVNL,NVVNL,GBHHPL,PXIL,ITCLH,APPCPL,GMRETL,NVVNL,TS1PL_BKN,MANIKARAN,GBHHPL,APPCPL,ITCLH,SJVNL,NVVNL,GMRETL,MANIKARAN,IEXL,APPCPL,IEXL,NVVNL,TS1PL_BKN,NVVNL,KEIPL,Total

,,MEGHALAYA,NA,UTTAR PRADESH,UTTARAKHAND,MEGHALAYA,DELHI,NA,TAMIL NADU,NA,DELHI,UTTAR PRADESH,NA,MEGHALAYA,HIMACHAL PRADESH,WEST BENGAL,MP,HIMACHAL PRADESH,MAHARASHTRA,ANDHRA PRADESH,HIMACHAL PRADESH,GOA,NA,NA,TAMIL NADU,HIMACHAL PRADESH,GOA,ANDHRA PRADESH,UTTAR PRADESH,NA,GOA,HIMACHAL PRADESH,UTTAR PRADESH,HIMACHAL PRADESH,KARNATAKA,NA,NA,NA,MEGHALAYA,
,,Meghalaya_Ben,JPL-2,LAPL-UP,UTTARAKHAND,Meghalaya_Ben,BYPL,SKS Raigarh,TANGEDCO,SIMHAPURI,BYPL,PPGCL,Teesta_III,Meghalaya_Ben,HP,IPCL_WB,JP BINA,GBHHPL,LMEL MSEB,ITCWIND,HP,GOA_Beneficiary,KAMENG,TS1PL_BKN,TANGEDCO,GBHHPL,GOA_Beneficiary,ITCWIND,BCMLB001,JPNIGRIE_JNSTPP,GOA_Beneficiary,HP,BCMLB001,HP,NSLSUGAR,SOLAPUR_SOLAR,TS1PL_BKN,KAMENG,Meghalaya_Ben,
,,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,BRPL,BRPL,BYPL,BYPL,ASIL_UP,NDMC,BYPL,BYPL,VLSEZ,BRPL,BRPL,BYPL,BRPL,NDMC,BRPL,DIAPL,BRPL,ITCLH,BYPL,TPDDL,BRPL,BYPL,BRPL,DIAPL,BRPL,ITCLH,NDMC,BRPL,TPDDL,BRPL,BRPL,BRPL,MES (Delhi),MES (Delhi),BRPL,TPDDL,BYPL,
,,North East-East-North,West-North,North-North,North-North,North East-East-North,North-North,West-North,South-West-North,South-East-North,North-East,North-North,East-North,North East-East-North,North-North,East-North,West-North,North-North,West-North,South-West-North,North-North,West-East-North,North East-East-North,North-North,South-West-North,North-North,West-North,South-East-North,North-North,West-North,West-North,North-North,North-North,North-North,South-West-North,West-North,North-North,North East-East-North,North East-East-North,
1,00:00-00:15,36.450000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,98.530000,0.000000,0.000000,0.000000,590.230000,22.220000,188.370000,0.000000,42.490000,3.190000,0.000000,0.630000,35.070000,24.150000,21.240000,0,23.120000,3.860000,24.150000,0.240000,0.000000,84.990000,0.000000,84.520000,0.000000,81.820000,6.760000,0,0,193.200000,63.030000,1916.13

2,00:15-00:30,36.450000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,98.530000,0.000000,0.000000,0.000000,590.230000,22.220000,188.370000,0.000000,42.490000,3.190000,0.000000,0.630000,35.070000,24.150000,21.240000,0,23.120000,3.860000,24.150000,0.240000,0.000000,84.990000,0.000000,84.520000,0.000000,81.820000,6.760000,0,0,193.200000,63.030000,1916.13
