Block,Time,DADRI_RF,DULHASTI,NAPP,TANAKPUR,DHAULIGNGA,CHAMERA2,SEWA2,BSIUL,UNCHAHAR1,RIHAND1,CHAMERA1,RAPPB,TEHRI,NJPC,JHAJJAR,AURY_RF,UNCHAHAR3,DADRT2,KOLDAM,DADRI_LF,SALAL,TANDA2,URI,ANTA_CRF,UNCHAHAR2,SINGRAULI_HYDRO,RIHAND3,RAPPC,ANTA_LF,AURY_GF,URI2,ANTA_RF,CHAMERA3,AURY_LF,UNCHAHAR4,DADRI_GF,AURY_CRF,RIHAND2,DADRI_CRF,ANTA_GF,KOTESHWR,RAMPUR,SINGRAULI,BRBCL,KHSTPP-II,KISHANGANGA,TALA,PARBATI3,KKNP,KAWAS-RLNG,TALST2,KAWAS-APM,VSTPS IV,KUDGI,SOLAPUR,KHARGONE-I,KHSTPP-I,VALLURNTECL,NLCIIST2,SIPAT I,GADARWARA-I,RSTPSU1TO6,LARA-I,KAWAS-ComGas,SIMHST2,KAWAS-NAPM,MAPS,KGSU1AND2,GANDHAR-RLNG,SASAN,VSTPS V,NNTPP,GANDHAR-NAPM,GANDHAR-ComGas,MOUDA,FSTPP I & II,RSTPSU7,VSTPS III,KGSU3AND4,KAWAS-zLIQ,MOUDA_II,GANDHAR-APM,KAPS,NLCTS2EXP,NTPL,SIPAT II,KSTPS I&II,NLCIIST1,KSTPS7,TAPS-II,NLCEXP,VSTPS II,VSTPS I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,36.554168,46.271052,2.476173,0.000000,29.821813,17.502089,12.668495,4.051181,92.676288,40.467355,0.000000,47.198389,20.793010,231.960000,0.000000,12.214570,355.938892,0.000000,0.000000,34.815263,0.000000,48.549228,0.000000,15.507633,1.079500,124.147022,62.775129,0.000000,0.000000,36.307528,0.000000,21.563004,0.000000,0.000000,0.000000,0.000000,118.328595,0.000000,0.000000,26.493419,0.641088,140.176011,11.939995,142.573852,4.133308,0.000000,0.000000,1.57,0.000000,2.93,0.000000,2.575988,9.02,1.700152,3.400305,26.876239,3.45,0.91,5.100457,2.060791,7.68,4.087237,0.000000,1.79,0.000000,0.23,1.93,0.000000,336.304306,1.274256,0.10,0.000000,0.000000,1.860319,14.135449,1.88,1.881042,2.11,0.000000,3.370763,0.000000,0.546886,0.93,3.65,1.795171,2.613286,0.79,1.287995,1.316072,1.72,1.864989,2.278575,0,0,0,0,0

2,00:15-00:30,0.000000,36.554168,46.271052,2.476173,0.000000,29.821813,17.502089,12.668495,4.051181,92.676288,25.960190,0.000000,47.198389,20.793010,231.960000,0.000000,12.214570,355.938892,0.000000,0.000000,34.815263,0.000000,48.549228,0.000000,15.507633,1.079500,124.147022,62.775129,0.000000,0.000000,36.307528,0.000000,21.563004,0.000000,0.000000,0.000000,0.000000,118.328595,0.000000,0.000000,26.493419,0.641088,140.176011,13.546565,142.573852,4.133308,0.000000,0.000000,1.57,0.000000,2.93,0.000000,2.575988,9.02,1.700152,3.400305,26.876239,3.45,0.93,5.100457,2.060791,7.68,4.087237,0.000000,1.79,0.000000,0.23,1.93,0.000000,337.284338,1.274256,0.10,0.000000,0.000000,1.860319,14.135449,1.88,1.881042,2.11,0.000000,3.370763,0.000000,0.546886,0.93,3.65,1.795171,2.613286,0.79,1.287995,1.316072,1.72,1.864989,2.278575,0,0,0,0,0

3,00:30-00:45,0.000000,36.554168,46.271052,2.476173,0.000000,29.821813,17.502089,12.668495,4.051181,92.676288,25.960190,0.000000,47.198389,20.793010,231.960000,0.000000,12.110503,355.276555,0.000000,0.000000,34.815263,0.000000,48.549228,0.000000,15.116188,1.059132,124.147022,62.775129,0.000000,0.000000,36.307528,0.000000,21.563004,0.000000,0.000000,0.000000,0.000000,118.328595,0.000000,0.000000,26.493419,0.641088,137.878045,14.103208,109.152524,4.133308,0.000000,0.000000,1.57,0.000000,2.93,0.000000,2.575988,9.02,1.700152,3.400305,25.803543,3.45,0.93,5.100457,2.060791,7.68,4.087237,0.000000,1.79,0.000000,0.23,1.93,0.000000,337.284338,1.274256,0.10,0.000000,0.000000,1.860319,10.598448,1.88,1.881042,2.11,0.000000,3.370763,0.000000,0.546886,0.93,3.65,1.795171,2.613286,0.79,1.287995,1.316072,1.72,1.864989,2.278575,0,0,0,0,0

4,00:45-01:00,0.000000,36.554168,46.271052,2.476173,0.000000,29.821813,17.502089,12.668495,4.051181,92.676288,25.960190,0.000000,47.198389,20.793010,231.960000,0.000000,12.110503,355.276555,0.000000,0.000000,34.815263,0.000000,48.549228,0.000000,15.116188,1.059132,124.147022,62.775129,0.000000,0.000000,36.307528,0.000000,21.563004,0.000000,0.000000,0.000000,0.000000,118.328595,0.000000,0.000000,26.493419,0.641088,137.878045,12.496332,94.514808,4.133308,0.000000,0.000000,1.57,0.000000,2.93,0.000000,2.575988,9.02,1.700152,3.400305,20.478235,3.45,0.93,5.100457,2.060791,7.68,4.087237,0.000000,1.79,0.000000,0.23,1.93,0.000000,337.284338,1.274256,0.10,0.000000,0.000000,1.860319,4.832500,1.88,1.881042,2.11,0.000000,3.370763,0.000000,0.546886,0.93,3.65,1.795171,2.613286,0.79,1.287995,1.316072,1.72,1.864989,2.278575,0,0,0,0,0

5,01:00-01:15,0.000000,36.554168,46.271052,2.476173,0.000000,29.821813,17.502089,12.668495,4.051181,92.676288,12.216560,0.000000,47.198389,0.000000,233.442187,0.000000,13.825179,333.967553,0.000000,0.000000,34.815263,0.000000,48.549228,0.000000,19.659889,1.059132,124.147022,62.775129,0.000000,0.000000,35.283775,0.000000,21.563004,0.000000,0.000000,0.000000,0.000000,118.328595,0.000000,0.000000,17.662279,0.000000,137.878045,10.835818,94.514808,4.133308,0.000000,0.000000,1.57,0.000000,2.93,0.000000,2.575988,9.02,1.700152,3.400305,12.564500,3.45,0.93,5.100457,2.060791,7.68,4.087237,0.000000,1.79,0.000000,0.23,1.93,0.000000,337.284338,1.274256,0.10,0.000000,0.000000,1.860319,4.832500,1.88,1.881042,2.11,0.000000,3.370763,0.000000,0.546886,0.93,3.65,1.795171,2.613286,0.79,1.287995,1.316072,1.72,1.864989,2.278575,0,0,0,0,0

