Block,Time,DADRI_RF,UNCHAHAR3,JHAJJAR,DULHASTI,URI2,DADRT2,URI,AURY_CRF,BSIUL,TEHRI,KOLDAM,ANTA_LF,RIHAND1,AURY_GF,DADRI_CRF,RAMPUR,SEWA2,RIHAND3,DADRI_GF,UNCHAHAR1,UNCHAHAR2,AURY_LF,NAPP,ANTA_RF,ANTA_GF,CHAMERA2,DHAULIGNGA,TANAKPUR,DADRI_LF,PARBATI3,CHAMERA3,KOTESHWR,TANDA2,CHAMERA1,UNCHAHAR4,SALAL,RIHAND2,SINGRAULI,NJPC,AURY_RF,RAPPB,RAPPC,ANTA_CRF,KISHANGANGA,SINGRAULI_HYDRO,SASAN,KHSTPP-I,KHSTPP-II,TALA,BRBCL,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,1.946317,26.157510,10.894219,57.246285,34.008786,663.168127,33.642302,0.000000,18.924666,9.635463,6.729333,0.000000,22.657016,0.000000,0.000000,2.056015,18.187717,123.227412,0.000000,21.505302,21.137690,0.000000,48.400546,0.773920,0.000000,46.918734,21.009712,11.772774,0.000000,0.000000,33.695754,8.921851,5.183415,40.774053,1.441426,76.788555,117.519752,120.927455,53.252796,0.732879,0.000000,66.586408,0.000000,5.379164,0.754252,385.599594,44.886470,95.645145,0.000000,19.348024,20.121920,0,0,0,0,0

2,00:15-00:30,0.000000,26.157510,0.000000,57.246285,34.008786,663.168127,33.642302,0.000000,18.924666,9.635463,4.486223,0.000000,22.998868,0.000000,0.000000,2.056015,18.187717,123.227412,0.000000,21.505302,21.137690,0.000000,48.400546,0.000000,0.000000,46.918734,21.009712,11.772774,0.000000,0.000000,33.695754,8.921851,5.183415,40.774053,1.441426,76.788555,117.519752,122.485569,53.252796,0.000000,0.000000,66.586408,0.000000,5.379164,0.754252,386.355375,44.886470,95.645145,0.000000,19.348024,20.121920,0,0,0,0,0

3,00:30-00:45,0.000000,23.681952,0.000000,57.246285,34.008786,596.632830,33.642302,0.000000,18.924666,0.000000,4.486223,0.000000,22.998868,0.000000,0.000000,2.056015,18.187717,123.227412,0.000000,19.140880,21.109055,0.000000,48.400546,0.000000,0.000000,46.918734,21.009712,11.772774,0.000000,0.000000,33.695754,8.921851,5.183415,40.774053,1.441426,76.788555,117.519752,124.043683,53.252796,0.000000,0.000000,66.586408,0.000000,5.379164,0.754252,386.355375,44.886470,95.645145,0.000000,18.559601,20.121920,0,0,0,0,0

4,00:45-01:00,0.000000,23.681952,0.000000,57.246285,34.008786,593.105298,33.642302,0.000000,18.924666,0.000000,2.243111,0.000000,22.998868,0.000000,0.000000,2.056015,18.187717,123.227412,0.000000,19.140880,21.109055,0.000000,48.400546,0.000000,0.000000,46.918734,21.009712,2.602403,0.000000,0.000000,33.695754,8.921851,5.183415,40.774053,1.441426,76.788555,117.519752,124.098072,53.252796,0.000000,0.000000,66.586408,0.000000,5.379164,0.754252,386.355375,44.886470,95.645145,0.000000,17.723376,20.121920,0,0,0,0,0

5,01:00-01:15,0.000000,23.681952,0.000000,57.246285,34.008786,593.105298,33.642302,0.000000,18.924666,0.000000,0.000000,0.000000,22.998868,0.000000,0.000000,2.056015,18.187717,123.227412,0.000000,19.140880,21.109055,0.000000,48.400546,0.000000,0.000000,46.918734,21.009712,2.602403,0.000000,0.000000,33.695754,8.921851,5.183415,40.774053,1.441426,76.788555,117.519752,124.098072,53.252796,0.000000,0.000000,66.586408,0.000000,5.379164,0.754252,386.355375,44.886470,95.645145,0.000000,16.689291,20.121920,0,0,0,0,0

6,01:15-01:30,0.000000,23.681952,0.000000,57.246285,34.008786,593.105298,33.642302,0.000000,18.924666,0.000000,0.000000,0.000000,22.998868,0.000000,0.000000,2.056015,18.187717,123.227412,0.000000,19.140880,21.109055,0.000000,48.400546,0.000000,0.000000,46.918734,21.009712,2.602403,0.000000,4.132821,33.695754,8.921851,5.183415,40.774053,1.441426,76.788555,117.519752,124.098072,53.252796,0.000000,0.000000,66.586408,0.000000,5.379164,0.754252,386.355375,44.886470,95.645145,0.000000,15.215409,20.121920,0,0,0,0,0

7,01:30-01:45,0.000000,23.681952,0.000000,57.246285,34.008786,593.105298,33.642302,0.000000,18.924666,0.000000,0.000000,0.000000,22.998868,0.000000,0.000000,2.056015,18.187717,123.227412,0.000000,19.140880,18.971101,0.000000,48.400546,0.000000,0.000000,46.918734,21.009712,2.602403,0.000000,4.132821,33.695754,8.921851,5.183415,40.774053,1.441426,76.788555,117.519752,124.098072,53.252796,0.000000,0.000000,66.586408,0.000000,5.379164,0.754252,386.355375,44.886470,95.645145,0.000000,16.839552,20.121920,0,0,0,0,0

8,01:45-02:00,0.000000,23.681952,0.000000,57.246285,34.008786,595.462851,33.642302,0.000000,18.924666,0.000000,0.000000,0.000000,22.998868,0.000000,0.000000,2.056015,18.187717,123.227412,0.000000,19.433034,18.971101,0.000000,48.400546,0.000000,0.000000,46.918734,21.009712,2.602403,0.000000,4.132821,33.695754,8.921851,5.183415,40.774053,1.441426,76.788555,117.519752,124.098072,53.252796,0.000000,0.000000,66.586408,0.000000,5.379164,0.754252,386.355375,44.886470,95.645145,0.000000,15.745866,20.121920,0,0,0,0,0

9,02:00-02:15,0.000000,21.264129,3.115878,57.246285,34.008786,595.462851,33.642302,0.000000,18.924666,0.000000,0.000000,0.000000,22.998868,0.000000,0.000000,2.056015,18.187717,123.227412,0.000000,17.168545,18.971101,0.000000,48.400546,0.000000,0.000000,46.918734,21.009712,2.602403,0.000000,4.132821,33.695754,8.921851,5.183415,40.774053,1.441426,76.788555,117.519752,124.098072,53.252796,0.000000,0.000000,66.586408,0.000000,5.379164,0.754252,386.355375,44.886470,95.645145,0.000000,14.332090,20.121920,0,0,0,0,0

10,02:15-02:30,0.000000,24.121732,0.000000,57.246285,34.008786,595.462851,33.642302,0.000000,18.924666,0.000000,0.000000,0.000000,22.998868,0.000000,0.000000,2.056015,18.187717,123.227412,0.000000,19.433034,17.058938,0.000000,48.400546,0.000000,0.000000,46.918734,21.009712,2.602403,0.000000,4.132821,33.695754,8.921851,5.183415,40.774053,1.441426,76.788555,117.519752,124.098072,53.252796,0.000000,0.000000,66.586408,0.000000,5.379164,0.754252,386.355375,44.886470,95.645145,0.000000,15.172953,20.121920,0,0,0,0,0

11,02:30-02:45,0.000000,24.121732,0.000000,57.246285,34.008786,595.462851,33.642302,0.000000,18.924666,0.000000,0.000000,0.000000,35.755922,0.000000,0.000000,2.056015,18.187717,123.227412,0.000000,19.433034,18.622450,0.000000,48.400546,0.000000,0.000000,46.918734,21.009712,2.602403,0.000000,4.132821,33.695754,8.921851,5.183415,40.774053,2.989266,76.788555,117.519752,124.098072,53.252796,0.000000,0.000000,66.586408,0.000000,5.379164,0.754252,386.355375,44.886470,95.645145,0.000000,14.134127,20.121920,0,0,0,0,0

12,02:45-03:00,0.000000,24.121732,0.000000,57.246285,34.008786,595.462851,33.642302,0.000000,18.924666,0.000000,0.000000,0.000000,47.068564,0.000000,0.000000,2.056015,18.187717,123.227412,0.000000,19.433034,21.718130,0.000000,48.400546,0.000000,0.000000,46.918734,21.009712,2.602403,0.000000,4.132821,33.695754,8.921851,5.183415,40.774053,2.989266,76.788555,117.519752,124.098072,53.252796,0.000000,0.000000,66.586408,0.000000,5.379164,0.754252,386.355375,44.886470,95.645145,0.000000,14.419625,20.121920,0,0,0,0,0

