Column1,Time,GNA/SR/2025/02/01/7432,GNA/SR/2025/02/01/6460,GNA/NR/2025/02/01/4863,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/9969,GNA/NR/2025/02/01/2594,NR/01102023/05012040/L_NR_2020_02,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,GNARE/NR/2024/12/20/3668,GNARE/SR/2025/01/13/4532,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,GNA/WR/2025/01/01/8625,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,GNA/NR/2025/02/16/1380,GNA/NR/2025/02/16/1676,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31102037/L_NR_2019_11,GNA/WR/2025/01/01/9606,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,GNA/WR/2024/11/01/4200,NR/30092023/31122025/SH-07
1,00:00-00:15,0,75,8.65,8.65,23.07,23.07,23.07,1.2,0,0,0,0,0,0,0,7,0,0,0,0,26.99,7.93,23.78,9.67,0,12,12,28.34,36,0,0,0,28.33,0,64.13,0.62,134.57,271.78,0.92,0,0,70.12,1.19,0,0,0,26.99

2,00:15-00:30,0,75,8.65,8.65,23.07,23.07,23.07,1.2,0,0,0,0,0,0,0,6.6,0,0,0,0,26.99,7.93,23.78,9.67,0,12,12,28.34,36,0,0,0,28.33,0,64.13,0.62,134.57,271.78,0.92,0,0,70.12,1.19,0,0,0,26.99

3,00:30-00:45,0,75,8.65,8.65,23.07,23.07,23.07,1.2,0,0,0,0,0,0,0,6.6,0,0,0,0,26.99,7.93,23.78,9.33,0,12.17,12.17,28.66,36.49,0,0,0,28.67,0,64.13,0.62,134.57,271.78,0,0,0,70.12,1.19,0,0,0,26.99

4,00:45-01:00,0,75,8.65,8.65,23.07,23.07,23.07,1.2,0,0,0,0,0,0,0,6.6,0,0,0,0,26.99,7.93,23.78,9,0,12.33,12.33,28.66,37.01,0,0,0,28.67,0,64.13,0.62,134.57,271.78,0,0,0,70.12,1.19,0,0,0,26.99

5,01:00-01:15,0,75,8.65,8.65,23.07,23.07,23.07,1.2,0,0,0,0,0,0,0,6.6,0,0,0,0,26.99,7.93,23.78,9,0,12.5,12.5,28.66,37.5,0,0,0,28.67,0,59.43,0.62,134.57,271.78,0.92,0,0,70.12,1.19,0,0,0,26.99

6,01:15-01:30,0,75,8.65,8.65,23.07,23.07,23.07,1.2,0,0,0,0,0,0,0,6.6,0,0,0,0,26.99,7.93,23.78,9.33,0,12.83,12.83,29,38.51,0,0,0,29,0,59.43,0.62,134.57,271.78,0.92,0,0,70.12,1.19,0,0,0,26.99

7,01:30-01:45,0,75,8.65,8.65,23.07,23.07,23.07,1.2,0,0,0,0,0,0,0,6.6,0,0,0,0,26.99,7.93,23.78,9.67,0,13.17,13.17,28.66,39.49,0,0,0,28.67,0,59.43,0.62,134.57,271.78,0.92,0,0,70.12,1.19,0,0,0,26.99

8,01:45-02:00,0,75,8.65,8.65,23.07,23.07,23.07,1.2,0,0,0,0,0,0,0,6.6,0,0,0,0,26.99,7.93,23.78,10.33,0,13.5,13.5,28,40.5,0,0,0,28,0,59.43,0.62,134.57,271.78,0.92,0,0,70.12,1.19,0,0,0,26.99

