Block,Time,NR/01102023/31052040/LT-31,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/06022042/L_NR_2012_02,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/31102037/L_NR_2019_11,NR/01102023/23072042/L_NR_2012_04,WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,NR/01102023/22052037/LT-59,WR/01102023/16072048/L_NR_2022_08,NR/01102023/05012040/L_NR_2020_02,SR/01102023/07102043/L_NR_2018_61,NR/01102023/13082046/L_NR_2021_12,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/30052048/L_NR_2022_10,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/14082046/L_NR_2021_16,NR/01102023/19072037/LT-05,NR/01102023/08032047/L_NR_2021_14,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,NR/01102023/25072045/L_NR_2021_15,NR/01102023/06022042/L_NR_2012_07,WR/01102023/01102023/L_NR_2020_06,NR/01102023/02122045/L_NR_2021_13,NR/16122023/22122023/HP-20,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_16,NR/01102023/30042040/GNA_LT_36,NR/30092023/26122029/SH-06,SR/01122023/31122023/BYPL_KSEB_DEC23,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_17,WR/01102023/31032046/L_NR_2020_05,NR/16122023/22122023/HP-16,WR/01102023/29112042/RUMS(L_NR_2019_07)
1,00:00-00:15,0.000000,25.850000,22.980000,0.000000,0.000000,169.720000,95.760000,1.220000,148.120000,0,0,1.080000,15.18,1.750000,32.65,0,100.300000,29.91,0,0,0,69.820000,0,0,17.59,0,56.130000,17.58,0,127.340000,29.91,0,0.000000,25.850000,47.88,0,0,52.76,133.370000,0

2,00:15-00:30,0.000000,25.850000,22.980000,0.000000,0.000000,169.720000,95.760000,1.220000,148.120000,0,0,1.080000,14.84,1.750000,32.63,0,100.300000,28.85,0,0,0,69.820000,0,0,17.52,0,56.130000,17.51,0,127.340000,28.85,0,0.000000,25.850000,47.88,0,0,52.56,133.370000,0

3,00:30-00:45,0.000000,25.850000,22.980000,0.000000,0.000000,169.720000,95.760000,1.220000,148.120000,0,0,1.080000,14.43,1.750000,23.48,0,100.300000,27.7,0,0,0,69.820000,0,0,17.25,0,56.130000,17.26,0,127.340000,27.7,0,0.000000,25.850000,47.88,0,0,51.76,133.370000,0

4,00:45-01:00,0.000000,25.850000,22.980000,0.000000,0.000000,169.720000,95.760000,1.220000,148.120000,0,0,1.080000,9.78,1.750000,23.36,0,100.300000,26.51,0,0,0,69.820000,0,0,11.69,0,56.130000,11.68,0,127.340000,26.51,0,0.000000,25.850000,47.88,0,0,35.06,133.370000,0

5,01:00-01:15,0.000000,25.850000,22.980000,0.000000,0.000000,169.720000,95.760000,1.220000,148.120000,0,0,1.080000,9.49,1.750000,23.24,0,100.300000,25.11,0,0,0,69.820000,0,0,11.44,0,32.560000,11.44,0,127.340000,25.11,0,0.000000,25.850000,47.88,0,0,34.33,133.370000,0

