Block,Time,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,NR/01082024/31082024/jitpl,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31052040/LT-31,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/31102037/L_NR_2019_11,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01102023/25122043/GNA_MEJA_DELHI,NR/01082024/15082024/APL-Raigarh,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug'24,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_36,NR/01082024/31082024/SKS-Raigarh,NR/01102023/23072042/L_NR_2012_04,NR/02082024/02082024/HPX-TAMCTG-010824-01953,NR/01082024/30082024/	NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/30042040/GNA_LT_35,NR/01102023/22052037/LT-59,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/25072045/L_NR_2021_15,NR/01102023/14082046/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,SR/01102023/07102043/L_NR_2018_61,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_17
1,00:00-00:15,13.610000,6.120000,70.190000,86.880000,12.170000,30.820000,100.350000,0.000000,7.930000,5.740000,38.530000,48.160000,0.000000,192.640000,272.340000,48.160000,261.510000,28.260000,30.820000,0.000000,12.410000,0.000000,96.320000,0.000000,0.000000,0.000000,30,80,0,0,0,0,0,0,0,0,80,0,40.01,0,0,0,0,0,0,0,0

2,00:15-00:30,13.610000,6.120000,70.190000,86.880000,12.170000,30.820000,100.350000,0.000000,7.930000,5.740000,38.530000,48.160000,0.000000,192.640000,272.340000,48.160000,261.510000,28.260000,30.820000,0.000000,12.410000,0.000000,96.320000,0.000000,0.000000,0.000000,30,80,0,0,0,0,0,0,0,0,80,0,40.01,0,0,0,0,0,0,0,0

3,00:30-00:45,13.610000,6.120000,70.190000,86.880000,12.170000,30.820000,100.350000,0.000000,7.930000,5.740000,38.530000,48.160000,0.000000,192.640000,272.340000,48.160000,261.510000,28.260000,30.820000,0.000000,12.410000,0.000000,96.320000,0.000000,0.000000,0.000000,30,80,0,0,0,0,0,0,0,0,80,0,40.01,0,0,0,0,0,0,0,0

4,00:45-01:00,13.610000,6.120000,70.190000,86.880000,12.170000,30.820000,100.350000,0.000000,7.930000,5.740000,38.530000,48.160000,0.000000,192.640000,272.340000,48.160000,261.510000,28.260000,30.820000,0.000000,12.410000,0.000000,96.320000,0.000000,0.000000,0.000000,30,80,0,0,0,0,0,0,0,0,80,0,40.01,0,0,0,0,0,0,0,0

5,01:00-01:15,13.610000,5.560000,70.190000,86.880000,12.170000,30.820000,100.350000,0.000000,7.930000,5.560000,38.530000,48.160000,0.000000,192.640000,272.340000,48.160000,261.510000,28.260000,30.820000,0.000000,12.410000,0.000000,0.000000,0.000000,0.000000,0.000000,29.34,80,0,0,0,0,0,0,0,0,80,0,40.01,0,0,0,0,0,0,0,0

6,01:15-01:30,13.610000,5.560000,70.190000,76.370000,12.170000,30.820000,52.980000,0.000000,7.930000,5.560000,38.530000,48.160000,0.000000,192.640000,272.340000,48.160000,261.510000,28.260000,30.820000,0.000000,12.410000,0.000000,0.000000,0.000000,0.000000,0.000000,29.34,80,0,0,0,0,0,0,0,0,80,0,40.01,0,0,0,0,0,0,0,0

7,01:30-01:45,13.610000,5.560000,70.190000,76.370000,12.170000,5.570000,52.980000,0.000000,7.930000,5.560000,38.530000,48.160000,0.000000,192.640000,272.340000,48.160000,246.170000,28.260000,5.570000,0.000000,12.410000,0.000000,0.000000,0.000000,0.000000,0.000000,29.34,80,0,0,0,0,0,0,0,0,80,0,40.01,0,0,0,0,0,0,0,0

8,01:45-02:00,13.610000,5.560000,70.190000,76.370000,12.170000,5.570000,52.980000,0.000000,7.930000,5.560000,38.530000,48.160000,0.000000,192.640000,272.340000,48.160000,231.730000,28.260000,5.570000,0.000000,12.410000,0.000000,0.000000,0.000000,0.000000,0.000000,29.34,80,0,0,0,0,0,0,0,0,80,0,39.61,0,0,0,0,0,0,0,0

9,02:00-02:15,13.610000,5.370000,70.190000,76.370000,12.170000,17.410000,52.980000,0.000000,7.930000,5.370000,38.530000,48.160000,0.000000,192.640000,272.340000,48.160000,225.950000,28.260000,17.410000,0.000000,12.410000,0.000000,0.000000,0.000000,0.000000,0.000000,30,83.33,0,0,0,0,0,0,0,0,83.33,0,39.01,0,0,0,0,0,0,0,0

10,02:15-02:30,13.610000,5.370000,70.190000,76.370000,12.170000,17.410000,52.980000,0.000000,7.930000,5.370000,38.530000,48.160000,0.000000,192.640000,272.340000,48.160000,225.950000,28.760000,17.410000,0.000000,12.410000,0.000000,0.000000,0.000000,0.000000,0.000000,30,83.33,0,0,0,0,0,0,0,0,83.33,0,38.21,0,0,0,0,0,0,0,0

11,02:30-02:45,13.610000,5.100000,70.190000,76.370000,12.170000,25.560000,52.980000,0.000000,7.930000,5.370000,38.530000,48.160000,0.000000,192.640000,272.340000,48.160000,225.950000,28.760000,25.560000,0.000000,12.410000,0.000000,0.000000,0.000000,0.000000,0.000000,35,83.33,0,0,0,0,0,10.83,10.84,0,83.33,0,31.02,0,0,0,0,0,32.5,0,0

12,02:45-03:00,13.610000,5.100000,70.190000,76.370000,12.170000,25.560000,52.980000,0.000000,7.930000,5.370000,38.530000,48.160000,0.000000,192.640000,272.340000,48.160000,225.950000,28.760000,25.560000,0.000000,12.410000,0.000000,0.000000,0.000000,0.000000,0.000000,35,83.33,0,0,0,0,0,15.83,15.84,0,83.33,0,31.22,0,0,0,0,0,47.5,0,0

13,03:00-03:15,16.830000,4.910000,70.190000,76.370000,12.170000,25.560000,52.980000,0.000000,7.930000,5.190000,0.000000,48.160000,0.000000,192.640000,272.340000,48.160000,225.950000,29.770000,25.560000,0.000000,12.410000,0.000000,0.000000,0.000000,0.000000,0.000000,35,83.33,0,0,0,0,0,19.17,19.16,0,83.33,0,31.62,0,0,0,0,0,57.5,0,0

14,03:15-03:30,16.830000,4.910000,70.190000,76.370000,12.170000,25.560000,52.980000,0.000000,7.930000,5.190000,0.000000,48.160000,0.000000,192.640000,272.340000,48.160000,225.950000,29.770000,25.560000,0.000000,12.410000,0.000000,0.000000,0.000000,0.000000,0.000000,35,83.33,0,0,0,0,0,20.83,20.84,0,83.33,0,32.02,0,0,0,0,0,62.5,0,0

15,03:30-03:45,16.830000,4.910000,70.190000,76.370000,12.170000,25.560000,52.980000,0.000000,7.930000,5.190000,0.000000,48.160000,0.000000,192.640000,272.340000,48.160000,225.950000,29.770000,25.560000,0.000000,12.410000,0.000000,0.000000,0.000000,0.000000,0.000000,35,83.33,0,0,0,0,0,21.67,21.66,0,83.33,0,30.02,0,0,0,0,0,65,0,0

16,03:45-04:00,16.830000,4.910000,70.190000,76.370000,12.170000,25.560000,52.980000,0.000000,7.930000,5.190000,0.000000,48.160000,0.000000,192.640000,272.340000,48.160000,225.950000,29.770000,25.560000,0.000000,12.410000,0.000000,0.000000,0.000000,0.000000,0.000000,35,83.33,0,0,0,0,0,26.33,26.34,0,83.33,0,30.42,0,0,0,0,0,79,0,0

