Time,Block,NR/2023/11738/C,NR/2023/11343/F,NR/2023/10197/A,NR/2023/11104/F,NR/2023/11099/F,NR/2023/11694/D,NR/2023/11711/C,NR/2023/11154/F,NR/2023/11732/C,NR/2023/10486/A,NR/2023/10433/A,NR/2023/11096/F,NR/2023/10181/A,NR/2023/11221/F,NR/2023/11730/C,NR/2023/11097/F,NR/2023/11367/F,NR/2023/11733/C,NR/2023/11102/F,NR/2023/11720/C,NR/2023/11369/F,NR/2023/11718/C,NR/2023/11368/F,NR/2023/11726/C,NR/2023/11729/C,NR/2023/11100/F,NR/2023/10182/A,NR/2023/11341/F,NR/2023/11166/F,NR/2023/11731/C,NR/2023/11095/F,NR/2023/11704/D,NR/2023/11707/D,NR/2023/11736/C,NR/2023/11705/D,Total
,,TPDDL,IEXL,TPTCL,SHPPBPL,SHPPBPL,TPTCL,GBHHPL,HPXL,HPXL,TPTCL,NVVNL,SHPPBPL,NVVNL,IEXL,IEXL,SHPPBPL,SHPPBPL,HPXL,SHPPBPL,SJVNL,SHPPBPL,TPDDL,SHPPBPL,HPXL,HPXL,SHPPBPL,NVVNL,IEXL,IEXL,IEXL,APPCPL,TS1PL_BKN,TS1PL_BKN,HPXL,NVVNL,Total

,,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,KARNATAKA,NA,NA,NA,HIMACHAL PRADESH,NA,KARNATAKA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,WEST BENGAL,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,ANDHRA PRADESH,HIMACHAL PRADESH,NA,TELANGANA,KARNATAKA,NA,MANIPUR,NA,NA,NA,NA,
,,CHANJUII,JSPL_DCPP,JPL,SHPPBPL,SHPPBPL,MAHAN ENERGEN,GBHHPL,NIRANISUGAR,Teesta_III,APNRL,SEIL,SHPPBPL,ILFS,KPRSUGAR,MALANA,SHPPBPL,SHPPBPL,SIMHAPURI,SHPPBPL,IPCL_WB,SHPPBPL,CHANJUII,SHPPBPL,Teesta_III,LVSPOWERAP,SHPPBPL,JPNIGRIE_JNSTPP,NAVABHARAT,VISHWARAJSUGAR,ADHPL,Manipur_Ben,TS1PL_BKN,TS1PL_BKN,RSRPL_BKN,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,TPDDL,BRPL,BRPL,AISHER,UHL,TPDDL,DIAPL,BRPL,BYPL,TPDDL,TPDDL,MAX-HPTL,BRPL,BRPL,BYPL,MHIL,BAL184,BYPL,JHPL-DL,NDMC,BAL234,TPDDL,BAL224,BRPL,BYPL,BMDRC,BRPL,BRPL,BRPL,BYPL,STT,BYPL,BRPL,BYPL,MES (Delhi),
,,North-North,West-North,West-North,North-North,North-North,West-North,North-North,South-East-North,East-North,East-North,South-West-North,North-North,South-West-North,South-West-North,North-North,North-North,North-North,South-East-North,North-North,East-North,North-North,North-North,North-North,East-North,South-East-North,North-North,West-North,South-West-North,South-West-North,North-North,North East-East-North,North-North,North-North,North-North,West-North,
1,00:00-00:15,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,42.370000,20.560000,24.070000,0.530000,99.660000,17.330000,33.700000,0.360000,0.310000,48.140000,0.600000,0.000000,0.610000,9.630000,0.310000,72.220000,0.000000,0.530000,49.830000,115.550000,14.440000,47.180000,2.890000,0,0,0,0,757.02

2,00:15-00:30,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,48.140000,20.560000,24.070000,0.530000,99.660000,17.330000,33.700000,0.360000,0.310000,48.140000,0.600000,0.000000,0.610000,9.630000,0.310000,35.630000,0.000000,0.530000,49.830000,115.550000,14.440000,47.180000,2.890000,0,0,0,0,726.2

3,00:30-00:45,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,33.700000,20.560000,24.070000,0.530000,99.660000,17.330000,33.700000,0.360000,0.310000,48.140000,0.600000,0.000000,0.610000,9.630000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,47.180000,2.890000,0,0,0,0,676.13

4,00:45-01:00,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,14.440000,20.560000,24.070000,0.530000,99.660000,17.330000,33.700000,0.360000,0.310000,48.140000,0.600000,0.000000,0.610000,9.630000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,47.180000,2.890000,0,0,0,0,656.87

5,01:00-01:15,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,57.770000,20.560000,24.070000,0.530000,99.660000,17.330000,33.700000,0.360000,0.310000,48.140000,0.600000,0.000000,0.610000,9.630000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,0,0,0,0,653.02

6,01:15-01:30,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,57.770000,20.560000,24.070000,0.530000,99.660000,17.330000,33.700000,0.360000,0.310000,48.140000,0.600000,0.000000,0.610000,9.630000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,0,0,0,0,653.02

7,01:30-01:45,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,52.960000,20.560000,24.070000,0.530000,99.660000,17.330000,33.700000,0.360000,0.310000,48.140000,0.600000,0.000000,0.610000,9.630000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,0,0,0,0,648.21

8,01:45-02:00,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,52.960000,20.560000,24.070000,0.530000,99.660000,17.330000,33.700000,0.360000,0.310000,48.140000,0.600000,0.000000,0.610000,9.630000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,0,0,0,0,648.21

9,02:00-02:15,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,38.520000,20.560000,24.070000,0.530000,99.660000,17.330000,33.700000,0.360000,0.310000,48.140000,0.600000,0.000000,0.610000,9.560000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,0,0,0,0,633.7

10,02:15-02:30,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,24.070000,20.560000,24.070000,0.530000,99.660000,17.330000,33.700000,0.360000,0.310000,48.140000,0.600000,0.000000,0.610000,9.560000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,0,0,0,0,619.25

11,02:30-02:45,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,14.440000,20.560000,24.070000,0.530000,99.660000,17.330000,33.700000,0.360000,0.310000,48.140000,0.600000,0.000000,0.610000,9.560000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,0,0,0,0,609.62

12,02:45-03:00,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,0.000000,20.560000,24.070000,0.530000,99.660000,17.330000,33.700000,0.360000,0.310000,48.140000,0.600000,0.000000,0.610000,9.560000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,0,0,0,0,595.18

13,03:00-03:15,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,19.260000,20.560000,24.070000,0.530000,99.660000,17.330000,0.000000,0.360000,0.310000,48.140000,0.600000,0.000000,0.610000,9.560000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,0,0,0,0,580.74

14,03:15-03:30,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,0.000000,20.560000,24.070000,0.530000,99.660000,17.330000,0.000000,0.360000,0.310000,48.140000,0.600000,0.000000,0.610000,9.560000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,0,0,0,0,561.48

15,03:30-03:45,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,0.000000,20.560000,24.070000,0.530000,99.660000,17.330000,0.000000,0.360000,0.310000,48.140000,0.600000,0.000000,0.610000,9.560000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,0,0,0,0,561.48

16,03:45-04:00,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,0.000000,20.560000,24.070000,0.530000,99.660000,17.330000,0.000000,0.360000,0.310000,48.140000,0.600000,0.000000,0.610000,9.560000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,0,0,0,0,561.48

