Block,Time,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,NR/01032024/22032024/HP-59,NR/16032024/22032024/HP-63,NR/01102023/23072042/L_NR_2012_04,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_35,NR/01012024/31032024/ ChanjuII,NR/01032024/22032024/HP-56,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,NR/01102023/05012040/L_NR_2020_02,NR/01032024/31032024/NVVN/OA/16997,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,WR/01102023/16072048/L_NR_2022_08,NR/01032024/31032024/SJVN010324NR1588,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/16032024/31032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,SR/01032024/31032024/SJVN010324NR1590,NR/01102023/08032047/L_NR_2021_14,SR/01102023/07102043/L_NR_2018_61,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,NR/01102023/25072045/L_NR_2021_15,WR/16032024/31032024/TPDDL/PMG/MSEDCL/Banking/12112023,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/01032024/31032024/SJVN010324NR1589,WR/01102023/24112044/L_NR_2020_07,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2022_09,NR/01102023/14082046/L_NR_2021_16
1,00:00-00:15,25.990000,30.800000,32.760000,78.560000,238.720000,0.000000,0.000000,25.140000,99.740000,260.480000,0.000000,5.790000,76.520000,0.000000,86.830000,1.390000,48.130000,0.000000,1.090000,1.300000,0,33.33,0,0,0,11.34,0,0,48.13,0,0,6.81,0,0,48.13,0,192.520000,16.66,50,0,0,0,0,16.67,0,33.33,0

2,00:15-00:30,25.990000,30.800000,32.760000,78.560000,238.720000,0.000000,0.000000,25.140000,99.740000,260.480000,0.000000,5.790000,76.520000,0.000000,86.830000,1.390000,48.130000,0.000000,1.090000,1.300000,0,34.67,0,0,0,11.51,0,0,48.13,0,0,6.81,0,0,48.13,0,192.520000,16.66,50,0,0,0,0,16.67,0,34.67,0

3,00:30-00:45,25.990000,30.800000,32.760000,78.560000,238.720000,0.000000,0.000000,25.140000,99.740000,260.480000,0.000000,5.790000,76.520000,0.000000,86.830000,1.390000,48.130000,0.000000,1.090000,1.300000,0,41.67,0,0,0,11.66,0,0,48.13,0,0,6.81,0,0,48.13,0,192.520000,16.66,50,0,0,0,0,16.67,0,41.67,0

4,00:45-01:00,25.990000,30.800000,32.760000,78.560000,238.720000,0.000000,0.000000,25.140000,99.740000,233.830000,0.000000,5.790000,76.520000,0.000000,67.890000,1.390000,48.130000,0.000000,1.090000,1.300000,0,40.67,0,0,0,7.34,0,0,48.13,0,0,6.81,0,0,48.13,0,192.520000,13.34,40,0,0,0,0,13.33,0,40.67,0

5,01:00-01:15,25.990000,30.800000,32.760000,78.560000,221.400000,0.000000,0.000000,25.140000,99.740000,185.700000,0.000000,5.790000,76.520000,0.000000,44.190000,1.390000,48.130000,0.000000,1.090000,1.260000,0,30,0,0,0,7.34,0,0,48.13,0,0,6.81,0,0,48.13,0,192.520000,13.66,41,0,0,0,0,13.67,0,30,0

