Column1,Time,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/01102023/06022042/L_NR_2012_07,GNA/WR/2025/03/01/6406,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/8036,WR/01102023/01102023/L_NR_2020_06,WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,GNARE/SR/2025/01/13/4532,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,L_NR_2019_19,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/1906,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/03/01/2563,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/6891,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/3469,NR/30092023/26122029/SH-06,GNA/SR/2025/03/01/7500,NR/01102023/22052037/LT-59,GNA/NR/2025/03/01/5143,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36
1,00:00-00:15,0,0,74.37,42,0,23.02,14.17,8,0,4.4,0,0,0,0,27.33,0,0,14.17,0,0,42.49,0,27.34,0,65.82,32,99.93,229.16,0,23.02,1.3,23.02,271.21,0,5.76,17.27,55.49,5.42,6.71,25.87,200,1.08,166.48,0,27.25,1.38,0

2,00:15-00:30,0,0,74.37,42,0,23.02,14.67,8,0,4.4,0,0,0,0,26.67,0,0,14.67,0,0,43.99,0,26.66,0,65.82,32,99.93,229.16,0,23.02,1.3,23.02,271.21,0,5.76,17.27,55.49,5.42,6.71,25.87,200,1.08,166.48,0,27.25,1.38,0

3,00:30-00:45,0,0,86.52,42,0,23.02,15.33,8,0,4.4,0,0,0,0,25.33,0,0,15.33,0,0,46.01,0,25.34,0,65.82,32,99.93,259.56,0,23.02,1.3,23.02,271.21,0,5.76,17.27,55.49,5.42,6.71,25.87,200,1.08,166.48,0,27.25,1.38,0

4,00:45-01:00,0,0,86.52,42,0,23.02,15.83,8,0,4.4,0,0,0,0,23.33,0,0,15.83,0,0,47.51,0,23.34,0,65.82,32,99.93,259.56,0,23.02,1.3,23.02,271.21,0,5.76,17.27,55.49,5.42,6.71,25.87,200,1.08,166.48,0,27.25,1.38,0

5,01:00-01:15,0,0,74.37,42,0,23.02,16.33,11.67,0,4.4,0,0,0,0,22,0,0,16.33,0,0,49.01,0,22,0,65.82,32,99.93,229.16,0,23.02,1.3,23.02,271.21,0,5.76,17.27,55.49,5.42,6.71,25.87,200,1.08,166.48,0,27.76,1.38,0

6,01:15-01:30,0,0,74.37,42,0,23.02,16.67,11.33,0,4.4,0,0,0,0,21,0,0,16.67,0,0,49.99,0,21,0,65.82,32,99.93,229.16,0,23.02,1.3,23.02,271.21,0,5.76,17.27,55.49,5.42,6.71,25.87,200,1.08,166.48,0,27.76,1.38,0

7,01:30-01:45,0,0,74.37,42,0,23.02,17,15.33,0,4.4,0,0,0,0,31.67,0,0,17,0,0,51,0,31.66,0,65.82,32,99.93,229.16,0,23.02,1.3,23.02,271.21,0,5.76,17.27,55.49,5.42,6.71,25.87,200,1.31,166.48,0,27.76,1.38,0

8,01:45-02:00,0,0,74.37,42,0,23.02,17.5,15.33,0,4.4,0,0,0,0,30.67,0,0,17.5,0,0,52.5,0,30.66,0,65.82,32,99.93,229.16,0,23.02,1.3,23.02,271.21,0,5.76,17.27,55.49,5.42,6.71,25.87,200,1.31,166.48,0,27.76,1.38,0

9,02:00-02:15,0,0,74.37,42,0,23.02,17.33,15,0,4.4,0,0,0,0,28,0,0,17.33,0,0,52.01,0,28,0,65.82,26.99,99.93,229.16,0,23.02,1.26,23.02,271.21,0,5.76,17.27,55.49,5.32,6.71,26.99,0,1.31,166.48,0,27.76,1.3,0

10,02:15-02:30,0,0,74.37,42,0,23.02,16.83,15,0,4.4,0,0,0,0,25.67,0,0,16.83,0,0,50.51,0,25.66,0,65.82,26.99,99.93,229.16,0,23.02,1.26,23.02,271.21,0,5.76,17.27,55.49,5.32,6.71,26.99,0,1.31,166.48,0,27.25,1.3,0

11,02:30-02:45,0,0,74.37,42,0,23.02,16.5,11.67,0,4.4,0,0,0,0,22.67,0,0,16.5,0,0,49.5,0,22.66,0,65.82,26.99,99.93,229.16,0,23.02,1.26,23.02,271.21,0,5.76,17.27,55.49,5.32,6.71,26.99,0,1.31,166.48,0,27.25,1.3,0

12,02:45-03:00,0,0,74.37,42,0,23.02,16,11.67,0,4.4,0,0,0,0,20,0,0,16,0,0,48,0,20,0,65.82,26.99,99.93,229.16,0,23.02,1.26,23.02,271.21,0,5.76,17.27,55.49,5.32,6.71,26.99,0,1.31,166.48,0,27.25,1.3,0

13,03:00-03:15,0,0,74.37,42,0,23.02,10.83,12,0,4.4,0,0,0,0,19.33,0,0,10.83,0,0,32.51,0,19.34,0,65.82,26.99,99.93,229.16,0,23.02,1.26,23.02,271.21,0,5.76,17.27,55.49,5.24,6.71,26.99,0,1.31,166.48,0,27.25,1.3,0

14,03:15-03:30,0,0,74.37,42,0,23.02,10.67,11.67,0,4.4,0,0,0,0,19.33,0,0,10.67,0,0,31.99,0,19.34,0,65.82,26.99,99.93,229.16,0,23.02,1.26,23.02,271.21,0,5.76,17.27,55.49,5.24,6.71,26.99,0,1.31,166.48,0,27.25,1.3,0

15,03:30-03:45,0,0,74.37,42,0,23.02,10.33,10.67,0,4.4,0,0,0,0,18.33,0,0,10.33,0,0,31.01,0,18.34,0,65.82,26.99,99.93,229.16,0,23.02,1.26,23.02,271.21,0,5.76,17.27,55.49,5.24,6.71,26.99,0,1.31,166.48,0,27.25,1.3,0

16,03:45-04:00,0,0,74.37,42,0,23.02,9.83,10,0,4.4,0,0,0,0,18.33,0,0,9.83,0,0,29.51,0,18.34,0,65.82,26.99,99.93,229.16,0,23.02,1.26,23.02,271.21,0,5.76,17.27,55.49,5.24,6.71,26.99,0,1.31,166.48,0,27.25,1.3,0

17,04:00-04:15,0,0,74.37,42,0,23.02,12.33,8.67,0,4.4,0,0,0,0,38.67,0,0,12.33,0,0,37.01,0,38.66,0,65.82,26.99,99.93,229.16,0,23.02,1.21,23.02,271.21,0,5.76,17.27,55.49,5.24,6.71,26.99,0,1.31,166.48,0,27.25,1.3,0

18,04:15-04:30,0,0,74.37,42,0,23.02,12.17,8,0,4.4,0,0,0,0,36.67,0,0,12.17,0,0,36.49,0,36.66,0,65.82,26.99,99.93,229.16,0,23.02,1.21,23.02,271.21,0,5.76,17.27,55.49,5.24,6.71,26.99,0,1.31,166.48,0,27.25,1.3,0

19,04:30-04:45,0,0,74.37,42,0,23.02,12,7,0,4.4,0,0,0,0,23.33,0,0,12,0,0,36,0,23.34,0,65.82,26.99,99.93,229.16,0,23.02,1.21,23.02,271.21,0,5.76,17.27,55.49,5.24,6.71,26.99,0,1.31,166.48,0,27.25,1.3,0

20,04:45-05:00,0,0,74.37,42,0,23.02,11.67,6.67,0,4.4,0,0,0,0,23.33,0,0,11.67,0,0,34.99,0,23.34,0,65.82,26.99,99.93,229.16,0,23.02,1.21,23.02,271.21,0,5.76,17.27,55.49,5.24,6.71,26.99,0,1.31,166.48,0,27.25,1.3,0

21,05:00-05:15,0,0,86.52,42,0,23.02,9.17,6.67,0,4.4,0,0,0,0,22.33,0,0,9.17,0,0,27.49,0,22.34,0,65.82,26.99,99.93,259.56,0,23.02,1.21,23.02,271.21,0,5.76,17.27,55.49,5.14,6.71,26.99,0,1.31,166.48,0,27.25,1.23,0

22,05:15-05:30,0,0,86.52,42,0,23.02,9.17,6.67,0,4.4,0,0,0,0,21.33,0,0,9.17,0,0,27.49,0,21.34,0,65.82,26.99,99.93,259.56,0,23.02,1.21,23.02,271.21,0,5.76,17.27,55.49,5.14,6.71,26.99,0,1.31,166.48,0,27.25,1.23,0

23,05:30-05:45,0,0,86.52,42,0,23.02,7.17,6.67,0,4.4,0,0,0,0,15,0,0,7.17,0,0,21.49,0,15,0,65.82,26.99,99.93,259.56,0,23.02,1.21,23.02,271.21,0,5.76,17.27,55.49,5.14,6.71,26.99,0,1.31,166.48,0,26.74,1.23,0

24,05:45-06:00,0,0,86.52,42,0,23.02,7.17,6.67,0,4.4,0,0,0,0,15,0,0,7.17,0,0,21.49,0,15,0,114.72,26.99,99.93,259.56,0,23.02,1.21,23.02,271.21,0,5.76,17.27,55.49,5.14,6.71,26.99,0,1.31,166.48,0,26.74,1.23,0

25,06:00-06:15,0,0,86.52,42,0,23.02,7.17,6.67,0,4.4,0,0,0,0,15,0,0,7.17,0,6.25,21.49,0,15,6.35,114.72,32,99.93,259.56,0,23.02,1.21,23.02,271.21,0,5.76,17.27,0,5.14,6.71,18.15,0,1.31,0,0,0,1.23,0

26,06:15-06:30,0,0,86.52,42,0,23.02,7.17,6.67,0,4.4,0,0,0,0,15,0,0,7.17,0,12.4,21.49,0,15,12.62,114.72,32,99.93,259.56,0,23.02,1.21,23.02,271.21,0,5.76,17.27,0,5.14,6.71,18.15,0,1.31,0,0,0,1.23,0

27,06:30-06:45,0,0,86.52,42,0,23.02,7.17,6.67,0,4.4,0,0,0,0,15,0,0,7.17,0.45,18.56,21.49,1,15,18.88,114.72,32,99.93,259.56,0,23.02,1.21,23.02,271.21,0,5.76,17.27,0,5.14,6.71,32,0,0.78,0,0,0,1.23,0

28,06:45-07:00,0,0,86.52,42,0,23.02,7,6.67,1,4.4,0,1,0,2.49,15,1,0,7,0.45,24.68,21,4,15,24.67,114.72,32,99.93,259.56,0,23.02,1.21,23.02,271.21,0,5.76,17.27,0,5.14,6.71,32,0,0.93,0,0,0,1.23,0

29,07:00-07:15,2.32,2,86.52,0,0,23.02,7,6.67,4,4.4,1,7,1,8.95,14.67,3,0.47,7,0,23.6,21,10,14.66,23.6,114.72,32,99.93,259.56,0,23.02,1.21,23.02,271.21,0,5.76,17.27,0,5.05,6.71,32,0,1.08,0,0,0,1.23,0

30,07:15-07:30,9.68,6,86.52,0,0,23.02,7,6.67,7,4.4,3,10,3,16.82,14.33,5,1.94,7,1.6,25.1,21,15,14.34,25.1,114.72,32,99.93,259.56,0,23.02,1.21,23.02,271.21,0,5.76,17.27,0,5.05,6.71,32,0,1.08,0,0,0,1.23,0

