Time,Block,NR/2023/13150/A,NR/2023/16291/F,NR/2023/13383/A,NR/2023/13253/A,NR/2023/15770/A,NR/2023/17478/C,NR/2023/17472/D,NR/2023/16077/A,NR/2023/17479/C,NR/2023/17468/D,NR/2023/17475/C,NR/2023/13165/A,NR/2023/13148/A,NR/2023/16073/A,NR/2023/13168/A,NR/2023/13387/A,NR/2023/17481/C,NR/2023/17488/C,NR/2023/17485/C,NR/2023/16185/A,NR/2023/17487/C,NR/2023/13254/A,NR/2023/16191/A,NR/2023/17482/C,NR/2023/13385/A,NR/2023/17492/C,Total
,,KEIPL,ITCLH,APPCPL,APPCPL,NVVNL,PXIL,NVVNL,APPCPL,PXIL,NVVNL,SJVNL,GMRETL,KEIPL,APPCPL,GMRETL,NVVNL,GBHHPL,IEXL,SJVNL,MANIKARAN,IEXL,APPCPL,MANIKARAN,TPDDL,NVVNL,IEXL,Total

,,MEGHALAYA,ANDHRA PRADESH,HIMACHAL PRADESH,UTTARAKHAND,NA,DELHI,NA,HIMACHAL PRADESH,DELHI,NA,UTTAR PRADESH,MEGHALAYA,MEGHALAYA,GOA,MEGHALAYA,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,MP,NA,
,,Meghalaya_Ben,ITCWIND,HP,UTTARAKHAND,SKS Raigarh,BYPL,KAMENG,HP,BYPL,SOLAPUR_SOLAR,BCMLB001,Meghalaya_Ben,Meghalaya_Ben,GOA_Beneficiary,Meghalaya_Ben,JPNIGRIE_JNSTPP,GBHHPL,RKM_POWER,RSRPL_BKN,HP,MCCPL,Meghalaya_Ben,HP,CHANJUII,JP BINA,Teesta_III,
,,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,ITCLH,BYPL,BYPL,NDMC,AMBASTL,TPDDL,BRPL,ASIL_UP,MES (Delhi),NDMC,BYPL,BYPL,BRPL,BYPL,BRPL,DIAPL,BRPL,NDMC,BRPL,BRPL,BYPL,BRPL,TPDDL,BRPL,BRPL,
,,North East-East-North,South-West-North,North-North,North-North,West-North,North-North,North East-East-North,North-North,North-North,West-North,North-North,North East-East-North,North East-East-North,West-North,North East-East-North,West-North,North-North,West-East-North,North-North,North-North,West-East-North,North East-East-North,North-North,North-North,West-North,East-North,
1,00:00-00:15,63.020000,0.870000,36.830000,48.330000,29.000000,0.000000,112.610000,85.930000,0.000000,0,0.000000,22.230000,36.470000,24.160000,34.800000,100.040000,6.050000,193.320000,0,38.660000,58.000000,19.610000,42.050000,7.570000,50.020000,288.050000,1297.62

2,00:15-00:30,63.020000,0.870000,36.830000,48.330000,29.000000,0.000000,112.610000,85.930000,0.000000,0,0.000000,22.230000,36.470000,24.160000,34.800000,100.040000,6.050000,193.320000,0,38.660000,58.000000,19.610000,42.050000,7.570000,50.020000,260.020000,1269.59

3,00:30-00:45,63.020000,0.870000,36.830000,48.330000,29.000000,0.000000,112.610000,85.930000,0.000000,0,0.000000,22.230000,36.470000,24.160000,34.800000,100.040000,6.050000,193.320000,0,38.660000,58.000000,19.610000,42.050000,7.570000,50.020000,246.480000,1256.05

4,00:45-01:00,63.020000,0.870000,36.830000,48.330000,29.000000,0.000000,112.610000,85.930000,0.000000,0,0.000000,22.230000,36.470000,24.160000,34.800000,100.040000,6.050000,193.320000,0,38.660000,58.000000,19.610000,42.050000,7.570000,50.020000,223.280000,1232.85

5,01:00-01:15,63.020000,0.630000,36.830000,48.330000,29.000000,0.000000,112.610000,85.930000,0.000000,0,0.000000,22.230000,36.470000,24.160000,34.800000,100.040000,6.050000,144.990000,0,38.660000,58.000000,19.610000,42.050000,7.570000,50.020000,230.050000,1191.05

6,01:15-01:30,63.020000,0.630000,36.830000,48.330000,29.000000,0.000000,112.610000,85.930000,0.000000,0,0.000000,22.230000,36.470000,24.160000,34.800000,100.040000,6.050000,144.990000,0,38.660000,58.000000,19.610000,42.050000,7.570000,50.020000,170.120000,1131.12

7,01:30-01:45,63.020000,0.630000,36.830000,48.330000,29.000000,0.000000,112.610000,85.930000,0.000000,0,0.000000,22.230000,36.470000,24.160000,34.800000,100.040000,6.050000,144.990000,0,38.660000,58.000000,19.610000,42.050000,7.570000,50.020000,125.660000,1086.66

8,01:45-02:00,63.020000,0.630000,36.830000,48.330000,29.000000,0.000000,112.610000,85.930000,0.000000,0,0.000000,22.230000,36.470000,24.160000,34.800000,100.040000,6.050000,144.990000,0,38.660000,58.000000,19.610000,42.050000,7.570000,50.020000,79.260000,1040.26

9,02:00-02:15,63.020000,0.630000,36.830000,48.330000,29.000000,0.000000,112.610000,85.930000,0.000000,0,0.000000,22.230000,36.470000,24.160000,34.800000,100.040000,5.050000,0.000000,0,38.660000,0.000000,19.610000,42.050000,7.470000,50.020000,214.590000,971.5

