Block,Time,NR/01042024/30042024/PTC/OA/32001,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,NR/30092023/26122029/SH-06,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/25122043/GNA_MEJA_DELHI,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/19072037/LT-05,NR/01042024/31072024/LT_MEJA_DELHI,NR/16042024/30042024/IEX_240323_06617,NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/16042024/31052024/IEX_240323_06618,NR/01102023/02012046/L_NR_2021_17,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_17,WR/01102023/31032046/L_NR_2020_05,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,L_NR_2019_19,NR/01102023/08032047/L_NR_2021_14,NR/01102023/05012040/L_NR_2020_02,WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/01102023/14082046/L_NR_2021_16,NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/01102023/L_NR_2022_09,NR/01102023/13082046/L_NR_2021_12,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/04042024/30042024/SJVN040424NR1694,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_16,WR/01102023/30052048/L_NR_2022_10,NR/30092023/31122025/SH-07,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06)
1,00:00-00:15,48.240000,261.920000,0.000000,87.020000,30.870000,28.740000,0.000000,12.440000,115.330000,16.090000,9.650000,0.000000,0.000000,0.000000,3.990000,48.240000,0,28,0,84.5,272.770000,0,0,3.710000,0,0,0,0,4.190000,100.500000,48.33,0,7.01,0,0,0,0,28.16,0,48.33,30.870000,28.17,0

2,00:15-00:30,48.240000,261.920000,0.000000,87.020000,30.870000,28.740000,0.000000,12.440000,115.330000,16.090000,9.650000,0.000000,0.000000,0.000000,3.990000,48.240000,0,27.66,0,84,272.770000,0,0,3.710000,0,0,0,0,4.190000,100.500000,48.67,0,7.01,0,0,0,0,28,0,48.67,30.870000,28,0

3,00:30-00:45,48.240000,261.920000,0.000000,87.020000,30.870000,28.770000,0.000000,12.440000,115.330000,16.090000,9.650000,0.000000,0.000000,0.000000,3.990000,48.240000,0,27.34,0,83.5,272.770000,0,0,3.710000,0,0,0,0,4.190000,100.500000,49,0,7.01,0,0,0,0,27.84,0,49,30.870000,27.83,0

4,00:45-01:00,48.240000,261.920000,0.000000,87.020000,30.870000,28.770000,0.000000,12.440000,115.330000,16.090000,9.650000,0.000000,0.000000,0.000000,3.990000,48.240000,0,27,0,83,272.770000,0,0,3.710000,0,0,0,0,4.190000,100.500000,49.33,0,7.01,0,0,0,0,27.66,0,49.33,30.870000,27.67,0

5,01:00-01:15,48.240000,261.920000,0.000000,87.020000,30.870000,28.770000,0.000000,12.440000,115.330000,16.090000,9.650000,0.000000,0.000000,0.000000,3.920000,48.240000,0,26,0,91.5,272.770000,0,0,3.710000,0,0,0,0,4.190000,100.500000,59.33,0,7.01,0,0,0,0,30.5,0,59.33,30.870000,30.5,0

