Block,Time,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/01102023/15082037/GNA_NR_2012_01,L_NR_2019_19,NR/04042024/30042024/SJVN040424NR1694,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,NR/01102023/14082046/L_NR_2021_16,NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,NR/01042024/31072024/LT_MEJA_DELHI,NR/30092023/31122025/SH-07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_07,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/30092023/26122029/SH-06,NR/26072023/31072042/L_NR_2023_07,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,NR/16042024/30042024/IEX_240323_06617,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/01102023/06022042/L_NR_2012_02,WR/01102023/16072048/L_NR_2022_08,SR/01102023/07102043/L_NR_2018_61,NR/01042024/30042024/PTC/OA/32001,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/25122043/L_NR_2023_10,NR/16042024/31052024/IEX_240323_06618,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,NR/01102023/31102037/L_NR_2019_11,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,NR/01102023/22052037/LT-59,NR/01102023/31052040/LT-31,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/13082046/L_NR_2021_12
1,00:00-00:15,9.17,0,0,87.990000,0,0,0,21.67,0,0.000000,0.000000,3.210000,16.110000,30.900000,9.16,21.67,30.790000,87.110000,15.390000,30.900000,0,115.450000,0.000000,9.660000,0,0,262.190000,7.34,6.81,41.040000,0,0,48.280000,273.050000,0,0,3.460000,27.5,0,3.340000,0.000000,0.000000,0

2,00:15-00:30,9.33,0,0,87.990000,0,0,0,21.33,0,0.000000,0.000000,3.210000,16.110000,30.900000,9.34,21.33,30.790000,87.110000,15.390000,30.900000,0,115.450000,0.000000,9.660000,0,0,262.190000,7.34,6.81,41.040000,0,0,48.280000,273.050000,0,0,3.460000,28,0,3.340000,0.000000,0.000000,0

3,00:30-00:45,9.67,0,0,87.990000,0,0,0,21.33,0,0.000000,0.000000,3.210000,16.110000,30.900000,9.66,21.33,30.790000,87.110000,15.390000,30.900000,0,115.450000,0.000000,9.660000,0,0,262.190000,7.34,6.81,41.040000,0,0,48.280000,273.050000,0,0,3.460000,29,0,3.340000,0.000000,0.000000,0

4,00:45-01:00,9.62,0,0,87.990000,0,0,0,21.33,0,0.000000,0.000000,3.210000,16.110000,30.900000,9.61,21.33,30.790000,87.110000,15.390000,30.900000,0,115.450000,0.000000,9.660000,0,0,262.190000,7.34,6.81,41.040000,0,0,48.280000,273.050000,0,0,3.460000,28.85,0,3.340000,0.000000,0.000000,0

5,01:00-01:15,9.4,0,0,87.990000,0,0,0,21,0,0.000000,0.000000,3.210000,16.110000,30.900000,9.4,21,30.790000,87.110000,15.210000,30.900000,0,115.450000,0.000000,9.660000,0,0,262.190000,7.34,6.81,41.040000,0,0,48.280000,273.050000,0,0,3.460000,28.2,0,3.340000,0.000000,0.000000,0

