Block,Time Block,CHAMERA1,BRBCL,BSIUL,DADRT2,CHAMERA3,CHAMERA2,DULHASTI,FSTPP I & II,DHAULIGNGA,JHAJJAR,KGSU3AND4,KGSU1AND2,KKNP,KISHANGANGA,KHSTPP-II,KHSTPP-I,KOLDAM,KOTESHWR,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NAPP,NJPC,NLCTS2EXP,NLCIIST2,NNTPP,PARBATI2,NTPL,PARBATI3,RAPPD,RAPPB,RAMPUR,RAPPC,RIHAND1,RIHAND3,RSTPSU1TO6,RSTPSU7,RIHAND2,SASAN,SALAL,SINGRAULI,SIMHST2,SIMHST1,SEWA2,TALA,SINGRAULI_HYDRO,TALST2,TANAKPUR,TEHRIPSP,TEHRI,TANDA2,UNCHAHAR1,TelanganaSTPP,UNCHAHAR2,URI,UNCHAHAR3,UNCHAHAR4,URI2,VALLURNTECL,ANTA_GF,ANTA_CRF,ANTA_LF,AURY_CRF,ANTA_RF,DADRI_CRF,DADRI_LF,AURY_LF,DADRI_GF,AURY_RF,AURY_GF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,27.08,14.42,0,273.26,0,0,36.06,11.76,30.68,242.58,0,0,0,6.72,108.24,21.77,8.32,43.44,0,0,0,0,0,23.35,169.42,0,0,0,0,0,27.22,37.34,0,5.47,63.22,39.79,124.5,0,0,103.58,303.04,77.27,89.6,0,0,18.19,23.51,0,0,0,200.41,79.67,2.52,11.88,0,36.17,12.77,0,1.7,35.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,27.08,10.83,0,412.99,0,0,36.06,11.7,30.68,242.58,0,0,0,6.72,78.61,18.45,8.32,43.44,0,0,0,0,0,23.35,169.42,0,0,0,0,0,27.22,37.34,0,5.47,63.22,39.79,124.5,0,0,103.58,303.04,77.27,89.09,0,0,18.19,23.51,0,0,0,200.41,79.67,2.52,11.88,0,36.17,12.77,0,1.46,35.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,27.08,10.79,0,468.66,0,0,36.06,11.02,30.68,242.58,0,0,0,6.72,78.61,18.45,8.32,43.44,0,0,0,0,0,23.35,169.42,0,0,0,0,0,27.22,37.34,0,5.47,63.22,38.96,124.5,0,0,101.72,303.04,77.27,89.09,0,0,18.19,23.51,0,0,0,200.41,79.67,2.52,11.88,0,36.17,7.45,0,1.46,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,27.08,11.57,0,468.66,0,0,36.06,11.02,30.68,242.58,0,0,0,6.72,78.61,18.45,8.32,43.44,0,0,0,0,0,23.35,169.42,0,0,0,0,0,27.22,37.34,0,5.47,63.22,38.96,124.5,0,0,101.72,303.04,77.27,89.09,0,0,18.19,23.51,0,0,0,200.41,79.67,2.52,11.88,0,36.17,7.45,0,1.46,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,27.08,12.43,0,468.66,0,0,36.06,11.02,30.68,242.58,0,0,0,6.72,78.61,26.68,8.32,43.44,0,0,0,0,0,23.35,169.42,0,0,0,0,0,44.42,37.34,0,5.47,63.22,38.96,102.34,0,0,89.19,303.04,77.27,68.63,0,0,18.19,23.51,0,0,0,200.41,79.67,2.52,11.88,0,36.17,12.77,0,1.46,35.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

