Column1,Time,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/7119,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,NR/01082024/30092024/LT_MEJA_DELHI,GNA/NR/2024/09/01/7908,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/22/5523,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/6566,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/9821,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,GNA/NR/2024/09/16/2535,NR/01102023/22052037/LT-59,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/09/01/8090,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/09/22/2364,NR/01102023/06022042/L_NR_2012_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,GNARE/SR/2024/09/22/6595,SR/01102023/07102043/L_NR_2018_61,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,274.04,2.13,17.52,0,0,7.98,18.51,10.83,0,32,20.6,0,82.38,32.95,33.23,0,145.38,0,29.27,220.98,8.81,0,32,94.78,0,77.54,0,53.5,17.84,0,41.42,14.66,0,45,45,17.83

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,274.04,2.13,17.52,0,0,7.98,18.51,10.83,0,32,20.6,0,82.38,32.95,33.23,0,145.38,0,29.27,220.98,8.81,0,32,94.78,0,77.54,0,53.5,17.84,0,41.02,14.66,0,45,45,17.83

3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,274.04,2.13,17.52,0,0,7.98,18.51,10.83,0,31.25,20.6,0,82.38,32.95,33.23,0,145.38,0,29.27,220.98,8.81,0,32,94.78,0,77.54,0,53.5,17.84,0,40.62,14.66,0,45.33,45.33,17.83

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,274.04,2.13,17.52,0,0,7.98,18.51,10.83,0,31.25,20.6,0,82.38,32.95,33.23,0,145.38,0,29.27,220.98,8.81,0,32,94.78,0,77.54,0,53,17.66,0,39.82,14.34,0,45.33,45.33,17.67

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,274.04,2.13,17.52,0,0,7.98,18.51,10.73,0,31,20.6,0,82.38,32.95,58.11,0,145.38,0,29.27,220.98,8.81,0,31,94.78,0,77.54,0,52.5,17.5,0,38.82,14.34,0,45.33,45.33,17.5

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,274.04,2.13,17.52,0,0,7.98,18.51,10.73,0,31,20.6,0,82.38,32.95,58.11,0,145.38,0,29.27,220.98,8.81,0,31,94.78,0,77.54,0,52.5,17.5,0,38.22,14.34,0,45.33,45.33,17.5

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,274.04,2.13,17.52,0,0,7.98,18.51,10.73,0,31,20.6,0,82.38,32.95,58.11,0,145.38,0,29.27,220.98,8.81,0,31,94.78,0,77.54,0,53,17.66,0,38.42,12,0,45.33,45.33,17.67

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,274.04,2.13,17.52,0,0,7.98,18.51,10.73,0,31,20.6,0,82.38,32.95,58.11,0,145.38,0,29.27,220.98,8.81,0,31,94.78,0,77.54,0,53,17.66,0,38.82,12.34,0,45.67,45.67,17.67

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,274.04,2.13,17.52,0,0,7.98,18.51,10.64,0,31,20.6,0,82.38,32.95,33.23,0,145.38,0,29.27,220.98,8.81,0,31,94.78,0,77.54,0,52.5,17.5,0,42.42,12.66,0,46,46,17.5

