Block,Time,CHAMERA3,KOTESHWR,RIHAND1,TALA,TANAKPUR,UNCHAHAR4,DADRT2,KKNPPU2,KOLDAM,KUDGI,NLCTS2EXP,TALST2,UNCHAHAR1,UNCHAHAR2,URI,VALLURNTECL,ANTA_RF,AURY_CRF,DADRI_GF,DHAULIGNGA,KHSTPP-I,KKNP,RIHAND2,RSTPSU1TO6,SASAN,SINGRAULI,SINGRAULI_HYDRO,TelanganaSTPP,ANTA_GF,AURY_LF,CHAMERA2,KGSU1AND2,NAPP,NLCIIST1,RAPPD,TANDA2,ANTA_CRF,AURY_GF,DADRI_CRF,BSIUL,FSTPP I & II,KHSTPP-II,NTPL,PARBATI3,RAPPC,RSTPSU7,SEWA2,URI2,MAPS,NJPC,NLCEXP,NLCIIST2,PARBATI2,ANTA_LF,DADRI_LF,CHAMERA1,RAPPB,RIHAND3,SALAL,SIMHST1,UNCHAHAR3,DADRI_RF,BRBCL,DULHASTI,JHAJJAR,KGSU3AND4,KISHANGANGA,NNTPP,RAMPUR,SIMHST2,TEHRI,AURY_RF
1,00:00-00:15,23.33,10.43,97.23,0,0,2.3,688.58,0,7.19,0,0,0,21.64,45,5.52,0,51.379999999999995,0,0,10.95,45.53,0,124.58,0,343.12,150.34,0.98,0,0,0,48.81,0,26.43,0,30,5.7,0,0,0,0,18.2,148.3,0,19.64,68.56,0,18.9,38.56,0,75.04,0,0,13.52,0,0,42.15,0,130.79,0,0,27.68,109.21,20,59.5,195.11,0,8.11,0,2.98,0,12.6,55.87

2,00:15-00:30,23.33,10.43,97.23,0,0,2.3,688.58,0,7.19,0,0,0,21.64,45,13.25,0,51.379999999999995,0,0,10.95,45.53,0,124.58,0,343.12,150.34,0.98,0,0,0,48.81,0,26.43,0,30,5.7,0,0,0,0,18.2,148.3,0,19.64,68.56,0,18.9,38.56,0,75.04,0,0,13.52,0,0,42.15,0,130.79,0,0,27.68,109.21,20,59.5,195.11,0,8.11,0,2.98,0,12.35,55.87

3,00:30-00:45,23.33,10.43,97.23,0,0,2.3,688.58,0,7.19,0,0,0,21.64,45,26.49,0,51.9,0,0,10.95,45.53,0,124.58,0,343.12,150.34,0.98,0,0,0,48.81,0,26.43,0,30,5.7,0,0,0,0,18.2,148.3,0,19.64,68.56,0,18.9,38.56,0,75.04,0,0,13.52,0,0,42.15,0,130.79,0,0,27.68,109.21,20,59.5,195.11,0,8.36,0,2.98,0,12.12,55.87

4,00:45-01:00,23.33,10.43,97.23,0,0,2.3,688.58,0,7.19,0,0,0,21.64,45,52.36,0,51.9,0,0,10.95,45.53,0,124.58,0,343.12,150.34,0.98,0,0,0,48.81,0,26.43,0,30,5.7,0,0,0,0,18.2,148.3,0,19.64,68.56,0,18.9,38.56,0,75.04,0,0,13.52,0,0,42.15,0,130.79,0,0,27.68,109.21,20,59.5,195.11,0,8.36,0,2.98,0,0,55.87

5,01:00-01:15,23.33,10.43,97.23,0,0,2.3,688.58,0,7.19,0,0,0,21.64,45,52.36,0,51.9,0,0,0,45.53,0,124.58,0,343.12,150.34,0.98,0,0,0,48.81,0,26.43,0,30,5.7,0,0,0,0,18.2,148.3,0,19.64,68.56,0,18.9,35.34,0,75.04,0,0,13.52,0,0,42.15,0,130.79,0,0,27.68,109.21,20,59.5,195.11,0,8.36,0,2.98,0,0,55.87

6,01:15-01:30,23.33,10.43,97.23,0,0,2.3,688.58,0,7.19,0,0,0,21.64,45,52.36,0,51.9,0,0,0,45.53,0,124.58,0,343.12,150.34,0.98,0,0,0,32.53,0,26.43,0,30,5.7,0,0,0,0,18.2,148.3,0,19.64,68.56,0,18.9,35.34,0,75.04,0,0,13.52,0,0,42.15,0,130.79,0,0,27.68,109.21,20,59.5,195.11,0,8.36,0,2.98,0,0,55.87

7,01:30-01:45,23.33,10.43,97.23,0,6.27,2.3,688.58,0,4.79,0,0,0,21.64,45,52.36,0,51.9,0,0,0,45.53,0,124.58,0,343.12,150.34,0.98,0,0,0,32.53,0,26.43,0,30,5.7,0,0,0,0,18.2,148.3,0,19.64,68.56,0,18.9,35.34,0,75.04,0,0,13.52,0,0,42.15,0,130.79,0,0,27.68,109.21,20,59.5,195.11,0,8.36,0,2.98,0,0,55.87

8,01:45-02:00,23.33,10.43,97.23,0,6.27,2.3,688.58,0,2.28,0,0,0,21.64,45,52.36,0,51.9,0,0,0,45.53,0,124.58,0,343.12,150.34,0.98,0,0,0,32.53,0,26.43,0,30,5.7,0,0,0,0,18.2,148.3,0,19.64,68.56,0,18.9,35.34,0,75.04,0,0,13.52,0,0,42.15,0,130.79,0,0,27.68,109.21,20,59.5,279.11,0,8.36,0,2.98,0,0,55.87

9,02:00-02:15,23.33,10.43,97.23,0,6.27,2.3,688.58,0,1.93,0,0,0,21.64,45,52.36,0,51.96,0,0,0,45.53,0,124.58,0,343.12,150.34,0.98,0,0,0,32.53,0,26.43,0,30,5.7,0,0,0,0,18.2,148.3,0,19.64,68.56,0,18.9,35.34,0,75.04,0,0,13.52,0,0,42.15,0,130.79,0,0,27.68,109.21,20,59.5,279.11,0,8.36,0,2.98,0,0,55.87

10,02:15-02:30,23.33,10.43,97.23,0,6.27,2.3,688.58,0,1.93,0,0,0,21.64,45,50.79,0,51.96,0,0,0,45.53,0,124.58,0,343.12,150.34,0.98,0,0,0,32.53,0,26.43,0,30,5.7,0,0,0,0,18.2,148.3,0,19.64,68.56,0,18.9,35.34,0,75.04,0,0,13.52,0,0,42.15,0,130.79,0,0,27.68,109.21,20,59.5,279.11,0,8.36,0,2.98,0,0,55.87

11,02:30-02:45,23.33,10.43,97.23,0,6.27,2.3,688.55,0,1.93,0,0,0,21.64,45,50.79,0,52.22,0,0,0,45.53,0,124.58,0,343.12,150.34,0.98,0,0,0,32.53,0,26.43,0,30,5.7,0,0,0,0,18.2,148.3,0,16.88,68.56,0,18.9,35.34,0,75.04,0,0,13.52,0,0,42.15,0,130.79,0,0,27.68,109.21,20,59.5,279.11,0,8.36,0,2.98,0,0,55.87

12,02:45-03:00,23.33,10.43,97.23,0,6.27,2.3,688.55,0,1.93,0,0,0,21.64,45,50.79,0,52.22,0,0,0,45.53,0,124.58,0,343.12,150.34,0.98,0,0,0,32.53,0,26.43,0,30,5.7,0,0,0,0,18.2,148.3,0,16.88,68.56,0,18.9,35.34,0,75.04,0,0,13.52,0,0,42.15,0,130.79,0,0,27.68,109.21,20,59.5,279.11,0,8.36,0,2.98,0,0,55.87

13,03:00-03:15,23.33,10.43,97.23,0,0,2.3,688.55,0,1.93,0,0,0,21.64,45,50.79,0,52.75,0,0,10.95,45.53,0,124.58,0,343.12,150.34,0.98,0,0,0,32.53,0,26.43,0,30,5.7,0,0,0,0,18.2,148.3,0,16.88,68.56,0,18.9,35.34,0,75.04,0,0,13.52,0,0,42.15,0,130.79,0,0,27.68,109.21,20,59.5,279.11,0,8.36,0,2.98,0,0,55.87

14,03:15-03:30,23.33,10.43,97.23,0,0,2.3,688.55,0,1.93,0,0,0,21.64,45,50.79,0,52.75,0,0,10.95,45.53,0,124.58,0,343.12,150.34,0.98,0,0,0,32.53,0,26.43,0,30,5.7,0,0,0,0,18.2,148.3,0,16.88,68.56,0,18.9,35.34,0,75.04,0,0,13.52,0,0,42.15,0,130.79,0,0,27.68,109.21,20,59.5,279.11,0,8.36,0,2.98,0,0,55.87

15,03:30-03:45,23.33,10.43,97.23,0,0,2.3,688.55,0,1.93,0,0,0,21.64,45,50.79,0,52.75,0,0,10.95,45.53,0,124.58,0,343.12,150.34,0.98,0,0,0,32.53,0,26.43,0,30,5.7,0,0,0,0,18.2,148.3,0,16.88,68.56,0,18.9,35.34,0,75.04,0,0,13.52,0,0,42.15,0,130.79,0,0,27.68,109.21,20,59.5,279.11,0,8.36,0,2.98,0,0,76.74

16,03:45-04:00,23.33,10.43,97.23,0,0,2.3,688.55,0,1.93,0,0,0,21.64,45,50.79,0,52.75,0,0,10.95,45.53,0,124.58,0,343.12,150.34,0.98,0,0,0,32.53,0,26.43,0,30,5.7,0,0,0,0,18.2,148.3,0,16.88,68.56,0,18.9,35.34,0,75.04,0,0,13.52,0,0,42.15,0,130.79,0,0,27.68,109.21,20,59.5,279.11,0,8.36,0,2.98,0,0,76.74

17,04:00-04:15,23.33,10.43,97.23,0,0,2.3,688.55,0,1.93,0,0,0,21.64,45,50.23,0,51.96,0,0,10.95,45.53,0,124.58,0,343.12,150.34,0.98,0,0,0,32.53,0,26.43,0,30,5.7,0,0,0,0,18.2,148.3,0,16.88,68.56,0,18.9,35.34,0,75.04,0,0,13.52,0,0,42.15,0,130.79,0,0,27.68,109.21,20,59.5,279.11,0,8.49,0,2.98,0,12.12,76.74

18,04:15-04:30,23.33,10.43,97.23,0,0,2.3,688.55,0,1.93,0,0,0,21.64,45,50.23,0,52.22,0,0,10.95,45.53,0,124.58,0,343.12,150.34,0.98,0,0,0,32.53,0,26.43,0,30,5.7,0,0,0,0,18.2,148.3,0,16.88,68.56,0,18.9,35.34,0,75.04,0,0,13.52,0,0,42.15,0,130.79,0,0,27.68,109.21,20,59.5,279.11,0,8.49,0,2.98,0,12.12,76.74

19,04:30-04:45,23.33,10.43,97.23,0,0,2.3,688.55,0,1.93,0,0,0,21.64,45,50.23,0,53.14,0,0,10.95,45.53,0,124.58,0,343.12,150.34,0.98,0,0,0,32.53,0,26.43,0,30,5.7,0,0,0,0,18.2,148.3,0,16.88,68.56,0,18.9,35.34,0,75.04,0,0,13.52,0,0,42.15,0,130.79,0,0,27.68,109.21,20,59.5,279.11,0,8.49,0,2.98,0,19.83,76.74

