Block,Time,DHAULIGNGA,DADRI_LF,DADRI_RF,DADRI_CRF,RAPPC,UNCHAHAR1,SINGRAULI_HYDRO,TEHRI,ANTA_CRF,RIHAND3,KOLDAM,SEWA2,PARBATI3,AURY_LF,NJPC,DADRI_GF,URI,CHAMERA3,SINGRAULI,CHAMERA2,URI2,DADRT2,RIHAND2,AURY_GF,AURY_CRF,RAPPB,BSIUL,RAMPUR,TANDA2,JHAJJAR,KOTESHWR,AURY_RF,ANTA_LF,ANTA_GF,KISHANGANGA,RIHAND1,NAPP,DULHASTI,UNCHAHAR3,UNCHAHAR2,UNCHAHAR4,CHAMERA1,TANAKPUR,ANTA_RF,SALAL,VALLURNTECL,KSTPS7,SIPAT II,KUDGI,FSTPP I & II,GANDHAR-RLNG,TAPS-II,TALST2,KAWAS-NAPM,SASAN,GANDHAR-NAPM,RSTPSU7,KHARGONE-I,NLCIIST2,GADARWARA-I,MAPS,MOUDA_II,KAWAS-APM,VSTPS II,KGSU1AND2,KAPS,VSTPS V,SIMHST2,BRBCL,MOUDA,VSTPS III,SIPAT I,NLCIIST1,RSTPSU1TO6,KHSTPP-I,KAWAS-zLIQ,NTPL,KAWAS-RLNG,GANDHAR-APM,KGSU3AND4,KHSTPP-II,VSTPS IV,VSTPS I,GANDHAR-ComGas,KKNP,KSTPS I&II,SOLAPUR,NNTPP,LARA-I,NLCTS2EXP,KAWAS-ComGas,NLCEXP,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,0.000000,62.950813,0.000000,1.016289,48.563476,0.000000,123.890121,1.563656,17.465872,0.000000,0.000000,20.749983,0.000000,46.851552,21.518384,127.998795,44.776114,35.210761,355.935713,118.083735,0.000000,0.000000,0.000000,6.259605,0.639762,3.944705,631.684615,26.868491,0.000000,0.000000,0.000000,6.187132,45.235146,46.660082,18.239262,18.320388,40.645284,0.000000,40.651823,0.000000,0.000000,67.244940,3.44,1.285329,1.791457,0.00,19.994085,0.000000,1.313349,2.92,0.000000,336.415448,0.000000,1.87,3.393268,1.47,3.290442,0.23,3.363787,0.000000,1.861130,1.94,1.099695,1.271619,1.78,19.201586,1.856470,1.877149,3.393268,0.98,7.67,43.616137,0.000000,3.65,0.000000,0.000000,2.10,142.278820,2.570658,2.242852,0.000000,0.00,2.844264,1.696634,0.19,4.078779,0.00,0.000000,1.77,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,0.000000,62.950813,0.000000,1.016289,48.563476,0.000000,123.890121,0.000000,17.465872,0.000000,0.000000,20.749983,0.000000,46.851552,21.518384,127.998795,44.776114,35.210761,355.923270,118.083735,0.000000,0.000000,0.000000,6.259605,0.639762,3.944705,631.684615,26.868491,0.000000,0.000000,0.000000,6.187132,45.235146,46.660082,18.239262,18.320388,42.468189,0.000000,40.651823,0.000000,0.000000,67.244940,3.44,1.285329,1.791457,0.00,19.994085,0.000000,1.313349,2.92,0.000000,336.586388,0.000000,1.87,3.393268,1.47,3.290442,0.23,3.363787,0.000000,1.861130,1.94,1.099695,1.271619,1.78,19.291736,1.856470,1.877149,3.393268,0.98,7.67,43.616137,0.000000,3.65,0.000000,0.000000,2.10,142.278820,2.570658,2.242852,0.000000,0.00,2.844264,1.696634,0.19,4.078779,0.00,0.000000,1.77,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,0.000000,62.950813,0.000000,1.016289,48.563476,0.000000,123.890121,0.000000,17.465872,0.000000,0.000000,20.749983,0.000000,46.851552,21.518384,127.998795,44.776114,30.441153,364.647030,118.083735,0.000000,0.000000,0.000000,6.259605,0.639762,3.944705,588.050249,8.812865,0.000000,0.000000,0.000000,6.187132,45.235146,46.660082,18.239262,14.750486,42.752489,0.000000,40.651823,0.000000,0.000000,67.244940,3.44,1.285329,1.791457,0.00,19.994085,0.000000,1.313349,2.92,0.000000,336.586388,0.000000,1.87,3.393268,1.47,3.290442,0.23,3.363787,0.000000,1.861130,1.94,1.099695,1.271619,1.78,12.108892,1.856470,1.877149,3.393268,0.98,7.67,43.616137,0.000000,3.65,0.000000,0.000000,2.10,142.278820,2.570658,2.242852,0.000000,0.00,2.844264,1.696634,0.19,4.078779,0.00,0.000000,1.77,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,0.000000,62.950813,0.000000,1.016289,48.563476,0.000000,123.890121,0.000000,17.465872,0.000000,0.000000,20.749983,0.000000,46.851552,21.518384,127.998795,44.776114,30.441153,364.279307,118.083735,0.000000,0.000000,0.000000,6.259605,0.639762,3.944705,493.054908,8.812865,0.000000,0.000000,0.000000,6.187132,45.235146,46.660082,18.239262,12.097751,42.752489,0.000000,27.101215,0.000000,0.000000,67.244940,3.44,1.285329,1.791457,0.00,19.994085,0.000000,1.313349,2.92,0.000000,336.586388,0.000000,1.87,3.393268,1.47,3.290442,0.23,3.363787,0.000000,1.861130,1.94,1.099695,1.271619,1.78,11.839783,1.856470,1.877149,3.393268,0.98,7.67,43.616137,0.000000,3.65,0.000000,0.000000,2.10,142.278820,2.570658,2.242852,0.000000,0.00,2.844264,1.696634,0.19,4.078779,0.00,0.000000,1.77,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,0.000000,62.950813,0.000000,1.016289,48.563476,0.000000,123.890121,0.000000,17.465872,0.000000,0.000000,0.000000,0.000000,46.851552,21.518384,127.998795,44.776114,30.441153,364.281051,118.083735,0.000000,0.000000,0.000000,6.259605,0.000000,3.944705,396.604908,8.812865,0.000000,0.000000,0.000000,6.187132,45.235146,46.660082,18.239262,12.097751,23.727761,0.000000,27.101215,0.617762,0.000000,67.244940,3.44,1.285329,1.791457,0.00,19.994085,0.000000,1.313349,2.92,0.000000,336.586388,0.000000,1.87,3.393268,1.47,3.290442,0.23,3.363787,0.000000,1.861130,1.94,1.099695,1.271619,1.78,12.490805,1.856470,1.877149,3.393268,0.98,7.67,43.616137,0.000000,3.65,0.000000,0.000000,2.10,142.278820,2.570658,2.242852,0.000000,0.00,2.844264,1.696634,0.19,4.078779,0.00,0.000000,1.77,0.000000,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,0.000000,0.000000,62.950813,0.000000,1.016289,48.563476,0.000000,123.890121,0.000000,17.465872,0.000000,0.000000,0.000000,0.000000,51.110784,21.518384,127.998795,29.760103,30.441153,364.279307,118.083735,0.000000,0.000000,0.000000,6.259605,0.000000,3.944705,336.805908,8.812865,0.000000,0.000000,0.000000,6.187132,45.235146,46.660082,18.239262,12.097751,23.727761,0.000000,13.550608,0.617762,0.000000,67.244940,3.44,1.285329,1.791457,0.00,19.994085,0.000000,1.313349,2.92,0.000000,336.586388,0.000000,1.87,3.393268,1.47,3.290442,0.23,3.363787,0.000000,1.861130,1.94,1.099695,1.271619,1.78,10.675520,1.856470,1.877149,3.393268,0.98,7.67,27.312711,0.000000,3.65,0.000000,0.000000,2.10,142.278820,2.570658,2.242852,0.000000,0.00,2.844264,1.696634,0.19,4.078779,0.00,0.000000,1.77,0.000000,0,0,0,0,0

7,01:30-01:45,0.000000,0.000000,0.000000,0.000000,62.950813,0.000000,1.016289,48.563476,0.000000,123.890121,0.000000,17.465872,0.000000,0.000000,0.000000,0.000000,51.110784,21.518384,127.998795,29.760103,30.441153,364.281051,118.083735,0.000000,0.000000,0.000000,6.259605,0.000000,3.944705,336.805908,8.812865,0.000000,0.000000,0.000000,6.187132,45.235146,46.660082,18.239262,12.769939,23.727761,0.000000,13.550608,0.617762,0.000000,47.071458,3.44,1.285329,1.791457,0.00,14.106198,0.000000,1.313349,2.92,0.000000,336.586388,0.000000,1.87,3.393268,1.47,3.290442,0.23,3.363787,0.000000,1.861130,1.94,1.099695,1.271619,1.78,9.306327,1.856470,1.877149,3.393268,0.98,7.67,27.312711,0.000000,3.65,0.000000,0.000000,2.10,142.278820,2.570658,2.242852,0.000000,0.00,2.844264,1.696634,0.19,4.078779,0.00,0.000000,1.77,0.000000,0,0,0,0,0

