Column1,Block,NR/2025/27356/A/81935,GNARE/NR/2024/12/20/3668,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/7762,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/2868,NR/2025/27281/A/82119,NR/2025/29371/C,NR/2025/29395/C,NR/2025/26785/A/81528,NR/2025/29423/C,NR/2025/26777/A/81610,NR/2025/29425/C,NR/2025/26860/A/81906,NR/2025/29426/C,NR/2025/27727/A/81940,NR/2025/26565/A/82095,NR/2025/27168/A/81794,NR/2025/27185/A/81947,NR/2025/26566/A/82094,NR/2025/26952/A/81555,NR/30092023/31122025/SH-07,NR/2025/29420/C,NR/2025/27176/A/81948,NR/2025/27167/A/81791,NR/2025/27506/A/81524,NR/2025/29404/C,NR/2025/27157/A/81617,NR/2025/27725/A/81943,NR/2025/27728/A/81941,NR/2025/27726/A/81942,NR/2025/27088/A/82138,NR/2025/26572/A/82092,NR/2025/27162/A/81949,NR/2025/26571/A/82093,NR/2025/29445/C,NR/2025/29286/C,NR/2025/29446/C,NR/2025/26975/A/81950,NR/2025/29431/C,SR/2025/17651/C,NR/2025/29297/C,NR/2025/28774/A/81517,NR/2025/29356/C,NR/2025/29432/C,NR/2025/27499/A/82017,NR/2025/26861/A/82091,NR/2025/27500/A/81526,NR/2025/27187/A/81946,NR/2025/26085/A/81578,NR/2025/26445/A/82147,NR/2025/27242/A/81692,NR/2025/28719/A/81628,NR/2025/26889/A/82016,NR/2025/29162/A/81882,NR/2025/27782/A/81939,NR/2025/29447/C,NR/2025/26562/A/82096,NR/2025/27100/A/81899,NR/2025/29448/C,NR/2025/29421/C,NR/2025/29444/C,Total
,,BRPL,SECI_Trader,APPCPL,PowerPulse,APPCPL,MANIKARAN,INSTINCT,KEIPL,PTC,MANIKARAN,APPCPL,PTC,DELHI,PUNJAB,NVVNL,SIMHAPURI,APPCPL,NDMC,MANIKARAN,BRPL,TPDDL,IEXL,NVVNL,INSTINCT,APPCPL,BRPL,NVVNL,APPCPL,PowerPulse,PTC,APPCPL,PowerPulse,PXIL,BAWANA_GAS,APPCPL,APPCPL,PTC,IEXL,INSTINCT,KEIPL,APPCPL,APPCPL,APPCPL,NVVNL,PowerPulse,APPCPL,PowerPulse,APPCPL,MANIKARAN,APPCPL,APPCPL,APPCPL,HPXL,IEXL,IEXL,PXIL,APPCPL,HPXL,PowerPulse,IEXL,APPCPL,ITCLH,NVVNL,GMRETL,DIAPL,HPXL,DIAPL,APPCPL,APPCPL,PowerPulse,IVPL_Trader,APPCPL,NVVNL,APPCPL,
,,NA,NA,GOA_State,NA,GOA_State,MP_State,NA,CSEB_State,TELANGANA_State,MSEB_State,NA,ODISHA_STATE,HIMACHAL_STATE,DELHI_UT,NA,NA,CSEB_State,NA,CSEB_State,NA,NA,NA,NA,NA,CSEB_State,NA,NA,NA,NA,GoHP_Rampur_STATE,KERALA_State,NA,NA,DELHI_UT,Manipur_State,MSEB_State,GoHP_Chamera1_STATE,HIMACHAL_STATE,NA,CSEB_State,NA,NA,NA,NA,NA,CSEB_State,NA,NA,CSEB_State,NA,Manipur_State,KERALA_State,DELHI_UT,NA,NA,NA,MSEB_State,JK_and_LADAKH_UT,NA,MSEB_State,KERALA_State,ANDHRA_PRADESH_STATE,NA,HIMACHAL_STATE,HIMACHAL_STATE,MSEB_State,HIMACHAL_STATE,NA,NA,NA,MSEB_State,NA,NA,NA,
,,TS1PL_BKN,APSEPL_FTG,GOA_Beneficiary,COASTGEN,GOA_Beneficiary,BLAPOWER_MP,SIMHAPURI,CSPDCL,NAVABHARAT,AEML,DBPL,NBVL_OTCL,CHANJUII,BAWANA_GAS,JHABUA_IPP,SIMHAPURI,CSPDCL,JIPL,CSEB_Beneficiary,JPL2,JHAJJAR,MBMP,SORANG_HEP,JPL2,CSEB_Beneficiary,JPL2,ILFS,JPL2,MAHAN_ENERGEN,GoHP_Rampur,KSEB,MAHAN_ENERGEN,MBMP,BAWANA_GAS,Manipur_Ben,AEML,GoHP_Chamera1,NHCPL_HP,JPL2,CSEB_Beneficiary,SKS_Raigarh,RKM_POWER,RKM_POWER,ILFS,APL_Raigarh_TPP,CSEB_Beneficiary,APL_Raigarh_TPP,RKM_POWER,CSEB_Beneficiary,JPL2,Manipur_Ben,KSEB,BYPL,MBMP,TPSL_BKN2,MBMP,AEML,O2Z,COASTGEN,A_A_Energy_MH_Bio,KSEB,ITCWIND,JPNIGRIE_JNSTPP,GBHHPL,GBHHPL,GRETAENERGY,GBHHPL,TRN_ENERGY,TRN_ENERGY,APL_Raipur_TPP,TPC_MSEB,RKM_POWER,Kameng,SKS_Raigarh,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,TPDDL,PUNJAB,BRPL,BRPL,BRPL,NDMC,BYPL,BRPL,TPDDL,NDMC,TPDDL,BRPL,BYPL,BRPL,BRPL,NDMC,TPDDL,BRPL,BYPL,TPDDL,BRPL,HARYANA,BYPL,BYPL,BRPL,MES_Delhi,BRPL,BYPL,NDMC,NDMC,NDMC,BRPL,TPDDL,BYPL,TPDDL,NDMC,BYPL,NDMC,BYPL,BYPL,TANGEDCO,NDMC,MES_Delhi,BRPL,BYPL,BYPL,BRPL,MES_Delhi,BYPL,ITCLH,TPDDL,BRPL,DIAPL,BYPL,DIAPL,NDMC,NDMC,TPDDL,BYPL,NDMC,TPDDL,NDMC,
,,North-North,North-North,West-North,South-West-North,West-North,West-North,South-West-North,West-North,South-West-North,West-North,West-North,East-West-North,North-North,North-North,West-North,South-East-North,West-North,East-North,West-North,West-North,North-North,West-North,North-North,West-North,West-North,West-North,South-West-North,West-North,West-North,North-North,South-West-North,West-North,West-North,North-North,North East-East-North,West-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,North East-East-North,South-West-North,North-West-South,West-North,North-North,West-North,West-North,North-North,South-West-North,West-North,South-West-North,South-West-North,West-North,North-North,North-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,North East-East-North,West-North,
1,00:00-00:15,0,0,19.35,0,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,16.94,26.7,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.7,0,106.41,20.56,1.93,0,217.57,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,27.09,0,0,0,0,0,0,8.71,164.46,7.74,19.35,0.68,70.11,41.11,10.64,5.8,1.93,8.79,0,0,25.23,0,164.7,0,1964.64

2,00:15-00:30,0,0,19.35,0,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,16.94,26.7,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.7,0,106.41,20.56,1.93,0,217.57,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,27.09,0,0,0,0,0,0,8.71,164.46,7.74,19.35,0.68,70.11,41.11,10.64,5.8,1.93,8.79,0,0,25.23,0,164.7,0,1964.64

