Time,Block,NR/2023/12355/D,NR/2023/12364/C,NR/2023/10613/A,NR/2023/11941/F,NR/2023/11958/F,NR/2023/11947/F,NR/2023/11330/A,NR/2023/10944/A,NR/2023/12361/C,NR/2023/11643/A,NR/2023/10229/A,NR/2023/11959/F,NR/2023/10611/A,NR/2023/10236/A,NR/2023/11642/A,NR/2023/11962/F,NR/2023/10487/A,NR/2023/12369/C,NR/2023/10344/A,NR/2023/11952/F,NR/2023/11960/F,NR/2023/12397/C,NR/2023/10434/A,NR/2023/12356/D,NR/2023/11862/F,NR/2023/12357/D,NR/2023/11956/F,NR/2023/11961/F,NR/2023/12358/D,NR/2023/11957/F,NR/2023/11963/F,NR/2023/11342/A,NR/2023/12370/C,NR/2023/11476/A,NR/2023/11955/F,Total
,,NVVNL,TPDDL,APPCPL,NVVNL,SHPPBPL,HPXL,APPCPL,APPCPL,GBHHPL,MANIKARAN,NVVNL,SHPPBPL,APPCPL,NVVNL,MANIKARAN,SHPPBPL,TPTCL,PXIL,BYPL,KEIPL,SHPPBPL,IEXL,NVVNL,NVVNL,APPCPL,TS1PL_BKN,SHPPBPL,SHPPBPL,TS1PL_BKN,SHPPBPL,SHPPBPL,IEXL,PXIL,IEXL,SHPPBPL,Total

,,NA,HIMACHAL PRADESH,NAGALAND,NA,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,ARUNACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,DELHI,MEGHALAYA,MEGHALAYA,HIMACHAL PRADESH,NA,NA,NA,MANIPUR,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,TELANGANA,DELHI,NA,HIMACHAL PRADESH,
,,SOLAPUR_SOLAR,CHANJUII,Nagaland_Ben,SKS Raigarh,SHPPBPL,B_S_ISPAT_MH,HP,HP,GBHHPL,HP,JPNIGRIE_JNSTPP,SHPPBPL,Arunachal_Ben,ILFS,HP,SHPPBPL,APNRL,BYPL,Meghalaya_Ben,Meghalaya_Ben,SHPPBPL,SIMHAPURI,SEIL,KAMENG,Manipur_Ben,TS1PL_BKN,SHPPBPL,SHPPBPL,TS1PL_BKN,SHPPBPL,SHPPBPL,NAVABHARAT,BYPL,JSPL_DCPP,SHPPBPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,
,,MES (Delhi),TPDDL,BYPL,NDMC,AISHER,NDMC,BRPL,BYPL,DIAPL,BRPL,BRPL,BMDRC,BYPL,BRPL,BRPL,MHIL,TPDDL,ASIL_UP,BYPL,BYPL,MAX-HPTL,BRPL,TPDDL,TPDDL,STT,BRPL,BAL224,JHPL-DL,BYPL,BAL234,UHL,BRPL,AMBASTL,BRPL,BAL184,
,,West-North,North-North,North East-East-North,West-North,North-North,West-North,North-North,North-North,North-North,North-North,West-North,North-North,North East-East-North,South-West-North,North-North,North-North,East-North,North-North,North East-East-North,North East-East-North,North-North,South-West-North,South-West-North,North East-East-North,North East-East-North,North-North,North-North,North-North,North-North,North-North,North-North,South-West-North,North-North,West-North,North-North,
1,00:00-00:15,0,11.130000,12.620000,62.630000,0.640000,6.740000,53.960000,23.120000,29.550000,13.010000,42.740000,0.710000,9.920000,213.720000,14.450000,0.460000,41.430000,0.000000,12.210000,36.350000,0.710000,0.000000,24.090000,66.870000,2.890000,0,0.400000,0.770000,0,0.780000,0.460000,115.620000,0.000000,48.180000,0.360000,846.52

2,00:15-00:30,0,11.130000,12.620000,62.630000,0.640000,6.740000,53.960000,23.120000,29.550000,13.010000,42.740000,0.710000,9.920000,213.720000,14.450000,0.460000,41.430000,0.000000,12.210000,36.350000,0.710000,0.000000,24.090000,66.870000,2.890000,0,0.400000,0.770000,0,0.780000,0.460000,115.620000,0.000000,48.180000,0.360000,846.52
