Column1,Time,NR/01102023/08032047/L_NR_2021_14,SR/01102023/07102043/L_NR_2018_61,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,NR/01102023/22052037/LT-59,NR/01102023/13082046/L_NR_2021_12,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,NR/26072023/25122043/L_NR_2023_10,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_06),GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_17,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/12/01/1899,NR/01102023/06022042/L_NR_2012_02,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/3428,GNA/SR/2024/12/01/6968,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/12/01/1475,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/12/01/1766,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/31/7325,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/2197,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10
1,00:00-00:15,0,24.41,0,0,0,0,0,0,0,0,0,0,0,0,25.23,1.22,1.57,8.73,130.43,1.65,8.73,150,64.01,0,26.2,0,0,0,100.1,22.27,70.06,0,134.03,47.56,0,142.69,22.27,25.01,0,8,8.33,0,0,8.33,28.33,28.34

2,00:15-00:30,0,26.21,0,0,0,0,0,0,0,0,0,0,0,0,25.23,1.22,1.57,8.73,112.2,1.65,8.73,150,64.01,0,26.2,0,0,0,100.1,22.27,70.06,0,134.03,47.56,0,142.69,22.27,24.49,0,8,8.17,0,0,8.17,28,28

3,00:30-00:45,0,30.02,0,0,0,0,0,0,0,0,0,0,0,0,25.23,1.22,1.57,8.73,112.2,1.65,8.73,150,64.01,0,26.2,0,0,0,100.1,22.27,70.06,0,115.3,47.56,0,142.69,22.27,24.49,0,8,8.17,0,0,8.17,27.33,27.34

4,00:45-01:00,0,31.02,0,0,0,0,0,0,0,0,0,0,0,0,26.24,1.22,1.57,8.73,112.2,1.65,8.73,150,64.01,0,26.2,0,0,0,100.1,22.27,70.06,0,96.08,47.56,0,142.69,22.27,24,0,8,8,0,0,8,26.67,26.66

5,01:00-01:15,0,30.82,0,0,0,0,0,0,0,0,0,0,0,0,26.24,1.14,1.57,8.73,112.2,1.65,8.73,150,57.36,0,26.2,0,0,0,100.1,22.27,70.06,0,74.71,47.56,0,142.69,22.27,23.51,0,8,7.83,0,0,7.83,26,26

6,01:15-01:30,0,31.02,0,0,0,0,0,0,0,0,0,0,0,0,26.24,1.14,1.57,8.73,82.11,1.65,8.73,150,57.36,0,26.2,0,0,0,100.1,22.27,70.06,0,74.71,47.56,0,142.69,22.27,22.99,0,8,7.67,0,0,7.67,25,25

7,01:30-01:45,0,27.01,0,0,0,0,0,0,0,0,0,0,0,0,26.24,1.14,1.57,8.73,76.86,1.65,8.73,150,57.36,0,26.2,0,0,0,100.1,22.27,70.06,0,74.71,47.56,0,142.69,22.27,22.5,0,8,7.5,0,0,7.5,18.33,18.33

8,01:45-02:00,0,27.21,0,0,0,0,0,0,0,0,0,0,0,0,26.24,1.14,1.57,8.73,72.06,1.65,8.73,150,57.36,0,26.2,0,0,0,100.1,22.27,70.06,0,74.71,47.56,0,142.69,22.27,22.5,0,8,7.5,0,0,7.5,18.33,18.33

9,02:00-02:15,0,27.41,0,0,0,0,0,0,0,0,0,0,0,0,26.24,1.14,1.57,8.73,67.26,1.65,8.73,150,57.36,0,26.2,0,0,0,100.1,22.27,70.06,0,74.71,47.56,0,142.69,22.27,22.5,0,8,7.5,0,0,7.5,18.33,18.33

