Block,Time,TANAKPUR,SINGRAULI,AURY_GF,RIHAND2,CHAMERA1,AURY_RF,JHAJJAR,BSIUL,CHAMERA3,NJPC,DADRI_CRF,RAPPC,AURY_CRF,RAPPB,TEHRI,DHAULIGNGA,RIHAND3,CHAMERA2,KISHANGANGA,ANTA_CRF,KOTESHWR,AURY_LF,SINGRAULI_HYDRO,DULHASTI,DADRI_RF,URI2,UNCHAHAR3,ANTA_LF,ANTA_GF,NAPP,TANDA2,DADRI_GF,SEWA2,ANTA_RF,RAMPUR,URI,KOLDAM,RIHAND1,UNCHAHAR2,UNCHAHAR4,PARBATI3,UNCHAHAR1,DADRI_LF,DADRT2,SALAL,TALA,FSTPP I & II,SASAN,KHSTPP-II,KUDGI,BRBCL,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,9.301982,137.484400,0.000000,115.787038,41.303412,16.128953,636.969001,19.036167,29.601353,154.929110,0.358524,53.835345,0.063804,0.000000,34.178727,37.155045,121.310901,40.533274,2.114992,0.000000,24.923624,0.000000,1.053942,50.334016,5.861192,33.479576,25.868161,0.000000,0.000000,39.792260,1.348441,0.000000,16.061339,4.989135,1.710502,45.962390,2.595375,90.352424,41.681010,0.784242,32.415231,20.931903,0.000000,666.362695,74.253194,15.655794,20.070786,405.453114,142.824507,53.25,18.736207,41.138818,0,0,0,0,0

2,00:15-00:30,9.301982,137.484400,0.000000,115.787038,41.303412,16.128953,636.969001,19.036167,29.601353,154.929110,0.358524,53.835345,0.063804,0.000000,34.178727,37.155045,121.310901,40.533274,2.114992,0.000000,24.923624,0.000000,1.053942,50.334016,5.861192,33.479576,25.868161,0.000000,0.000000,39.792260,1.348441,0.000000,16.061339,4.989135,1.710502,45.962390,2.595375,90.352424,41.681010,0.784242,32.415231,20.931903,0.000000,666.362695,74.253194,15.655794,20.070786,405.453114,142.824507,53.25,14.223688,41.138818,0,0,0,0,0

3,00:30-00:45,9.301982,137.484400,0.000000,115.787038,41.303412,16.128953,636.969001,19.036167,29.601353,154.929110,0.358524,53.835345,0.063804,0.000000,34.178727,37.155045,121.310901,40.533274,2.114992,0.000000,24.923624,0.000000,1.053942,50.334016,5.861192,33.479576,25.868161,0.000000,0.000000,39.792260,1.348441,0.000000,16.061339,4.989135,1.710502,45.962390,2.595375,90.352424,41.681010,0.784242,19.449140,20.931903,0.000000,666.362695,74.253194,11.386032,20.070786,405.453114,142.824507,48.41,12.501143,41.138818,0,0,0,0,0

4,00:45-01:00,9.301982,137.484400,0.000000,115.787038,41.303412,16.128953,636.969001,19.036167,29.601353,154.929110,0.358524,53.835345,0.063804,0.000000,34.178727,37.155045,121.310901,40.533274,2.114992,0.000000,24.923624,0.000000,1.053942,50.334016,5.861192,33.479576,25.868161,0.000000,0.000000,39.792260,1.348441,0.000000,16.061339,4.989135,1.710502,45.962390,2.595375,90.352424,41.681010,0.784242,19.449140,20.931903,0.000000,666.362695,74.253194,11.386032,20.070786,405.453114,142.824507,48.41,10.848204,41.138818,0,0,0,0,0

5,01:00-01:15,9.301982,137.484400,0.000000,115.787038,41.303412,10.650200,636.969001,19.036167,29.601353,154.929110,0.358524,53.835345,0.000000,0.000000,34.178727,37.155045,121.310901,40.533274,2.114992,1.510392,24.923624,0.000000,1.053942,50.334016,5.809200,33.479576,25.868161,0.000000,0.000000,39.792260,1.348441,0.000000,16.061339,4.989135,1.710502,45.962390,2.595375,90.352424,41.681010,0.784242,19.449140,20.931903,0.000000,607.292562,74.253194,12.809286,20.070786,405.453114,142.824507,43.57,10.951487,41.138818,0,0,0,0,0

6,01:15-01:30,9.301982,137.484400,0.000000,115.787038,41.303412,10.650200,636.969001,19.036167,29.601353,154.929110,0.358524,53.835345,0.000000,0.000000,34.178727,37.155045,121.310901,40.533274,2.114992,1.510392,24.923624,0.000000,1.053942,50.334016,5.809200,33.479576,25.868161,0.000000,0.000000,39.792260,1.348441,0.000000,16.061339,4.989135,1.710502,45.962390,2.595375,90.352424,41.681010,0.784242,19.449140,20.931903,0.000000,584.034215,74.253194,12.809286,20.070786,405.453114,142.824507,43.57,11.967223,41.138818,0,0,0,0,0

