Block,Time,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/01102023/30042040/GNA_LT_36,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/01102023/30042040/GNA_LT_35,NR/01102023/31102037/L_NR_2019_11,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,NR/21062024/21062024/IEX_240620-01227,NR/01062024/30062024/IEPL01,NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/01062024/30062024/R2,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/30092023/31122025/SH-07,NR/01102023/25122043/GNA_MEJA_DELHI,NR/20062024/30062024/1000011400-GOHP-BRPL(DISCOM),NR/01102023/31052040/LT-31,NR/30092023/26122029/SH-06,NR/01102023/05012040/L_NR_2020_02,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,NR/01102023/23072042/L_NR_2012_04,NR/16062024/30062024/1000011196-KWHPS-BRPL(DISCOM),NR/01102023/15082037/GNA_NR_2012_01,NR/01062024/30062024/1000011034-ACBL-BRPL,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,NR/01102023/14082046/L_NR_2021_16,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17
1,00:00-00:15,24.150000,0.000000,24.150000,48.300000,0.000000,7.830000,273.140000,38.640000,16.110000,31.290000,262.270000,6.990000,48.300000,38.640000,48.300000,24.150000,21.780000,16.020000,30.910000,0.000000,67.620000,0.000000,30.910000,6.880000,13.190000,115.490000,87.130000,0.000000,0.000000,100.640000,24.150000,0,30.02,0,80,110,80,0,0,36.67,38.34,36.66,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,24.150000,0.000000,24.150000,48.300000,0.000000,7.830000,273.140000,38.640000,16.110000,31.290000,262.270000,6.990000,48.300000,38.640000,48.300000,24.150000,21.780000,16.020000,30.910000,0.000000,67.620000,0.000000,30.910000,6.880000,13.190000,115.490000,87.130000,0.000000,0.000000,100.640000,24.150000,0,28.01,0,80,110,80,0,0,36.67,38.34,36.66,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,24.150000,0.000000,24.150000,48.300000,0.000000,7.830000,273.140000,38.640000,16.110000,31.290000,262.270000,6.990000,48.300000,38.640000,48.300000,24.150000,21.780000,16.020000,30.910000,0.000000,67.620000,0.000000,30.910000,6.880000,13.190000,115.490000,87.130000,0.000000,0.000000,100.640000,24.150000,0,25.01,0,80,111,80,0,0,37,38.34,37,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,24.150000,0.000000,24.150000,48.300000,0.000000,7.830000,273.140000,38.640000,16.110000,31.290000,262.270000,6.990000,48.300000,38.640000,48.300000,24.150000,21.780000,16.020000,30.910000,0.000000,67.620000,0.000000,30.910000,6.880000,13.190000,115.490000,87.130000,0.000000,0.000000,100.640000,24.150000,0,21.01,0,80,111.5,80,0,0,37.17,39,37.16,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,24.150000,0.000000,24.150000,48.300000,0.000000,7.680000,273.140000,38.640000,16.110000,31.290000,262.270000,6.920000,48.300000,38.640000,48.300000,24.150000,21.780000,16.020000,30.910000,0.000000,67.620000,0.000000,30.910000,6.680000,13.190000,115.490000,87.130000,0.000000,0.000000,100.640000,24.150000,0,17,0,80,112.5,80,0,0,37.5,39.34,37.5,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,24.150000,0.000000,24.150000,48.300000,0.000000,7.680000,273.140000,38.640000,16.110000,31.290000,262.270000,6.920000,48.300000,38.640000,48.300000,24.150000,21.780000,16.020000,30.910000,0.000000,67.620000,0.000000,30.910000,6.680000,13.190000,115.490000,87.130000,0.000000,0.000000,100.640000,24.150000,0,28.61,0,80,113.5,80,0,0,37.83,40,37.84,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,24.150000,0.000000,24.150000,48.300000,0.000000,6.920000,273.140000,38.640000,16.110000,31.290000,262.270000,6.920000,48.300000,38.640000,48.300000,24.150000,21.780000,16.020000,30.910000,0.000000,67.620000,0.000000,30.910000,6.680000,13.190000,115.490000,87.130000,0.000000,0.000000,100.640000,24.150000,0,36.02,0,80,114.5,80,0,0,38.17,32.34,38.16,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,24.150000,0.000000,24.150000,48.300000,0.000000,6.920000,273.140000,38.640000,16.110000,31.290000,262.270000,6.920000,48.300000,38.640000,48.300000,24.150000,21.780000,16.020000,30.910000,0.000000,67.620000,0.000000,30.910000,6.680000,13.190000,115.490000,87.130000,0.000000,0.000000,100.640000,24.150000,0,35.22,0,80,115,80,0,0,38.33,32.34,38.34,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,24.150000,0.000000,24.150000,48.300000,0.000000,6.920000,273.140000,38.640000,16.110000,31.290000,262.270000,6.920000,48.300000,38.640000,48.300000,24.150000,21.780000,16.020000,30.910000,0.000000,67.620000,0.000000,30.910000,6.500000,13.100000,115.490000,87.130000,0.000000,0.000000,100.640000,24.150000,0,37.02,0,80,115,80,0,0,38.33,32.34,38.34,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,24.150000,0.000000,24.150000,48.300000,0.000000,6.920000,273.140000,38.640000,16.110000,31.290000,262.270000,6.920000,48.300000,38.640000,48.300000,24.150000,21.780000,16.020000,30.910000,0.000000,67.620000,0.000000,30.910000,6.500000,13.100000,115.490000,87.130000,0.000000,0.000000,100.640000,24.150000,0,35.42,0,80,115,80,0,0,38.33,32.66,38.34,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,24.150000,0.000000,24.150000,48.300000,0.000000,6.920000,273.140000,38.640000,16.110000,31.290000,262.270000,6.680000,48.300000,38.640000,48.300000,24.150000,21.780000,16.020000,30.910000,0.000000,67.620000,0.000000,30.910000,6.500000,13.100000,115.490000,87.130000,0.000000,0.000000,100.640000,24.150000,0,33.62,0,60,87.5,60,0,0,29.17,32.34,29.16,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,24.150000,0.000000,24.150000,48.300000,0.000000,6.920000,273.140000,38.640000,16.110000,31.290000,262.270000,6.680000,48.300000,38.640000,48.300000,24.150000,21.780000,16.020000,30.910000,0.000000,67.620000,0.000000,30.910000,6.500000,13.100000,115.490000,87.130000,0.000000,0.000000,100.640000,24.150000,0,32.42,0,60,87.5,60,0,0,29.17,32.34,29.16,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,24.150000,0.000000,24.150000,48.300000,0.000000,6.920000,273.140000,0.000000,16.110000,31.290000,262.270000,6.680000,48.300000,38.640000,48.300000,24.150000,21.780000,16.020000,14.170000,0.000000,67.620000,0.000000,14.170000,6.320000,13.000000,115.490000,87.130000,0.000000,0.000000,100.640000,24.150000,0,31.42,0,60,87.5,60,0,0,29.17,32.34,29.16,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,24.150000,0.000000,24.150000,48.300000,0.000000,6.920000,273.140000,0.000000,16.110000,31.290000,262.270000,6.680000,48.300000,38.640000,48.300000,24.150000,21.780000,16.020000,14.170000,0.000000,67.620000,0.000000,14.170000,6.320000,13.000000,85.200000,87.130000,0.000000,0.000000,100.640000,24.150000,0,30.02,0,60.67,88.5,60.67,0,0,29.5,32.66,29.5,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,24.150000,0.000000,24.150000,48.300000,0.000000,6.920000,273.140000,0.000000,16.110000,31.290000,230.740000,6.680000,48.300000,38.640000,48.300000,24.150000,21.780000,16.020000,14.170000,0.000000,67.620000,0.000000,14.170000,6.320000,13.000000,66.270000,63.350000,0.000000,0.000000,100.640000,24.150000,0,33.02,0,66.67,89.5,66.67,0,0,29.83,30,29.84,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,24.150000,0.000000,24.150000,48.300000,0.000000,6.920000,273.140000,0.000000,12.310000,31.290000,201.760000,6.680000,48.300000,38.640000,48.300000,24.150000,21.780000,16.020000,14.170000,0.000000,67.620000,0.000000,14.170000,6.320000,13.000000,66.270000,63.350000,0.000000,0.000000,100.640000,24.150000,0,32.62,0,67.67,90.5,67.67,0,0,30.17,30,30.16,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,24.150000,0.000000,24.150000,48.300000,0.000000,6.920000,273.140000,0.000000,12.310000,31.290000,201.760000,6.450000,48.300000,38.640000,48.300000,24.150000,21.780000,16.020000,14.170000,0.000000,67.620000,0.000000,14.170000,6.320000,12.920000,66.270000,63.350000,0.000000,0.000000,100.640000,24.150000,0,32.02,0,68.67,92.5,68.67,0,0,30.83,30,30.84,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,24.150000,0.000000,24.150000,48.300000,0.000000,6.920000,273.140000,0.000000,12.310000,31.290000,201.760000,6.450000,48.300000,38.640000,48.300000,24.150000,21.780000,16.020000,14.170000,0.000000,67.620000,0.000000,14.170000,6.320000,12.920000,66.270000,63.350000,0.000000,0.000000,100.640000,24.150000,0,31.42,0,69.67,94.5,69.67,0,0,31.5,30.34,31.5,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,24.150000,0.000000,24.150000,48.300000,0.000000,6.920000,273.140000,0.000000,12.310000,31.290000,201.760000,6.450000,48.300000,38.640000,48.300000,24.150000,21.780000,16.020000,14.170000,0.000000,67.620000,0.000000,14.170000,6.320000,12.920000,66.270000,63.350000,0.000000,0.000000,100.640000,24.150000,0,30.82,0,70.33,97.5,70.33,0,0,32.5,30.66,32.5,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,24.150000,0.000000,24.150000,48.300000,0.000000,6.920000,273.140000,0.000000,12.310000,31.290000,201.760000,6.450000,48.300000,38.640000,48.300000,24.150000,21.780000,16.020000,14.170000,0.000000,67.620000,0.000000,14.170000,6.320000,12.920000,66.270000,63.350000,0.000000,0.000000,100.640000,24.150000,0,30.02,0,71,100,71,0,0,33.33,31.34,33.34,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,24.150000,0.000000,24.150000,48.300000,0.000000,6.840000,273.140000,0.000000,12.310000,31.290000,201.760000,6.450000,48.300000,38.640000,48.300000,24.150000,21.780000,24.150000,14.170000,0.000000,67.620000,0.000000,14.170000,6.220000,12.720000,66.270000,63.350000,0.000000,0.000000,100.640000,24.150000,0,18,0,71.67,102.5,71.67,0,0,34.17,32,34.16,0,0,0,0,0,0,0,0,0,0

22,05:15-05:30,24.150000,0.000000,24.150000,48.300000,0.000000,6.840000,273.140000,0.000000,12.310000,31.290000,201.760000,6.450000,48.300000,38.640000,48.300000,24.150000,21.780000,24.150000,14.170000,0.000000,67.620000,0.000000,14.170000,6.220000,12.720000,66.270000,63.350000,0.000000,0.000000,100.640000,24.150000,0,17.2,0,72.67,105,72.67,0,0,35,32.66,35,0,0,0,0,0,0,0,0,0,0

