Block,Time,DADRI_RF,DADRI_GF,TANAKPUR,URI2,SINGRAULI,TANDA2,SINGRAULI_HYDRO,RIHAND2,DADRT2,KISHANGANGA,UNCHAHAR2,BSIUL,KOTESHWR,JHAJJAR,DHAULIGNGA,CHAMERA3,AURY_RF,AURY_GF,ANTA_RF,RAPPB,AURY_LF,NJPC,RIHAND1,UNCHAHAR3,ANTA_CRF,SEWA2,UNCHAHAR4,RAPPC,KOLDAM,DADRI_LF,RIHAND3,CHAMERA1,DULHASTI,CHAMERA2,BRBCL,FSTPP I & II,NAPP,UNCHAHAR1,TALA,AURY_CRF,SASAN,ANTA_LF,PARBATI3,KHSTPP-I,TEHRI,URI,RAMPUR,KHSTPP-II,SALAL,ANTA_GF,DADRI_CRF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.786464,0.000000,3.590079,36.617398,144.949321,5.178057,1.172068,120.200832,664.995251,5.373603,43.397762,12.603402,26.737886,371.997512,42.073323,33.660923,0.000000,0.000000,0.314120,0.000000,0.000000,173.915716,93.794863,26.710311,0.000000,12.259727,2.986176,66.517578,9.891175,0.000000,126.192609,40.731905,57.187109,46.870234,19.329740,17.131986,46.446951,21.869632,0.000000,0.428507,326.160000,0.000000,4.128549,31.089185,40.812129,32.007168,6.518867,143.319415,64.008538,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,3.590079,36.617398,144.949321,5.178057,1.172068,120.200832,664.995251,5.373603,43.397762,12.603402,26.737886,371.997512,42.073323,33.660923,0.000000,0.000000,0.000000,0.000000,0.000000,173.915716,93.794863,26.710311,0.000000,12.259727,2.986176,66.517578,9.891175,0.000000,126.192609,40.731905,57.187109,46.870234,19.329740,17.462848,46.446951,21.869632,0.000000,0.000000,326.160000,0.000000,4.128549,31.089185,40.812129,32.007168,6.518867,143.319415,64.008538,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,9.779871,36.617398,144.949321,5.178057,1.172068,120.200832,664.995251,5.373603,43.397762,12.603402,26.737886,371.997512,42.073323,33.660923,0.000000,0.000000,0.000000,0.000000,0.000000,173.915716,93.794863,26.710311,0.000000,12.259727,2.986176,66.517578,9.891175,0.000000,126.192609,40.731905,57.187109,46.870234,19.329740,17.462848,46.446951,21.869632,0.000000,0.000000,326.160000,0.000000,4.128549,31.089185,40.812129,32.007168,6.518867,143.319415,64.008538,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,9.779871,36.617398,144.949321,5.178057,1.172068,120.200832,664.995251,5.373603,43.397762,12.603402,26.737886,371.997512,42.073323,33.660923,0.000000,0.000000,0.000000,0.000000,0.000000,173.915716,93.794863,26.710311,0.000000,12.259727,2.986176,66.517578,9.891175,0.000000,126.192609,40.731905,57.187109,46.870234,19.329740,17.462848,46.446951,21.869632,0.000000,0.000000,326.160000,0.000000,4.128549,31.089185,40.812129,32.007168,6.518867,143.319415,64.008538,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,6.065996,36.617398,144.949321,5.178057,1.172068,120.200832,664.995251,5.373603,43.397762,12.603402,26.737886,466.230016,42.073323,33.660923,0.000000,0.000000,0.000000,0.000000,0.000000,173.915716,93.794863,26.710311,0.000000,12.259727,2.986176,66.517578,9.891175,0.000000,126.192609,40.731905,57.187109,46.870234,19.329740,17.462848,46.446951,21.869632,0.000000,0.000000,326.160000,0.000000,4.128549,31.089185,40.812129,32.007168,6.518867,143.319415,64.008538,0.000000,0.000000,0,0,0,0,0

