Block,Time,BSIUL,DADRT2,KGSU1AND2,KISHANGANGA,KOLDAM,NLCIIST2,NTPL,TEHRIPSP,UNCHAHAR2,UNCHAHAR4,URI,DULHASTI,KHSTPP-I,NNTPP,RAPPD,RIHAND2,RSTPSU1TO6,SIMHST1,TALA,TANDA2,URI2,ANTA_LF,AURY_LF,AURY_RF,DADRI_CRF,KGSU3AND4,KKNP,KUDGI,NLCIIST1,UNCHAHAR1,ANTA_CRF,ANTA_RF,CHAMERA2,CHAMERA3,JHAJJAR,NAPP,NJPC,NLCTS2EXP,SALAL,UNCHAHAR3,ANTA_GF,AURY_GF,DADRI_GF,DADRI_LF,CHAMERA1,RAMPUR,RIHAND3,TANAKPUR,AURY_CRF,FSTPP I & II,KOTESHWR,NLCEXP,PARBATI2,RIHAND1,TALST2,TEHRI,VALLURNTECL,DADRI_RF,BRBCL,KHSTPP-II,KKNPPU2,RAPPB,RAPPC,RSTPSU7,SASAN,SEWA2,SIMHST2,DHAULIGNGA,MAPS,PARBATI3,SINGRAULI,SINGRAULI_HYDRO,TelanganaSTPP
1,00:00-00:15,13.04,550.85,0,8.71,10.65,0,0,51.99,45.12,2.45,51.34,58.79,45.83,0,25.54,126.8,0,0,12.64,6.87,38.16,0,0,78.22,0,0,0,0,0,21.83,0,48.64,48.9,35.09,458.85,24.89,181.16,0,85.41,27.99,0,0,0,0,42.15,7.04,92.37,8.33,0,20.8,20.88,0,58.05,99.81,0,29.68,0,74.64,24.99,148.3,0,0,68.22,0,418.77,0,0,43.85,0,69.16,153.28,1.17,0

2,00:15-00:30,13.04,550.85,0,8.71,10.65,0,0,51.99,45.12,2.45,51.34,58.79,45.83,0,25.54,126.8,0,0,12.64,6.87,38.16,0,0,78.22,0,0,0,0,0,21.83,0,48.64,48.9,35.09,458.85,24.89,181.16,0,85.41,27.99,0,0,0,0,42.15,7.04,92.37,8.33,0,20.8,20.88,0,58.05,99.81,0,29.68,0,74.64,24.99,148.3,0,0,68.22,0,418.77,0,0,43.85,0,69.16,153.28,1.17,0

3,00:30-00:45,13.04,550.85,0,8.71,10.65,0,0,51.99,45.12,2.45,51.34,58.79,45.83,0,25.54,126.8,0,0,12.64,6.87,38.16,0,0,78.22,0,0,0,0,0,21.83,0,48.64,48.9,35.09,458.85,24.89,181.16,0,85.41,27.99,0,0,0,0,42.15,7.04,92.37,8.33,0,20.8,20.88,0,58.05,99.81,0,29.68,0,74.64,24.99,148.3,0,0,68.22,0,418.77,0,0,43.85,0,69.16,153.28,1.17,0

4,00:45-01:00,13.04,550.85,0,8.71,10.65,0,0,51.99,45.12,2.45,51.34,58.79,45.83,0,25.54,126.8,0,0,12.64,6.87,38.16,0,0,78.22,0,0,0,0,0,21.83,0,48.64,48.9,35.09,458.85,24.89,181.16,0,85.41,27.99,0,0,0,0,42.15,7.04,92.37,8.33,0,20.8,20.88,0,58.05,99.81,0,29.68,0,74.64,24.99,148.3,0,0,68.22,0,418.77,0,0,43.85,0,69.16,153.28,1.17,0

5,01:00-01:15,13.04,550.85,0,8.71,10.65,0,0,51.99,45.12,2.45,51.34,58.79,45.83,0,25.54,126.8,0,0,12.64,6.87,38.16,0,0,78.22,0,0,0,0,0,21.83,0,48.64,48.9,35.09,458.85,24.89,181.16,0,85.41,27.99,0,0,0,0,42.15,7.04,92.37,8.33,0,20.8,10.44,0,58.05,99.81,0,29.68,0,74.64,24.99,148.3,0,0,68.22,0,418.77,0,0,43.85,0,69.16,153.28,1.17,0

6,01:15-01:30,13.04,550.85,0,8.71,10.65,0,0,51.99,45.12,2.45,51.34,58.79,45.83,0,25.54,126.8,0,0,12.64,6.87,38.16,0,0,78.22,0,0,0,0,0,21.83,0,49.3,48.9,35.09,458.85,24.89,181.16,0,85.41,27.99,0,0,0,0,42.15,7.04,92.37,8.33,0,20.8,10.44,0,58.05,99.81,0,29.68,0,74.64,24.99,148.3,0,0,68.22,0,418.77,0,0,43.85,0,69.16,153.28,1.17,0

7,01:30-01:45,13.04,550.85,0,8.71,10.65,0,0,0,45.12,2.45,51.34,58.79,45.83,0,25.54,126.8,0,0,12.64,6.87,38.16,0,0,78.22,0,0,0,0,0,21.83,0,49.3,48.9,35.09,458.85,24.89,181.16,0,85.41,27.99,0,0,0,0,42.15,7.04,92.37,8.33,0,20.8,10.44,0,58.05,99.81,0,29.68,0,74.64,24.99,148.3,0,0,68.22,0,418.77,0,0,43.85,0,69.16,153.28,1.17,0

8,01:45-02:00,13.04,550.85,0,8.71,10.65,0,0,0,45.12,2.45,51.34,58.79,45.83,0,25.54,126.8,0,0,12.64,6.87,38.16,0,0,78.22,0,0,0,0,0,21.83,0,49.3,48.9,35.09,458.85,24.89,181.16,0,85.41,27.99,0,0,0,0,42.15,7.04,92.37,8.33,0,20.8,10.44,0,58.05,99.81,0,29.68,0,74.64,24.99,148.3,0,0,68.22,0,418.77,0,0,43.85,0,69.16,153.28,1.17,0

9,02:00-02:15,13.04,550.85,0,8.71,10.65,0,0,0,45.62,3.98,51.34,58.79,45.83,0,25.54,126.8,0,0,12.05,7.07,38.16,0,0,78.22,0,0,0,0,0,21.83,0,49.3,48.9,35.09,458.85,24.89,181.16,0,85.41,27.99,0,0,0,0,42.15,7.04,92.37,8.33,0,20.8,10.44,0,58.05,99.81,0,29.68,0,74.64,24.99,148.3,0,0,68.22,0,418.77,0,0,21.92,0,69.16,153.28,1.17,0

10,02:15-02:30,13.04,550.85,0,8.71,10.65,0,0,0,45.62,3.98,51.34,58.79,45.83,0,25.54,126.8,0,0,12.05,7.07,38.16,0,0,78.22,0,0,0,0,0,21.83,0,49.3,48.9,35.09,458.85,24.89,181.16,0,85.41,27.99,0,0,0,0,42.15,7.04,92.37,8.33,0,20.8,10.44,0,58.05,99.81,0,29.68,0,74.64,24.99,148.3,0,0,68.22,0,418.77,0,0,21.92,0,69.16,153.28,1.17,0

11,02:30-02:45,13.04,550.85,0,8.71,10.65,0,0,0,45.62,3.98,51.34,58.79,45.83,0,25.54,126.8,0,0,12.35,7.07,38.16,0,0,78.22,0,0,0,0,0,21.83,0,49.3,48.9,35.09,458.85,24.89,181.16,0,85.41,27.99,0,0,0,0,42.15,7.04,92.37,8.33,0,20.8,10.44,0,58.05,99.81,0,29.68,0,74.64,24.99,148.3,0,0,68.22,0,418.77,0,0,21.92,0,69.16,153.28,1.17,0

12,02:45-03:00,13.04,550.85,0,8.71,10.65,0,0,0,45.62,3.98,51.34,58.79,45.83,0,25.54,126.8,0,0,12.35,7.07,38.16,0,0,78.22,0,0,0,0,0,21.83,0,49.95,48.9,35.09,458.85,24.89,181.16,0,85.41,27.99,0,0,0,0,42.15,7.04,92.37,8.33,0,20.8,10.44,0,58.05,99.81,0,29.68,0,74.64,24.99,148.3,0,0,68.22,0,418.77,0,0,21.92,0,69.16,153.28,1.17,0

