Column1,Time,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/5126,NR/01102023/22052037/LT-59,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/6187,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/1196,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4125,GNA/NR/2025/07/01/8128,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,GNA/NR/2025/07/01/2952,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/07/01/1044,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/06/07/5932,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/08/01/3698,NR/01102023/05012040/L_NR_2020_02,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,GNARE/SR/2025/01/13/4532
1,00:00-00:15,41.03,20.51,0,82.05,33.79,29.03,271.49,0,17.65,19.31,0,20.51,14.62,12.69,15.3,20.83,0,0,0,0,0,0,0,8.54,0,0,130.61,5.92,0,-0,87.07,100.56,107.31,0,27.25,14.62,0,0,0,0,0,0,8.17,0,8.17,20.66,20.67,24.48,7.13,36.01

2,00:15-00:30,41.03,20.51,0,82.05,33.79,29.03,271.49,0,17.65,19.31,0,20.51,14.62,12.69,15.3,20.83,0,0,0,0,0,0,0,8.54,0,0,130.61,5.92,0,-0,87.07,100.56,98.79,0,27.25,14.62,0,0,0,0,0,0,8.42,0,8.42,21.34,21.33,25.23,7.27,37.02

3,00:30-00:45,41.03,20.51,0,82.05,33.79,29.03,271.49,0,17.65,19.31,0,20.51,14.62,12.69,15.3,20.83,0,0,0,0,0,0,0,8.54,0,0,130.61,5.92,0,-0,87.07,100.56,90.27,0,27.25,14.62,0,0,0,0,0,0,8.7,0,8.7,28.66,28.67,26.11,7.39,38.02

4,00:45-01:00,41.03,20.51,0,82.05,33.79,29.03,271.49,0,17.65,19.31,0,20.51,14.62,12.69,15.3,20.83,0,0,0,0,0,0,0,8.54,0,0,130.61,5.92,0,-0,87.07,100.56,81.76,0,27.25,14.62,0,0,0,0,0,0,8.97,0,8.97,28.34,28.33,26.88,7.46,39.02

5,01:00-01:15,41.03,20.51,0,82.05,33.79,29.03,271.49,0,17.65,19.31,0,20.51,14.62,2.78,15.3,20.83,0,0,0,0,0,0,0,4.02,0,0,130.61,5.92,0,-0,87.07,100.56,73.25,0,27.25,14.62,0,0,0,0,0,0,9.2,0,9.2,28,28,27.62,7.42,29.81

6,01:15-01:30,41.03,20.51,0,82.05,33.79,29.03,271.49,0,17.65,19.31,0,20.51,14.62,2.78,15.3,20.83,0,0,0,0,0,0,0,4.02,0,0,130.61,5.92,0,-0,87.07,100.56,70.4,0,27.25,14.62,0,0,0,0,0,0,9.42,0,9.42,27.66,27.67,28.26,7.3,29.81

7,01:30-01:45,41.03,20.51,0,82.05,33.79,29.03,271.49,0,17.65,19.31,0,20.51,14.62,2.78,15.3,20.83,0,0,0,0,0,0,0,4.02,0,0,130.61,5.92,0,-0,87.07,100.56,70.4,0,27.25,14.62,0,0,0,0,0,0,9.65,0,9.65,26.66,26.67,28.93,7.14,30.01

8,01:45-02:00,41.03,20.51,0,82.05,33.79,29.03,271.49,0,17.65,19.31,0,20.51,14.62,2.78,15.3,20.83,0,0,0,0,0,0,0,4.02,0,0,130.61,5.92,0,-0,87.07,100.56,70.4,0,27.25,14.62,0,0,0,0,0,0,9.89,0,9.89,25.34,25.33,29.68,6.95,29.21

9,02:00-02:15,41.03,20.51,0,82.05,82.05,29.03,271.49,0,17.65,19.31,0,20.51,14.62,3.25,15.3,20.83,0,0,0,0,0,0,0,4.02,0,0,130.61,5.92,0,-0,67.12,100.56,70.4,0,27.25,14.62,0,0,0,0,0,0,9.36,0,9.36,24.34,24.33,28.05,7.05,35.81

10,02:15-02:30,41.03,20.51,0,82.05,82.05,29.03,271.49,0,17.65,19.31,0,20.51,14.62,3.25,15.3,20.83,0,0,0,0,0,0,0,4.02,0,0,130.61,5.92,0,-0,67.12,100.56,70.4,0,27.25,14.62,0,0,0,0,0,0,9.23,0,9.23,23.34,23.33,27.69,7.16,36.01

11,02:30-02:45,41.03,20.51,0,82.05,82.05,29.03,271.49,0,17.65,19.31,0,20.51,14.62,3.24,15.3,20.83,0,0,0,0,0,0,0,4.02,0,0,103.73,5.92,0,-0,56.59,100.56,70.4,0,27.25,14.62,0,0,0,0,0,0,9.09,0,9.09,26,26,27.25,7.32,40.02

12,02:45-03:00,41.03,20.51,0,82.05,82.05,29.03,271.49,0,17.65,19.31,0,20.51,14.62,3.24,15.3,20.83,0,0,0,0,0,0,0,4.02,0,0,130.61,5.92,0,-0,56.59,100.56,70.4,0,26.25,14.62,0,0,0,0,0,0,8.97,0,8.97,25.34,25.33,26.91,7.52,40.02

13,03:00-03:15,41.03,20.51,0,82.05,82.05,29.03,271.49,0,17.65,19.31,0,20.51,14.62,12.69,15.3,20.83,0,0,0,0,0,0,0,4.02,0,0,130.61,3.24,0,-0,56.59,100.56,70.4,0,26.25,14.62,0,0,0,0,0,0,8.35,0,8.35,25,25,25.02,7.75,40.02

14,03:15-03:30,41.03,20.51,0,82.05,82.05,29.03,271.49,0,17.65,19.31,0,20.51,14.62,12.69,15.3,20.83,0,0,0,0,0,0,0,4.02,0,0,102.77,3.24,0,-0,56.59,100.56,70.4,0,26.25,14.62,0,0,0,0,0,0,7.76,0,7.76,24.66,24.67,23.27,8.04,40.02

15,03:30-03:45,41.03,20.51,0,82.05,82.05,29.03,271.49,0,17.65,19.31,0,20.51,14.62,12.69,15.3,20.83,0,0,0,0,0,0,0,4.02,0,0,102.77,3.24,0,-0,56.59,100.56,70.4,0,27.25,14.62,0,0,0,0,0,0,6.54,0,6.54,24.34,24.33,19.59,6.67,44.02

16,03:45-04:00,41.03,20.51,0,82.05,82.05,29.03,232.88,0,17.65,19.31,0,20.51,14.62,12.69,15.3,20.83,0,0,0,0,0,0,0,4.02,0,0,102.77,3.24,0,-0,56.59,100.56,70.4,0,27.25,14.62,0,0,0,0,0,0,6.55,0,6.55,24,24,19.66,6.67,44.02

17,04:00-04:15,41.03,20.51,0,82.05,82.05,29.03,271.49,0,17.65,19.31,0,20.51,14.62,12.69,15.3,20.83,0,0,0,0,0,0,0,4.02,0,0,130.61,3.24,0,-0,72.22,100.56,70.4,0,27.25,14.62,0,0,0,0,0,0,6.26,0,6.26,23.66,23.67,18.75,6.67,44.02

18,04:15-04:30,41.03,20.51,0,82.05,82.05,29.03,271.49,0,17.65,19.31,0,20.51,14.62,12.69,15.3,20.83,0,0,0,0,0,0,0,4.02,0,0,130.61,3.24,0,-0,57.13,100.56,70.4,0,27.25,14.62,0,0,0,0,0,0,6.2,0,6.2,23.66,23.67,18.61,6.67,44.02

19,04:30-04:45,41.03,20.51,0,82.05,82.05,29.03,271.49,0,17.65,19.31,0,20.51,14.62,12.69,15.3,20.83,0,0,0,0,0,0,0,4.02,0,0,119.88,3.24,0,-0,56.59,100.56,70.4,0,27.25,14.62,0,0,0,0,0,0,6.18,0,6.18,23.66,23.67,18.51,6.67,44.02

20,04:45-05:00,41.03,20.51,0,82.05,82.05,29.03,271.49,0,17.65,19.31,0,20.51,14.62,12.69,15.3,20.83,0,0,0,0,0,0,0,4.02,0,0,108.79,3.24,0,-0,56.59,100.56,70.4,0,26.25,14.62,0,0,0,0,0,0,6.19,0,6.19,24.34,24.33,18.55,6.67,44.02

21,05:00-05:15,41.03,20.51,0,82.05,82.05,29.03,271.49,0,17.65,19.31,0,20.51,14.62,12.69,15.3,20.83,0,0,0,0,0,0,0,4.02,0,0,104.03,3.24,0,-0,56.59,100.56,70.4,0,26.25,14.62,0,0,0,0,0,0,6.27,0,6.27,25,25,18.81,6.67,39.62

22,05:15-05:30,41.03,20.51,0,82.05,82.05,29.03,271.49,0,17.65,19.31,0,20.51,14.62,12.69,15.3,20.83,0,0,0,0,0,0,0,4.02,0,0,130.61,3.24,0,-0,56.59,100.56,70.4,0,26.25,14.62,0,0,0,0,0,0,6.36,0,6.36,25.34,25.33,19.06,6.67,39.62

23,05:30-05:45,41.03,20.51,0,82.05,82.05,29.03,271.49,0,17.65,19.31,0,20.51,14.62,12.69,15.3,20.83,0,0,0,0,0,0,0,4.02,0,0,130.61,3.24,0,-0,87.07,100.56,70.4,0,27.25,14.62,0,0,0,0,0,0,6.47,0,6.47,26,26,19.41,6.67,39.62

24,05:45-06:00,41.03,20.51,0,82.05,82.05,29.03,271.49,0,17.65,19.31,0,20.51,14.62,12.69,15.3,20.83,0,0,0,0,0,0,0,4.02,0,0,130.61,3.24,0,-0,87.07,100.56,70.4,0,27.25,14.62,0,0,0,0,0.18,0,6.57,0,6.57,26.34,26.33,19.68,6.67,39.62

25,06:00-06:15,41.03,20.51,0,82.05,82.05,29.03,271.49,0,17.65,19.31,0,20.51,14.62,12.69,15.3,20.83,0.55,0.67,0,1,0.49,0,1,4.02,0,0,130.61,3.24,0,-0,87.07,100.56,70.4,0,27.25,14.62,0,1,0,0.01,0.96,1,6.23,0,6.23,26,26,18.71,6.67,39.62

26,06:15-06:30,41.03,20.51,0,82.05,82.05,29.03,271.49,0,17.65,19.31,0,20.51,14.62,12.69,15.3,20.83,5.62,0.68,1,2,2.41,0,2,4.02,0,0,130.61,3.24,0,-0,87.07,100.56,70.4,0,27.25,14.62,0,2,0.09,0.47,1.73,2,6.13,1,6.13,25.34,25.33,18.37,6.67,39.62

27,06:30-06:45,41.03,20.51,0,82.05,82.05,29.03,271.49,0,17.65,19.31,0,20.51,14.62,12.69,15.3,20.83,15.72,10.24,2,4,5.37,0,3,4.02,0.52,0.39,130.61,3.24,0.52,-0,87.07,100.56,70.4,0,26.24,14.62,0,4,0.82,4.11,4.12,5,6.03,4,6.03,25,25,18.1,6.67,43.58

28,06:45-07:00,41.03,20.51,0,82.05,82.05,29.03,271.49,0,17.65,19.31,0,20.51,14.62,12.69,15.3,20.83,30.87,17.27,4,7,9.49,0,4,4.02,0.92,0.71,130.61,3.24,0.92,-0,87.07,100.56,70.4,0,26.24,14.62,0,7,2.79,13.95,6.18,7,5.91,8,5.91,24.66,24.67,17.74,6.67,43.58

29,07:00-07:15,41.03,20.51,0,82.05,82.05,29.03,271.49,0,17.83,19.31,0,20.51,14.62,12.69,15.3,20.83,33,29.85,6,9,14.94,0,5,4.02,1.48,1.15,130.61,3.24,1.48,-0,87.07,100.56,70.4,0,26.24,14.62,0,11,4.78,23.9,10.01,11,6.02,12,6.02,25,25,18.06,6.67,43.58

30,07:15-07:30,41.03,20.51,0,82.05,82.05,29.03,232.88,0,17.83,19.31,0,20.51,14.62,12.69,15.3,20.83,33,33,8,12,21.73,0,7,4.02,2.17,1.68,102.77,3.24,2.17,-0,67.12,100.56,70.4,0,26.24,14.62,0,13,6.98,34.89,14.37,16,6.15,16,6.15,25.66,25.67,18.43,6.67,43.58

