Time,Block,NR/2023/12661/A,NR/2023/12169/A,NR/2023/10705/A,NR/2023/12872/F,NR/2023/10947/A,NR/2023/12916/F,NR/2023/12923/F,NR/2023/14132/D,NR/2023/14137/D,NR/2023/14131/D,NR/2023/14155/C,NR/2023/11507/A,NR/2023/12706/A,NR/2023/12917/F,NR/2023/12915/F,NR/2023/11266/A,NR/2023/13985/F,NR/2023/14148/C,NR/2023/10786/A,NR/2023/13679/F,NR/2023/10460/A,NR/2023/14150/C,NR/2023/14130/D,NR/2023/10720/A,NR/2023/12814/F,NR/2023/12919/F,NR/2023/14128/D,NR/2023/11068/A,NR/2023/10488/A,NR/2023/11712/A,NR/2023/10436/A,NR/2023/10651/A,NR/2023/14129/D,NR/2023/11709/A,NR/2023/10432/A,NR/2023/11953/A,NR/2023/12813/F,NR/2023/10561/A,NR/2023/12920/F,NR/2023/10650/A,NR/2023/13369/F,NR/2023/12921/F,NR/2023/10956/A,NR/2023/10435/A,NR/2023/12924/F,NR/2023/12922/F,NR/2023/10959/A,Total
,,NVVNL,APPCPL,KEIPL,ITCLH,APPCPL,SHPPBPL,SHPPBPL,TS1PL_BKN,TS1PL_BKN,NVVNL,PXIL,TPTCL,HPXL,SHPPBPL,SHPPBPL,TPTCL,GMRETL,GBHHPL,STATKRAFT,IEXL,GMRETL,TPDDL,NVVNL,KEIPL,MANIKARAN,SHPPBPL,KEIPL,APPCPL,TPTCL,MANIKARAN,APPCPL,KEIPL,NVVNL,MANIKARAN,TPTCL,KEIPL,MANIKARAN,PTC,SHPPBPL,KEIPL,SJVNL,SHPPBPL,NVVNL,NVVNL,SHPPBPL,SHPPBPL,NVVNL,Total

,,NA,HIMACHAL PRADESH,KERALA,ANDHRA PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,DELHI,NA,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,GOA,HIMACHAL PRADESH,TAMIL NADU,JAMMU AND KASHMIR,MEGHALAYA,HIMACHAL PRADESH,NA,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,UTTAR PRADESH,UTTARAKHAND,NA,TAMIL NADU,MEGHALAYA,MEGHALAYA,NA,TAMIL NADU,ODISHA,MEGHALAYA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,KERALA,WEST BENGAL,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,
,,SKS Raigarh,HP,KSEB,ITCWIND,HP,SHPPBPL,SHPPBPL,TS1PL_BKN,TS1PL_BKN,SOLAPUR_SOLAR,BYPL,JPL,B_S_ISPAT_MH,SHPPBPL,SHPPBPL,KWHEP,GOA_Beneficiary,GBHHPL,TANGEDCO,SAPU1234,Meghalaya_Ben,CHANJUII,KAMENG,TANGEDCO,HP,SHPPBPL,LAPL-UP,UTTARAKHAND,APNRL,TANGEDCO,Meghalaya_Ben,Meghalaya_Ben,SORANG_HEP,TANGEDCO,NBVLIPP,Meghalaya_Ben,HP,JPNIGRIE_JNSTPP,SHPPBPL,KSEB,IPCL_WB,SHPPBPL,JPNIGRIE_JNSTPP,SEIL,SHPPBPL,SHPPBPL,KAMENG,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,NDMC,BRPL,BRPL,ITCLH,BYPL,BAL224,MHIL,BRPL,BYPL,MES (Delhi),ASIL_UP,BRPL,NDMC,BAL234,BAL184,BRPL,TPDDL,DIAPL,BYPL,MES (Delhi),BYPL,TPDDL,TPDDL,BYPL,BRPL,AISHER,BYPL,BYPL,TPDDL,BRPL,BYPL,BYPL,TPDDL,BRPL,TPDDL,BYPL,BRPL,TPDDL,BMDRC,BYPL,NDMC,MAX-HPTL,BRPL,TPDDL,UHL,JHPL-DL,BRPL,
,,West-North,North-North,South-West-North,South-West-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,West-North,West-North,North-North,North-North,North-North,West-North,North-North,South-West-North,North-North,North East-East-North,North-North,North East-East-North,South-West-North,North-North,North-North,North-North,North-North,East-North,South-West-North,North East-East-North,North East-East-North,North-North,South-West-North,East-North,North East-East-North,North-North,West-North,North-North,South-West-North,East-North,North-North,West-North,South-West-North,North-North,North-North,North East-East-North,
1,00:00-00:15,62.920000,54.210000,232.430000,0.480000,23.230000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,98.740000,4.840000,23.230000,19.590000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,23.170000,43.560000,36.520000,62.920000,48.400000,0.930000,83.250000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1880.89

2,00:15-00:30,62.920000,54.210000,232.430000,0.480000,23.230000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,98.740000,4.840000,23.230000,19.590000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,23.170000,43.560000,36.520000,62.920000,48.400000,0.930000,83.250000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1880.89
