Block,Time,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,NR/01062024/15062024/1000011005-GOHP-BRPL,WR/01102023/16072048/L_NR_2022_08,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/30092023/26122029/SH-06,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),SR/01102023/07102043/L_NR_2018_61,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/23072042/L_NR_2012_04,WR/01102023/31032046/L_NR_2020_05,NR/01102023/14082046/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/01062024/30062024/R2,NR/22102023/11042047/L_NR_2021_17,NR/01102023/19072037/LT-05,NR/01062024/30062024/1000011034-ACBL-BRPL,NR/01102023/22052037/LT-59,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/06022042/L_NR_2012_07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01062024/30062024/IEPL01,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/25122043/GNA_MEJA_DELHI,NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,NR/01062024/15062024/1000011003-KWHPS-BRPL(DISCOM),NR/01102023/06022042/L_NR_2012_02,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01102023/05012040/L_NR_2020_02,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1
1,00:00-00:15,29.260000,8.060000,48.290000,22.16,61,0,48.290000,21.66,29.040000,14.170000,22.17,0,61,0,11.01,0,0,0.000000,66.5,0,0,24.140000,0,0,0,0,0,0,24.140000,0,115.470000,24.140000,5.440000,14.560000,16.110000,87.120000,273.080000,38.630000,100.620000,0.000000,14.200000,0.000000,24.140000,262.210000,38.630000,24.140000,8.350000,48.290000,0.000000,0.000000,24.140000

2,00:15-00:30,29.260000,8.060000,48.290000,22.34,61.33,0,48.290000,21.66,29.040000,14.170000,22.33,0,61.33,0,10.81,0,0,0.000000,67,0,0,24.140000,0,0,0,0,0,0,24.140000,0,115.470000,24.140000,6.990000,14.560000,16.110000,87.120000,273.080000,38.630000,100.620000,0.000000,14.200000,0.000000,24.140000,262.210000,38.630000,24.140000,8.350000,48.290000,0.000000,0.000000,24.140000

3,00:30-00:45,29.260000,8.060000,48.290000,22.5,62.33,0,48.290000,21.66,29.040000,14.170000,22.5,0,62.33,0,10.41,0,0,0.000000,67.5,0,0,24.140000,0,0,0,0,0,0,24.140000,0,115.470000,24.140000,6.990000,14.560000,16.110000,87.120000,273.080000,38.630000,100.620000,0.000000,14.200000,0.000000,24.140000,262.210000,38.630000,24.140000,8.350000,48.290000,0.000000,0.000000,24.140000

4,00:45-01:00,29.260000,8.060000,48.290000,22.66,63,0,48.290000,21.34,29.040000,14.170000,22.67,0,63,0,10.21,0,0,0.000000,68,0,0,24.140000,0,0,0,0,0,0,24.140000,0,115.470000,24.140000,6.990000,14.560000,16.110000,87.120000,273.080000,38.630000,100.620000,0.000000,14.200000,0.000000,24.140000,262.210000,38.630000,24.140000,8.350000,48.290000,0.000000,0.000000,24.140000

5,01:00-01:15,28.260000,7.830000,48.290000,23,63.67,0,48.290000,21.34,29.040000,14.170000,23,0,63.67,0,11.61,0,0,0.000000,69,0,0,24.140000,0,0,0,0,0,0,24.140000,0,70.420000,24.140000,6.990000,14.380000,16.110000,87.120000,273.080000,0.000000,100.620000,0.000000,14.170000,0.000000,24.140000,262.210000,38.630000,24.140000,8.350000,48.290000,0.000000,0.000000,24.140000

6,01:15-01:30,28.260000,7.830000,48.290000,23.34,64.67,0,48.290000,21.34,29.040000,14.170000,23.33,0,64.67,0,11.21,0,0,0.000000,70,0,0,24.140000,0,0,0,0,0,0,24.140000,0,70.420000,24.140000,6.990000,14.380000,16.110000,87.120000,273.080000,0.000000,100.620000,0.000000,14.170000,0.000000,24.140000,262.210000,38.630000,24.140000,8.350000,48.290000,0.000000,0.000000,24.140000

7,01:30-01:45,28.260000,7.830000,48.290000,23.5,65.33,0,48.290000,21,29.040000,14.170000,23.5,0,65.33,0,11.01,0,0,0.000000,70.5,0,0,24.140000,0,0,0,0,0,0,24.140000,0,70.420000,24.140000,6.990000,14.380000,16.110000,87.120000,273.080000,0.000000,100.620000,0.000000,14.170000,0.000000,24.140000,262.210000,38.630000,24.140000,7.990000,48.290000,0.000000,0.000000,24.140000

8,01:45-02:00,28.260000,7.830000,48.290000,23.84,65.67,0,48.290000,21,29.040000,14.170000,23.83,0,65.67,0,10.61,0,0,0.000000,71.5,0,0,24.140000,0,0,0,0,0,0,24.140000,0,70.420000,24.140000,6.990000,14.380000,16.110000,87.120000,273.080000,0.000000,100.620000,0.000000,14.170000,0.000000,24.140000,262.210000,38.630000,24.140000,7.990000,48.290000,0.000000,0.000000,24.140000

