Block,Time,CHAMERA1,KISHANGANGA,KKNPPU2,NLCIIST1,PARBATI2,UNCHAHAR4,AURY_GF,DADRT2,NLCEXP,RAPPC,RAPPD,RIHAND3,SALAL,TALA,TANDA2,ANTA_LF,FSTPP I & II,NJPC,RSTPSU1TO6,TALST2,ANTA_RF,AURY_LF,DHAULIGNGA,KKNP,KOTESHWR,NNTPP,NTPL,DADRI_RF,KHSTPP-I,KHSTPP-II,MAPS,RIHAND1,RIHAND2,RSTPSU7,SIMHST2,TANAKPUR,UNCHAHAR1,UNCHAHAR3,ANTA_GF,AURY_RF,DADRI_CRF,DADRI_LF,KGSU1AND2,KGSU3AND4,RAPPB,SASAN,SINGRAULI,TelanganaSTPP,URI,VALLURNTECL,ANTA_CRF,AURY_CRF,BSIUL,CHAMERA2,CHAMERA3,DULHASTI,KOLDAM,KUDGI,NAPP,NLCIIST2,NLCTS2EXP,RAMPUR,SEWA2,SIMHST1,UNCHAHAR2,URI2,BRBCL,JHAJJAR,PARBATI3,SINGRAULI_HYDRO,TEHRI,DADRI_GF
1,00:00-00:15,42.15,8.63,0,0,18.78,2.3,0,548.92,0,69.07,22.02,130.79,66.82,0,5.7,0,20.8,110.67,0,0,51.17,0,10.95,0,10.43,0,0,100.46,45.53,148.3,0,97.23,124.58,0,0,6.27,21.94,27.68,0,80.77,0,0,0,0,0,418.77,143.68,0,48.57,0,0,0,13.04,32.53,23.33,59.5,4.79,0,26.03,0,0,4.4,12.61,0,45,38.1,20,670.67,18.41,0.95,34.43,0

2,00:15-00:30,42.15,8.63,0,0,18.78,2.3,0,548.92,0,69.07,22.02,130.79,79.38,0,5.7,0,20.8,110.67,0,0,51.17,0,10.95,0,10.43,0,0,100.46,45.53,148.3,0,97.23,124.58,0,0,6.27,21.94,27.68,0,80.77,0,0,0,0,0,418.77,143.68,0,48.57,0,0,0,13.04,32.53,23.33,59.5,4.79,0,26.03,0,0,4.4,12.61,0,45,38.1,20,670.67,18.41,0.95,34.43,0

3,00:30-00:45,42.15,8.63,0,0,18.78,2.3,0,548.92,0,69.07,22.02,130.79,79.38,0,5.7,0,20.8,110.67,0,0,51.17,0,10.95,0,10.43,0,0,100.46,45.53,148.3,0,97.23,124.58,0,0,6.27,21.94,27.68,0,80.77,0,0,0,0,0,418.77,143.68,0,48.57,0,0,0,13.04,32.53,23.33,59.5,4.79,0,26.03,0,0,4.4,12.61,0,45,38.1,20,670.67,18.41,0.95,34.43,0

4,00:45-01:00,42.15,8.63,0,0,18.78,2.3,0,548.92,0,69.07,22.02,130.79,79.38,0,5.7,0,20.8,110.67,0,0,51.17,0,10.95,0,10.43,0,0,100.46,45.53,148.3,0,97.23,124.58,0,0,6.27,21.94,27.68,0,80.77,0,0,0,0,0,418.77,143.68,0,48.57,0,0,0,13.04,32.53,23.33,59.5,4.79,0,26.03,0,0,4.4,12.61,0,45,38.1,20,670.67,18.41,0.95,34.43,0

5,01:00-01:15,42.15,8.63,0,0,18.78,2.3,0,548.92,0,69.07,22.02,130.79,79.38,0,5.7,0,20.8,110.67,0,0,51.17,0,10.95,0,10.43,0,0,100.46,45.53,148.3,0,97.23,124.58,0,0,0.51,21.94,27.68,0,80.77,0,0,0,0,0,418.77,143.68,0,48.57,0,0,0,13.04,32.53,23.33,59.5,4.79,0,26.03,0,0,4.4,12.61,0,45,38.1,20,670.67,16.88,0.95,34.43,0

6,01:15-01:30,42.15,8.63,0,0,18.78,2.3,0,548.92,0,69.07,22.02,130.79,79.38,0,5.7,0,20.8,82.99,0,0,51.17,0,10.95,0,10.43,0,0,100.46,45.53,148.3,0,97.23,124.58,0,0,0.51,21.94,27.68,0,80.77,0,0,0,0,0,418.77,143.68,0,48.57,0,0,0,13.04,32.53,23.33,59.5,4.79,0,26.03,0,0,3.3,12.61,0,45,38.1,20,670.67,16.88,0.95,34.43,0

