Block,Time,SH-06,L_NR_2012_01,L_NR_2019_19,LT-35,LT_MEJA_Delhi,LT-31,L_NR_2012_02,LT-59,L_NR_2012_07,L_NR_2019_11,SH-07,LT-05,L_NR_2012_04,LT-36,L_NR_2020_02,L_NR_2020_05,L_NR_2022_10,L_NR_2019_06,L_NR_2022_09,L_NR_2018_61,L_NR_2021_12,L_NR_2021_15,L_NR_2021_17,L_NR_2021_13,L_NR_2021_16,L_NR_2021_14,L_NR_2020_06,L_NR_2020_07,L_NR_2022_08,L_NR_2019_07,L_NR_2019_05
1,00:00-00:15,30.810000,100.860000,0.000000,0.000000,11.320000,0.000000,130.280000,5.000000,75.990000,4.520000,30.810000,115.610000,270.820000,0.000000,3.790000,85.36,52.85,0,52.85,3.97,0,0,0,0,0,0,28.45,28.47,14.52,0,0

2,00:15-00:30,30.810000,100.860000,0.000000,0.000000,11.320000,0.000000,130.280000,5.000000,75.990000,4.520000,30.810000,115.610000,270.820000,0.000000,3.790000,84.75,52.81,0,52.81,3.73,0,0,0,0,0,0,28.25,28.24,14.47,0,0

3,00:30-00:45,30.810000,100.860000,0.000000,0.000000,11.320000,0.000000,130.280000,5.000000,75.990000,4.520000,30.810000,115.610000,270.820000,0.000000,3.790000,77.75,52.87,0,52.87,3.51,0,0,0,0,0,0,25.92,25.9,16.2,0,0

4,00:45-01:00,30.810000,100.860000,0.000000,0.000000,11.320000,0.000000,130.280000,5.000000,75.990000,4.520000,30.810000,115.610000,270.820000,0.000000,3.790000,78.08,52.96,0,52.96,3.31,0,0,0,0,0,0,26.03,26.02,16.29,0,0

5,01:00-01:15,30.810000,100.860000,0.000000,0.000000,11.320000,0.000000,130.280000,5.000000,75.990000,4.520000,30.810000,115.610000,270.820000,0.000000,3.790000,77.75,52.79,0,52.79,3.11,0,0,0,0,0,0,25.92,25.91,16.12,0,0

6,01:15-01:30,30.810000,100.860000,0.000000,0.000000,11.320000,0.000000,130.280000,5.000000,75.990000,4.520000,30.810000,115.610000,270.820000,0.000000,3.790000,78.12,52.54,0,52.54,2.91,0,0,0,0,0,0,26.04,26.04,15.87,0,0

