Block,Time,UNCHAHAR2,DHAULIGNGA,TEHRI,URI,SEWA2,BSIUL,URI2,RAPPB,KOTESHWR,DADRT2,CHAMERA3,AURY_LF,AURY_GF,PARBATI3,CHAMERA2,DADRI_GF,RAPPC,RIHAND2,DULHASTI,DADRI_LF,ANTA_CRF,RIHAND3,NJPC,JHAJJAR,SINGRAULI,UNCHAHAR1,TANAKPUR,KOLDAM,DADRI_CRF,TANDA2,ANTA_GF,NAPP,ANTA_LF,UNCHAHAR3,CHAMERA1,AURY_CRF,RIHAND1,KISHANGANGA,ANTA_RF,DADRI_RF,UNCHAHAR4,SALAL,RAMPUR,AURY_RF,SINGRAULI_HYDRO,GADARWARA-I,KAWAS-zLIQ,GANDHAR-RLNG,NLCEXP,TALA,KKNP,KAWAS-APM,NLCIIST2,VALLURNTECL,VSTPS IV,KAWAS-RLNG,KAWAS-NAPM,SOLAPUR,RSTPSU7,FSTPP I & II,KHSTPP-I,SASAN,KAPS,LARA-I,NLCIIST1,KHARGONE-I,GANDHAR-ComGas,VSTPS V,MAPS,MOUDA_II,SIMHST2,KSTPS7,SIPAT II,TALST2,VSTPS II,RSTPSU1TO6,VSTPS III,NLCTS2EXP,VSTPS I,TAPS-II,KGSU3AND4,KSTPS I&II,KAWAS-ComGas,KUDGI,BRBCL,KHSTPP-II,MOUDA,GANDHAR-NAPM,NNTPP,GANDHAR-APM,SIPAT I,NTPL,KGSU1AND2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,42.097179,19.171906,26.640394,49.097971,11.094891,19.008642,34.469029,0.000000,8.731776,666.463483,30.656971,0.000000,0.000000,3.760014,42.186473,0.000000,59.163821,116.683092,52.115693,0.000000,0.000000,122.319536,69.285085,485.532277,139.245073,20.210621,0.866930,4.114564,0.000000,2.359089,0.000000,42.684785,0.000000,26.064928,40.748764,0.000000,91.188559,2.466768,7.705396,19.394975,1.380209,51.677394,1.339112,10.017982,1.059272,4.151343,0.000000,0.000000,0.79,0.000000,1.57,0.000000,0.42,2.30,2.594590,0.000000,0.000000,3.424857,1.88,16.663765,42.249160,348.265530,0.792042,4.116755,0.81,3.424858,0.000000,1.283457,0.24,3.395103,1.79,1.297295,0.904068,2.93,1.878456,5.85,1.894622,0.85,2.315896,2.700657,1.06,2.870752,0.000000,9.02,14.502010,142.618106,1.873758,0.000000,0.21,0.000000,5.137286,3.31,1.93,0,0,0,0,0

2,00:15-00:30,42.097179,19.171906,26.640394,49.097971,11.094891,19.008642,34.469029,0.000000,8.731776,666.463483,30.656971,0.000000,0.000000,3.760014,42.186473,0.000000,59.163821,116.683092,52.115693,0.000000,0.000000,122.319536,69.285085,485.532277,139.245073,20.210621,0.866930,4.114564,0.000000,2.359089,0.000000,42.684785,0.000000,26.064928,40.748764,0.000000,91.188559,2.466768,5.452752,19.394975,1.380209,51.677394,1.339112,10.017982,1.059272,4.151343,0.000000,0.000000,0.79,0.000000,1.57,0.000000,0.42,2.30,2.594590,0.000000,0.000000,3.424857,1.88,16.663765,42.249160,348.265530,0.792042,4.116755,0.81,3.424858,0.000000,1.283457,0.24,3.395103,1.79,1.297295,0.904068,2.93,1.878456,5.85,1.894622,0.85,2.315896,2.700657,1.06,2.870752,0.000000,9.02,14.430254,142.618106,1.873758,0.000000,0.21,0.000000,5.137286,3.31,1.93,0,0,0,0,0

3,00:30-00:45,42.097179,19.171906,26.640394,49.097971,11.094891,19.008642,33.621431,0.000000,8.731776,666.463483,30.656971,0.000000,0.000000,3.760014,42.186473,0.000000,59.163821,116.683092,52.115693,0.000000,0.000000,122.319536,69.285085,485.532277,139.245073,20.206023,0.866930,3.085923,0.000000,2.359089,0.000000,42.684785,0.000000,26.064928,40.748764,0.000000,91.188559,2.466768,5.452752,19.394975,1.380209,64.035031,1.339112,10.017982,1.059272,4.151343,0.000000,0.000000,0.79,0.000000,1.57,0.000000,0.42,2.30,2.594590,0.000000,0.000000,3.424857,1.88,16.663765,42.249160,348.265530,0.792042,4.116755,0.81,3.424858,0.000000,1.283457,0.24,3.395103,1.79,1.297295,0.904068,2.93,1.878456,5.85,1.894622,0.85,2.315896,2.700657,1.06,2.870752,0.000000,9.02,13.127495,142.618106,1.873758,0.000000,0.21,0.000000,5.137286,3.31,1.93,0,0,0,0,0

4,00:45-01:00,42.097179,19.171906,26.640394,49.097971,11.094891,19.008642,33.621431,0.000000,8.731776,666.463483,30.656971,0.000000,0.000000,3.760014,42.186473,0.000000,59.163821,116.683092,52.115693,0.000000,0.000000,122.319536,69.285085,485.532277,139.245073,20.206023,0.866930,2.057283,0.000000,2.359089,0.000000,42.684785,0.000000,26.064928,40.748764,0.000000,91.188559,2.466768,5.452752,19.394975,1.380209,64.035031,1.339112,10.017982,1.059272,4.151343,0.000000,0.000000,0.79,0.000000,1.57,0.000000,0.42,2.30,2.594590,0.000000,0.000000,3.424857,1.88,16.663765,42.249160,348.265530,0.792042,4.116755,0.81,3.424858,0.000000,1.283457,0.24,3.395103,1.79,1.297295,0.904068,2.93,1.878456,5.85,1.894622,0.85,2.315896,2.700657,1.06,2.870752,0.000000,9.02,10.806440,142.618106,1.873758,0.000000,0.21,0.000000,5.137286,3.31,1.93,0,0,0,0,0

5,01:00-01:15,42.097179,19.171906,26.640394,36.289805,11.094891,19.008642,33.621431,0.000000,8.731776,666.463483,30.656971,0.000000,0.000000,3.760014,42.186473,0.000000,59.163821,116.683092,52.115693,0.000000,0.000000,122.319536,69.285085,485.532277,139.245073,20.206023,8.669296,1.953379,0.000000,2.359089,0.000000,42.684785,0.000000,26.064928,40.748764,0.000000,91.188559,2.466768,5.452752,17.209040,1.380209,64.035031,1.339112,13.357309,1.059272,4.151343,0.000000,0.000000,0.79,0.000000,1.57,0.000000,0.42,2.30,2.594590,0.000000,0.000000,3.424857,1.88,16.663765,42.249160,348.265530,0.792042,4.116755,0.81,3.424858,0.000000,1.283457,0.24,3.395103,1.79,1.297295,0.904068,2.93,1.878456,5.85,1.894622,0.85,2.315896,2.700657,1.06,2.870752,0.000000,9.02,13.679225,142.618106,1.873758,0.000000,0.21,0.000000,5.137286,3.31,1.93,0,0,0,0,0

