Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/29985/A/89543,NR/2025/31828/C,NR/2025/31420/A/89590,NR/2025/31136/A/89892,NR/2025/31137/A/89895,NR/2025/31137/A/89896,NR/2025/31136/A/89890,NR/2025/31138/A/89906,NR/2025/31419/A/89591,NR/2025/31138/A/89907,NR/2025/31347/A/89432,NR/2025/30082/A/89930,NR/2025/29628/A/89862,NR/2025/27975/A/89917,NR/2025/30083/A/89855,NR/2025/27973/A/89916,NR/2025/30105/A/89852,NR/2025/30067/A/89991,NR/2025/31126/A/89497,NR/2025/31821/C,NR/2025/27978/A/89953,NR/2025/29353/A/89678,NR/2025/27965/A/89914,NR/2025/30086/A/89853,NR/2025/27966/A/89915,NR/2025/28728/A/89904,NR/2025/30084/A/89854,NR/2025/31782/C,NR/2025/31815/C,NR/2025/30121/A/89424,NR/2025/29352/A/89680,NR/2025/31816/C,NR/2025/29167/A/89458,NR/2025/31819/C,NR/2025/29992/A/89526,NR/2025/29439/A/89527,NR/2025/31826/C,NR/2025/29440/A/89448,NR/2025/31339/A/89542,NR/2025/31786/C,NR/2025/31822/C,NR/2025/30191/A/89429,NR/2025/29910/A/89860,NR/2025/31823/C,NR/2025/29915/A/89457,NR/2025/31823/C/Alternate/1,NR/2025/31824/C,NR/2025/30217/A/89851,NR/2025/31807/C,NR/2025/31809/C,NR/2025/31762/C,NR/2025/30101/A/89935,NR/2025/31722/C,NR/2025/31725/C,NR/2025/31775/C,NR/2025/31817/C,NR/2025/31781/C,NR/2025/31770/C,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/2786,NR/30092023/31122025/SH-07,GNA/NR/2025/07/16/5917,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/3109,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/1192,Total
,,SECI_Trader,BRPL,MES_Delhi,GMRETL,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,GMRETL,OIDLWM3_AEROCITY,IEXL,HPXL,APPCPL,PowerPulse,APPCPL,PowerPulse,APPCPL,MANIKARAN,DIAPL,NVVNL,NVVNL,PTC,PowerPulse,APPCPL,PowerPulse,PowerPulse,APPCPL,PowerPulse,NVVNL,IEXL,PTC,APPCPL,TPTCL,APPCPL,BYPL,IVPL_Trader,APPCPL,ITCLH,BRPL,ITCLH,APPCPL,IEXL,APPCPL,NVVNL,TPTCL,NVVNL,APPCPL,APPCPL,APPCPL,APPCPL,BYPL,NVVNL,IEXL,IEXL,PowerPulse,NVVNL,PowerPulse,HPXL,PowerPulse,NDMC,BAWANA_GAS,PowerPulse,PUNJAB,PowerPulse,APPCPL,DELHI,MANIKARAN,APPCPL,PTC,
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSEB_State,NA,NA,NA,NA,NA,HIMACHAL_STATE,NA,NA,GoHP_NJPC_STATE,NA,NA,NA,NA,NA,NA,NA,TAMILNADU_State,GoHP_Chamera1_STATE,NA,MSEB_State,NA,KERALA_State,MSEB_State,NA,ANDHRA_PRADESH_STATE,NA,ANDHRA_PRADESH_STATE,NA,NA,KERALA_State,NA,UTTARPRADESH_STATE,NA,NA,NA,MSEB_State,KERALA_State,KERALA_State,MP_State,NA,TAMILNADU_State,NA,MP_State,NA,NA,NA,NA,DELHI_UT,NA,DELHI_UT,NA,GOA_State,HIMACHAL_STATE,MSEB_State,GOA_State,NA,
,,APSEPL_FTG,TS1PL_BKN,NTPCREL_PSS2_KPS2_S,JNEPL_BKN2,TESPL_BKN2,TESPL_BKN2,TCSPL_BKN2,TCSPL_BKN2,TESPL_BKN2,JNEPL_BKN2,TCSPL_BKN2,TPSL_BKN2,SKS_Raigarh,AEML,APL_Raigarh_TPP,SKS_Raigarh,APL_Raigarh_TPP,JIPL,MBMP,GBHHPL,SORANG_HEP,JPNIGRIE_JNSTPP,GoHP_NJPC,MAHAN_ENERGEN,RKM_POWER,MAHAN_ENERGEN,APL_Raipur_TPP,RKM_POWER,APL_Raigarh_TPP,JPNIGRIE_JNSTPP,PCBLTNLTD_UNIT2,GoHP_Chamera1,SKS_Raigarh,TPC_MSEB,RKM_POWER,KSEB,TPC_MSEB,RKM_POWER,ITCWIND,DADRT2,ITCWIND,JIPL,IND_BHARAT,KSEB,Kameng,PPGCL,Kameng,TRN_ENERGY,TRN_ENERGY,AEML,KSEB,KSEB,JP_BINA,IND_BHARAT,PCBLTNLTD_UNIT2,APL_Raipur_TPP,JP_BINA,MAHAN_ENERGEN,SKS_Raigarh,MAHAN_ENERGEN,JPL2,BAWANA_GAS,APL_Raipur_TPP,BAWANA_GAS,APL_Raipur_TPP,GOA_Beneficiary,CHANJUII,AEML,GOA_Beneficiary,MEENAKSHI,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,BRPL,MES_Delhi,BLKMH,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,DTCP,OIDLWM3_AEROCITY,MES_Delhi,BRPL,BYPL,TPDDL,NDMC,TPDDL,NDMC,BRPL,DIAPL,TPDDL,TPDDL,BRPL,TPDDL,NDMC,TPDDL,BRPL,NDMC,TPDDL,TPDDL,MES_Delhi,BRPL,NDMC,BYPL,NDMC,BYPL,BYPL,NDMC,ITCLH,BRPL,ITCLH,NDMC,BRPL,BYPL,TPDDL,BRPL,TPDDL,NDMC,NDMC,BYPL,BYPL,BYPL,TPDDL,BRPL,MES_Delhi,BRPL,TPDDL,TPDDL,BRPL,BRPL,NDMC,HARYANA,BRPL,PUNJAB,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,
,,North-North,North-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,East-North,West-North,North-North,North-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,North-North,West-North,West-North,West-North,South-West-North,West-North,West-North,South-West-North,North-North,South-West-North,East-North,East-North,South-West-North,North East-East-North,North-North,North East-East-West-North,West-North,West-North,West-North,South-West-North,South-West-North,West-North,East-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,North-North,West-North,West-North,North-North,West-North,West-North,South-East-North,
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,48.07,105.75,0,8.74,96.14,17.48,204.3,12.5,28.84,96.14,81.72,96.14,26.22,0,81.72,26.22,0,0,6.73,28.6,0,54.08,0,44.22,25.07,0,0.91,134.6,0,0,48.07,19.23,0,20.43,162.04,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,0,81.72,30,134.84,19.23,18.68,20.74,15.24,49.03,2090.4000000000005

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,48.07,105.75,0,8.74,96.14,17.48,204.3,12.5,28.84,96.14,81.72,96.14,26.22,0,81.72,26.22,0,0,6.73,28.6,0,54.08,0,44.22,25.07,0,0.91,134.6,0,0,48.07,19.23,0,20.43,162.04,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,0,81.72,30,134.84,19.23,18.68,20.74,15.24,49.03,2090.4000000000005

