Block,Time,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/05012040/L_NR_2020_02,NR/01102023/23072042/L_NR_2012_04,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01112023/30112023/HP-10,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_36,NR/30092023/31122025/SH-07,NR/01102023/19072037/LT-05,NR/01112023/30112023/HP-09,NR/01102023/30042040/GNA_LT_35,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,NR/01102023/25072045/L_NR_2021_15,WR/01102023/24112044/L_NR_2020_07,SR/01112023/30112023/KSEB_BYPL-NOV23,WR/01102023/29112042/RUMS(L_NR_2019_07),SR/01102023/07102043/L_NR_2018_61
1,00:00-00:15,0.000000,2.230000,237.830000,74.130000,2.750000,271.910000,27.070000,0.000000,101.260000,0.000000,30.940000,65.790000,0.000000,0.000000,0.000000,2.250000,30.940000,9.56,0,0,0,3.18,0,0,0,0,5.95,5.95,3.34,0,3.19,145.02,0,4.5

2,00:15-00:30,0.000000,2.230000,237.830000,74.130000,2.750000,271.910000,27.070000,0.000000,101.260000,0.000000,30.940000,65.790000,0.000000,0.000000,0.000000,2.250000,30.940000,9.68,0,0,0,3.22,0,0,0,0,5.95,5.95,3.34,0,3.23,145.02,0,4.55

3,00:30-00:45,0.000000,2.230000,237.830000,74.130000,2.750000,271.910000,27.070000,0.000000,101.260000,0.000000,30.940000,65.790000,0.000000,0.000000,0.000000,2.250000,30.940000,9.57,0,0,0,3.19,0,0,0,0,5.95,5.95,3.53,0,3.19,145.02,0,4.48

4,00:45-01:00,0.000000,2.230000,237.830000,74.130000,2.750000,271.910000,27.070000,0.000000,101.260000,0.000000,30.940000,65.790000,0.000000,0.000000,0.000000,2.250000,30.940000,9.69,0,0,0,3.24,0,0,0,0,5.95,5.95,3.55,0,3.23,145.02,0,4.12

5,01:00-01:15,0.000000,2.230000,237.830000,74.130000,2.750000,271.910000,27.070000,0.000000,101.260000,0.000000,30.940000,65.790000,0.000000,0.000000,0.000000,2.250000,30.940000,9.69,0,0,0,3.22,0,0,0,0,5.95,5.95,3.38,0,3.23,145.02,0,3.88

6,01:15-01:30,0.000000,2.230000,237.830000,74.130000,2.750000,271.910000,27.070000,0.000000,101.260000,0.000000,30.940000,65.790000,0.000000,0.000000,0.000000,2.250000,30.940000,9.69,0,0,0,3.22,0,0,0,0,5.95,5.95,3.23,0,3.23,145.02,0,4.05

7,01:30-01:45,0.000000,2.230000,237.830000,74.130000,2.750000,271.910000,27.070000,0.000000,101.260000,0.000000,30.940000,65.790000,0.000000,0.000000,0.000000,2.250000,30.940000,9.54,0,0,0,3.18,0,0,0,0,5.95,5.95,3.2,0,3.18,145.02,0,4.14

8,01:45-02:00,0.000000,2.230000,237.830000,74.130000,2.750000,271.910000,27.070000,0.000000,101.260000,0.000000,30.940000,65.790000,0.000000,0.000000,0.000000,2.250000,30.940000,9.52,0,0,0,3.19,0,0,0,0,5.95,5.95,3.07,0,3.17,145.02,0,4.23

9,02:00-02:15,0.000000,2.160000,237.830000,74.130000,2.750000,271.910000,27.070000,0.000000,101.260000,0.000000,30.940000,65.790000,0.000000,0.000000,0.000000,2.250000,30.940000,9.54,0,0,0,3.18,0,0,0,0,6,6,3.07,0,3.18,145.02,0,4.54

10,02:15-02:30,0.000000,2.160000,237.830000,74.130000,2.750000,271.910000,27.070000,0.000000,101.260000,0.000000,30.940000,65.790000,0.000000,0.000000,0.000000,2.250000,30.940000,9.52,0,0,0,3.17,0,0,0,0,8.81,8.81,2.97,0,3.17,145.02,0,5.02

11,02:30-02:45,0.000000,2.160000,237.830000,74.130000,2.750000,271.910000,27.070000,0.000000,101.260000,0.000000,30.940000,65.790000,0.000000,0.000000,0.000000,2.250000,30.940000,16.86,0,0,0,5.63,0,0,0,0,9.32,9.32,3.01,0,5.62,145.02,0,5.19

12,02:45-03:00,0.000000,2.160000,237.830000,74.130000,2.750000,271.910000,27.070000,0.000000,101.260000,0.000000,30.940000,65.790000,0.000000,0.000000,0.000000,2.250000,30.940000,16.83,0,0,0,5.62,0,0,0,0,9.99,9.99,3.01,0,5.61,145.02,0,5.4

13,03:00-03:15,0.000000,2.160000,237.830000,74.130000,2.750000,271.910000,26.100000,0.000000,101.260000,0.000000,30.940000,65.790000,0.000000,0.000000,0.000000,2.250000,30.940000,17.04,0,0,0,5.68,0,0,0,0,10.55,10.55,3.14,0,5.68,145.02,0,5.58

14,03:15-03:30,0.000000,2.160000,237.830000,74.130000,2.750000,271.910000,26.100000,0.000000,101.260000,0.000000,30.940000,65.790000,0.000000,0.000000,0.000000,2.250000,30.940000,17.17,0,0,0,5.74,0,0,0,0,11.31,11.31,3.32,0,5.72,145.02,0,5.75

15,03:30-03:45,0.000000,2.160000,237.830000,74.130000,2.750000,271.910000,26.100000,0.000000,101.260000,0.000000,30.940000,65.790000,0.000000,0.000000,0.000000,2.250000,30.940000,17.33,0,0,0,5.76,0,0,0,0,12.54,12.54,3.56,0,5.78,145.02,0,5.95

16,03:45-04:00,0.000000,2.160000,237.830000,74.130000,2.750000,271.910000,26.100000,0.000000,101.260000,0.000000,30.940000,65.790000,0.000000,0.000000,0.000000,2.250000,30.940000,17.49,0,0,0,5.82,0,0,0,0,13.94,13.94,3.9,0,5.83,145.02,0,6.13

17,04:00-04:15,0.000000,2.160000,237.830000,74.130000,2.750000,271.910000,26.100000,0.000000,101.260000,0.000000,30.940000,65.790000,0.000000,0.000000,0.000000,2.180000,30.940000,17.55,0,0,0,5.84,0,0,0,0,15.36,15.36,3.88,0,5.85,145.02,0,6.61

18,04:15-04:30,0.000000,2.160000,237.830000,74.130000,2.750000,271.910000,26.100000,0.000000,101.260000,0.000000,30.940000,65.790000,0.000000,0.000000,0.000000,2.180000,30.940000,17.58,0,0,0,5.86,0,0,0,0,17.48,17.48,3.88,0,5.86,145.02,0,7.14

19,04:30-04:45,0.000000,2.160000,237.830000,74.130000,2.750000,271.910000,26.100000,0.000000,101.260000,0.000000,30.940000,65.790000,0.000000,0.000000,0.000000,2.180000,30.940000,17.62,0,0,0,5.87,0,0,0,0,17.96,17.96,3.86,0,5.88,145.02,0,7.71

20,04:45-05:00,0.000000,2.160000,237.830000,74.130000,2.750000,271.910000,26.100000,0.000000,101.260000,0.000000,30.940000,65.790000,0.000000,0.000000,0.000000,2.180000,30.940000,22.07,0,0,0,7.34,0,0,0,0,20.17,20.17,3.86,0,7.36,145.02,0,8.36

21,05:00-05:15,0.000000,2.080000,237.830000,74.130000,2.700000,271.910000,26.100000,0.000000,101.260000,0.000000,30.940000,65.790000,0.000000,0.000000,0.000000,2.180000,30.940000,21.57,0,0,0,7.19,0,0,0,0,20.65,20.65,3.73,0,7.19,145.02,0,8.62

22,05:15-05:30,0.000000,2.080000,237.830000,74.130000,2.700000,271.910000,26.100000,0.000000,101.260000,0.000000,30.940000,118.340000,0.000000,0.000000,0.000000,2.180000,30.940000,21.27,0,0,0,7.1,0,0,0,0,21.15,21.15,3.66,0,7.09,145.02,0,8.93

23,05:30-05:45,0.000000,2.080000,237.830000,74.130000,2.700000,271.910000,27.070000,0.000000,101.260000,0.000000,30.940000,118.340000,0.000000,0.000000,0.000000,2.180000,30.940000,21,0,0,0,6.99,0,0,0,0,22.12,22.12,3.56,0,7,145.02,0,9.24

24,05:45-06:00,0.000000,2.080000,237.830000,74.130000,2.700000,271.910000,27.070000,0.000000,101.260000,0.000000,30.940000,118.340000,0.000000,0.000000,0.000000,2.180000,30.940000,20.74,0,0,0,6.91,0,0,0,0,22.99,22.99,3.51,0,6.91,145.02,0,9.55

25,06:00-06:15,0.000000,2.080000,237.830000,74.130000,2.700000,271.910000,27.070000,0.000000,101.260000,0.000000,30.940000,118.340000,0.000000,0.000000,0.000000,2.180000,30.940000,20.42,0,0,0,6.79,0,0,0,0,25.16,25.16,3.51,0,6.81,145.02,1,10.16

26,06:15-06:30,0.000000,2.080000,237.830000,74.130000,2.700000,271.910000,27.070000,0.000000,101.260000,0.000000,30.940000,118.340000,0.000000,0.000000,0.000000,2.180000,30.940000,20.19,0,0,0,6.74,0,0,0,0,25.76,25.76,3.51,0,6.73,145.02,4,10.78

27,06:30-06:45,0.000000,2.080000,237.830000,74.130000,2.700000,271.910000,27.070000,0.000000,101.260000,0.010000,30.940000,118.340000,0.000000,0.010000,0.010000,2.180000,30.940000,19.97,1,0,0,6.65,3,0,0,0,24.07,24.07,3.53,0.32,6.66,145.02,10,11.45

28,06:45-07:00,0.000000,2.080000,237.830000,74.130000,2.700000,271.910000,26.100000,0.000000,101.260000,0.080000,30.940000,118.340000,0.000000,0.080000,0.080000,2.180000,30.940000,19.78,7.64,3.5,0,6.61,15,0,1.5,0.33,22.46,22.46,3.53,1.08,6.59,145.02,20,12.11

29,07:00-07:15,0.000000,2.080000,237.830000,74.130000,2.700000,271.910000,26.100000,0.000000,101.260000,0.390000,30.940000,118.340000,0.000000,0.380000,0.380000,2.180000,30.940000,19.36,20,7,2.47,6.46,30.95,0.49,3,2.33,21.12,21.12,3.43,2.55,6.45,145.02,30,12.98

30,07:15-07:30,0.000000,2.080000,237.830000,74.130000,2.700000,271.910000,26.100000,0.000000,101.260000,1.010000,30.940000,118.340000,0.000000,0.990000,0.990000,2.180000,30.940000,18.7,27.65,10.5,11.39,6.24,27.65,2.28,4.5,5,19.71,19.71,3.38,5,6.23,145.02,27.65,13.84

31,07:30-07:45,0.000000,2.080000,237.830000,74.130000,2.700000,271.910000,26.100000,0.000000,101.260000,1.960000,30.940000,118.340000,0.000000,1.910000,1.910000,2.180000,30.940000,18.31,29.98,21,22.37,6.1,29.98,4.47,9,8.75,17.36,17.36,3.3,9,6.1,145.02,29.99,14.74

32,07:45:08:00,0.000000,2.080000,237.830000,74.130000,2.700000,271.910000,26.100000,0.000000,101.260000,3.100000,30.940000,118.340000,0.000000,3.030000,3.030000,2.180000,30.940000,17.75,30.48,36.4,36.25,5.91,30.48,7.25,15.6,15.25,14.8,14.8,3.22,12,5.92,145.02,30.49,15.7

33,08:00-08:15,0.000000,2.080000,237.830000,74.130000,2.700000,271.910000,26.100000,0.000000,101.260000,4.330000,30.940000,65.790000,0.000000,4.220000,4.220000,2.180000,30.940000,17.67,30.98,58.1,52.79,5.89,30.98,10.56,24.9,22.33,12.98,12.98,3.3,17,5.89,145.02,30.99,14.97

34,08:15-08:30,0.000000,2.080000,237.830000,74.130000,2.700000,271.910000,26.100000,0.000000,101.260000,5.650000,30.940000,65.790000,0.000000,5.510000,5.510000,2.180000,30.940000,17.56,31.32,72.8,69.99,5.86,31.32,14,31.2,29.73,11.37,11.37,3.34,21.5,5.85,145.02,31.31,14.24

35,08:30-08:45,0.000000,2.080000,237.830000,74.130000,2.700000,271.910000,27.070000,0.000000,101.260000,6.930000,30.940000,65.790000,0.000000,6.760000,6.760000,2.180000,30.940000,17.43,32.17,88.9,86.1,5.82,32.17,17.22,38.1,37.36,11.11,11.11,3.42,25,5.81,145.02,32.16,13.55

36,08:45:09:00,0.000000,2.080000,237.830000,74.130000,2.700000,271.910000,27.070000,0.000000,101.260000,8.150000,30.940000,65.790000,0.000000,7.950000,7.950000,2.180000,30.940000,17.33,32.17,108.5,104.03,5.76,32.17,20.81,46.5,44.87,10.6,10.6,3.51,27.8,5.78,145.02,32.16,12.91

37,09:00:09:15,0.000000,2.080000,237.830000,74.130000,2.700000,271.910000,27.070000,0.000000,101.260000,9.230000,30.940000,65.790000,0.000000,9.010000,9.010000,2.180000,30.940000,17.52,32.33,122.5,123.79,5.85,32.33,24.76,52.5,51.79,9.99,9.99,3.68,30.5,5.84,145.02,32.34,12.42

