Block,Time,BSIUL,KISHANGANGA,NJPC,PARBATI3,RIHAND3,SINGRAULI_HYDRO,TALST2,UNCHAHAR2,UNCHAHAR4,URI2,ANTA_GF,DADRI_CRF,DHAULIGNGA,FSTPP I & II,KKNP,NNTPP,VALLURNTECL,DADRI_GF,CHAMERA2,JHAJJAR,KUDGI,NLCIIST2,SEWA2,TEHRI,TelanganaSTPP,AURY_CRF,DADRT2,KGSU3AND4,NLCTS2EXP,RSTPSU1TO6,UNCHAHAR3,ANTA_LF,AURY_LF,AURY_RF,CHAMERA3,DULHASTI,KGSU1AND2,KHSTPP-II,NAPP,NLCIIST1,RAPPB,SASAN,SIMHST2,URI,ANTA_RF,DADRI_LF,KHSTPP-I,KOLDAM,MAPS,NLCEXP,RIHAND1,SINGRAULI,TALA,TANAKPUR,CHAMERA1,NTPL,RAMPUR,RAPPC,RSTPSU7,SALAL,SIMHST1,AURY_GF,DADRI_RF,BRBCL,KKNPPU2,KOTESHWR,RIHAND2,TANDA2,UNCHAHAR1,ANTA_CRF
1,00:00-00:15,0,0,116.95,0,124.32,0,0,42.4,0,9.42,0,0,27.48,20.8,0,0,0,0,9.46,474.31,0,0,0,46.69,0,0,341.57,0,0,0,0,0,0,68.96,9.68,49.43,0,98.87,41.01,0,0,418.77,0,11.04,28.35,0,44.92,0,0,0,46,102.75,10.26,13,14.05,0,0,51.64,0,51.13,0,0,83.3,15,0,8.87,118.76,0,20.56,0

2,00:15-00:30,0,0,93.56,0,124.32,0,0,42.4,0,9.42,0,0,27.48,20.8,0,0,0,0,9.46,474.31,0,0,0,46.69,0,0,341.57,0,0,0,0,0,0,68.96,9.68,49.43,0,98.87,41.01,0,0,418.77,0,11.04,28.35,0,44.92,0,0,0,46,102.75,10.26,13,0,0,0,51.64,0,51.13,0,0,83.3,15,0,8.87,118.76,0,20.56,0

3,00:30-00:45,0,0,93.56,0,124.32,0,0,42.4,0,31.9,0,0,27.48,20.8,0,0,0,0,9.46,474.31,0,0,0,46.69,0,0,341.57,0,0,0,0,0,0,68.96,9.68,49.43,0,98.87,41.01,0,0,418.77,0,11.04,28.35,0,44.92,0,0,0,46,102.75,10.26,13,0,0,0,51.64,0,51.13,0,0,83.3,15,0,8.87,118.76,0,20.56,0

4,00:45-01:00,0,0,93.56,0,124.32,0,0,42.4,0,31.9,0,0,27.48,20.8,0,0,0,0,9.46,474.31,0,0,0,31.13,0,0,341.57,0,0,0,0,0,0,68.96,9.68,49.43,0,98.87,41.01,0,0,418.77,0,11.04,28.35,0,44.92,0,0,0,46,102.75,10.26,13,0,0,0,51.64,0,51.13,0,0,83.3,15,0,8.87,118.76,0,20.56,0

5,01:00-01:15,0,0,93.56,0,124.32,0,0,42.4,0,31.9,0,0,27.48,20.8,0,0,0,0,9.46,474.31,0,0,0,31.13,0,0,341.57,0,0,0,0,0,0,68.96000000000001,9.68,49.43,0,98.87,41.01,0,0,418.77,0,11.04,28.35,0,44.92,0,0,0,46,102.75,10.26,13,0,0,0,51.64,0,51.13,0,0,83.3,15,0,8.87,118.76,0,20.56,0

6,01:15-01:30,0,0,93.56,0,124.32,0,0,42.4,0,31.9,0,0,27.48,20.8,0,0,0,0,9.46,474.31,0,0,0,31.13,0,0,341.57,0,0,0,0,0,0,68.96000000000001,9.68,49.43,0,98.87,41.01,0,0,418.77,0,13.25,28.35,0,44.92,0,0,0,46,102.75,10.26,13,0,0,0,51.64,0,51.13,0,0,83.3,15,0,8.87,118.76,0,20.56,0

7,01:30-01:45,0,0,93.56,0,124.32,0,0,42.4,0,31.9,0,0,27.48,20.8,0,0,0,0,9.46,474.31,0,0,0,31.13,0,0,341.57,0,0,0,0,0,0,68.96000000000001,9.68,49.43,0,98.87,41.01,0,0,418.77,0,50.79,28.35,0,44.92,0,0,0,46,102.75,10.26,13,0,0,0,51.64,0,79.38,0,0,83.3,15,0,8.87,118.76,0,20.56,0

