Block,Time,LT_MEJA_Delhi,L_NR_2012_07,LT-36,LT-35,LT-31,L_NR_2012_04,L_NR_2023_04,L_NR_2012_02,L_NR_2019_19,L_NR_2019_11,SH-07,L_NR_2012_01,LT-05,SH-06,L_NR_2020_02,LT-59,L_NR_2021_17,L_NR_2021_12,L_NR_2022_09,L_NR_2019_05,L_NR_2021_14,L_NR_2021_15,L_NR_2022_08,L_NR_2020_06,L_NR_2019_07,L_NR_2021_13,L_NR_2019_06,L_NR_2021_16,L_NR_2018_61,L_NR_2020_07,L_NR_2022_10,L_NR_2020_05
1,00:00-00:15,3.120000,87.240000,0.000000,0.000000,0.000000,272.020000,0.000000,261.720000,0.000000,6.540000,0.000000,101.310000,116.100000,0.000000,6.890000,5.990000,0,0,63.08,0,0,0,16.95,22.6,0,0,0,0,13.04,22.61,63.08,67.81

2,00:15-00:30,3.120000,87.240000,0.000000,0.000000,0.000000,272.020000,0.000000,261.720000,0.000000,6.540000,0.000000,101.310000,116.100000,0.000000,6.890000,5.990000,0,0,62.22,0,0,0,16.76,22.89,0,0,0,0,18.83,22.89,62.22,68.68

3,00:30-00:45,3.120000,87.240000,0.000000,0.000000,0.000000,272.020000,0.000000,261.720000,0.000000,6.540000,0.000000,101.310000,116.100000,0.000000,6.890000,5.990000,0,0,48.91,0,0,0,15.97,22.71,0,0,0,0,18.94,22.72,48.91,68.14

4,00:45-01:00,3.120000,87.240000,0.000000,0.000000,0.000000,272.020000,0.000000,261.720000,0.000000,6.540000,0.000000,101.310000,116.100000,0.000000,6.890000,5.990000,0,0,47.7,0,0,0,15.93,23.05,0,0,0,0,19.1,23.05,47.7,69.14

5,01:00-01:15,3.120000,87.240000,0.000000,0.000000,0.000000,272.020000,0.000000,261.720000,0.000000,6.540000,0.000000,101.310000,116.100000,0.000000,6.690000,5.990000,0,0,47.53,0,0,0,15.98,23.27,0,0,0,0,19.29,23.27,47.53,69.81

6,01:15-01:30,3.120000,87.240000,0.000000,0.000000,0.000000,272.020000,0.000000,261.720000,0.000000,6.540000,0.000000,101.310000,116.100000,0.000000,6.690000,5.990000,0,0,47.55,0,0,0,15.75,23.38,0,0,0,0,19.13,23.38,47.55,70.14

7,01:30-01:45,2.320000,87.240000,0.000000,0.000000,0.000000,272.020000,0.000000,261.720000,0.000000,6.540000,0.000000,101.310000,116.100000,0.000000,6.690000,5.990000,0,0,47.41,0,0,0,15.65,19.26,0,0,0,0,18.82,19.25,47.41,57.77

8,01:45-02:00,2.320000,87.240000,0.000000,0.000000,0.000000,272.020000,0.000000,261.720000,0.000000,6.540000,0.000000,101.310000,116.100000,0.000000,6.690000,5.990000,0,0,47.36,0,0,0,15.63,19.22,0,0,0,0,18.74,19.23,47.36,57.67

9,02:00-02:15,2.320000,87.240000,0.000000,0.000000,0.000000,272.020000,0.000000,261.720000,0.000000,6.540000,0.000000,101.310000,116.100000,0.000000,6.560000,5.990000,0,0,47.28,0,0,0,15.85,19.3,0,0,0,0,11.46,19.31,47.28,57.9

10,02:15-02:30,2.320000,87.240000,0.000000,0.000000,0.000000,272.020000,0.000000,261.720000,0.000000,6.540000,0.000000,101.310000,116.100000,0.000000,6.560000,5.990000,0,0,47.19,0,0,0,15.99,19.35,0,0,0,0,11.13,19.36,47.19,58.06

11,02:30-02:45,2.320000,63.430000,0.000000,0.000000,0.000000,272.020000,0.000000,201.540000,0.000000,6.540000,0.000000,101.310000,116.100000,0.000000,6.560000,5.990000,0,0,47.19,0,0,0,16.29,19.69,0,0,0,0,10.78,19.68,47.19,59.07

12,02:45-03:00,2.320000,63.430000,0.000000,0.000000,0.000000,272.020000,0.000000,201.540000,0.000000,6.540000,0.000000,101.310000,116.100000,0.000000,6.560000,5.990000,0,0,47.62,0,0,0,16.73,20.19,0,0,0,0,10.42,20.2,47.62,60.58

13,03:00-03:15,2.320000,63.430000,0.000000,0.000000,0.000000,272.020000,0.000000,201.540000,0.000000,6.380000,0.000000,101.310000,116.100000,0.000000,6.420000,5.830000,0,0,46.39,0,0,0,16.54,20.32,0,0,0,0,10.11,20.32,46.39,60.96

14,03:15-03:30,2.320000,63.430000,0.000000,0.000000,0.000000,272.020000,0.000000,201.540000,0.000000,6.380000,0.000000,101.310000,116.100000,0.000000,6.420000,5.830000,0,0,45.18,0,0,0,15.91,20.47,0,0,0,0,9.76,20.45,45.18,61.4

