Block,Time Block,KGSU3AND4,NLCIIST1,NLCIIST2,TALA,RAPPD,SINGRAULI_HYDRO,RSTPSU7,SALAL,SEWA2,SIMHST2,RIHAND3,RAPPC,SINGRAULI,RIHAND2,SASAN,RIHAND1,SIMHST1,RSTPSU1TO6,UNCHAHAR3,TEHRI,TelanganaSTPP,TANDA2,UNCHAHAR2,URI,UNCHAHAR1,TALST2,UNCHAHAR4,VALLURNTECL,TANAKPUR,TEHRIPSP,URI2,KGSU1AND2,JHAJJAR,NLCEXP,NJPC,NAPP,RAMPUR,NNTPP,NTPL,PARBATI3,PARBATI2,RAPPB,FSTPP I & II,NLCTS2EXP,MAPS,DHAULIGNGA,DADRT2,DULHASTI,KUDGI,KOTESHWR,KKNPPU2,KOLDAM,KISHANGANGA,KKNP,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,DADRI_GF,BRBCL,CHAMERA1,BSIUL,CHAMERA2,CHAMERA3,ANTA_GF,AURY_CRF,ANTA_CRF,ANTA_RF,AURY_LF,ANTA_LF,AURY_GF,KHSTPP-II,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,18.8,23.58,0.92,0,81.02,17.64,0,125.84,62.92,142.14,120.48,294.85,94.56,0,0,26.63,53.4,0,5.34,43.28,50.36,20.82,0,3.1,0,12.56,0,16.49,0,221.25,0,169.07,22.08,5.48,0,0,18.58,0,0,17.38,0,0,40.84,528.39,53.26,0,39.02,0,8.29,6.78,0,0,76.02,76.19,0,0,15.88,40.54,12.54,45.32,32.64,0,0,0,49.24,0,0,0,142.63,43.79,0,0,0,0,0

2,00:15-00:30,0,0,0,18.8,23.58,0.92,0,81.02,17.64,0,125.84,62.92,142.14,120.48,294.85,94.56,0,0,26.63,53.4,0,5.34,43.28,50.36,20.82,0,3.1,0,12.56,0,16.49,0,221.4,0,169.07,22.08,5.48,0,0,18.58,0,0,17.38,0,0,40.84,528.39,53.26,0,39.02,0,8.29,6.78,0,0,76.02,76.19,0,0,13.61,40.54,12.54,45.32,32.64,0,0,0,49.24,0,0,0,142.63,43.79,0,0,0,0,0

3,00:30-00:45,0,0,0,17.4,23.58,0.92,0,81.02,11.75,0,125.84,62.92,142.14,120.48,294.85,94.56,0,0,26.63,53.4,0,5.34,43.28,25.48,20.82,0,3.1,0,10.6,0,16.49,0,222.24,0,169.07,22.08,5.48,0,0,18.58,0,0,17.38,0,0,40.84,528.39,53.26,0,39.02,0,8.29,6.78,0,0,76.02,76.19,0,0,13.39,40.54,12.54,45.32,32.64,0,0,0,49.24,0,0,0,142.63,43.79,0,0,0,0,0

4,00:45-01:00,0,0,0,17.4,23.58,0.92,0,81.02,5.89,0,125.84,62.92,142.14,120.48,294.85,94.56,0,0,26.63,53.4,0,5.34,43.28,25.48,20.82,0,3.1,0,10.6,0,16.49,0,222.24,0,169.07,22.08,5.48,0,0,18.58,0,0,17.38,0,0,40.84,528.39,53.26,0,39.02,0,8.29,6.78,0,0,76.02,76.19,0,0,13.42,40.54,12.54,45.32,32.64,0,0,0,49.24,0,0,0,142.63,43.79,0,0,0,0,0

5,01:00-01:15,0,0,0,18.52,23.58,0.92,0,81.02,0,0,125.84,62.92,141.01,120.48,294.85,94.56,0,0,26.63,53.4,0,5.34,43.28,29.73,20.82,0,3.1,0,10.6,0,16.49,0,222.24,0,169.07,22.08,5.48,0,0,18.58,0,0,17.38,0,0,40.84,528.39,53.26,0,39.02,0,8.29,6.78,0,0,76.02,76.19,0,0,13.48,40.54,12.54,45.32,32.64,0,0,0,49.24,0,0,0,142.63,43.79,0,0,0,0,0

6,01:15-01:30,0,0,0,18.52,23.58,0.92,0,81.02,0,0,125.84,62.92,141.01,120.48,294.85,94.56,0,0,26.63,53.4,0,5.34,43.28,29.73,20.82,0,3.1,0,10.6,0,16.49,0,222.24,0,169.07,22.08,5.48,0,0,18.58,0,0,17.38,0,0,40.84,528.39,53.26,0,39.02,0,8.29,6.78,0,0,76.02,76.19,0,0,13.9,40.54,12.54,45.32,32.64,0,0,0,49.24,0,0,0,142.63,43.79,0,0,0,0,0

7,01:30-01:45,0,0,0,18.52,23.58,0.89,0,81.02,0,0,125.84,62.92,141.01,120.48,294.85,94.56,0,0,26.63,53.99,0,5.34,43.28,29.73,20.82,0,3.1,0,10.6,0,16.49,0,222.24,0,169.07,22.08,5.48,0,0,18.58,0,0,17.38,0,0,40.84,528.39,53.26,0,39.02,0,8.29,6.78,0,0,24.9,31.6,0,0,13.54,40.54,12.54,45.32,32.64,0,0,0,20.11,0,0,0,142.63,43.79,0,0,0,0,0

