Block,Time,CHAMERA1,DHAULIGNGA,SEWA2,SIMHST1,SINGRAULI_HYDRO,TANAKPUR,UNCHAHAR1,AURY_CRF,KGSU1AND2,KUDGI,MAPS,UNCHAHAR3,ANTA_GF,BSIUL,JHAJJAR,KHSTPP-I,KOLDAM,KOTESHWR,NLCIIST2,RAPPC,RIHAND3,RSTPSU1TO6,SALAL,TALST2,URI2,AURY_GF,AURY_RF,BRBCL,KHSTPP-II,NJPC,NLCEXP,RAPPB,RIHAND2,DADRI_RF,KISHANGANGA,RIHAND1,TANDA2,URI,ANTA_CRF,FSTPP I & II,KGSU3AND4,NAPP,NLCIIST1,NNTPP,RAMPUR,SASAN,TEHRI,UNCHAHAR4,VALLURNTECL,ANTA_RF,DADRI_CRF,DADRI_LF,CHAMERA2,CHAMERA3,DULHASTI,NTPL,PARBATI3,RAPPD,TALA,TEHRIPSP,UNCHAHAR2,ANTA_LF,DADRT2,KKNP,KKNPPU2,NLCTS2EXP,PARBATI2,RSTPSU7,SIMHST2,SINGRAULI,TelanganaSTPP,AURY_LF,DADRI_GF
1,00:00-00:15,28.1,42.46,19.02,0,0,11.06,21.65,0,0,0,0,27.38,0,0,667.27,33.99,8.63,45.08,0,65.43,130.84,0,84.83,0,0,0,82.34,18.75,130.72,175.8,0,0,123.97,105.4,6.97,46.89,5.73,4.41,0,20.8,0,21.94,0,0,5.68,286.88,82.36,3.23,0,52.09,0,0,31.41,0,37.42,0,47.57,38.66,24.45,207.96,44.52,0,689.39,0,0,0,14.78,0,0,110.75,0,0,0

2,00:15-00:30,28.1,42.46,19.02,0,0,13.11,21.65,0,0,0,0,27.38,0,0,667.27,33.99,8.63,45.08,0,65.43,130.84,0,84.83,0,0,0,82.34,18.75,130.72,175.8,0,0,123.97,105.4,6.97,46.89,5.73,4.41,0,20.8,0,21.94,0,0,5.68,303.75,82.36,3.23,0,52.09,0,0,31.41,0,37.42,0,47.57,38.66,24.45,207.96,44.52,0,689.39,0,0,0,14.78,0,0,110.75,0,0,0

3,00:30-00:45,28.1,42.46,19.02,0,0,13.11,21.65,0,0,0,0,27.38,0,0,667.27,33.99,8.63,45.08,0,65.43,130.84,0,84.83,0,0,0,82.34,18.75,130.72,175.8,0,0,123.97,105.4,6.97,46.89,5.73,4.41,0,20.8,0,21.94,0,0,5.68,315,82.36,3.23,0,52.09,0,0,31.41,0,37.42,0,46.83,38.66,24.45,207.96,44.52,0,689.39,0,0,0,14.78,0,0,110.75,0,0,0

4,00:45-01:00,28.1,42.46,19.02,0,0,13.11,21.65,0,0,0,0,27.38,0,0,667.27,33.99,8.63,45.08,0,65.43,130.84,0,84.83,0,0,0,82.34,18.75,130.72,175.8,0,0,123.97,105.4,6.97,46.89,5.73,4.41,0,20.8,0,21.94,0,0,5.68,315,82.36,3.23,0,52.09,0,0,31.41,0,37.42,0,46.83,38.66,24.45,207.96,44.52,0,689.39,0,0,0,14.78,0,0,110.75,0,0,0

5,01:00-01:15,28.1,42.46,19.02,0,0,13.11,21.65,0,0,0,0,27.38,0,0,667.27,34.29,8.63,45.08,0,65.43,130.84,0,84.83,0,0,0,82.34,18.75,130.72,175.8,0,0,123.97,105.4,6.97,46.89,5.73,4.41,0,20.8,0,21.94,0,0,5.68,315,82.36,3.23,0,52.34,0,0,31.41,0,37.42,0,46.83,38.66,24.22,207.96,44.52,0,689.39,0,0,0,14.78,0,0,110.75,0,0,0

6,01:15-01:30,28.1,42.46,19.02,0,0,13.11,21.65,0,0,0,0,27.38,0,0,667.27,34.29,8.63,45.08,0,65.43,130.84,0,84.83,0,0,0,82.34,18.75,130.72,175.8,0,0,123.97,105.4,6.97,46.89,5.73,4.41,0,20.8,0,21.94,0,0,5.68,315,82.36,3.23,0,52.34,0,0,31.41,0,37.42,0,46.83,38.66,24.22,207.96,44.52,0,689.39,0,0,0,14.78,0,0,110.75,0,0,0

7,01:30-01:45,28.1,42.46,19.02,0,0,13.11,21.65,0,0,0,0,27.38,0,0,667.27,34.29,8.63,45.08,0,65.43,130.84,0,84.83,0,0,0,82.34,18.75,130.72,175.8,0,0,123.97,105.4,6.97,46.89,5.73,26.49,0,20.8,0,21.94,0,0,5.68,315,82.36,3.23,0,52.34,0,0,31.41,0,37.42,0,46.83,38.66,24.22,207.96,44.52,0,689.39,0,0,0,14.08,0,0,110.75,0,0,0

8,01:45-02:00,28.1,42.46,19.02,0,0,13.11,21.65,0,0,0,0,27.38,0,0,667.27,34.29,8.63,45.08,0,65.43,130.84,0,84.83,0,0,0,82.34,18.75,130.72,175.8,0,0,123.97,105.4,6.97,46.89,5.73,26.49,0,20.8,0,21.94,0,0,5.68,315,82.36,3.23,0,52.34,0,0,31.41,0,37.42,0,46.83,38.66,24.22,207.96,44.52,0,689.39,0,0,0,14.08,0,0,110.75,0,0,0

9,02:00-02:15,28.1,42.46,19.02,0,0,13.11,21.65,0,0,0,0,27.38,0,0,667.27,34.29,8.63,45.08,0,65.43,130.84,0,84.83,0,0,0,82.34,18.75,148.3,175.8,0,0,123.97,105.4,6.97,46.89,5.73,8.83,0,20.8,0,21.94,0,0,5.68,315,82.36,3.23,0,52.6,0,0,31.41,0,37.42,0,0,38.66,24.34,207.96,44.52,0,689.39,0,0,0,14.08,0,0,110.75,0,0,0

10,02:15-02:30,28.1,42.46,19.02,0,0,13.11,21.65,0,0,0,0,27.38,0,0,667.27,34.29,8.63,45.08,0,65.43,130.84,0,84.83,0,0,0,82.34,18.75,148.3,175.8,0,0,123.97,105.4,6.97,46.89,5.73,8.83,0,20.8,0,21.94,0,0,5.68,315,82.36,3.23,0,52.6,0,0,31.41,0,37.42,0,0,38.66,24.34,207.96,44.52,0,689.39,0,0,0,14.08,0,0,110.75,0,0,0

11,02:30-02:45,28.1,42.46,19.02,0,0,13.11,21.65,0,0,0,0,27.38,0,0,667.27,34.29,8.63,45.08,0,65.43,130.84,0,84.83,0,0,0,82.34,18.75,148.3,175.8,0,0,123.97,105.4,6.97,46.89,5.73,4.41,0,20.8,0,21.94,0,0,5.68,315,82.36,3.23,0,52.6,0,0,31.41,0,37.42,0,0,38.66,24.34,207.96,44.52,0,689.39,0,0,0,14.08,0,0,110.75,0,0,0

12,02:45-03:00,28.1,42.46,19.02,0,0,13.11,21.65,0,0,0,0,27.38,0,0,667.27,34.29,8.63,45.08,0,65.43,130.84,0,84.83,0,0,0,82.34,18.75,148.3,175.8,0,0,123.97,105.4,6.97,46.89,5.73,4.41,0,20.8,0,21.94,0,0,5.68,315,82.36,3.23,0,52.6,0,0,31.41,0,37.42,0,0,38.66,24.34,207.96,44.52,0,689.39,0,0,0,14.08,0,0,110.75,0,0,0

13,03:00-03:15,28.1,42.46,19.02,0,0,11.91,21.65,0,0,0,0,27.38,0,0,667.27,34.29,8.63,45.08,0,65.43,130.84,0,82.5,0,0,0,82.34,18.75,148.3,175.8,0,0,123.97,105.4,6.97,46.89,5.73,4.41,0,20.8,0,21.94,0,0,5.68,315,82.36,3.23,0,52.85,0,0,31.41,0,37.42,0,0,38.66,24.34,207.96,44.52,0,689.39,0,0,0,14.08,0,0,110.75,0,0,0

