Column1,Block,NR/01082024/31082024/jitpl,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/30092023/31122025/SH-07,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/16082024/31082024/APL-Raigarh_august,NR/01082024/31082024/SKS-Raigarh,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/22827/C,NR/2024/22610/A/34298,NR/2024/22611/A/34299,NR/2024/21911/A/34535,NR/2024/21814/A/34579,NR/2024/22010/A/34637,NR/2024/22814/C,NR/2024/21860/A/34521,NR/2024/21966/A/34510,NR/2024/21968/A/34575,NR/2024/22042/A/34277,NR/2024/21983/A/34287,NR/2024/21938/A/34547,NR/2024/22498/A/34638,NR/2024/21974/A/34578,NR/2024/22279/A/34274,NR/2024/21971/A/34577,NR/2024/21933/A/34288,NR/2024/22014/A/34278,NR/30092023/26122029/SH-06,NR/2024/22623/A/34317,NR/2024/21943/A/34582,NR/2024/22828/C,NR/2024/21961/A/34550,NR/2024/21956/A/34590,NR/2024/21918/A/34635,NR/2024/22829/C,NR/2024/21954/A/34583,SR/2024/14005/C,NR/2024/21940/A/34585,NR/2024/21658/A/34243,NR/2024/21970/A/34576,Total
,,JITPL,TPTCL,BAWANA_GAS,INSTINCT,APL_Raigarh_TPP,DELHI,MANIKARAN,APPCPL,TPTCL,DELHI,DELHI,NVVNL,SJVNL,SJVNL,AEL,NVVNL,MANIKARAN,TPDDL,TPDDL,INSTINCT,NVVNL,IEXL,TPTCL,PTC,MANIKARAN,NVVNL,IEXL,NVVNL,TPTCL,IEXL,PUNJAB,DIAPL,APPCPL,NVVNL,PTC,APPCPL,MANIKARAN,NVVNL,APPCPL,IEXL,APPCPL,ITCLH,NVVNL,
,,NA,NA,DELHI_UT,NA,NA,NA,MP_State,Arunachal_State,NA,MSEB_State,HIMACHAL_STATE,NA,NA,NA,NA,NA,GOA_State,NA,NA,NA,NA,MSEB_State,NA,HIMACHAL_STATE,MP_State,NA,KARNATAKA_STATE,NA,NA,HIMACHAL_STATE,DELHI_UT,HIMACHAL_STATE,MSEB_State,NA,HIMACHAL_STATE,KERALA_State,MSEB_State,NA,Manipur_State,DELHI_UT,UTTARAKHAND_STATE,ANDHRA_PRADESH_STATE,NA,
,,JITPL,SIMHAPURI,BAWANA_GAS,JPL2,APL_Raigarh_TPP,SKS_Raigarh,BLAPOWER_MP,Arunachal_Ben,ACBIL,MSEB_Beneficiary,CHANJUII,SOLAPUR_SOLAR,RSRPL_BKN,TPSL_BKN2,APL_Raigarh_TPP,JPNIGRIE_JNSTPP,GOA_Beneficiary,JHAJJAR,JPL2,JPL2,JPL2,A_A_Energy_MH_Bio,SIMHAPURI,HP,BLAPOWER_MP,RKM_POWER,NSLSUGAR,RKM_POWER,ACBIL,NHCPL_HP,BAWANA_GAS,GBHHPL,AEML,Kameng,HP,KSEB,AEML,SORANG_HEP,Manipur_Ben,BYPL,UTTARAKHAND,ITCWIND,TRN_ENERGY,
,,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,BRPL,HARYANA,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,TPDDL,TPDDL,MES_Delhi,NDMC,NDMC,BRPL,TPDDL,BRPL,TPDDL,TPDDL,BRPL,NDMC,MES_Delhi,BRPL,BYPL,BRPL,NDMC,MES_Delhi,NDMC,BRPL,MES_Delhi,PUNJAB,DIAPL,BRPL,TPDDL,BRPL,BYPL,BYPL,TPDDL,BRPL,TANGEDCO,BYPL,ITCLH,NDMC,
,,East-North,South-West-North,North-North,West-North,West-North,West-North,West-North,North East-East-North,West-North,West-North,North-North,West-North,North-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,South-East-North,North-North,West-North,West-North,South-East-West-North,West-North,West-North,North-North,North-North,North-North,West-North,North East-East-North,North-North,South-West-North,West-North,North-North,North East-East-North,North-West-South,North-North,South-West-North,West-North,
1,00:00-00:15,24.77,48.44,0,96.89,96.89,12.48,21.32,38.76,24.22,0,11.84,0,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,32.7,0,37.43,4.84,37.43,0,1.94,32,8.72,38.76,164.96,98.1,67.82,91.08,28.1,24.14,0,84.47,0.63,12.48,1533.3799999999999

2,00:15-00:30,24.77,48.44,0,96.89,96.89,12.48,21.32,38.76,24.22,0,11.84,0,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,32.7,0,37.43,4.84,37.43,0,1.94,32,8.72,38.76,164.96,98.1,67.82,91.08,28.1,24.14,0,84.47,0.63,12.48,1533.3799999999999

