Block,Time Block,CHAMERA2,DADRT2,DHAULIGNGA,FSTPP I & II,DULHASTI,CHAMERA3,BRBCL,CHAMERA1,BSIUL,RAPPC,NTPL,PARBATI3,RIHAND2,SASAN,RIHAND1,RAPPB,SIMHST1,RSTPSU1TO6,SIMHST2,RSTPSU7,SALAL,SEWA2,RAMPUR,RIHAND3,KOTESHWR,KKNPPU2,KISHANGANGA,KOLDAM,KHSTPP-I,KHSTPP-II,KKNP,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,KUDGI,NNTPP,NAPP,MAPS,JHAJJAR,KGSU1AND2,KGSU3AND4,DADRI_GF,DADRI_CRF,DADRI_RF,DADRI_LF,UNCHAHAR1,VALLURNTECL,ANTA_CRF,UNCHAHAR4,ANTA_RF,AURY_LF,URI2,UNCHAHAR3,ANTA_LF,AURY_GF,UNCHAHAR2,ANTA_GF,URI,AURY_CRF,AURY_RF,TelanganaSTPP,TEHRI,SINGRAULI,TANDA2,TANAKPUR,TALA,TALST2,SINGRAULI_HYDRO,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,362.33,0,11.68,15.83,0,19.21,0,0,51.21,0,0,91.54,267.19,48.61,0,0,0,0,0,1.34,0,0,87.58,8.53,0,0,0,18.39,94.43,0,0,0,0,0,0,0,0,42.07,0,345.73,0,0,0,0,0,0,5.97,0,0,0,0,0,4.14,14.07,0,0,22.46,0,1.07,0,0,0,0,110.24,0,5.53,0,0,0,0,0,0,0,0

2,00:15-00:30,0,362.33,0,11.06,15.83,0,18.95,0,0,51.21,0,0,91.54,278,48.61,0,0,0,0,0,1.34,0,0,87.58,8.53,0,0,0,18.39,94.43,0,0,0,0,0,0,0,0,42.07,0,345.73,0,0,0,0,0,0,5.97,0,0,0,0,0,4.14,14.07,0,0,22.46,0,1.07,0,0,0,0,93.53,0,5.53,0,0,0,0,0,0,0,0

3,00:30-00:45,0,362.33,0,11.06,15.83,0,18.53,0,0,51.21,0,0,91.54,288.81,48.61,0,0,0,0,0,1.34,0,0,87.58,8.53,0,0,0,18.39,94.43,0,0,0,0,0,0,0,0,42.07,0,345.73,0,0,0,0,0,0,5.97,0,0,0,0,0,4.14,14.07,0,0,22.46,0,1.07,0,0,0,0,93.53,0,5.53,0,0,0,0,0,0,0,0

4,00:45-01:00,0,362.33,0,11.06,15.83,0,15.19,0,0,51.21,0,0,91.54,299.61,48.61,0,0,0,0,0,1.34,0,0,87.58,8.53,0,0,0,18.39,94.43,0,0,0,0,0,0,0,0,42.07,0,345.73,0,0,0,0,0,0,5.97,0,0,0,0,0,4.14,14.07,0,0,22.46,0,1.07,0,0,0,0,93.53,0,5.53,0,0,0,0,0,0,0,0

5,01:00-01:15,0,362.33,0,11.06,15.83,0,14.41,0,0,51.21,0,0,91.54,310.42,48.61,0,0,0,0,0,1.34,0,0,87.58,8.53,0,0,0,18.39,78.36,0,0,0,0,0,0,0,0,42.07,0,345.73,0,0,0,0,0,0,5.97,0,0,0,0,0,4.14,14.07,0,0,22.46,0,1.07,0,0,0,0,93.53,0,5.53,0,0,0,0,0,0,0,0

6,01:15-01:30,0,362.33,0,11.06,15.83,0,13.71,0,0,51.21,0,0,91.54,321.23,48.61,0,0,0,0,0,1.34,0,0,87.58,8.53,0,0,0,18.39,78.36,0,0,0,0,0,0,0,0,42.07,0,345.73,0,0,0,0,0,0,5.97,0,0,0,0,0,4.14,14.07,0,0,22.46,0,1.07,0,0,0,0,93.53,0,5.53,0,0,0,0,0,0,0,0

7,01:30-01:45,0,362.33,0,11.06,15.83,0,15.26,0,0,51.21,0,0,91.54,335.04,48.61,0,0,0,0,0,1.34,0,0,87.58,8.53,0,0,0,18.39,78.36,0,0,0,0,0,0,0,0,42.07,0,345.73,0,0,0,0,0,0,5.97,0,0,0,0,0,4.14,14.07,0,0,22.46,0,1.07,0,0,0,0,93.53,0,5.53,0,0,0,0,0,0,0,0

8,01:45-02:00,0,362.33,0,11.06,15.83,0,15.01,0,0,51.21,0,0,91.54,345.85,48.61,0,0,0,0,0,1.34,0,0,87.58,8.53,0,0,0,18.39,78.36,0,0,0,0,0,0,0,0,42.07,0,345.73,0,0,0,0,0,0,5.97,0,0,0,0,0,4.14,14.07,0,0,22.46,0,1.07,0,0,0,0,93.53,0,5.53,0,0,0,0,0,0,0,0

9,02:00-02:15,0,362.33,0,11.06,15.83,0,13.49,0,0,51.21,0,0,91.54,356.66,48.61,0,0,0,0,0,1.34,0,0,87.58,8.53,0,0,0,18.39,78.36,0,0,0,0,0,0,0,0,42.07,0,345.73,0,0,0,0,0,0,5.97,0,0,0,0,0,4.14,14.07,0,0,22.46,0,1.07,0,0,0,0,93.53,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,362.33,0,11.06,15.83,0,12.62,0,0,51.21,0,0,91.54,367.47,48.61,0,0,0,0,0,1.34,0,0,87.58,8.53,0,0,0,18.39,78.36,0,0,0,0,0,0,0,0,42.07,0,345.73,0,0,0,0,0,0,5.97,0,0,0,0,0,4.14,14.07,0,0,22.46,0,1.07,0,0,0,0,93.53,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,362.33,0,11.06,15.83,0,13.89,0,0,51.21,0,0,91.54,378.28,48.61,0,0,0,0,0,1.34,0,0,87.58,8.53,0,0,0,18.39,78.36,0,0,0,0,0,0,0,0,42.07,0,345.73,0,0,0,0,0,0,5.97,0,0,0,0,0,4.14,14.07,0,0,22.46,0,1.07,0,0,0,0,93.53,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,0,362.33,0,11.06,15.83,0,13.35,0,0,51.21,0,0,91.54,389.08,48.61,0,0,0,0,0,1.34,0,0,87.58,8.53,0,0,0,18.39,78.36,0,0,0,0,0,0,0,0,42.07,0,345.73,0,0,0,0,0,0,5.97,0,0,0,0,0,4.14,14.07,0,0,22.46,0,1.07,0,0,0,0,93.53,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,0,362.33,0,11.06,15.83,0,12.85,0,0,51.21,0,0,110.78,394.48,72.05,0,0,0,0,0,1.34,0,0,119.43,8.53,0,0,0,18.39,78.36,0,0,0,0,0,0,0,0,42.07,0,345.73,0,0,0,0,0,0,5.97,0,0,0,0,0,4.14,14.07,0,0,22.46,0,1.07,0,0,0,0,104.3,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,0,362.33,0,11.06,15.83,0,12.75,0,0,51.21,0,0,114.08,394.48,76.17,0,0,0,0,0,1.34,0,0,119.43,8.53,0,0,0,18.39,78.36,0,0,0,0,0,0,0,0,42.07,0,345.73,0,0,0,0,0,0,5.97,0,0,0,0,0,4.14,14.07,0,0,22.46,0,1.07,0,0,0,0,104.3,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,0,362.33,0,11.06,15.83,0,15.03,0,0,51.21,0,0,114.08,394.48,76.17,0,0,0,0,0,1.34,0,0,119.43,8.53,0,0,0,18.39,78.36,0,0,0,0,0,0,0,0,42.07,0,345.73,0,0,0,0,0,0,5.97,0,0,0,0,0,4.14,14.07,0,0,22.46,0,1.07,0,0,0,0,104.3,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,0,362.33,0,11.06,15.83,0,16.1,0,0,51.21,0,0,114.08,394.48,76.17,0,0,0,0,0,1.34,0,0,119.43,8.53,0,0,0,18.39,78.36,0,0,0,0,0,0,0,0,42.07,0,345.73,0,0,0,0,0,0,5.97,0,0,0,0,0,4.14,14.07,0,0,22.46,0,1.07,0,0,0,0,104.3,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,0,362.33,0,11.06,15.83,0,17.53,0,0,51.21,0,0,114.08,394.48,88.38,0,0,0,0,0,1.34,0,0,119.43,8.53,0,0,0,18.39,78.36,0,0,0,0,0,0,0,0,42.07,0,345.73,0,0,0,0,0,0,5.97,0,0,0,0,0,4.14,14.07,0,0,22.46,0,1.07,0,0,0,0,104.3,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,0,362.33,0,11.06,15.83,0,17.91,0,0,51.21,0,0,114.08,394.48,88.38,0,0,0,0,0,1.34,0,0,119.43,8.53,0,0,0,18.39,78.36,0,0,0,0,0,0,0,0,42.07,0,345.73,0,0,0,0,0,0,5.97,0,0,0,0,0,4.14,14.07,0,0,22.46,0,1.07,0,0,0,0,104.3,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,0,362.33,0,11.06,15.83,0,18.76,0,0,51.21,0,0,114.08,394.48,88.38,0,0,0,0,0,1.34,0,0,119.43,8.53,0,0,0,18.39,78.36,0,0,0,0,0,0,0,0,42.07,0,345.73,0,0,0,0,0,0,5.97,0,0,0,0,0,4.14,14.07,0,0,22.46,0,1.07,0,0,0,0,104.3,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,0,362.33,0,11.06,15.83,0,19.21,0,0,51.21,0,0,114.08,394.48,88.38,0,0,0,0,0,1.34,0,0,119.43,8.53,0,0,0,18.39,78.36,0,0,0,0,0,0,0,0,42.07,0,345.73,0,0,0,0,0,0,5.97,0,0,0,0,0,4.14,14.07,0,0,22.46,0,1.07,0,0,0,0,104.3,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,0,362.33,0,11.06,15.83,0,19.21,0,0,51.21,0,0,114.08,394.48,88.38,0,0,0,0,0,1.34,0,0,119.43,8.53,0,0,0,18.39,78.36,0,0,0,0,0,0,0,0,42.07,0,345.73,0,0,0,0,0,0,5.89,0,0,0,0,0,4.14,13.94,0,0,22.39,0,1.07,0,0,0,0,104.3,0,0,0,0,0,0,0,0,0,0

22,05:15-05:30,0,362.33,0,11.06,15.83,0,19.21,0,0,51.21,0,0,114.08,394.48,88.38,0,0,0,0,0,1.34,0,0,119.43,8.53,0,0,0,22.29,95.21,0,0,0,0,0,0,0,0,42.07,0,345.73,0,0,0,0,0,0,5.89,0,0,0,0,0,4.14,13.94,0,0,22.39,0,1.07,0,0,0,0,121.01,0,0,0,0,0,0,0,0,0,0

23,05:30-05:45,0,362.33,0,11.06,15.83,0,19.2,0,0,51.21,0,0,114.08,394.48,88.38,0,0,0,0,0,1.34,0,0,119.43,8.53,0,0,0,28.75,123.57,0,0,0,22.47,0,0,0,0,42.07,0,345.73,0,0,0,0,0,0,5.89,0,0,0,0,0,4.14,13.94,0,0,22.39,0,1.07,0,0,0,0,121.01,0,0,0,0,0,0,0,0,0,0

24,05:45-06:00,0,374.64,0,15.03,15.83,0,16.94,0,0,51.21,0,0,114.08,394.48,88.38,0,0,0,0,0,1.34,0,0,119.43,8.53,0,0,0,28.95,123.57,0,0,0,22.47,0,0,0,0,42.07,0,349.16,0,0,0,0,0,0,7.84,0,0,0,0,0,4.14,19.1,0,0,30.29,0,1.07,0,0,0,14.34,121.01,0,0,0,0,0,0,0,0,0,0

25,06:00-06:15,0,428.62,0,18.68,15.83,0,17.84,0,0,51.21,0,3.67,114.08,394.48,88.38,0,0,0,0,0,1.34,0,0,119.43,8.53,0,0,0,32.04,138.81,0,0,0,44.95,0,0,0,0,42.07,0,349.16,0,0,0,0,0,0,8.86,0,0,0,0,0,4.14,22.76,0,0,34.63,0,1.07,0,0,0,14.34,121.01,0,0,0,0,0,0,0,0,0,0

26,06:15-06:30,3.2,464.19,7.61,19.98,15.83,0,19.21,0,0,51.21,0,15.9,114.08,394.48,88.38,0,0,0,0,0,1.34,0,0,119.43,8.53,0,0,0,32.37,142.47,0,0,0,67.41,0,0,0,0,42.07,0,354.92,0,0,0,0,0,0,9.28,0,0,0,0,0,4.14,22.76,0,0,36.14,0,1.07,0,0,0,28.69,121.01,0,0,0,0,0,0,0,0,0,0

27,06:30-06:45,12.65,502.72,7.61,19.98,31.66,9.29,19.21,11.54,2.11,51.21,0,15.9,114.08,394.48,88.38,0,0,0,0,0,1.34,0,0,119.43,8.53,0,0,0,32.37,142.47,0,0,0,89.88,0,0,0,0,42.07,0,434.65,0,0,0,0,0,0,9.28,0,0,0,0,0,4.14,22.76,0,0,36.14,0,1.07,0,0,0,43.03,121.01,0,0,0,0,0,0,0,0,0,0

28,06:45-07:00,25.3,572.57,26.33,19.98,31.66,18.62,19.21,11.77,12.53,51.21,0,15.9,114.08,394.48,88.38,0,0,0,0,0,1.34,7.59,0,119.43,9.47,0,0,0,32.37,142.47,0,0,0,112.36,0,0,0,0,42.07,0,529.43,0,0,0,0,0,0,9.87,0,0,0,0,0,4.14,25.35,0,0,40.72,0,1.07,0,0,0,59.79,121.01,0,0,0,0,0,0,0,0,0,0

29,07:00-07:15,25.3,646.53,26.33,19.98,31.66,18.62,19.21,27,12.53,51.21,0,15.9,114.08,394.48,88.38,0,0,0,0,0,1.34,7.59,0,119.43,9.47,0,0,0,32.37,142.47,0,0,0,112.36,0,0,0,0,42.07,0,568.49,0,0,0,0,0,0,9.87,0,0,0,0,0,4.14,25.35,0,0,40.72,0,1.28,0,0,0,59.79,121.01,0,0,0,0,0,0,0,0,0,0

30,07:15-07:30,25.3,655.96,26.33,19.98,31.66,18.62,18.78,27,12.53,51.21,0,15.9,114.08,394.48,88.38,0,0,0,0,0,8.92,7.59,0,119.43,9.47,0,0,0,32.37,142.47,0,0,0,112.36,0,0,0,0,42.07,0,570.37,0,0,0,0,28.82,0,9.87,0,0,0,19.19,0,4.14,25.35,0,0,40.72,0,1.28,0,23.64,0,59.79,121.01,0,0,0,0,0,0,0,0,0,0

31,07:30-07:45,25.3,655.96,26.33,19.98,31.66,18.62,17.01,27,12.53,51.21,0,15.9,114.08,394.48,88.38,0,0,0,0,0,40.19,7.87,0,119.43,9.47,0,0,0,32.37,142.47,0,0,0,112.36,0,0,0,0,42.07,0,570.37,0,0,0,0,29.13,0,9.87,0,0,0,19.19,0,4.14,25.35,0,0,40.72,0,25.45,0,23.64,0,59.79,121.01,0,5.53,0,0,0,0,0,0,0,0

32,07:45-08:00,25.3,655.96,26.33,19.98,31.66,18.62,18.53,27,12.53,51.21,0,3.42,114.08,394.48,88.38,0,0,0,0,0,40.19,7.87,0,119.43,9.47,0,0,0,32.37,142.47,0,0,0,112.36,0,0,0,0,42.07,0,570.37,0,0,0,0,29.13,0,9.87,0,0,0,19.19,0,4.14,25.35,0,0,40.72,0,25.45,0,23.64,0,59.79,121.01,0,5.53,0,0,0,0,0,0,0,0

33,08:00-08:15,25.3,655.96,26.33,19.98,31.66,18.62,17.79,27,12.53,51.21,0,0,114.08,394.48,88.38,0,0,0,0,0,40.19,7.87,0,119.43,9.47,0,0,0,32.37,142.47,0,0,0,89.88,0,0,0,0,42.07,0,532.49,0,0,0,0,29.13,0,9.87,0,0,0,19.19,0,4.14,25.35,0,0,40.72,0,25.45,0,9.61,0,59.79,121.01,0,5.53,0,0,0,0,0,0,0,0

34,08:15-08:30,25.3,655.96,17.55,19.98,31.66,18.62,19.21,27,12.53,51.21,0,0,114.08,394.48,88.38,0,0,0,0,0,40.19,7.87,0,119.43,9.47,0,0,0,32.37,142.47,0,0,0,89.88,0,0,0,0,42.07,0,532.49,0,0,0,0,29.13,0,9.87,0,0,0,19.19,0,4.14,25.35,0,0,40.72,0,4.24,0,0.04,0,59.79,121.01,0,5.53,0,0,0,0,0,0,0,0

35,08:30-08:45,12.65,655.96,7.61,19.98,15.83,9.29,19.21,11.54,2.11,51.21,0,0,114.08,394.48,88.38,0,0,0,0,0,40.19,0,0,119.43,8.53,0,0,0,32.37,142.47,0,0,0,67.41,0,0,0,0,42.07,0,532.49,0,0,0,0,29.13,0,9.87,0,0,0,19.19,0,4.14,25.35,0,0,40.72,0,3.18,0,0,0,59.79,121.01,0,0.86,0,0,0,0,0,0,0,0

36,08:45-09:00,0,655.96,0,19.98,15.83,0,19.21,0,0,51.21,0,0,114.08,394.48,88.38,0,0,0,0,0,40.19,0,0,119.43,8.53,0,0,0,32.37,142.47,0,0,0,67.41,0,0,0,0,42.07,0,532.49,0,0,0,0,29.13,0,9.87,0,0,0,19,0,4.14,25.35,0,0,40.72,0,2.12,0,0,0,43.03,121.01,0,0.86,0,0,0,0,0,0,0,0

37,09:00-09:15,0,655.96,0,19.98,15.83,0,15.77,0,0,51.21,0,0,114.08,394.48,88.38,0,0,0,0,0,8.92,0,0,119.43,8.53,0,0,0,32.37,142.47,0,0,0,44.95,0,0,0,0,42.07,0,502.88,0,0,0,0,29.13,0,9.87,0,0,0,18.91,0,4.14,25.35,0,0,40.72,0,2.12,0,0,0,43.03,121.01,0,0.86,0,0,0,0,0,0,0,0

38,09:15-09:30,0,655.96,0,19.98,15.83,0,19.21,0,0,51.21,0,0,114.08,394.48,88.38,0,0,0,0,0,1.34,0,0,119.43,8.53,0,0,0,32.37,142.47,0,0,0,44.95,0,0,0,0,42.07,0,502.88,0,0,0,0,2.42,0,9.87,0,0,0,2.81,0,4.14,25.35,0,0,40.72,0,2.12,0,0,0,29.9,121.01,0,0.86,0,0,0,0,0,0,0,0

39,09:30-09:45,0,655.96,0,19.98,0,0,19.21,0,0,51.21,0,0,114.08,394.48,88.38,0,0,0,0,0,1.34,0,0,119.43,8.53,0,0,0,32.37,142.47,0,0,0,44.95,0,0,0,0,42.07,0,502.88,0,0,0,0,0,0,9.87,0,0,0,0,0,4.14,25.35,0,0,40.72,0,25.45,0,0,0,29.9,121.01,0,0.86,0,0,0,0,0,0,0,0

40,09:45-10:00,0,651.92,0,19.98,0,0,19.21,0,0,51.21,0,0,114.08,394.48,88.38,0,0,0,0,0,1.34,0,0,119.43,8.53,0,0,0,32.37,142.47,0,0,0,44.95,0,0,0,0,42.07,0,502.88,0,0,0,0,0,0,9.87,0,0,0,0,0,4.14,25.35,0,0,40.72,0,25.45,0,0,0,14.34,121.01,0,0.86,0,0,0,0,0,0,0,0

41,10:00-10:15,0,598.93,0,19.98,0,0,19.21,0,0,51.21,0,0,114.08,394.48,88.38,0,0,0,0,0,1.34,0,0,119.43,8.53,0,0,0,32.37,142.47,0,0,0,22.47,0,0,0,0,42.07,0,474.23,0,0,0,0,0,0,9.87,0,0,0,0,0,4.14,25.35,0,0,40.72,0,25.45,0,0,0,0,121.01,0,0.86,0,0,0,0,0,0,0,0

42,10:15-10:30,0,480.7,0,19.98,0,0,19.08,0,0,51.21,0,0,114.08,394.48,88.38,0,0,0,0,0,1.34,0,0,119.43,8.53,0,0,0,32.37,142.47,0,0,0,0,0,0,0,0,42.07,0,474.23,0,0,0,0,0,0,9.87,0,0,0,0,0,4.14,25.35,0,0,40.72,0,3.18,0,0,0,0,121.01,0,0.86,0,0,0,0,0,0,0,0

43,10:30-10:45,0,429.78,0,17.79,0,0,18.34,0,0,51.21,0,0,114.08,394.48,88.38,0,0,0,0,0,1.34,0,0,119.43,8.53,0,0,0,28.95,122.61,0,0,0,0,0,0,0,0,42.07,0,443.16,0,0,0,0,0,0,9.28,0,0,0,0,0,4.14,22.76,0,0,36.6,0,1.59,0,0,0,0,121.01,0,0.86,0,0,0,0,0,0,0,0

44,10:45-11:00,0,381.74,0,17.79,0,0,16.07,0,0,51.21,0,0,114.08,394.48,88.38,0,0,0,0,0,1.34,0,0,119.43,8.53,0,0,0,28.95,122.61,0,0,0,0,0,0,0,0,42.07,0,366.99,0,0,0,0,0,0,9.28,0,0,0,0,0,4.14,22.76,0,0,36.14,0,1.59,0,0,0,0,121.01,0,0.86,0,0,0,0,0,0,0,0

45,11:00-11:15,0,360.96,0,15.65,0,0,16.57,0,0,51.21,0,0,114.08,394.48,88.38,0,0,0,0,0,1.34,0,0,119.43,8.53,0,0,0,22.48,94.24,0,0,0,0,0,0,0,0,42.07,0,440.1,0,0,0,0,0,0,7.31,0,0,0,0,0,4.14,20.35,0,0,27.86,0,1.59,0,0,0,0,121.01,0,0.86,0,0,0,0,0,0,0,0

46,11:15-11:30,0,360.96,0,13.81,0,0,16.91,0,0,51.21,0,0,114.08,394.48,88.38,0,0,0,0,0,1.34,0,0,119.43,8.53,0,0,0,22.48,94.24,0,0,0,0,0,0,0,0,42.07,0,363.24,0,0,0,0,0,0,7.25,0,0,0,0,0,4.14,17.43,0,0,22.39,0,1.59,0,0,0,0,121.01,0,0.86,0,0,0,0,0,0,0,0

