Block,Time,UNCHAHAR3,DADRI_GF,AURY_LF,SINGRAULI_HYDRO,KOLDAM,DADRT2,NJPC,SEWA2,TANDA2,JHAJJAR,DADRI_LF,AURY_GF,DADRI_CRF,RIHAND3,AURY_CRF,UNCHAHAR1,PARBATI3,ANTA_CRF,RIHAND1,URI,ANTA_GF,CHAMERA2,URI2,ANTA_LF,RAPPB,BSIUL,SALAL,NAPP,RAPPC,DADRI_RF,KOTESHWR,RIHAND2,AURY_RF,RAMPUR,DULHASTI,KISHANGANGA,TEHRI,TANAKPUR,DHAULIGNGA,CHAMERA3,UNCHAHAR4,SINGRAULI,CHAMERA1,UNCHAHAR2,ANTA_RF,TALA,KHSTPP-I,KUDGI,SASAN,KHSTPP-II,BRBCL,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,25.477003,0.000000,0.000000,0.627915,0.000000,663.017370,147.648759,15.257228,0.000000,554.772034,0.000000,0.000000,0.000000,119.386794,0.000000,18.738414,0.000000,0.000000,88.816800,45.296568,0.000000,0.000000,31.297612,0.000000,0.000000,0.000000,82.451918,37.220804,49.003704,0.000000,23.416356,114.037875,0.000000,0.000000,15.854185,0.000000,58.387392,6.183387,35.325627,28.057235,0.000000,134.489874,41.183964,40.321958,0.000000,25.544484,29.885888,53.10,404.280558,142.411584,14.480989,13.756950,0,0,0,0,0

2,00:15-00:30,25.477003,0.000000,0.000000,0.627915,0.000000,663.017370,147.648759,15.257228,0.000000,554.772034,0.000000,0.000000,0.000000,119.386794,0.000000,18.738414,0.000000,0.000000,88.816800,45.296568,0.000000,0.000000,31.297612,0.000000,0.000000,0.000000,82.451918,37.220804,49.003704,0.000000,23.416356,114.037875,0.000000,0.000000,15.854185,0.000000,58.387392,10.882761,35.325627,28.057235,0.000000,134.489874,41.183964,40.321958,0.000000,25.544484,29.885888,53.10,404.280558,142.411584,13.200823,13.756950,0,0,0,0,0

3,00:30-00:45,25.477003,0.000000,0.000000,0.627915,0.000000,663.017370,147.648759,15.257228,0.000000,554.772034,0.000000,0.000000,0.000000,119.386794,0.000000,18.738414,0.000000,0.000000,88.816800,45.296568,0.000000,0.000000,31.297612,0.000000,0.000000,0.000000,82.451918,37.220804,49.003704,0.000000,23.416356,114.037875,0.000000,0.000000,15.854185,0.000000,58.387392,10.882761,35.325627,28.057235,0.000000,134.489874,41.183964,40.321958,0.000000,25.544484,29.885888,53.10,404.280558,142.411584,14.458905,13.756950,0,0,0,0,0

4,00:45-01:00,25.477003,0.000000,0.000000,0.627915,0.000000,663.017370,147.648759,15.257228,0.000000,554.772034,0.000000,0.000000,0.000000,119.386794,0.000000,18.738414,0.000000,0.000000,88.816800,45.296568,0.000000,0.000000,31.297612,0.000000,0.000000,0.000000,82.451918,37.220804,49.003704,0.000000,23.416356,114.037875,0.000000,0.000000,15.854185,0.000000,58.387392,10.882761,35.325627,28.057235,0.000000,134.489874,41.183964,40.321958,0.000000,25.544484,29.885888,53.10,404.280558,142.411584,14.449869,13.756950,0,0,0,0,0

5,01:00-01:15,25.477003,0.000000,0.000000,0.627915,0.000000,663.017370,147.648759,15.257228,0.000000,554.772034,0.000000,0.000000,0.000000,119.386794,0.000000,18.738414,0.000000,0.000000,88.816800,45.296568,0.000000,0.000000,30.793734,0.000000,0.000000,0.000000,82.451918,37.220804,49.003704,0.000000,23.416356,114.037875,0.000000,0.000000,15.854185,0.000000,58.387392,10.882761,35.325627,28.057235,0.000000,134.489874,41.183964,40.321958,0.000000,25.544484,29.885888,43.44,404.280558,142.411584,14.194858,13.756950,0,0,0,0,0

6,01:15-01:30,25.477003,0.000000,0.000000,0.627915,0.000000,663.017370,147.648759,15.257228,0.000000,554.772034,0.000000,0.000000,0.000000,119.386794,0.000000,18.738414,0.000000,0.000000,88.816800,45.296568,0.000000,0.000000,30.793734,0.000000,0.000000,0.000000,82.451918,37.220804,49.003704,0.000000,23.416356,114.037875,0.000000,0.000000,15.854185,0.000000,58.387392,10.882761,35.325627,28.057235,0.000000,134.489874,41.183964,40.321958,0.000000,25.544484,29.885888,43.44,404.280558,142.411584,13.790693,13.756950,0,0,0,0,0

7,01:30-01:45,25.477003,0.000000,0.000000,0.627915,0.000000,663.017370,147.648759,15.257228,0.000000,554.772034,0.000000,0.000000,0.000000,119.386794,0.000000,18.738414,0.000000,0.000000,88.816800,45.296568,0.000000,0.000000,30.793734,0.000000,0.000000,0.000000,82.451918,37.220804,49.003704,0.000000,23.416356,114.037875,0.000000,0.000000,15.854185,0.000000,58.387392,10.882761,35.325627,28.057235,0.000000,134.489874,41.183964,40.918283,0.000000,25.544484,29.885888,43.44,404.280558,142.411584,11.550886,13.756950,0,0,0,0,0

8,01:45-02:00,25.477003,0.000000,0.000000,0.627915,0.000000,663.017370,147.648759,15.257228,0.000000,554.772034,0.000000,0.000000,0.000000,119.386794,0.000000,18.738414,0.000000,0.000000,88.816800,50.092675,0.000000,0.000000,30.793734,0.000000,0.000000,0.000000,82.451918,37.220804,49.003704,0.000000,23.416356,114.037875,0.000000,0.000000,15.854185,0.000000,58.387392,10.882761,35.325627,28.057235,0.000000,134.489874,41.183964,40.918286,0.000000,25.544484,29.885888,43.44,404.280558,142.411584,10.079692,13.756950,0,0,0,0,0

