Block,Time Block,DULHASTI,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,DADRT2,CHAMERA3,DHAULIGNGA,BRBCL,CHAMERA1,BSIUL,CHAMERA2,KHSTPP-II,KHSTPP-I,KGSU1AND2,KGSU3AND4,JHAJJAR,FSTPP I & II,KOTESHWR,MAPS,KUDGI,URI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,UNCHAHAR3,URI2,TelanganaSTPP,UNCHAHAR2,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,NTPL,PARBATI3,RAPPB,NLCEXP,NLCIIST1,RIHAND2,NJPC,NLCIIST2,NLCTS2EXP,RAPPC,RIHAND1,NAPP,RAMPUR,NNTPP,TALA,RSTPSU7,SALAL,SEWA2,SINGRAULI,RIHAND3,TANDA2,TEHRI,SASAN,TALST2,TANAKPUR,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,SIMHST2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,0,329.34,0,0,19.23,0,0,0,80.34,36.88,0,0,230.81,15.02,8.53,0,0,25.48,11.28,0,0,14.29,18.11,0,11.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.21,0,0,0,51.86,88.48,42.01,0,0,0,0,2.24,0,117.16,119.56,0,0,189.34,0,8.01,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,293.32,0,0,19.23,0,0,0,80.34,36.88,0,0,230.81,15.02,8.53,0,0,25.48,11.55,0,0,14.29,18.11,0,11.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.21,0,0,0,51.86,88.48,42.01,0,0,0,0,2.24,0,117.16,119.56,0,0,189.34,0,8.01,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,293.32,0,0,17.66,0,0,0,80.34,36.88,0,0,230.81,15.02,8.53,0,0,25.48,11.55,0,0,14.29,18.11,0,11.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.21,0,0,0,51.86,88.48,42.01,0,0,0,0,2.24,0,117.16,119.56,0,0,189.34,0,8.01,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,291.4,0,0,15.22,0,0,0,80.34,36.88,0,0,230.81,11.56,8.53,0,0,3.18,11.55,0,0,14.29,18.11,0,11.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.21,0,0,0,51.86,88.48,42.01,0,0,0,0,2.24,0,117.16,119.56,0,0,189.34,0,3.08,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,274.08,0,0,15.32,0,0,0,61.65,28.36,0,0,251.97,11.56,8.53,0,0,1.28,13.68,0,0,16.89,18.11,0,13.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.21,0,0,0,51.86,88.48,42.01,0,0,0,0,2.24,0,117.16,119.56,0,0,189.34,0,3.08,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,0,0,0,253.89,0,0,15.06,0,0,0,61.65,28.36,0,0,251.97,11.56,8.53,0,0,1.28,13.68,0,0,16.89,18.11,0,13.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.21,0,0,0,51.86,88.48,42.01,0,0,0,0,2.24,0,117.16,119.56,0,0,189.34,0,2.46,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,0,0,0,0,247.16,0,0,13.89,0,0,0,61.65,28.36,0,0,251.97,11.56,8.53,0,0,1.28,13.68,0,0,16.89,4.27,0,13.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.21,0,0,0,51.86,88.48,42.01,0,0,0,0,2.24,0,117.16,119.56,0,0,189.34,0,2.46,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,0,0,0,0,239.46,0,0,13.09,0,0,0,61.65,28.36,0,0,251.97,11.56,8.53,0,0,1.28,13.68,0,0,16.89,4.27,0,13.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.21,0,0,0,51.86,88.48,42.01,0,0,0,0,12.29,0,117.16,119.56,0,0,189.34,0,2.46,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,0,0,0,0,226,0,0,11.51,0,0,0,61.65,28.36,0,0,251.97,11.56,8.53,0,0,1.28,13.68,0,0,16.89,4.27,0,13.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.21,0,0,0,51.86,88.48,42.01,0,0,0,0,53.63,0,117.16,119.56,0,0,189.34,0,8.01,0,0,0,0,0,0,0,0,0

